Period,Scenario,LoadLevel,Unit,p.u.
2030,sc01,01-03 14:00:00+01:00,CT NG 12,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 14,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 34,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 74,0.0
2030,sc01,01-03 14:00:00+01:00,ST NG 04,0.0
2030,sc01,01-03 14:00:00+01:00,CC NG 21,0.0
2030,sc01,01-03 14:00:00+01:00,CC NG 39,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 50,0.0
2030,sc01,01-03 14:00:00+01:00,CC NG 37,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 23,0.0
2030,sc01,01-03 14:00:00+01:00,CC NG 05,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 48,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 04,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 05,0.0
2030,sc01,01-03 14:00:00+01:00,ST NG 08,0.0
2030,sc01,01-03 14:00:00+01:00,CC NG 04,0.0
2030,sc01,01-03 14:00:00+01:00,CC NG 14,0.0
2030,sc01,01-03 14:00:00+01:00,CT Oil 01,0.0
2030,sc01,01-03 14:00:00+01:00,CC NG 38,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 66,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 22,0.0
2030,sc01,01-03 14:00:00+01:00,CC NG 22,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 03,0.0
2030,sc01,01-03 14:00:00+01:00,CT Oil 05,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 41,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 16,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 46,0.0
2030,sc01,01-03 14:00:00+01:00,CC NG 31,0.0
2030,sc01,01-03 14:00:00+01:00,CC NG 20,0.0
2030,sc01,01-03 14:00:00+01:00,CC NG 15,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 55,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 42,0.0
2030,sc01,01-03 14:00:00+01:00,CC NG 08,0.0
2030,sc01,01-03 14:00:00+01:00,CC NG 09,0.0
2030,sc01,01-03 14:00:00+01:00,CC NG 29,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 69,0.0
2030,sc01,01-03 14:00:00+01:00,CC NG 03,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 15,0.0
2030,sc01,01-03 14:00:00+01:00,CT NG 35,0.0
