Period,Scenario,LoadLevel,Unit,GWh
2030,sc01,01-07 18:00:00+01:00,Hydro 20,0.0017208000000000002
2030,sc01,01-07 18:00:00+01:00,Solar 38,0.034712507408
2030,sc01,01-07 18:00:00+01:00,Solar 06,0.010986508596
2030,sc01,01-07 18:00:00+01:00,Geo 01,0.064
2030,sc01,01-07 18:00:00+01:00,Wind 10,0.21061380176
2030,sc01,01-07 18:00:00+01:00,CT NG 72,0.0
2030,sc01,01-07 18:00:00+01:00,CT Oil 01,0.0
2030,sc01,01-07 18:00:00+01:00,Solar 21,0.005337808048
2030,sc01,01-07 18:00:00+01:00,Hydro 34,0.12082296
2030,sc01,01-07 18:00:00+01:00,ST NG 02,0.0
2030,sc01,01-07 18:00:00+01:00,Wind 08,0.21061380176
2030,sc01,01-07 18:00:00+01:00,Solar 44,0.0030373443999999997
2030,sc01,01-07 18:00:00+01:00,Solar 18,0.003578823528
2030,sc01,01-07 18:00:00+01:00,CC NG 03,0.49115864000000004
2030,sc01,01-07 18:00:00+01:00,Solar 68,0.16662003556
2030,sc01,01-07 18:00:00+01:00,Wind N04,1.7454545456000001
2030,sc01,01-07 18:00:00+01:00,CC NG 40,2.9052548
2030,sc01,01-07 18:00:00+01:00,Solar 39,0.0030373443999999997
2030,sc01,01-07 18:00:00+01:00,Wind 03,0.08438682372
2030,sc01,01-07 18:00:00+01:00,CT NG 52,0.0
2030,sc01,01-07 18:00:00+01:00,Wind 07,0.21061380176
2030,sc01,01-07 18:00:00+01:00,CT NG 04,0.0
2030,sc01,01-07 18:00:00+01:00,CC NG 01,0.0
2030,sc01,01-07 18:00:00+01:00,Hydro 27,0.0334308
2030,sc01,01-07 18:00:00+01:00,CC NG 08,0.04522568441509711
2030,sc01,01-07 18:00:00+01:00,Solar 31,0.20138461172000002
2030,sc01,01-07 18:00:00+01:00,CT NG 73,0.0
2030,sc01,01-07 18:00:00+01:00,Solar 51,0.027162537048
2030,sc01,01-07 18:00:00+01:00,Solar 67,0.0
2030,sc01,01-07 18:00:00+01:00,Solar 16,0.00191256966
2030,sc01,01-07 18:00:00+01:00,Solar 48,0.0030373443999999997
2030,sc01,01-07 18:00:00+01:00,CC NG 10,0.0
2030,sc01,01-07 18:00:00+01:00,Solar 09,0.022302786012
2030,sc01,01-07 18:00:00+01:00,CC NG 04,0.0
2030,sc01,01-07 18:00:00+01:00,Solar 70,0.043467492280000006
2030,sc01,01-07 18:00:00+01:00,CC NG 13,0.0
2030,sc01,01-07 18:00:00+01:00,CT NG 70,0.0
