Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-11 19:00:00+01:00,bus085,bus089,eac1,-0.1795535328034431
2030,sc01,01-11 19:00:00+01:00,bus027,bus115,eac1,0.035135072782224996
2030,sc01,01-11 19:00:00+01:00,bus051,bus052,eac1,0.037188186883653995
2030,sc01,01-11 19:00:00+01:00,bus079,bus080,eac1,-0.34337833347540503
2030,sc01,01-11 19:00:00+01:00,bus045,bus049,eac1,-0.21923783942887015
2030,sc01,01-11 19:00:00+01:00,bus025,bus027,cac1,0.0
2030,sc01,01-11 19:00:00+01:00,bus006,bus007,cac1,0.0
2030,sc01,01-11 19:00:00+01:00,bus012,bus014,eac1,0.1890861449332798
2030,sc01,01-11 19:00:00+01:00,bus019,bus020,eac1,0.13599860190427582
2030,sc01,01-11 19:00:00+01:00,bus043,bus044,eac1,-0.12491731384863203
2030,sc01,01-11 19:00:00+01:00,bus054,bus055,eac1,-0.05291053568531506
2030,sc01,01-11 19:00:00+01:00,bus011,bus013,cac1,0.0
2030,sc01,01-11 19:00:00+01:00,bus001,bus003,eac1,-0.11458061967223399
2030,sc01,01-11 19:00:00+01:00,bus007,bus012,eac1,-0.22194206881400003
2030,sc01,01-11 19:00:00+01:00,bus005,bus006,cac1,0.0
2030,sc01,01-11 19:00:00+01:00,bus064,bus065,cac1,0.0
2030,sc01,01-11 19:00:00+01:00,bus027,bus028,eac1,0.04105120067312512
2030,sc01,01-11 19:00:00+01:00,bus004,bus005,eac1,0.06153945978755693
2030,sc01,01-11 19:00:00+01:00,bus054,bus056,cac1,0.0
2030,sc01,01-11 19:00:00+01:00,bus026,bus025,eac1,0.5495463592949614
2030,sc01,01-11 19:00:00+01:00,bus045,bus046,eac1,-0.150637833289762
2030,sc01,01-11 19:00:00+01:00,bus092,bus093,eac1,0.039731212107146696
2030,sc01,01-11 19:00:00+01:00,bus008,bus005,cac1,0.0
2030,sc01,01-11 19:00:00+01:00,bus009,bus010,eac1,-0.5090623501666667
2030,sc01,01-11 19:00:00+01:00,bus015,bus019,eac1,0.06593493768513436
2030,sc01,01-11 19:00:00+01:00,bus042,bus049,eac1,-0.2650366195115413
2030,sc01,01-11 19:00:00+01:00,bus049,bus069,eac1,0.13609417058408024
