Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-04 03:00:00+01:00,SolarPV-NonTracking,0.0
2030,sc01,01-04 03:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-04 03:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-04 03:00:00+01:00,WT-Onshore,446.50601088011854
2030,sc01,01-04 03:00:00+01:00,DG-BTM,0.0
2030,sc01,01-04 03:00:00+01:00,SolarPV-Tracking,0.0
2030,sc01,01-04 03:00:00+01:00,Battery,0.0
2030,sc01,01-04 03:00:00+01:00,Biomass,0.0
2030,sc01,01-04 03:00:00+01:00,Geothermal,1.536
2030,sc01,01-04 03:00:00+01:00,Coal,0.0
2030,sc01,01-04 03:00:00+01:00,Oil,0.0
2030,sc01,01-04 03:00:00+01:00,Hydro,228.97225376704495
2030,sc01,01-04 03:00:00+01:00,Natural gas,181.07789646326898
2030,sc01,01-07 15:00:00+01:00,SolarPV-NonTracking,7.433416894014353
2030,sc01,01-07 15:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-07 15:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-07 15:00:00+01:00,WT-Onshore,48.012976580973756
2030,sc01,01-07 15:00:00+01:00,DG-BTM,4.35182327392
2030,sc01,01-07 15:00:00+01:00,SolarPV-Tracking,13.708872334424465
2030,sc01,01-07 15:00:00+01:00,Battery,0.0
2030,sc01,01-07 15:00:00+01:00,Biomass,0.0
2030,sc01,01-07 15:00:00+01:00,Geothermal,0.128
2030,sc01,01-07 15:00:00+01:00,Coal,0.0
2030,sc01,01-07 15:00:00+01:00,Oil,1.02528
2030,sc01,01-07 15:00:00+01:00,Hydro,24.85093599399382
2030,sc01,01-07 15:00:00+01:00,Natural gas,38.27982343309783
2030,sc01,01-07 19:00:00+01:00,SolarPV-NonTracking,0.036293676345000005
2030,sc01,01-07 19:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-07 19:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-07 19:00:00+01:00,WT-Onshore,7.051978951168262
2030,sc01,01-07 19:00:00+01:00,DG-BTM,0.0054446639000000005
2030,sc01,01-07 19:00:00+01:00,SolarPV-Tracking,0.012773918198
2030,sc01,01-07 19:00:00+01:00,Battery,0.0
2030,sc01,01-07 19:00:00+01:00,Biomass,0.0
2030,sc01,01-07 19:00:00+01:00,Geothermal,0.016
2030,sc01,01-07 19:00:00+01:00,Coal,0.0
2030,sc01,01-07 19:00:00+01:00,Oil,0.12816
2030,sc01,01-07 19:00:00+01:00,Hydro,2.872340171584058
2030,sc01,01-07 19:00:00+01:00,Natural gas,6.773256552820189
2030,sc01,01-07 20:00:00+01:00,SolarPV-NonTracking,0.03363804149400001
2030,sc01,01-07 20:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-07 20:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-07 20:00:00+01:00,WT-Onshore,6.769853947015382
2030,sc01,01-07 20:00:00+01:00,DG-BTM,0.005046273859
2030,sc01,01-07 20:00:00+01:00,SolarPV-Tracking,0.011839241256
2030,sc01,01-07 20:00:00+01:00,Battery,0.0
2030,sc01,01-07 20:00:00+01:00,Biomass,0.0
2030,sc01,01-07 20:00:00+01:00,Geothermal,0.016
2030,sc01,01-07 20:00:00+01:00,Coal,0.0
2030,sc01,01-07 20:00:00+01:00,Oil,0.12816
2030,sc01,01-07 20:00:00+01:00,Hydro,2.6241736606905643
2030,sc01,01-07 20:00:00+01:00,Natural gas,6.55404398170729
2030,sc01,01-09 16:00:00+01:00,SolarPV-NonTracking,3.5487112337348785
2030,sc01,01-09 16:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-09 16:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-09 16:00:00+01:00,WT-Onshore,24.307737251514247
2030,sc01,01-09 16:00:00+01:00,DG-BTM,1.670655449
2030,sc01,01-09 16:00:00+01:00,SolarPV-Tracking,6.71713132921247
2030,sc01,01-09 16:00:00+01:00,Battery,0.0
2030,sc01,01-09 16:00:00+01:00,Biomass,0.0
2030,sc01,01-09 16:00:00+01:00,Geothermal,0.064
2030,sc01,01-09 16:00:00+01:00,Coal,0.0
2030,sc01,01-09 16:00:00+01:00,Oil,0.51264
2030,sc01,01-09 16:00:00+01:00,Hydro,10.970934868206927
2030,sc01,01-09 16:00:00+01:00,Natural gas,24.53117074324455
2030,sc01,01-09 19:00:00+01:00,SolarPV-NonTracking,0.077898622402
2030,sc01,01-09 19:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-09 19:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-09 19:00:00+01:00,WT-Onshore,10.737123259699999
2030,sc01,01-09 19:00:00+01:00,DG-BTM,0.011686107884000001
2030,sc01,01-09 19:00:00+01:00,SolarPV-Tracking,0.027417190278000002
2030,sc01,01-09 19:00:00+01:00,Battery,0.0
2030,sc01,01-09 19:00:00+01:00,Biomass,0.0
2030,sc01,01-09 19:00:00+01:00,Geothermal,0.032
2030,sc01,01-09 19:00:00+01:00,Coal,0.0
2030,sc01,01-09 19:00:00+01:00,Oil,0.25632
2030,sc01,01-09 19:00:00+01:00,Hydro,6.579747805006253
2030,sc01,01-09 19:00:00+01:00,Natural gas,16.894163409012435
2030,sc01,01-09 20:00:00+01:00,SolarPV-NonTracking,0.036293676345000005
2030,sc01,01-09 20:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-09 20:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-09 20:00:00+01:00,WT-Onshore,5.00546064874
2030,sc01,01-09 20:00:00+01:00,DG-BTM,0.0054446639000000005
2030,sc01,01-09 20:00:00+01:00,SolarPV-Tracking,0.012773918198
2030,sc01,01-09 20:00:00+01:00,Battery,0.0
2030,sc01,01-09 20:00:00+01:00,Biomass,0.0
2030,sc01,01-09 20:00:00+01:00,Geothermal,0.016
2030,sc01,01-09 20:00:00+01:00,Coal,0.0
2030,sc01,01-09 20:00:00+01:00,Oil,0.12816
2030,sc01,01-09 20:00:00+01:00,Hydro,3.6543981931663105
2030,sc01,01-09 20:00:00+01:00,Natural gas,7.625454471966397
2030,sc01,01-09 21:00:00+01:00,SolarPV-NonTracking,0.03540846473099999
2030,sc01,01-09 21:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-09 21:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-09 21:00:00+01:00,WT-Onshore,5.09785776804929
2030,sc01,01-09 21:00:00+01:00,DG-BTM,0.00531186722
2030,sc01,01-09 21:00:00+01:00,SolarPV-Tracking,0.012462359218000001
2030,sc01,01-09 21:00:00+01:00,Battery,0.0
2030,sc01,01-09 21:00:00+01:00,Biomass,0.0
2030,sc01,01-09 21:00:00+01:00,Geothermal,0.016
2030,sc01,01-09 21:00:00+01:00,Coal,0.0
2030,sc01,01-09 21:00:00+01:00,Oil,0.12816
2030,sc01,01-09 21:00:00+01:00,Hydro,3.522263326566311
2030,sc01,01-09 21:00:00+01:00,Natural gas,6.663230200109521
2030,sc01,01-10 08:00:00+01:00,SolarPV-NonTracking,0.11532881242800001
2030,sc01,01-10 08:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-10 08:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-10 08:00:00+01:00,WT-Onshore,4.270389681089999
2030,sc01,01-10 08:00:00+01:00,DG-BTM,0.014323719119000001
2030,sc01,01-10 08:00:00+01:00,SolarPV-Tracking,0.071958102016
2030,sc01,01-10 08:00:00+01:00,Battery,0.0
2030,sc01,01-10 08:00:00+01:00,Biomass,0.0
2030,sc01,01-10 08:00:00+01:00,Geothermal,0.016
2030,sc01,01-10 08:00:00+01:00,Coal,0.0196
2030,sc01,01-10 08:00:00+01:00,Oil,0.12816
2030,sc01,01-10 08:00:00+01:00,Hydro,3.7754053720000003
2030,sc01,01-10 08:00:00+01:00,Natural gas,8.643123112942781
2030,sc01,01-10 14:00:00+01:00,SolarPV-NonTracking,9.78183697076893
2030,sc01,01-10 14:00:00+01:00,SolarThermal-CSP6,0.0
2030,sc01,01-10 14:00:00+01:00,SynchCompensator,0.0
2030,sc01,01-10 14:00:00+01:00,WT-Onshore,32.501908809782364
2030,sc01,01-10 14:00:00+01:00,DG-BTM,4.5537181683000005
2030,sc01,01-10 14:00:00+01:00,SolarPV-Tracking,16.64570478908764
2030,sc01,01-10 14:00:00+01:00,Battery,0.0
2030,sc01,01-10 14:00:00+01:00,Biomass,0.0
2030,sc01,01-10 14:00:00+01:00,Geothermal,0.112
2030,sc01,01-10 14:00:00+01:00,Coal,0.0
2030,sc01,01-10 14:00:00+01:00,Oil,0.8971199999999999
2030,sc01,01-10 14:00:00+01:00,Hydro,30.54106675947449
