Period,Scenario,LoadLevel,mEUR
2030,sc01,01-11 20:00:00+01:00,1448005.8078806205
2030,sc01,01-16 18:00:00+01:00,113779.5893699969
2030,sc01,01-21 17:00:00+01:00,14957.131263160054
2030,sc01,01-22 08:00:00+01:00,1663786.5436596444
2030,sc01,01-23 03:00:00+01:00,293225593.03551984
2030,sc01,01-23 11:00:00+01:00,37481.98068288471
2030,sc01,01-23 16:00:00+01:00,331478.5792340054
2030,sc01,01-23 18:00:00+01:00,316839.1960704627
2030,sc01,01-24 15:00:00+01:00,170869.56163707323
2030,sc01,01-24 18:00:00+01:00,18110.350837162696
2030,sc01,01-28 10:00:00+01:00,8583601.29451742
2030,sc01,01-29 20:00:00+01:00,665407.0292311863
2030,sc01,01-30 13:00:00+01:00,55118.71974075951
2030,sc01,01-30 19:00:00+01:00,369376.75301229954
2030,sc01,01-31 20:00:00+01:00,1740343.76009581
2030,sc01,01-31 21:00:00+01:00,4148109.721326695
2030,sc01,02-03 04:00:00+01:00,47649316.88346558
2030,sc01,02-04 14:00:00+01:00,156232.61684151567
2030,sc01,02-04 18:00:00+01:00,256753.03892373678
2030,sc01,02-04 20:00:00+01:00,11457.16776898604
2030,sc01,02-05 19:00:00+01:00,635938.8711936347
2030,sc01,02-22 07:00:00+01:00,78384776.21171984
2030,sc01,03-04 04:00:00+01:00,529278506.9286297
2030,sc01,04-16 18:00:00+02:00,1439270.0711697522
2030,sc01,04-27 06:00:00+02:00,156568841.66333827
2030,sc01,05-11 08:00:00+02:00,1607344.4206766565
2030,sc01,05-25 13:00:00+02:00,118494630.33668107
2030,sc01,05-29 06:00:00+02:00,19021037.605872657
2030,sc01,06-21 19:00:00+02:00,97060.49627946733
2030,sc01,07-03 20:00:00+02:00,22937722.37290217
2030,sc01,07-10 07:00:00+02:00,17813453.877075
2030,sc01,07-13 11:00:00+02:00,11300950.146318495
2030,sc01,07-18 18:00:00+02:00,5046103.177097274
2030,sc01,07-24 16:00:00+02:00,233996224.62291136
2030,sc01,08-05 11:00:00+02:00,1244090.7523413782
2030,sc01,08-26 12:00:00+02:00,1019814.7127118688
2030,sc01,09-07 18:00:00+02:00,258379.06246069184
2030,sc01,09-24 10:00:00+02:00,32635722.515119288
2030,sc01,09-28 22:00:00+02:00,755232425.1050265
2030,sc01,10-25 17:00:00+02:00,3913867.4816133743
2030,sc01,10-30 11:00:00+01:00,652480.5872051757
2030,sc01,10-30 19:00:00+01:00,1616941.993587092
2030,sc01,10-31 12:00:00+01:00,602672.705324236
2030,sc01,11-02 12:00:00+01:00,610368527.4454457
2030,sc01,11-04 21:00:00+01:00,188476883.1040372
2030,sc01,11-05 13:00:00+01:00,117705.18294129275
2030,sc01,11-05 16:00:00+01:00,389407.5260706372
2030,sc01,11-05 18:00:00+01:00,26116.72744763067
2030,sc01,11-07 17:00:00+01:00,130933.7722238287
2030,sc01,11-13 13:00:00+01:00,5700206.771241041
2030,sc01,11-13 18:00:00+01:00,4456718.428667363
2030,sc01,11-19 17:00:00+01:00,1156545.031551654
2030,sc01,11-19 20:00:00+01:00,1171580.3122333132
2030,sc01,11-26 12:00:00+01:00,69947.3121965748
2030,sc01,12-03 13:00:00+01:00,2382017.289203919
2030,sc01,12-03 19:00:00+01:00,2246086.7256087135
2030,sc01,12-06 19:00:00+01:00,1416133.4250238764
2030,sc01,12-16 19:00:00+01:00,2462974.6855596513
2030,sc01,12-17 18:00:00+01:00,1112185.4634356115
2030,sc01,12-18 17:00:00+01:00,638861.6177047233
