Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,04-01 06:00:00+02:00,N_104,N_109,eac1,-0.06145074682468055
2030,sc01,04-01 06:00:00+02:00,N_116,N_117,cac1,-0.13520852351047064
2030,sc01,04-01 06:00:00+02:00,N_111,N_114,eac1,-0.26213205074949425
2030,sc01,04-01 06:00:00+02:00,N_103,N_124,cac2,0.0
2030,sc01,04-01 06:00:00+02:00,N_110,N_112,eac1,-0.09746891441457661
2030,sc01,04-01 06:00:00+02:00,N_103,N_124,cac1,0.0
2030,sc01,04-01 06:00:00+02:00,N_103,N_124,cac3,0.0
2030,sc01,04-01 06:00:00+02:00,N_116,N_117,eac1,-0.13520852351047064
2030,sc01,04-01 06:00:00+02:00,N_115,N_124,eac1,0.17481194140474568
2030,sc01,04-01 06:00:00+02:00,N_112,N_113,eac1,-0.039243617106077044
2030,sc01,04-01 06:00:00+02:00,N_109,N_112,eac1,-0.02684191432599964
2030,sc01,04-01 06:00:00+02:00,N_121,N_122,eac1,-0.5
2030,sc01,04-01 06:00:00+02:00,N_112,N_123,eac1,-0.0850672116344992
2030,sc01,04-01 06:00:00+02:00,N_103,N_124,eac1,-0.17481194140474568
2030,sc01,04-01 06:00:00+02:00,N_119,N_120,eac1,0.21752367040858434
2030,sc01,04-01 06:00:00+02:00,N_111,N_113,eac1,-0.0015051308580080192
2030,sc01,04-01 06:00:00+02:00,N_117,N_118,cac2,-0.2265671612772443
2030,sc01,04-01 06:00:00+02:00,N_117,N_118,cac1,-0.1132835806386221
2030,sc01,04-01 06:00:00+02:00,N_117,N_118,cac3,0.0
2030,sc01,04-01 06:00:00+02:00,N_114,N_116,eac1,-0.3516325492494943
2030,sc01,04-01 06:00:00+02:00,N_103,N_109,eac1,0.03093407184519434
2030,sc01,04-01 06:00:00+02:00,N_108,N_109,eac1,-0.060347889715707925
2030,sc01,04-01 06:00:00+02:00,N_107,N_108,cac2,0.0
2030,sc01,04-01 06:00:00+02:00,N_107,N_108,cac1,0.0
2030,sc01,04-01 06:00:00+02:00,N_113,N_123,cac2,0.0
2030,sc01,04-01 06:00:00+02:00,N_110,N_111,eac1,-0.11887954546830826
2030,sc01,04-01 06:00:00+02:00,N_107,N_108,cac3,0.0
2030,sc01,04-01 06:00:00+02:00,N_113,N_123,cac3,0.0
2030,sc01,04-01 06:00:00+02:00,N_117,N_118,eac1,-0.1132835806386221
2030,sc01,04-01 06:00:00+02:00,N_118,N_121,cac2,-0.16821756198699633
2030,sc01,04-01 06:00:00+02:00,N_113,N_123,cac1,0.0
2030,sc01,04-01 06:00:00+02:00,N_109,N_111,cac2,-0.09650509075946268
2030,sc01,04-01 06:00:00+02:00,N_115,N_116,cac2,0.0
2030,sc01,04-01 06:00:00+02:00,N_109,N_111,cac3,0.0
2030,sc01,04-01 06:00:00+02:00,N_118,N_121,cac1,0.0
2030,sc01,04-01 06:00:00+02:00,N_118,N_121,cac3,-0.3364351239739931
2030,sc01,04-01 06:00:00+02:00,N_107,N_108,eac1,-0.007919221312825048
2030,sc01,04-01 06:00:00+02:00,N_113,N_123,eac1,-0.07340458346408504
2030,sc01,04-01 06:00:00+02:00,N_102,N_104,eac1,-0.027311381414680536
2030,sc01,04-01 06:00:00+02:00,N_117,N_122,cac2,0.0
2030,sc01,04-01 06:00:00+02:00,N_109,N_111,cac1,0.0
2030,sc01,04-01 06:00:00+02:00,N_108,N_110,eac1,-0.024456882402372926
2030,sc01,04-01 06:00:00+02:00,N_115,N_116,cac1,-0.07302880070237283
2030,sc01,04-01 06:00:00+02:00,N_115,N_116,cac3,0.0
2030,sc01,04-01 06:00:00+02:00,N_117,N_122,cac3,0.0
2030,sc01,04-01 06:00:00+02:00,N_118,N_121,eac1,-0.08410878099349817
2030,sc01,04-01 06:00:00+02:00,N_101,N_103,eac1,-0.06283616990955102
2030,sc01,04-01 06:00:00+02:00,N_101,N_105,eac1,-0.004467262516438281
2030,sc01,04-01 06:00:00+02:00,N_117,N_122,cac1,0.0
2030,sc01,04-01 06:00:00+02:00,N_115,N_121,eac1,-0.17500000000000002
2030,sc01,04-01 06:00:00+02:00,N_116,N_119,eac1,0.2674267128285843
2030,sc01,04-01 06:00:00+02:00,N_101,N_102,eac1,0.017478412635989565
2030,sc01,04-01 06:00:00+02:00,N_115,N_116,eac1,-0.07302880070237283
2030,sc01,04-01 06:00:00+02:00,N_109,N_111,eac1,-0.04825254537973134
2030,sc01,04-01 06:00:00+02:00,N_117,N_122,eac1,-0.35811681850833577
2030,sc01,04-01 06:00:00+02:00,N_120,N_123,eac1,0.15847179509858422
2030,sc01,04-01 06:00:00+02:00,N_106,N_108,cac2,0.0
2030,sc01,04-01 06:00:00+02:00,N_106,N_108,cac3,0.0
2030,sc01,04-01 06:00:00+02:00,N_102,N_106,eac1,3.9544790670226204e-05
2030,sc01,04-01 06:00:00+02:00,N_106,N_108,cac1,0.0020040638647441933
2030,sc01,04-01 06:00:00+02:00,N_105,N_110,eac1,-0.037222599606438284
2030,sc01,04-01 06:00:00+02:00,N_106,N_110,eac1,-0.06470713658407397
2030,sc01,04-01 06:00:00+02:00,N_116,N_117,cac2,0.0
2030,sc01,04-01 06:00:00+02:00,N_116,N_117,cac3,-0.5408340940418828
2030,sc01,04-10 16:00:00+02:00,N_104,N_109,eac1,0.033242346665544154
2030,sc01,04-10 16:00:00+02:00,N_116,N_117,cac1,-0.08987609945768604
2030,sc01,04-10 16:00:00+02:00,N_111,N_114,eac1,-0.12049968998848021
2030,sc01,04-10 16:00:00+02:00,N_103,N_124,cac2,0.0
2030,sc01,04-10 16:00:00+02:00,N_110,N_112,eac1,-0.05671632830550444
2030,sc01,04-10 16:00:00+02:00,N_103,N_124,cac1,0.0
2030,sc01,04-10 16:00:00+02:00,N_103,N_124,cac3,0.0
2030,sc01,04-10 16:00:00+02:00,N_116,N_117,eac1,-0.08987609945768604
2030,sc01,04-10 16:00:00+02:00,N_115,N_124,eac1,0.07154028606819382
2030,sc01,04-10 16:00:00+02:00,N_112,N_113,eac1,-0.02731653315858934
2030,sc01,04-10 16:00:00+02:00,N_109,N_112,eac1,-0.0093513194740108
2030,sc01,04-10 16:00:00+02:00,N_121,N_122,eac1,-0.43619404404759093
2030,sc01,04-10 16:00:00+02:00,N_112,N_123,eac1,-0.038751114620925925
2030,sc01,04-10 16:00:00+02:00,N_103,N_124,eac1,-0.07154028606819385
2030,sc01,04-10 16:00:00+02:00,N_119,N_120,eac1,0.12674175606332594
2030,sc01,04-10 16:00:00+02:00,N_111,N_113,eac1,-0.008032704993810647
2030,sc01,04-10 16:00:00+02:00,N_117,N_118,cac2,-0.11937519381185302
2030,sc01,04-10 16:00:00+02:00,N_117,N_118,cac1,-0.05968759690592651
2030,sc01,04-10 16:00:00+02:00,N_117,N_118,cac3,0.0
2030,sc01,04-10 16:00:00+02:00,N_114,N_116,eac1,-0.2110534615984802
2030,sc01,04-10 16:00:00+02:00,N_103,N_109,eac1,0.035967229010070295
2030,sc01,04-10 16:00:00+02:00,N_108,N_109,eac1,-0.05775133150272316
2030,sc01,04-10 16:00:00+02:00,N_107,N_108,cac2,0.0
2030,sc01,04-10 16:00:00+02:00,N_107,N_108,cac1,0.0
2030,sc01,04-10 16:00:00+02:00,N_113,N_123,cac2,0.0
2030,sc01,04-10 16:00:00+02:00,N_110,N_111,eac1,-0.06765685536919297
2030,sc01,04-10 16:00:00+02:00,N_107,N_108,cac3,0.0
2030,sc01,04-10 16:00:00+02:00,N_113,N_123,cac3,0.0
2030,sc01,04-10 16:00:00+02:00,N_117,N_118,eac1,-0.05968759690592651
2030,sc01,04-10 16:00:00+02:00,N_118,N_121,cac2,-0.09342441997820194
2030,sc01,04-10 16:00:00+02:00,N_113,N_123,cac1,0.0
2030,sc01,04-10 16:00:00+02:00,N_109,N_111,cac2,-0.04058369307539855
2030,sc01,04-10 16:00:00+02:00,N_115,N_116,cac2,0.0
2030,sc01,04-10 16:00:00+02:00,N_109,N_111,cac3,0.0
2030,sc01,04-10 16:00:00+02:00,N_118,N_121,cac1,0.0
2030,sc01,04-10 16:00:00+02:00,N_118,N_121,cac3,-0.18684883995640256
2030,sc01,04-10 16:00:00+02:00,N_107,N_108,eac1,-0.058346502329999994
2030,sc01,04-10 16:00:00+02:00,N_113,N_123,eac1,-0.028243823052399947
2030,sc01,04-10 16:00:00+02:00,N_102,N_104,eac1,0.019783476045544146
2030,sc01,04-10 16:00:00+02:00,N_117,N_122,cac2,0.0
2030,sc01,04-10 16:00:00+02:00,N_109,N_111,cac1,0.0
2030,sc01,04-10 16:00:00+02:00,N_108,N_110,eac1,-0.03368152992209131
2030,sc01,04-10 16:00:00+02:00,N_115,N_116,cac1,-0.05514922092215435
2030,sc01,04-10 16:00:00+02:00,N_115,N_116,cac3,0.0
2030,sc01,04-10 16:00:00+02:00,N_117,N_122,cac3,0.0
2030,sc01,04-10 16:00:00+02:00,N_118,N_121,eac1,-0.04671220998910097
2030,sc01,04-10 16:00:00+02:00,N_101,N_103,eac1,0.010845906301876485
2030,sc01,04-10 16:00:00+02:00,N_101,N_105,eac1,0.07795725533076384
2030,sc01,04-10 16:00:00+02:00,N_117,N_122,cac1,0.0
2030,sc01,04-10 16:00:00+02:00,N_115,N_121,eac1,-0.10920857412388547
2030,sc01,04-10 16:00:00+02:00,N_116,N_119,eac1,0.17122749143332594
2030,sc01,04-10 16:00:00+02:00,N_101,N_102,eac1,0.04438546035735966
2030,sc01,04-10 16:00:00+02:00,N_115,N_116,eac1,-0.05514922092215435
2030,sc01,04-10 16:00:00+02:00,N_109,N_111,eac1,-0.020291846537699276
2030,sc01,04-10 16:00:00+02:00,N_117,N_122,eac1,-0.30050620912240944
2030,sc01,04-10 16:00:00+02:00,N_120,N_123,eac1,0.06699493767332587
2030,sc01,04-10 16:00:00+02:00,N_106,N_108,cac2,0.0
2030,sc01,04-10 16:00:00+02:00,N_106,N_108,cac3,0.0
2030,sc01,04-10 16:00:00+02:00,N_102,N_106,eac1,0.06572509849181554
2030,sc01,04-10 16:00:00+02:00,N_106,N_108,cac1,0.04673165610518554
2030,sc01,04-10 16:00:00+02:00,N_105,N_110,eac1,0.044816442000763845
2030,sc01,04-10 16:00:00+02:00,N_106,N_110,eac1,-0.04448755215337
2030,sc01,04-10 16:00:00+02:00,N_116,N_117,cac2,0.0
2030,sc01,04-10 16:00:00+02:00,N_116,N_117,cac3,-0.3595043978307426
2030,sc01,06-16 23:00:00+02:00,N_104,N_109,eac1,-0.0584667973545378
2030,sc01,06-16 23:00:00+02:00,N_116,N_117,cac1,-0.13819591003243414
2030,sc01,06-16 23:00:00+02:00,N_111,N_114,eac1,-0.2545962082384916
2030,sc01,06-16 23:00:00+02:00,N_103,N_124,cac2,0.0
2030,sc01,06-16 23:00:00+02:00,N_110,N_112,eac1,-0.058834847796669254
2030,sc01,06-16 23:00:00+02:00,N_103,N_124,cac1,0.0
2030,sc01,06-16 23:00:00+02:00,N_103,N_124,cac3,0.0
2030,sc01,06-16 23:00:00+02:00,N_116,N_117,eac1,-0.13819591003243414
2030,sc01,06-16 23:00:00+02:00,N_115,N_124,eac1,0.17500000000000002
2030,sc01,06-16 23:00:00+02:00,N_112,N_113,eac1,0.003236404279625904
2030,sc01,06-16 23:00:00+02:00,N_109,N_112,eac1,-0.011566082806188815
2030,sc01,06-16 23:00:00+02:00,N_121,N_122,eac1,-0.4497108001291542
2030,sc01,06-16 23:00:00+02:00,N_112,N_123,eac1,-0.073637334882484
2030,sc01,06-16 23:00:00+02:00,N_103,N_124,eac1,-0.17500000000000002
2030,sc01,06-16 23:00:00+02:00,N_119,N_120,eac1,0.22467917699425455
2030,sc01,06-16 23:00:00+02:00,N_111,N_113,eac1,0.05151077824860362
2030,sc01,06-16 23:00:00+02:00,N_117,N_118,cac2,-0.2502431301618788
2030,sc01,06-16 23:00:00+02:00,N_117,N_118,cac1,-0.12512156508093986
2030,sc01,06-16 23:00:00+02:00,N_117,N_118,cac3,0.0
2030,sc01,06-16 23:00:00+02:00,N_114,N_116,eac1,-0.3561816300384916
2030,sc01,06-16 23:00:00+02:00,N_103,N_109,eac1,0.026266353182456265
2030,sc01,06-16 23:00:00+02:00,N_108,N_109,eac1,-0.00459180325366304
2030,sc01,06-16 23:00:00+02:00,N_107,N_108,cac2,0.0
2030,sc01,06-16 23:00:00+02:00,N_107,N_108,cac1,0.0
2030,sc01,06-16 23:00:00+02:00,N_113,N_123,cac2,0.0
2030,sc01,06-16 23:00:00+02:00,N_110,N_111,eac1,-0.08622293124033237
2030,sc01,06-16 23:00:00+02:00,N_107,N_108,cac3,0.0
2030,sc01,06-16 23:00:00+02:00,N_113,N_123,cac3,0.0
2030,sc01,06-16 23:00:00+02:00,N_117,N_118,eac1,-0.12512156508093986
2030,sc01,06-16 23:00:00+02:00,N_118,N_121,cac2,-0.17906022860832982
2030,sc01,06-16 23:00:00+02:00,N_113,N_123,cac1,0.0
2030,sc01,06-16 23:00:00+02:00,N_109,N_111,cac2,-0.07790833249970386
2030,sc01,06-16 23:00:00+02:00,N_115,N_116,cac2,0.0
2030,sc01,06-16 23:00:00+02:00,N_109,N_111,cac3,0.0
2030,sc01,06-16 23:00:00+02:00,N_118,N_121,cac1,0.0
2030,sc01,06-16 23:00:00+02:00,N_118,N_121,cac3,-0.35812045721665875
2030,sc01,06-16 23:00:00+02:00,N_107,N_108,eac1,0.17500000000000002
2030,sc01,06-16 23:00:00+02:00,N_113,N_123,eac1,-0.08401640917177053
2030,sc01,06-16 23:00:00+02:00,N_102,N_104,eac1,-0.019717718944537804
2030,sc01,06-16 23:00:00+02:00,N_117,N_122,cac2,0.0
2030,sc01,06-16 23:00:00+02:00,N_109,N_111,cac1,0.0
2030,sc01,06-16 23:00:00+02:00,N_108,N_110,eac1,0.01942908943380703
2030,sc01,06-16 23:00:00+02:00,N_115,N_116,cac1,-0.05058644118592803
2030,sc01,06-16 23:00:00+02:00,N_115,N_116,cac3,0.0
2030,sc01,06-16 23:00:00+02:00,N_117,N_122,cac3,0.0
2030,sc01,06-16 23:00:00+02:00,N_118,N_121,eac1,-0.08953011430416491
2030,sc01,06-16 23:00:00+02:00,N_101,N_103,eac1,-0.054479131737543735
2030,sc01,06-16 23:00:00+02:00,N_101,N_105,eac1,-0.006548696849343949
2030,sc01,06-16 23:00:00+02:00,N_117,N_122,cac1,0.0
2030,sc01,06-16 23:00:00+02:00,N_115,N_121,eac1,-0.17500000000000002
2030,sc01,06-16 23:00:00+02:00,N_116,N_119,eac1,0.31945732829425455
2030,sc01,06-16 23:00:00+02:00,N_101,N_102,eac1,0.013017646164141444
2030,sc01,06-16 23:00:00+02:00,N_115,N_116,eac1,-0.05058644118592803
2030,sc01,06-16 23:00:00+02:00,N_109,N_111,eac1,-0.03895416624985193
2030,sc01,06-16 23:00:00+02:00,N_117,N_122,eac1,-0.32868919987084577
2030,sc01,06-16 23:00:00+02:00,N_120,N_123,eac1,0.15765374405425447
2030,sc01,06-16 23:00:00+02:00,N_106,N_108,cac2,0.0
2030,sc01,06-16 23:00:00+02:00,N_106,N_108,cac3,0.0
2030,sc01,06-16 23:00:00+02:00,N_102,N_106,eac1,-0.018057345801320762
2030,sc01,06-16 23:00:00+02:00,N_106,N_108,cac1,-0.07062092450985602
2030,sc01,06-16 23:00:00+02:00,N_105,N_110,eac1,-0.043726866679343945
2030,sc01,06-16 23:00:00+02:00,N_106,N_110,eac1,-0.01865094379146473
2030,sc01,06-16 23:00:00+02:00,N_116,N_117,cac2,0.0
2030,sc01,06-16 23:00:00+02:00,N_116,N_117,cac3,-0.5527836401297366
2030,sc01,07-17 18:00:00+02:00,N_104,N_109,eac1,-0.03515358801423682
2030,sc01,07-17 18:00:00+02:00,N_116,N_117,cac1,-0.05387924888068163
2030,sc01,07-17 18:00:00+02:00,N_111,N_114,eac1,-0.059741699952256644
2030,sc01,07-17 18:00:00+02:00,N_103,N_124,cac2,0.0
2030,sc01,07-17 18:00:00+02:00,N_110,N_112,eac1,-0.14997654363249796
2030,sc01,07-17 18:00:00+02:00,N_103,N_124,cac1,0.0
2030,sc01,07-17 18:00:00+02:00,N_103,N_124,cac3,0.0
2030,sc01,07-17 18:00:00+02:00,N_116,N_117,eac1,-0.05387924888068163
2030,sc01,07-17 18:00:00+02:00,N_115,N_124,eac1,0.14058599013566306
2030,sc01,07-17 18:00:00+02:00,N_112,N_113,eac1,-0.0466806722689076
2030,sc01,07-17 18:00:00+02:00,N_109,N_112,eac1,-0.11670412863640961
2030,sc01,07-17 18:00:00+02:00,N_121,N_122,eac1,-0.013482055854135977
2030,sc01,07-17 18:00:00+02:00,N_112,N_123,eac1,-0.22
2030,sc01,07-17 18:00:00+02:00,N_103,N_124,eac1,-0.14058599013566309
2030,sc01,07-17 18:00:00+02:00,N_119,N_120,eac1,-0.18898554908791987
2030,sc01,07-17 18:00:00+02:00,N_111,N_113,eac1,-0.16709125979787298
2030,sc01,07-17 18:00:00+02:00,N_117,N_118,cac2,-0.147178774569112
2030,sc01,07-17 18:00:00+02:00,N_117,N_118,cac1,-0.07358938728455722
2030,sc01,07-17 18:00:00+02:00,N_117,N_118,cac3,0.0
2030,sc01,07-17 18:00:00+02:00,N_114,N_116,eac1,-0.2569255174522566
2030,sc01,07-17 18:00:00+02:00,N_103,N_109,eac1,-0.02298211088177135
2030,sc01,07-17 18:00:00+02:00,N_108,N_109,eac1,-0.025866838005932508
2030,sc01,07-17 18:00:00+02:00,N_107,N_108,cac2,0.0
2030,sc01,07-17 18:00:00+02:00,N_107,N_108,cac1,0.0
2030,sc01,07-17 18:00:00+02:00,N_113,N_123,cac2,0.0
2030,sc01,07-17 18:00:00+02:00,N_110,N_111,eac1,-0.08166255118459864
2030,sc01,07-17 18:00:00+02:00,N_107,N_108,cac3,0.0
2030,sc01,07-17 18:00:00+02:00,N_113,N_123,cac3,0.0
2030,sc01,07-17 18:00:00+02:00,N_117,N_118,eac1,-0.07358938728455722
2030,sc01,07-17 18:00:00+02:00,N_118,N_121,cac2,-0.08272501581092173
2030,sc01,07-17 18:00:00+02:00,N_113,N_123,cac1,0.0
2030,sc01,07-17 18:00:00+02:00,N_109,N_111,cac2,-0.09678027237702058
2030,sc01,07-17 18:00:00+02:00,N_115,N_116,cac2,0.0
2030,sc01,07-17 18:00:00+02:00,N_109,N_111,cac3,0.0
2030,sc01,07-17 18:00:00+02:00,N_118,N_121,cac1,0.0
2030,sc01,07-17 18:00:00+02:00,N_118,N_121,cac3,-0.16545003162184369
2030,sc01,07-17 18:00:00+02:00,N_107,N_108,eac1,0.17500000000000002
2030,sc01,07-17 18:00:00+02:00,N_113,N_123,eac1,-0.22
2030,sc01,07-17 18:00:00+02:00,N_102,N_104,eac1,0.040060857805763156
2030,sc01,07-17 18:00:00+02:00,N_117,N_122,cac2,0.0
2030,sc01,07-17 18:00:00+02:00,N_109,N_111,cac1,0.0
2030,sc01,07-17 18:00:00+02:00,N_108,N_110,eac1,-0.008958566545170493
2030,sc01,07-17 18:00:00+02:00,N_115,N_116,cac1,-0.011261956509876658
2030,sc01,07-17 18:00:00+02:00,N_115,N_116,cac3,0.0
2030,sc01,07-17 18:00:00+02:00,N_117,N_122,cac3,0.0
2030,sc01,07-17 18:00:00+02:00,N_118,N_121,eac1,-0.041362507905460866
2030,sc01,07-17 18:00:00+02:00,N_101,N_103,eac1,0.0193859563825656
2030,sc01,07-17 18:00:00+02:00,N_101,N_105,eac1,0.06089807054525967
2030,sc01,07-17 18:00:00+02:00,N_117,N_122,cac1,0.0
2030,sc01,07-17 18:00:00+02:00,N_115,N_121,eac1,-0.07594450051590983
2030,sc01,07-17 18:00:00+02:00,N_116,N_119,eac1,-0.005015080187919907
2030,sc01,07-17 18:00:00+02:00,N_101,N_102,eac1,-0.005096461427825272
2030,sc01,07-17 18:00:00+02:00,N_115,N_116,eac1,-0.011261956509876658
2030,sc01,07-17 18:00:00+02:00,N_109,N_111,eac1,-0.04839013618851029
2030,sc01,07-17 18:00:00+02:00,N_117,N_122,eac1,-0.028917944145864016
2030,sc01,07-17 18:00:00+02:00,N_120,N_123,eac1,-0.3190862121879199
2030,sc01,07-17 18:00:00+02:00,N_106,N_108,cac2,0.0
2030,sc01,07-17 18:00:00+02:00,N_106,N_108,cac3,0.0
2030,sc01,07-17 18:00:00+02:00,N_102,N_106,eac1,0.041210772056411576
2030,sc01,07-17 18:00:00+02:00,N_106,N_108,cac1,-0.03601905005110298
2030,sc01,07-17 18:00:00+02:00,N_105,N_110,eac1,-0.011267140994740327
2030,sc01,07-17 18:00:00+02:00,N_106,N_110,eac1,-0.06100213239248545
2030,sc01,07-17 18:00:00+02:00,N_116,N_117,cac2,0.0
2030,sc01,07-17 18:00:00+02:00,N_116,N_117,cac3,-0.21551699552272696
2030,sc01,07-18 18:00:00+02:00,N_104,N_109,eac1,-0.045643027428592914
2030,sc01,07-18 18:00:00+02:00,N_116,N_117,cac1,-0.12263490441666658
2030,sc01,07-18 18:00:00+02:00,N_111,N_114,eac1,-0.1544108991273434
2030,sc01,07-18 18:00:00+02:00,N_103,N_124,cac2,0.0
2030,sc01,07-18 18:00:00+02:00,N_110,N_112,eac1,-0.1588942374231022
2030,sc01,07-18 18:00:00+02:00,N_103,N_124,cac1,0.0
2030,sc01,07-18 18:00:00+02:00,N_103,N_124,cac3,0.0
2030,sc01,07-18 18:00:00+02:00,N_116,N_117,eac1,-0.12263490441666658
2030,sc01,07-18 18:00:00+02:00,N_115,N_124,eac1,0.17500000000000002
2030,sc01,07-18 18:00:00+02:00,N_112,N_113,eac1,-0.04192114214376563
2030,sc01,07-18 18:00:00+02:00,N_109,N_112,eac1,-0.10068162900682537
2030,sc01,07-18 18:00:00+02:00,N_121,N_122,eac1,-0.3153886145487804
2030,sc01,07-18 18:00:00+02:00,N_112,N_123,eac1,-0.21765472428616192
2030,sc01,07-18 18:00:00+02:00,N_103,N_124,eac1,-0.17500000000000002
2030,sc01,07-18 18:00:00+02:00,N_119,N_120,eac1,-0.07364167882953904
2030,sc01,07-18 18:00:00+02:00,N_111,N_113,eac1,-0.12285637465623434
2030,sc01,07-18 18:00:00+02:00,N_117,N_118,cac2,-0.24919902052439058
2030,sc01,07-18 18:00:00+02:00,N_117,N_118,cac1,-0.12459951026219507
2030,sc01,07-18 18:00:00+02:00,N_117,N_118,cac3,0.0
2030,sc01,07-18 18:00:00+02:00,N_114,N_116,eac1,-0.3509017736273434
2030,sc01,07-18 18:00:00+02:00,N_103,N_109,eac1,-0.0071307476495503785
2030,sc01,07-18 18:00:00+02:00,N_108,N_109,eac1,-0.03495192995415758
2030,sc01,07-18 18:00:00+02:00,N_107,N_108,cac2,0.0
2030,sc01,07-18 18:00:00+02:00,N_107,N_108,cac1,0.0
2030,sc01,07-18 18:00:00+02:00,N_113,N_123,cac2,0.0
2030,sc01,07-18 18:00:00+02:00,N_110,N_111,eac1,-0.11297627475810212
2030,sc01,07-18 18:00:00+02:00,N_107,N_108,cac3,0.0
2030,sc01,07-18 18:00:00+02:00,N_113,N_123,cac3,0.0
2030,sc01,07-18 18:00:00+02:00,N_117,N_118,eac1,-0.12459951026219507
2030,sc01,07-18 18:00:00+02:00,N_118,N_121,cac2,-0.14068246129965112
2030,sc01,07-18 18:00:00+02:00,N_113,N_123,cac1,0.0
2030,sc01,07-18 18:00:00+02:00,N_109,N_111,cac2,-0.10952733268365045
2030,sc01,07-18 18:00:00+02:00,N_115,N_116,cac2,0.0
2030,sc01,07-18 18:00:00+02:00,N_109,N_111,cac3,0.0
2030,sc01,07-18 18:00:00+02:00,N_118,N_121,cac1,0.0
2030,sc01,07-18 18:00:00+02:00,N_118,N_121,cac3,-0.28136492259930357
2030,sc01,07-18 18:00:00+02:00,N_107,N_108,eac1,0.17500000000000002
2030,sc01,07-18 18:00:00+02:00,N_113,N_123,eac1,-0.22
2030,sc01,07-18 18:00:00+02:00,N_102,N_104,eac1,0.02930709999140707
2030,sc01,07-18 18:00:00+02:00,N_117,N_122,cac2,0.0
2030,sc01,07-18 18:00:00+02:00,N_109,N_111,cac1,0.0
2030,sc01,07-18 18:00:00+02:00,N_108,N_110,eac1,-0.005369629250792124
2030,sc01,07-18 18:00:00+02:00,N_115,N_116,cac1,-0.10304538462440693
2030,sc01,07-18 18:00:00+02:00,N_115,N_116,cac3,0.0
2030,sc01,07-18 18:00:00+02:00,N_117,N_122,cac3,0.0
2030,sc01,07-18 18:00:00+02:00,N_118,N_121,eac1,-0.07034123064982556
2030,sc01,07-18 18:00:00+02:00,N_101,N_103,eac1,0.00018037315044960867
2030,sc01,07-18 18:00:00+02:00,N_101,N_105,eac1,0.060320420931401025
2030,sc01,07-18 18:00:00+02:00,N_117,N_122,cac1,0.0
2030,sc01,07-18 18:00:00+02:00,N_115,N_121,eac1,-0.17500000000000002
2030,sc01,07-18 18:00:00+02:00,N_116,N_119,eac1,0.109682281570461
2030,sc01,07-18 18:00:00+02:00,N_101,N_102,eac1,0.015072533418149348
2030,sc01,07-18 18:00:00+02:00,N_115,N_116,eac1,-0.10304538462440693
2030,sc01,07-18 18:00:00+02:00,N_109,N_111,eac1,-0.05476366634182522
2030,sc01,07-18 18:00:00+02:00,N_117,N_122,eac1,-0.23741138545121954
2030,sc01,07-18 18:00:00+02:00,N_120,N_123,eac1,-0.20328514252953905
2030,sc01,07-18 18:00:00+02:00,N_106,N_108,cac2,0.0
2030,sc01,07-18 18:00:00+02:00,N_106,N_108,cac3,0.0
2030,sc01,07-18 18:00:00+02:00,N_102,N_106,eac1,0.038214204773237115
2030,sc01,07-18 18:00:00+02:00,N_106,N_108,cac1,-0.04212599440494971
2030,sc01,07-18 18:00:00+02:00,N_105,N_110,eac1,-0.011591187808598968
2030,sc01,07-18 18:00:00+02:00,N_106,N_110,eac1,-0.05740598092181318
2030,sc01,07-18 18:00:00+02:00,N_116,N_117,cac2,0.0
2030,sc01,07-18 18:00:00+02:00,N_116,N_117,cac3,-0.4905396176666672
2030,sc01,07-20 23:00:00+02:00,N_104,N_109,eac1,-0.07813211810993913
2030,sc01,07-20 23:00:00+02:00,N_116,N_117,cac1,-0.09964180597929106
2030,sc01,07-20 23:00:00+02:00,N_111,N_114,eac1,-0.19941367755996975
2030,sc01,07-20 23:00:00+02:00,N_103,N_124,cac2,0.0
2030,sc01,07-20 23:00:00+02:00,N_110,N_112,eac1,-0.12613315447035378
2030,sc01,07-20 23:00:00+02:00,N_103,N_124,cac1,0.0
2030,sc01,07-20 23:00:00+02:00,N_103,N_124,cac3,0.0
2030,sc01,07-20 23:00:00+02:00,N_116,N_117,eac1,-0.09964180597929106
2030,sc01,07-20 23:00:00+02:00,N_115,N_124,eac1,0.17500000000000002
2030,sc01,07-20 23:00:00+02:00,N_112,N_113,eac1,-0.00036016192002724656
2030,sc01,07-20 23:00:00+02:00,N_109,N_112,eac1,-0.07140240814732657
