Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-16 18:00:00+01:00,Nuclear,0.26915139877028094
2030,sc01,01-16 18:00:00+01:00,Coal,0.5172620380071334
2030,sc01,01-16 18:00:00+01:00,Battery,0.0
2030,sc01,01-16 18:00:00+01:00,Gas,11.328404999999998
2030,sc01,01-16 18:00:00+01:00,Oil,0.0
2030,sc01,01-16 18:00:00+01:00,Solar,0.0
2030,sc01,01-16 18:00:00+01:00,Hydro,0.0
2030,sc01,01-16 18:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-16 18:00:00+01:00,Wind,39.55189343901262
2030,sc01,01-17 18:00:00+01:00,Nuclear,0.0
2030,sc01,01-17 18:00:00+01:00,Coal,0.0
2030,sc01,01-17 18:00:00+01:00,Battery,0.0
2030,sc01,01-17 18:00:00+01:00,Gas,13.371334761919195
2030,sc01,01-17 18:00:00+01:00,Oil,0.0
2030,sc01,01-17 18:00:00+01:00,Solar,0.0
2030,sc01,01-17 18:00:00+01:00,Hydro,0.0
2030,sc01,01-17 18:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-17 18:00:00+01:00,Wind,57.40210465600097
2030,sc01,01-18 13:00:00+01:00,Nuclear,0.0
2030,sc01,01-18 13:00:00+01:00,Coal,0.0
2030,sc01,01-18 13:00:00+01:00,Battery,0.0
2030,sc01,01-18 13:00:00+01:00,Gas,0.0
2030,sc01,01-18 13:00:00+01:00,Oil,0.0
2030,sc01,01-18 13:00:00+01:00,Solar,372.7059914307503
2030,sc01,01-18 13:00:00+01:00,Hydro,0.0
2030,sc01,01-18 13:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-18 13:00:00+01:00,Wind,0.0
2030,sc01,01-22 03:00:00+01:00,Nuclear,0.0
2030,sc01,01-22 03:00:00+01:00,Coal,0.0
2030,sc01,01-22 03:00:00+01:00,Battery,0.0
2030,sc01,01-22 03:00:00+01:00,Gas,2.1512052827289825
2030,sc01,01-22 03:00:00+01:00,Oil,0.0
2030,sc01,01-22 03:00:00+01:00,Solar,0.0
2030,sc01,01-22 03:00:00+01:00,Hydro,0.0
2030,sc01,01-22 03:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-22 03:00:00+01:00,Wind,216.1670690493519
2030,sc01,01-23 07:00:00+01:00,Nuclear,0.0
2030,sc01,01-23 07:00:00+01:00,Coal,0.0
2030,sc01,01-23 07:00:00+01:00,Battery,0.0
2030,sc01,01-23 07:00:00+01:00,Gas,0.0
2030,sc01,01-23 07:00:00+01:00,Oil,0.0
2030,sc01,01-23 07:00:00+01:00,Solar,6.5696
2030,sc01,01-23 07:00:00+01:00,Hydro,0.0
2030,sc01,01-23 07:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-23 07:00:00+01:00,Wind,6.353084070560001
2030,sc01,01-25 04:00:00+01:00,Nuclear,0.0
2030,sc01,01-25 04:00:00+01:00,Coal,0.0
2030,sc01,01-25 04:00:00+01:00,Battery,0.0
2030,sc01,01-25 04:00:00+01:00,Gas,10.64632867408006
2030,sc01,01-25 04:00:00+01:00,Oil,0.0
2030,sc01,01-25 04:00:00+01:00,Solar,0.0
2030,sc01,01-25 04:00:00+01:00,Hydro,0.0
2030,sc01,01-25 04:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-25 04:00:00+01:00,Wind,91.97369259722002
2030,sc01,01-25 22:00:00+01:00,Nuclear,0.0
2030,sc01,01-25 22:00:00+01:00,Coal,0.0
2030,sc01,01-25 22:00:00+01:00,Battery,0.0
2030,sc01,01-25 22:00:00+01:00,Gas,9.709339968055064
2030,sc01,01-25 22:00:00+01:00,Oil,0.0
2030,sc01,01-25 22:00:00+01:00,Solar,0.0
2030,sc01,01-25 22:00:00+01:00,Hydro,0.0
2030,sc01,01-25 22:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-25 22:00:00+01:00,Wind,141.69690828396563
2030,sc01,01-30 19:00:00+01:00,Nuclear,0.0
2030,sc01,01-30 19:00:00+01:00,Coal,0.0
2030,sc01,01-30 19:00:00+01:00,Battery,0.0
2030,sc01,01-30 19:00:00+01:00,Gas,13.891117569259558
2030,sc01,01-30 19:00:00+01:00,Oil,0.0
2030,sc01,01-30 19:00:00+01:00,Solar,0.0
2030,sc01,01-30 19:00:00+01:00,Hydro,0.0
2030,sc01,01-30 19:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-30 19:00:00+01:00,Wind,71.54616407494063
2030,sc01,02-07 18:00:00+01:00,Nuclear,2.291814554744256
2030,sc01,02-07 18:00:00+01:00,Coal,0.0
2030,sc01,02-07 18:00:00+01:00,Battery,0.0
2030,sc01,02-07 18:00:00+01:00,Gas,8.370379024935756
2030,sc01,02-07 18:00:00+01:00,Oil,0.0
2030,sc01,02-07 18:00:00+01:00,Solar,0.0
2030,sc01,02-07 18:00:00+01:00,Hydro,0.0
2030,sc01,02-07 18:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-07 18:00:00+01:00,Wind,39.4128
2030,sc01,02-08 17:00:00+01:00,Nuclear,25.344
2030,sc01,02-08 17:00:00+01:00,Coal,21.043218594960145
2030,sc01,02-08 17:00:00+01:00,Battery,0.0
2030,sc01,02-08 17:00:00+01:00,Gas,49.43303999999999
2030,sc01,02-08 17:00:00+01:00,Oil,0.0
2030,sc01,02-08 17:00:00+01:00,Solar,0.0
2030,sc01,02-08 17:00:00+01:00,Hydro,0.0
2030,sc01,02-08 17:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-08 17:00:00+01:00,Wind,0.5184000000000001
2030,sc01,02-17 01:00:00+01:00,Nuclear,22.528000000000002
2030,sc01,02-17 01:00:00+01:00,Coal,3.6817830476801054
2030,sc01,02-17 01:00:00+01:00,Battery,0.0
2030,sc01,02-17 01:00:00+01:00,Gas,43.940479999999994
2030,sc01,02-17 01:00:00+01:00,Oil,0.0
2030,sc01,02-17 01:00:00+01:00,Solar,0.0
2030,sc01,02-17 01:00:00+01:00,Hydro,0.0
2030,sc01,02-17 01:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-17 01:00:00+01:00,Wind,2.6624000000000003
2030,sc01,02-20 05:00:00+01:00,Nuclear,0.6566562035246892
2030,sc01,02-20 05:00:00+01:00,Coal,2.062649406692788
2030,sc01,02-20 05:00:00+01:00,Battery,0.0
2030,sc01,02-20 05:00:00+01:00,Gas,7.895554999999999
2030,sc01,02-20 05:00:00+01:00,Oil,0.0
2030,sc01,02-20 05:00:00+01:00,Solar,0.0
2030,sc01,02-20 05:00:00+01:00,Hydro,0.0
2030,sc01,02-20 05:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-20 05:00:00+01:00,Wind,27.64297847447257
2030,sc01,02-21 09:00:00+01:00,Nuclear,0.0
2030,sc01,02-21 09:00:00+01:00,Coal,0.0
2030,sc01,02-21 09:00:00+01:00,Battery,0.0
2030,sc01,02-21 09:00:00+01:00,Gas,0.0
2030,sc01,02-21 09:00:00+01:00,Oil,0.0
2030,sc01,02-21 09:00:00+01:00,Solar,414.96328231566025
2030,sc01,02-21 09:00:00+01:00,Hydro,0.0
2030,sc01,02-21 09:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-21 09:00:00+01:00,Wind,0.0
2030,sc01,02-24 05:00:00+01:00,Nuclear,7.463785357730031
2030,sc01,02-24 05:00:00+01:00,Coal,0.0
2030,sc01,02-24 05:00:00+01:00,Battery,0.0
2030,sc01,02-24 05:00:00+01:00,Gas,13.050146702740083
2030,sc01,02-24 05:00:00+01:00,Oil,0.0
2030,sc01,02-24 05:00:00+01:00,Solar,0.0
2030,sc01,02-24 05:00:00+01:00,Hydro,0.0
2030,sc01,02-24 05:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-24 05:00:00+01:00,Wind,49.449600000000004
2030,sc01,03-03 03:00:00+01:00,Nuclear,16.98057663525025
2030,sc01,03-03 03:00:00+01:00,Coal,0.0
2030,sc01,03-03 03:00:00+01:00,Battery,0.0
2030,sc01,03-03 03:00:00+01:00,Gas,0.0
2030,sc01,03-03 03:00:00+01:00,Oil,0.0
2030,sc01,03-03 03:00:00+01:00,Solar,0.0
2030,sc01,03-03 03:00:00+01:00,Hydro,0.0
2030,sc01,03-03 03:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-03 03:00:00+01:00,Wind,225.9
2030,sc01,03-10 18:00:00+01:00,Nuclear,0.0
2030,sc01,03-10 18:00:00+01:00,Coal,0.0
2030,sc01,03-10 18:00:00+01:00,Battery,0.0
2030,sc01,03-10 18:00:00+01:00,Gas,15.09175844473403
2030,sc01,03-10 18:00:00+01:00,Oil,0.0
2030,sc01,03-10 18:00:00+01:00,Solar,0.0
2030,sc01,03-10 18:00:00+01:00,Hydro,0.0
2030,sc01,03-10 18:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-10 18:00:00+01:00,Wind,65.75645561891622
2030,sc01,03-12 16:00:00+01:00,Nuclear,21.12
2030,sc01,03-12 16:00:00+01:00,Coal,0.0
2030,sc01,03-12 16:00:00+01:00,Battery,0.0
2030,sc01,03-12 16:00:00+01:00,Gas,4.1261619155999565
2030,sc01,03-12 16:00:00+01:00,Oil,0.0
2030,sc01,03-12 16:00:00+01:00,Solar,28.535999999999994
2030,sc01,03-12 16:00:00+01:00,Hydro,0.0
2030,sc01,03-12 16:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-12 16:00:00+01:00,Wind,24.912
2030,sc01,03-13 16:00:00+01:00,Nuclear,0.0
2030,sc01,03-13 16:00:00+01:00,Coal,0.0
2030,sc01,03-13 16:00:00+01:00,Battery,0.0
2030,sc01,03-13 16:00:00+01:00,Gas,0.0
2030,sc01,03-13 16:00:00+01:00,Oil,0.0
2030,sc01,03-13 16:00:00+01:00,Solar,6.329600000000003
2030,sc01,03-13 16:00:00+01:00,Hydro,0.0
2030,sc01,03-13 16:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-13 16:00:00+01:00,Wind,24.183016832580083
2030,sc01,03-14 04:00:00+01:00,Nuclear,20.51821177929541
2030,sc01,03-14 04:00:00+01:00,Coal,0.0
2030,sc01,03-14 04:00:00+01:00,Battery,0.0
2030,sc01,03-14 04:00:00+01:00,Gas,14.0796279925747
2030,sc01,03-14 04:00:00+01:00,Oil,0.0
2030,sc01,03-14 04:00:00+01:00,Solar,0.0
2030,sc01,03-14 04:00:00+01:00,Hydro,0.0
2030,sc01,03-14 04:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-14 04:00:00+01:00,Wind,38.8928
2030,sc01,03-18 20:00:00+01:00,Nuclear,32.384
2030,sc01,03-18 20:00:00+01:00,Coal,29.648816619120023
2030,sc01,03-18 20:00:00+01:00,Battery,0.0
2030,sc01,03-18 20:00:00+01:00,Gas,63.16443999999999
2030,sc01,03-18 20:00:00+01:00,Oil,0.0
2030,sc01,03-18 20:00:00+01:00,Solar,0.0
2030,sc01,03-18 20:00:00+01:00,Hydro,0.0
2030,sc01,03-18 20:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-18 20:00:00+01:00,Wind,0.0
2030,sc01,03-27 04:00:00+01:00,Nuclear,0.0
2030,sc01,03-27 04:00:00+01:00,Coal,0.0
