Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-03 19:00:00+01:00,Oil,0.0
2030,sc01,01-03 19:00:00+01:00,Hydro,0.0
2030,sc01,01-03 19:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-03 19:00:00+01:00,Nuclear,0.0
2030,sc01,01-03 19:00:00+01:00,Gas,0.8372485920000001
2030,sc01,01-03 19:00:00+01:00,Wind,0.9002724036146432
2030,sc01,01-03 19:00:00+01:00,Solar,4.407616351163999
2030,sc01,01-03 19:00:00+01:00,Coal,0.17722625060135694
2030,sc01,01-03 19:00:00+01:00,Battery,0.0
2030,sc01,01-04 17:00:00+01:00,Oil,0.0
2030,sc01,01-04 17:00:00+01:00,Hydro,0.0
2030,sc01,01-04 17:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-04 17:00:00+01:00,Nuclear,0.0
2030,sc01,01-04 17:00:00+01:00,Gas,1.3991018965372526
2030,sc01,01-04 17:00:00+01:00,Wind,1.8718045249656283
2030,sc01,01-04 17:00:00+01:00,Solar,6.05239911758
2030,sc01,01-04 17:00:00+01:00,Coal,1.553629221367116
2030,sc01,01-04 17:00:00+01:00,Battery,0.0
2030,sc01,01-08 08:00:00+01:00,Oil,0.0
2030,sc01,01-08 08:00:00+01:00,Hydro,0.0
2030,sc01,01-08 08:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-08 08:00:00+01:00,Nuclear,0.0
2030,sc01,01-08 08:00:00+01:00,Gas,1.1800733225294486
2030,sc01,01-08 08:00:00+01:00,Wind,3.3950392092120514
2030,sc01,01-08 08:00:00+01:00,Solar,0.25817036389000003
2030,sc01,01-08 08:00:00+01:00,Coal,6.645924562618499
2030,sc01,01-08 08:00:00+01:00,Battery,0.0
2030,sc01,01-08 09:00:00+01:00,Oil,0.0
2030,sc01,01-08 09:00:00+01:00,Hydro,0.0
2030,sc01,01-08 09:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-08 09:00:00+01:00,Nuclear,0.0
2030,sc01,01-08 09:00:00+01:00,Gas,2.11733319504
2030,sc01,01-08 09:00:00+01:00,Wind,5.2064560493080805
