Period,Scenario,LoadLevel,mEUR
2030,sc01,01-04 07:00:00+01:00,2161.3702184377594
2030,sc01,01-10 12:00:00+01:00,2653.282943683284
2030,sc01,01-12 09:00:00+01:00,85953.57482168675
2030,sc01,01-13 11:00:00+01:00,67844.98886250278
2030,sc01,01-15 14:00:00+01:00,46072.17486531664
2030,sc01,01-16 05:00:00+01:00,779.549692326503
2030,sc01,01-20 06:00:00+01:00,99.67564565618011
2030,sc01,01-24 19:00:00+01:00,25525.744904988005
2030,sc01,01-24 22:00:00+01:00,12565.206925312048
2030,sc01,01-25 19:00:00+01:00,17086.304987056155
2030,sc01,01-29 00:00:00+01:00,4360.014538783532
2030,sc01,01-29 01:00:00+01:00,3532.091193131963
2030,sc01,01-29 03:00:00+01:00,3361.8504407612554
2030,sc01,01-31 13:00:00+01:00,13856.46548182467
2030,sc01,02-01 07:00:00+01:00,28178.96218204179
2030,sc01,02-03 05:00:00+01:00,290.8863038902142
2030,sc01,02-05 19:00:00+01:00,7167.74336426021
2030,sc01,02-07 09:00:00+01:00,43002.82015772721
2030,sc01,02-09 00:00:00+01:00,1065.164365113599
2030,sc01,02-09 03:00:00+01:00,4557.686157183443
2030,sc01,02-09 20:00:00+01:00,1420.6528122579812
2030,sc01,02-09 21:00:00+01:00,1380.1348267296478
2030,sc01,02-12 10:00:00+01:00,113483.6492926136
2030,sc01,02-14 18:00:00+01:00,43091.8924440686
2030,sc01,02-21 22:00:00+01:00,2142.774186578607
2030,sc01,02-22 11:00:00+01:00,30704.19112425035
2030,sc01,02-24 03:00:00+01:00,1390.596499064883
2030,sc01,02-27 01:00:00+01:00,2600.405368872164
2030,sc01,03-02 06:00:00+01:00,955.828369627551
2030,sc01,03-03 02:00:00+01:00,1092.3418424400213
2030,sc01,03-05 05:00:00+01:00,1063.5439769977693
2030,sc01,03-05 19:00:00+01:00,14197.939912740654
2030,sc01,03-06 10:00:00+01:00,4386.223269414193
2030,sc01,03-06 22:00:00+01:00,6849.908357063268
2030,sc01,03-07 15:00:00+01:00,1396.4843409296873
2030,sc01,03-21 15:00:00+01:00,8962.591336557998
2030,sc01,03-23 01:00:00+01:00,1502.3961879323726
2030,sc01,03-23 19:00:00+01:00,56227.7754167016
2030,sc01,03-25 11:00:00+01:00,3007.1874733903132
2030,sc01,03-26 01:00:00+01:00,3025.39715529001
2030,sc01,03-26 06:00:00+01:00,5573.450771899497
2030,sc01,03-27 08:00:00+01:00,10156.799829695943
2030,sc01,03-27 14:00:00+01:00,3495.0328406689414
2030,sc01,03-28 14:00:00+01:00,2453.4806663048794
2030,sc01,03-29 08:00:00+01:00,7024.470011098887
2030,sc01,03-29 20:00:00+01:00,4017.6825246832123
