Period,Scenario,LoadLevel,Unit,GWh
2030,sc01,01-03 07:00:00+01:00,116_STEAM_1,0.0
2030,sc01,01-03 07:00:00+01:00,101_CT_2,0.0
2030,sc01,01-03 07:00:00+01:00,119_PV_1,0.00369288476
2030,sc01,01-03 07:00:00+01:00,118_RTPV_2,0.388
2030,sc01,01-03 07:00:00+01:00,113_CT_3,0.0
2030,sc01,01-03 07:00:00+01:00,101_PV_1,0.0021493778
2030,sc01,01-03 07:00:00+01:00,113_CT_4,0.0
2030,sc01,01-03 07:00:00+01:00,102_STEAM_3,0.0
2030,sc01,01-03 07:00:00+01:00,123_CT_5,0.0
2030,sc01,01-03 07:00:00+01:00,118_RTPV_3,0.376
2030,sc01,01-03 07:00:00+01:00,118_RTPV_8,0.448
2030,sc01,01-03 07:00:00+01:00,118_RTPV_10,0.18000000000000002
2030,sc01,01-03 07:00:00+01:00,113_PV_1,3.744
2030,sc01,01-03 07:00:00+01:00,121_NUCLEAR_1,0.0
2030,sc01,01-03 07:00:00+01:00,103_PV_1,2.46
2030,sc01,01-03 07:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-03 07:00:00+01:00,118_RTPV_4,0.364
2030,sc01,01-03 07:00:00+01:00,101_CT_1,0.0
2030,sc01,01-03 07:00:00+01:00,123_STEAM_2,0.0
2030,sc01,01-03 07:00:00+01:00,113_CT_2,0.0
2030,sc01,01-03 07:00:00+01:00,115_STEAM_3,0.0
2030,sc01,01-03 07:00:00+01:00,102_PV_2,1.012
2030,sc01,01-03 07:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-03 07:00:00+01:00,118_RTPV_7,0.4720000000000001
2030,sc01,01-03 07:00:00+01:00,122_WIND_1,4.557033097240008
2030,sc01,01-03 07:00:00+01:00,123_CT_1,0.0
2030,sc01,01-03 07:00:00+01:00,101_STEAM_4,0.0
2030,sc01,01-03 07:00:00+01:00,102_STEAM_4,0.0
2030,sc01,01-03 07:00:00+01:00,101_PV_3,0.00217427408
2030,sc01,01-03 07:00:00+01:00,123_STEAM_3,0.0
