Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-03 16:00:00+01:00,N_118,N_121,cac2,-0.17066195649010396
2030,sc01,01-03 16:00:00+01:00,N_117,N_122,eac1,-0.14608181413911403
2030,sc01,01-03 16:00:00+01:00,N_121,N_122,eac1,-0.162934816060886
2030,sc01,01-03 16:00:00+01:00,N_101,N_102,eac1,0.07811480179299704
2030,sc01,01-03 16:00:00+01:00,N_120,N_123,eac1,-0.023643975335169376
2030,sc01,01-03 16:00:00+01:00,N_103,N_109,eac1,0.026074729783945594
2030,sc01,01-03 16:00:00+01:00,N_102,N_106,eac1,0.015578932960755104
2030,sc01,01-03 16:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-03 16:00:00+01:00,N_115,N_116,eac1,-0.02072803484666319
2030,sc01,01-03 16:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-03 16:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-03 16:00:00+01:00,N_112,N_113,eac1,-0.005935896297545151
2030,sc01,01-03 16:00:00+01:00,N_117,N_118,eac1,-0.1475945946787358
2030,sc01,01-03 16:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-03 16:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-03 16:00:00+01:00,N_102,N_104,eac1,0.008975543572242062
2030,sc01,01-03 16:00:00+01:00,N_118,N_121,eac1,-0.08533097824505198
2030,sc01,01-03 16:00:00+01:00,N_118,N_121,cac1,-0.08533097824505198
2030,sc01,01-03 16:00:00+01:00,N_116,N_119,eac1,0.23664439467883058
2030,sc01,01-03 16:00:00+01:00,N_116,N_117,cac2,-0.2944327990876603
2030,sc01,01-03 16:00:00+01:00,N_118,N_121,cac3,0.0
2030,sc01,01-03 16:00:00+01:00,N_111,N_114,eac1,-0.24689695724982785
2030,sc01,01-03 16:00:00+01:00,N_107,N_108,eac1,0.17500000000000002
2030,sc01,01-03 16:00:00+01:00,N_104,N_109,eac1,-0.046441372919757945
2030,sc01,01-03 16:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-03 16:00:00+01:00,N_103,N_124,eac1,-0.17500000000000002
2030,sc01,01-03 16:00:00+01:00,N_114,N_116,eac1,-0.24689695724982785
2030,sc01,01-03 16:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-03 16:00:00+01:00,N_113,N_123,eac1,-0.16165302804467435
2030,sc01,01-03 16:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-03 16:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-03 16:00:00+01:00,N_106,N_110,eac1,-0.0654668697592449
2030,sc01,01-03 16:00:00+01:00,N_101,N_105,eac1,0.027062002203057434
2030,sc01,01-03 16:00:00+01:00,N_105,N_110,eac1,-0.024581358246942575
2030,sc01,01-03 16:00:00+01:00,N_115,N_121,eac1,-0.17361090308067578
2030,sc01,01-03 16:00:00+01:00,N_110,N_112,eac1,-0.09295140720847667
2030,sc01,01-03 16:00:00+01:00,N_110,N_111,eac1,-0.1193215960224337
2030,sc01,01-03 16:00:00+01:00,N_116,N_117,eac1,-0.14721639954383015
2030,sc01,01-03 16:00:00+01:00,N_116,N_117,cac1,-0.14721639954383015
2030,sc01,01-03 16:00:00+01:00,N_116,N_117,cac3,0.0
2030,sc01,01-03 16:00:00+01:00,N_112,N_123,eac1,-0.1476763518594977
2030,sc01,01-03 16:00:00+01:00,N_109,N_112,eac1,-0.060660840948566164
2030,sc01,01-03 16:00:00+01:00,N_109,N_111,eac1,-0.0870310297625232
2030,sc01,01-03 16:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-03 16:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-03 16:00:00+01:00,N_119,N_120,eac1,0.07362959727483065
2030,sc01,01-03 16:00:00+01:00,N_108,N_109,eac1,0.018530085224722936
2030,sc01,01-03 16:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,01-03 16:00:00+01:00,N_111,N_113,eac1,0.0405443314648708
2030,sc01,01-03 16:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-03 16:00:00+01:00,N_101,N_103,eac1,-0.02696906297605442
2030,sc01,01-03 16:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-03 16:00:00+01:00,N_108,N_110,eac1,0.03493940387527708
2030,sc01,01-03 16:00:00+01:00,N_117,N_118,cac2,-0.2951891893574716
2030,sc01,01-03 16:00:00+01:00,N_115,N_124,eac1,0.17500000000000002
2030,sc01,01-03 17:00:00+01:00,N_118,N_121,cac2,-0.12136465383495221
2030,sc01,01-03 17:00:00+01:00,N_117,N_122,eac1,-0.18080204592569715
2030,sc01,01-03 17:00:00+01:00,N_121,N_122,eac1,-0.23517154767430293
2030,sc01,01-03 17:00:00+01:00,N_101,N_102,eac1,0.021292797346227077
2030,sc01,01-03 17:00:00+01:00,N_120,N_123,eac1,0.08552954326905704
2030,sc01,01-03 17:00:00+01:00,N_103,N_109,eac1,-0.012107408885499216
2030,sc01,01-03 17:00:00+01:00,N_102,N_106,eac1,0.004315029698386513
2030,sc01,01-03 17:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-03 17:00:00+01:00,N_115,N_116,eac1,-0.13047180953470028
2030,sc01,01-03 17:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-03 17:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-03 17:00:00+01:00,N_112,N_113,eac1,-0.11429433729353966
2030,sc01,01-03 17:00:00+01:00,N_117,N_118,eac1,-0.10570501642330121
2030,sc01,01-03 17:00:00+01:00,N_117,N_118,cac1,0.0
