Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-04 17:00:00+01:00,N_105,N_110,eac1,-0.039013775165111814
2030,sc01,01-04 17:00:00+01:00,N_112,N_123,eac1,-0.06409967687634485
2030,sc01,01-04 17:00:00+01:00,N_116,N_119,eac1,0.08318686759482108
2030,sc01,01-04 17:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-04 17:00:00+01:00,N_116,N_117,eac1,-0.27335976419312563
2030,sc01,01-04 17:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-04 17:00:00+01:00,N_120,N_123,eac1,0.07641206169482107
2030,sc01,01-04 17:00:00+01:00,N_114,N_116,eac1,-0.17981909186548162
2030,sc01,01-04 17:00:00+01:00,N_115,N_116,eac1,0.06318557716717577
2030,sc01,01-04 17:00:00+01:00,N_101,N_105,eac1,0.021326604264888194
2030,sc01,01-04 17:00:00+01:00,N_111,N_113,eac1,-0.053501090733251044
2030,sc01,01-04 17:00:00+01:00,N_117,N_118,eac1,-0.11177823934665476
2030,sc01,01-04 17:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-04 17:00:00+01:00,N_104,N_109,eac1,-0.004289499611589115
2030,sc01,01-04 17:00:00+01:00,N_111,N_114,eac1,-0.17981909186548162
2030,sc01,01-04 17:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-04 17:00:00+01:00,N_112,N_113,eac1,-0.10771024158522524
2030,sc01,01-04 17:00:00+01:00,N_103,N_109,eac1,-0.0037241893338112453
2030,sc01,01-04 17:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-04 17:00:00+01:00,N_108,N_109,eac1,0.010319592934483118
2030,sc01,01-04 17:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-04 17:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-04 17:00:00+01:00,N_118,N_121,cac3,0.0
2030,sc01,01-04 17:00:00+01:00,N_102,N_104,eac1,-0.04674473792158912
2030,sc01,01-04 17:00:00+01:00,N_117,N_122,eac1,-0.16158152484647081
2030,sc01,01-04 17:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-04 17:00:00+01:00,N_113,N_123,eac1,-0.01231238481847624
2030,sc01,01-04 17:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-04 17:00:00+01:00,N_101,N_103,eac1,-0.025286849121811256
2030,sc01,01-04 17:00:00+01:00,N_115,N_124,eac1,0.17500000000000002
2030,sc01,01-04 17:00:00+01:00,N_110,N_111,eac1,-0.14133793860898347
2030,sc01,01-04 17:00:00+01:00,N_116,N_117,cac3,0.0
2030,sc01,01-04 17:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,01-04 17:00:00+01:00,N_116,N_117,cac2,0.0
2030,sc01,01-04 17:00:00+01:00,N_121,N_122,eac1,-0.21277938014665482
2030,sc01,01-04 17:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,01-04 17:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-04 17:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-04 17:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-04 17:00:00+01:00,N_106,N_110,eac1,-0.08099656905724116
2030,sc01,01-04 17:00:00+01:00,N_103,N_124,eac1,-0.17500000000000002
2030,sc01,01-04 17:00:00+01:00,N_115,N_121,eac1,-0.17500000000000002
2030,sc01,01-04 17:00:00+01:00,N_117,N_118,cac2,0.0
2030,sc01,01-04 17:00:00+01:00,N_108,N_110,eac1,0.035401014972967354
2030,sc01,01-04 17:00:00+01:00,N_110,N_112,eac1,-0.11058280654040215
2030,sc01,01-04 17:00:00+01:00,N_116,N_117,cac1,0.0
2030,sc01,01-04 17:00:00+01:00,N_119,N_120,eac1,0.18504066499482108
2030,sc01,01-04 17:00:00+01:00,N_109,N_111,eac1,-0.09198224398974925
2030,sc01,01-04 17:00:00+01:00,N_102,N_106,eac1,0.013926332302758831
2030,sc01,01-04 17:00:00+01:00,N_101,N_102,eac1,0.04198693087316974
2030,sc01,01-04 17:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-04 17:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-04 17:00:00+01:00,N_109,N_112,eac1,-0.06122711192116792
2030,sc01,01-04 17:00:00+01:00,N_107,N_108,eac1,0.16925281380745053
2030,sc01,01-04 17:00:00+01:00,N_118,N_121,eac1,-0.03777938014665477
2030,sc01,01-07 16:00:00+01:00,N_105,N_110,eac1,0.0018353017307653208
2030,sc01,01-07 16:00:00+01:00,N_112,N_123,eac1,-0.19546689447956042
2030,sc01,01-07 16:00:00+01:00,N_116,N_119,eac1,0.14949773223780027
2030,sc01,01-07 16:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-07 16:00:00+01:00,N_116,N_117,eac1,-0.2229359103366773
2030,sc01,01-07 16:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-07 16:00:00+01:00,N_120,N_123,eac1,-0.13256805126219973
2030,sc01,01-07 16:00:00+01:00,N_114,N_116,eac1,-0.33624358817587396
2030,sc01,01-07 16:00:00+01:00,N_115,N_116,eac1,0.10501727699999996
2030,sc01,01-07 16:00:00+01:00,N_101,N_105,eac1,0.05613394674076533
2030,sc01,01-07 16:00:00+01:00,N_111,N_113,eac1,-0.016145539719043256
2030,sc01,01-07 16:00:00+01:00,N_117,N_118,eac1,0.0753768415565843
2030,sc01,01-07 16:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-07 16:00:00+01:00,N_104,N_109,eac1,-0.030958462979018275
2030,sc01,01-07 16:00:00+01:00,N_111,N_114,eac1,-0.15436858817587396
2030,sc01,01-07 16:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-07 16:00:00+01:00,N_112,N_113,eac1,0.003107100699043297
2030,sc01,01-07 16:00:00+01:00,N_103,N_109,eac1,0.0292895509028597
2030,sc01,01-07 16:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-07 16:00:00+01:00,N_108,N_109,eac1,0.016700291764055186
2030,sc01,01-07 16:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-07 16:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-07 16:00:00+01:00,N_118,N_121,cac3,0.0
2030,sc01,01-07 16:00:00+01:00,N_102,N_104,eac1,0.029326043868981716
2030,sc01,01-07 16:00:00+01:00,N_117,N_122,eac1,-0.29831275189326156
2030,sc01,01-07 16:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-07 16:00:00+01:00,N_113,N_123,eac1,-0.22
2030,sc01,01-07 16:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-07 16:00:00+01:00,N_101,N_103,eac1,-0.005131941507140303
2030,sc01,01-07 16:00:00+01:00,N_115,N_124,eac1,0.17500000000000002
2030,sc01,01-07 16:00:00+01:00,N_110,N_111,eac1,-0.10017831026026536
2030,sc01,01-07 16:00:00+01:00,N_116,N_117,cac3,0.0
2030,sc01,01-07 16:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,01-07 16:00:00+01:00,N_116,N_117,cac2,0.0
2030,sc01,01-07 16:00:00+01:00,N_121,N_122,eac1,-0.39520020589941574
2030,sc01,01-07 16:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,01-07 16:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-07 16:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-07 16:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-07 16:00:00+01:00,N_106,N_110,eac1,-0.06826893573004053
2030,sc01,01-07 16:00:00+01:00,N_103,N_124,eac1,-0.17500000000000002
2030,sc01,01-07 16:00:00+01:00,N_115,N_121,eac1,-0.17500000000000002
2030,sc01,01-07 16:00:00+01:00,N_117,N_118,cac2,0.0
2030,sc01,01-07 16:00:00+01:00,N_108,N_110,eac1,0.03186555603594482
2030,sc01,01-07 16:00:00+01:00,N_110,N_112,eac1,-0.11110114320306536
2030,sc01,01-07 16:00:00+01:00,N_116,N_117,cac1,0.0
2030,sc01,01-07 16:00:00+01:00,N_119,N_120,eac1,-0.02161547556219967
2030,sc01,01-07 16:00:00+01:00,N_109,N_111,eac1,-0.0703358176346518
2030,sc01,01-07 16:00:00+01:00,N_102,N_106,eac1,0.037183712969959454
2030,sc01,01-07 16:00:00+01:00,N_101,N_102,eac1,0.1364297384069412
2030,sc01,01-07 16:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-07 16:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-07 16:00:00+01:00,N_109,N_112,eac1,-0.08125865057745174
2030,sc01,01-07 16:00:00+01:00,N_107,N_108,eac1,0.17500000000000002
2030,sc01,01-07 16:00:00+01:00,N_118,N_121,eac1,-0.22020020589941575
2030,sc01,01-08 08:00:00+01:00,N_105,N_110,eac1,-0.006311711611970555
2030,sc01,01-08 08:00:00+01:00,N_112,N_123,eac1,-0.19640213081701524
2030,sc01,01-08 08:00:00+01:00,N_116,N_119,eac1,0.1223736971800582
2030,sc01,01-08 08:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-08 08:00:00+01:00,N_116,N_117,eac1,-0.22450724577041037
2030,sc01,01-08 08:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-08 08:00:00+01:00,N_120,N_123,eac1,-0.15415974729194182
2030,sc01,01-08 08:00:00+01:00,N_114,N_116,eac1,-0.28885093817458285
2030,sc01,01-08 08:00:00+01:00,N_115,N_116,eac1,0.10155121040000004
2030,sc01,01-08 08:00:00+01:00,N_101,N_105,eac1,0.04921836967802942
2030,sc01,01-08 08:00:00+01:00,N_111,N_113,eac1,-0.016424559573032016
2030,sc01,01-08 08:00:00+01:00,N_117,N_118,eac1,0.06754260952353408
2030,sc01,01-08 08:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-08 08:00:00+01:00,N_104,N_109,eac1,-0.010114674289372017
2030,sc01,01-08 08:00:00+01:00,N_111,N_114,eac1,-0.1587597922745828
2030,sc01,01-08 08:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-08 08:00:00+01:00,N_112,N_113,eac1,0.00120912107303206
2030,sc01,01-08 08:00:00+01:00,N_103,N_109,eac1,0.012929333782628283
2030,sc01,01-08 08:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-08 08:00:00+01:00,N_108,N_109,eac1,0.02091736982533124
2030,sc01,01-08 08:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-08 08:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-08 08:00:00+01:00,N_118,N_121,cac3,0.0
2030,sc01,01-08 08:00:00+01:00,N_102,N_104,eac1,0.012997760580627987
2030,sc01,01-08 08:00:00+01:00,N_117,N_122,eac1,-0.2920498552939445
2030,sc01,01-08 08:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-08 08:00:00+01:00,N_113,N_123,eac1,-0.22
2030,sc01,01-08 08:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-08 08:00:00+01:00,N_101,N_103,eac1,-0.006090633529371697
2030,sc01,01-08 08:00:00+01:00,N_115,N_124,eac1,0.17500000000000002
2030,sc01,01-08 08:00:00+01:00,N_110,N_111,eac1,-0.10755271933100075
2030,sc01,01-08 08:00:00+01:00,N_116,N_117,cac3,0.0
2030,sc01,01-08 08:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,01-08 08:00:00+01:00,N_116,N_117,cac2,0.0
2030,sc01,01-08 08:00:00+01:00,N_121,N_122,eac1,-0.3869579865484659
2030,sc01,01-08 08:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,01-08 08:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-08 08:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-08 08:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-08 08:00:00+01:00,N_106,N_110,eac1,-0.06515971996877346
2030,sc01,01-08 08:00:00+01:00,N_103,N_124,eac1,-0.17500000000000002
2030,sc01,01-08 08:00:00+01:00,N_115,N_121,eac1,-0.17500000000000002
2030,sc01,01-08 08:00:00+01:00,N_117,N_118,cac2,0.0
2030,sc01,01-08 08:00:00+01:00,N_108,N_110,eac1,0.041204342470558486
2030,sc01,01-08 08:00:00+01:00,N_110,N_112,eac1,-0.11755704827918484
