,Weight
sti1,169
sti10,57
sti11,129
sti12,310
sti13,2
sti14,104
sti15,148
sti16,76
sti17,221
sti18,99
sti19,341
sti2,121
sti20,201
sti21,116
sti22,105
sti23,188
sti24,326
sti25,150
sti26,92
sti27,222
sti28,36
sti29,65
sti3,58
sti30,126
sti31,71
sti32,196
sti33,122
sti34,171
sti35,128
sti36,123
sti37,121
sti38,49
sti39,26
sti4,114
sti40,207
sti41,169
sti42,172
sti43,302
sti44,99
sti45,226
sti46,223
sti47,63
sti48,118
sti49,200
sti5,107
sti50,208
sti51,185
sti52,126
sti53,116
sti54,73
sti6,116
sti7,1
sti8,287
sti9,281
stn1,7
stp1,35
stp2,416
stp3,107
stp4,23
stp5,233
stp6,53
