Period,Scenario,LoadLevel,Unit,tCO2
2030,sc01,01-20 20:00:00+01:00,CCGT_1,0.0
2030,sc01,01-20 20:00:00+01:00,CCGT_2,31.109339803669304
2030,sc01,01-20 20:00:00+01:00,CCGT_3,0.0
2030,sc01,02-02 08:00:00+01:00,CCGT_1,0.0
2030,sc01,02-02 08:00:00+01:00,CCGT_2,25.046314796664
2030,sc01,02-02 08:00:00+01:00,CCGT_3,0.0
2030,sc01,02-06 15:00:00+01:00,CCGT_1,0.0
2030,sc01,02-06 15:00:00+01:00,CCGT_2,16.185543769744143
2030,sc01,02-06 15:00:00+01:00,CCGT_3,0.0
2030,sc01,02-06 17:00:00+01:00,CCGT_1,0.0
2030,sc01,02-06 17:00:00+01:00,CCGT_2,22.78612218253165
2030,sc01,02-06 17:00:00+01:00,CCGT_3,0.0
2030,sc01,02-09 07:00:00+01:00,CCGT_1,0.0
2030,sc01,02-09 07:00:00+01:00,CCGT_2,20.28883710024924
2030,sc01,02-09 07:00:00+01:00,CCGT_3,0.0
2030,sc01,02-20 19:00:00+01:00,CCGT_1,0.0
2030,sc01,02-20 19:00:00+01:00,CCGT_2,27.632421415662453
2030,sc01,02-20 19:00:00+01:00,CCGT_3,0.0
2030,sc01,02-22 11:00:00+01:00,CCGT_1,0.0
2030,sc01,02-22 11:00:00+01:00,CCGT_2,8.822197012007786
2030,sc01,02-22 11:00:00+01:00,CCGT_3,0.0
2030,sc01,02-27 12:00:00+01:00,CCGT_1,0.0
2030,sc01,02-27 12:00:00+01:00,CCGT_2,11.921735597053292
2030,sc01,02-27 12:00:00+01:00,CCGT_3,0.0
2030,sc01,03-04 08:00:00+01:00,CCGT_1,0.0
2030,sc01,03-04 08:00:00+01:00,CCGT_2,18.135983983502694
2030,sc01,03-04 08:00:00+01:00,CCGT_3,0.0
2030,sc01,03-04 10:00:00+01:00,CCGT_1,0.0
2030,sc01,03-04 10:00:00+01:00,CCGT_2,14.352029953972448
2030,sc01,03-04 10:00:00+01:00,CCGT_3,0.0
2030,sc01,04-06 01:00:00+02:00,CCGT_1,0.0
2030,sc01,04-06 01:00:00+02:00,CCGT_2,16.37951967733929
2030,sc01,04-06 01:00:00+02:00,CCGT_3,0.0
2030,sc01,05-02 18:00:00+02:00,CCGT_1,0.0
2030,sc01,05-02 18:00:00+02:00,CCGT_2,19.90180809328395
2030,sc01,05-02 18:00:00+02:00,CCGT_3,0.0
2030,sc01,05-07 04:00:00+02:00,CCGT_1,0.0
2030,sc01,05-07 04:00:00+02:00,CCGT_2,22.44657300144886
2030,sc01,05-07 04:00:00+02:00,CCGT_3,0.0
2030,sc01,06-02 09:00:00+02:00,CCGT_1,0.0
2030,sc01,06-02 09:00:00+02:00,CCGT_2,25.655427119146577
2030,sc01,06-02 09:00:00+02:00,CCGT_3,0.0
2030,sc01,06-29 23:00:00+02:00,CCGT_1,0.0
2030,sc01,06-29 23:00:00+02:00,CCGT_2,29.507173689100043
2030,sc01,06-29 23:00:00+02:00,CCGT_3,0.0
2030,sc01,07-17 11:00:00+02:00,CCGT_1,0.0
2030,sc01,07-17 11:00:00+02:00,CCGT_2,39.379045052193504
2030,sc01,07-17 11:00:00+02:00,CCGT_3,5.031236350314855
2030,sc01,07-17 15:00:00+02:00,CCGT_1,0.0
2030,sc01,07-17 15:00:00+02:00,CCGT_2,37.925270848137124
2030,sc01,07-17 15:00:00+02:00,CCGT_3,16.0010073650132
2030,sc01,07-18 00:00:00+02:00,CCGT_1,0.0
2030,sc01,07-18 00:00:00+02:00,CCGT_2,34.165294462061254
2030,sc01,07-18 00:00:00+02:00,CCGT_3,0.0
2030,sc01,07-22 13:00:00+02:00,CCGT_1,0.0
2030,sc01,07-22 13:00:00+02:00,CCGT_2,37.7889366602286
2030,sc01,07-22 13:00:00+02:00,CCGT_3,1.3659732435404057
2030,sc01,07-26 16:00:00+02:00,CCGT_1,0.0
2030,sc01,07-26 16:00:00+02:00,CCGT_2,33.42083465973935
2030,sc01,07-26 16:00:00+02:00,CCGT_3,2.940925672846456
2030,sc01,08-02 22:00:00+02:00,CCGT_1,0.0
2030,sc01,08-02 22:00:00+02:00,CCGT_2,30.846307074535986
2030,sc01,08-02 22:00:00+02:00,CCGT_3,0.0
2030,sc01,08-15 07:00:00+02:00,CCGT_1,0.0
2030,sc01,08-15 07:00:00+02:00,CCGT_2,32.10960335425623
2030,sc01,08-15 07:00:00+02:00,CCGT_3,0.0
2030,sc01,08-29 12:00:00+02:00,CCGT_1,0.0
2030,sc01,08-29 12:00:00+02:00,CCGT_2,27.77199823643519
2030,sc01,08-29 12:00:00+02:00,CCGT_3,0.0
2030,sc01,10-27 17:00:00+01:00,CCGT_1,0.0
2030,sc01,10-27 17:00:00+01:00,CCGT_2,23.664677180692102
2030,sc01,10-27 17:00:00+01:00,CCGT_3,0.0
2030,sc01,11-01 01:00:00+01:00,CCGT_1,0.0
2030,sc01,11-01 01:00:00+01:00,CCGT_2,19.715365906578725
2030,sc01,11-01 01:00:00+01:00,CCGT_3,0.0
2030,sc01,11-01 19:00:00+01:00,CCGT_1,0.0
2030,sc01,11-01 19:00:00+01:00,CCGT_2,16.88138037301696
2030,sc01,11-01 19:00:00+01:00,CCGT_3,0.0
2030,sc01,11-07 18:00:00+01:00,CCGT_1,0.0
2030,sc01,11-07 18:00:00+01:00,CCGT_2,29.661338252905455
2030,sc01,11-07 18:00:00+01:00,CCGT_3,0.0
2030,sc01,11-09 09:00:00+01:00,CCGT_1,0.0
2030,sc01,11-09 09:00:00+01:00,CCGT_2,25.932300618875466
2030,sc01,11-09 09:00:00+01:00,CCGT_3,0.0
2030,sc01,11-15 12:00:00+01:00,CCGT_1,0.0
2030,sc01,11-15 12:00:00+01:00,CCGT_2,21.859754832102933
2030,sc01,11-15 12:00:00+01:00,CCGT_3,0.0
2030,sc01,11-22 02:00:00+01:00,CCGT_1,0.0
2030,sc01,11-22 02:00:00+01:00,CCGT_2,14.098495636815624
2030,sc01,11-22 02:00:00+01:00,CCGT_3,0.0
