Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-19 08:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-19 08:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-19 08:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-19 08:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-19 08:00:00+01:00,Node_1,Node_3,eac1,0.031706048527503305
2030,sc01,01-19 08:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-19 08:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-19 08:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-19 08:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-19 08:00:00+01:00,Node_2,Node_3,cac2,0.03510221218624991
2030,sc01,01-19 08:00:00+01:00,Node_1,Node_2,eac1,-0.006792327317503295
2030,sc01,01-19 08:00:00+01:00,Node_2,Node_3,eac1,0.03510221218624565
2030,sc01,01-20 19:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-20 19:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-20 19:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-20 19:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-20 19:00:00+01:00,Node_1,Node_3,eac1,0.022046783979999415
2030,sc01,01-20 19:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-20 19:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-20 19:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-20 19:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-20 19:00:00+01:00,Node_2,Node_3,cac2,0.035917284515000245
2030,sc01,01-20 19:00:00+01:00,Node_1,Node_2,eac1,-0.027741001069999417
2030,sc01,01-20 19:00:00+01:00,Node_2,Node_3,eac1,0.03591728451499193
2030,sc01,01-29 05:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-29 05:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-29 05:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-29 05:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-29 05:00:00+01:00,Node_1,Node_3,eac1,0.03774186117750106
2030,sc01,01-29 05:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-29 05:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-29 05:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-29 05:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-29 05:00:00+01:00,Node_2,Node_3,cac2,0.0337687375612466
2030,sc01,01-29 05:00:00+01:00,Node_1,Node_2,eac1,0.007946247232498947
