Period,Scenario,LoadLevel,mEUR
2030,sc01,01-20 19:00:00+01:00,38287.71791275778
2030,sc01,01-20 22:00:00+01:00,171196.12045943298
2030,sc01,01-22 17:00:00+01:00,337972.04062880675
2030,sc01,01-28 08:00:00+01:00,360580.7589214092
2030,sc01,02-02 16:00:00+01:00,385469.74512874667
2030,sc01,02-07 19:00:00+01:00,87808.49502318335
2030,sc01,02-08 17:00:00+01:00,193888.8362529484
2030,sc01,02-22 11:00:00+01:00,14832.931408394345
2030,sc01,02-27 12:00:00+01:00,106859.50419939788
2030,sc01,03-02 04:00:00+01:00,269295.2816368913
2030,sc01,03-10 10:00:00+01:00,200280.14314825775
2030,sc01,04-01 21:00:00+02:00,360369.9574433716
2030,sc01,04-07 22:00:00+02:00,256535.722836263
2030,sc01,04-19 06:00:00+02:00,726009.1074738584
2030,sc01,04-25 21:00:00+02:00,224736.31508514046
2030,sc01,04-26 05:00:00+02:00,497561.0126852097
2030,sc01,05-13 16:00:00+02:00,415483.47736642987
2030,sc01,05-17 13:00:00+02:00,362751.2020823109
2030,sc01,05-31 18:00:00+02:00,214614.9137558369
2030,sc01,06-19 10:00:00+02:00,233080.37412292816
2030,sc01,06-28 09:00:00+02:00,219885.91851804065
2030,sc01,06-28 23:00:00+02:00,304852.7675764434
2030,sc01,07-04 22:00:00+02:00,302157.9793228969
2030,sc01,07-06 21:00:00+02:00,257441.46261390965
2030,sc01,07-12 07:00:00+02:00,237905.95168517652
2030,sc01,07-16 03:00:00+02:00,160553.329731924
2030,sc01,07-20 14:00:00+02:00,43711.84141510518
2030,sc01,07-23 07:00:00+02:00,157528.11321090278
2030,sc01,07-23 18:00:00+02:00,4151.081360254879
2030,sc01,07-25 19:00:00+02:00,24439.49527751473
2030,sc01,07-27 14:00:00+02:00,83015.89996222491
2030,sc01,07-28 19:00:00+02:00,6297.8272816512745
2030,sc01,08-06 16:00:00+02:00,215274.17159634555
2030,sc01,08-21 06:00:00+02:00,294505.873557631
2030,sc01,09-07 08:00:00+02:00,302492.7443968523
2030,sc01,09-07 15:00:00+02:00,288477.3505689726
2030,sc01,09-09 00:00:00+02:00,511101.9531431615
2030,sc01,09-13 20:00:00+02:00,539516.7173693422
2030,sc01,09-14 17:00:00+02:00,191475.17766536702
2030,sc01,10-14 17:00:00+02:00,676469.4560394845
2030,sc01,10-22 05:00:00+02:00,215491.2468900803
2030,sc01,10-28 06:00:00+01:00,170603.98590481057
2030,sc01,11-02 00:00:00+01:00,7097.359834043195
2030,sc01,11-03 03:00:00+01:00,77764.982017288
2030,sc01,11-04 20:00:00+01:00,597723.447482709
2030,sc01,11-24 15:00:00+01:00,602045.2349489909
2030,sc01,11-30 22:00:00+01:00,270958.61475697317
2030,sc01,12-02 00:00:00+01:00,673198.0915823745
2030,sc01,12-05 17:00:00+01:00,181681.25914792813
2030,sc01,12-07 01:00:00+01:00,77115.23685548811
