Period,Scenario,LoadLevel,Node,p.u.
2030,sc01,01-10 00:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-10 00:00:00+01:00,Node_3,0.95
2030,sc01,01-10 00:00:00+01:00,Node_1,0.9501304837392222
2030,sc01,01-10 01:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-10 01:00:00+01:00,Node_3,0.95
2030,sc01,01-10 01:00:00+01:00,Node_1,0.9501325782082248
2030,sc01,01-10 02:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-10 02:00:00+01:00,Node_3,0.95
2030,sc01,01-10 02:00:00+01:00,Node_1,0.950134575938407
2030,sc01,01-10 03:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-10 03:00:00+01:00,Node_3,0.95
2030,sc01,01-10 03:00:00+01:00,Node_1,0.9501342702615945
2030,sc01,01-10 04:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-10 04:00:00+01:00,Node_3,0.95
2030,sc01,01-10 04:00:00+01:00,Node_1,0.9501316029097767
2030,sc01,01-10 05:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-10 05:00:00+01:00,Node_3,0.95
2030,sc01,01-10 05:00:00+01:00,Node_1,0.950131011240893
2030,sc01,01-10 06:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-10 06:00:00+01:00,Node_3,0.95
2030,sc01,01-10 06:00:00+01:00,Node_1,0.9501262902877096
2030,sc01,01-10 07:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-10 07:00:00+01:00,Node_3,0.95
2030,sc01,01-10 07:00:00+01:00,Node_1,0.9501220322126938
2030,sc01,01-10 08:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-10 08:00:00+01:00,Node_3,0.95
2030,sc01,01-10 08:00:00+01:00,Node_1,0.9501197713338155
2030,sc01,01-10 09:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,01-10 09:00:00+01:00,Node_3,0.95
2030,sc01,01-10 09:00:00+01:00,Node_1,0.9501233268382333
