Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-09 18:00:00+01:00,OCGT,0.0
2030,sc01,01-09 18:00:00+01:00,Wind,0.7421391
2030,sc01,01-09 18:00:00+01:00,Battery,0.0
2030,sc01,01-09 18:00:00+01:00,Solar,0.00204525
2030,sc01,01-09 18:00:00+01:00,CCGT,5.756424704639832
2030,sc01,01-09 18:00:00+01:00,Gas,0.0
2030,sc01,01-09 18:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-13 21:00:00+01:00,OCGT,0.0
2030,sc01,01-13 21:00:00+01:00,Wind,3.06263544375
2030,sc01,01-13 21:00:00+01:00,Battery,0.0
2030,sc01,01-13 21:00:00+01:00,Solar,0.0
2030,sc01,01-13 21:00:00+01:00,CCGT,11.814078581159686
2030,sc01,01-13 21:00:00+01:00,Gas,0.0
2030,sc01,01-13 21:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-16 19:00:00+01:00,OCGT,0.0
2030,sc01,01-16 19:00:00+01:00,Wind,7.53964
2030,sc01,01-16 19:00:00+01:00,Battery,0.0
2030,sc01,01-16 19:00:00+01:00,Solar,0.0
2030,sc01,01-16 19:00:00+01:00,CCGT,16.02247726591969
2030,sc01,01-16 19:00:00+01:00,Gas,0.0
2030,sc01,01-16 19:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-20 20:00:00+01:00,OCGT,0.0
2030,sc01,01-20 20:00:00+01:00,Wind,0.7968343500000001
2030,sc01,01-20 20:00:00+01:00,Battery,0.0
2030,sc01,01-20 20:00:00+01:00,Solar,0.0
2030,sc01,01-20 20:00:00+01:00,CCGT,6.026653676549622
2030,sc01,01-20 20:00:00+01:00,Gas,0.0
2030,sc01,01-20 20:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-21 05:00:00+01:00,OCGT,0.0
2030,sc01,01-21 05:00:00+01:00,Wind,6.3675265125
2030,sc01,01-21 05:00:00+01:00,Battery,0.0
2030,sc01,01-21 05:00:00+01:00,Solar,0.0
2030,sc01,01-21 05:00:00+01:00,CCGT,15.405591404909709
2030,sc01,01-21 05:00:00+01:00,Gas,0.0
2030,sc01,01-21 05:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-26 12:00:00+01:00,OCGT,0.0
2030,sc01,01-26 12:00:00+01:00,Wind,5.393779125
2030,sc01,01-26 12:00:00+01:00,Battery,0.0
2030,sc01,01-26 12:00:00+01:00,Solar,6.606469875
2030,sc01,01-26 12:00:00+01:00,CCGT,15.961855981600147
2030,sc01,01-26 12:00:00+01:00,Gas,0.0
2030,sc01,01-26 12:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-06 22:00:00+01:00,OCGT,0.0
2030,sc01,02-06 22:00:00+01:00,Wind,6.764934149999999
2030,sc01,02-06 22:00:00+01:00,Battery,0.0
2030,sc01,02-06 22:00:00+01:00,Solar,0.0
2030,sc01,02-06 22:00:00+01:00,CCGT,20.161713760599827
2030,sc01,02-06 22:00:00+01:00,Gas,0.0
2030,sc01,02-06 22:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-07 17:00:00+01:00,OCGT,0.0
2030,sc01,02-07 17:00:00+01:00,Wind,1.5646662625000003
2030,sc01,02-07 17:00:00+01:00,Battery,0.0
2030,sc01,02-07 17:00:00+01:00,Solar,0.48058412500000003
2030,sc01,02-07 17:00:00+01:00,CCGT,12.385841882639816
2030,sc01,02-07 17:00:00+01:00,Gas,0.0
2030,sc01,02-07 17:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-08 23:00:00+01:00,OCGT,0.0
2030,sc01,02-08 23:00:00+01:00,Wind,8.745951725000001
2030,sc01,02-08 23:00:00+01:00,Battery,0.0
2030,sc01,02-08 23:00:00+01:00,Solar,0.0
2030,sc01,02-08 23:00:00+01:00,CCGT,9.22646751144
2030,sc01,02-08 23:00:00+01:00,Gas,0.0
2030,sc01,02-08 23:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-09 10:00:00+01:00,OCGT,0.0
2030,sc01,02-09 10:00:00+01:00,Wind,10.8182195
2030,sc01,02-09 10:00:00+01:00,Battery,0.0
2030,sc01,02-09 10:00:00+01:00,Solar,5.0145744
2030,sc01,02-09 10:00:00+01:00,CCGT,14.623717435361769
2030,sc01,02-09 10:00:00+01:00,Gas,0.0
2030,sc01,02-09 10:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-20 04:00:00+01:00,OCGT,0.0
2030,sc01,02-20 04:00:00+01:00,Wind,1.69041565
2030,sc01,02-20 04:00:00+01:00,Battery,0.0
2030,sc01,02-20 04:00:00+01:00,Solar,0.0
2030,sc01,02-20 04:00:00+01:00,CCGT,11.602117697279903
2030,sc01,02-20 04:00:00+01:00,Gas,0.0
2030,sc01,02-20 04:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-23 03:00:00+01:00,OCGT,0.0
2030,sc01,02-23 03:00:00+01:00,Wind,7.494486525
2030,sc01,02-23 03:00:00+01:00,Battery,0.0
2030,sc01,02-23 03:00:00+01:00,Solar,0.0
2030,sc01,02-23 03:00:00+01:00,CCGT,6.47145602604
2030,sc01,02-23 03:00:00+01:00,Gas,0.0
2030,sc01,02-23 03:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-24 03:00:00+01:00,OCGT,0.0
2030,sc01,02-24 03:00:00+01:00,Wind,4.7097037625
2030,sc01,02-24 03:00:00+01:00,Battery,0.0
2030,sc01,02-24 03:00:00+01:00,Solar,0.0
2030,sc01,02-24 03:00:00+01:00,CCGT,3.09834495965
2030,sc01,02-24 03:00:00+01:00,Gas,0.0
2030,sc01,02-24 03:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-24 16:00:00+01:00,OCGT,0.0
2030,sc01,02-24 16:00:00+01:00,Wind,4.884923875
2030,sc01,02-24 16:00:00+01:00,Battery,0.0
2030,sc01,02-24 16:00:00+01:00,Solar,1.211340175
2030,sc01,02-24 16:00:00+01:00,CCGT,2.186201714350382
2030,sc01,02-24 16:00:00+01:00,Gas,0.0
2030,sc01,02-24 16:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-04 00:00:00+01:00,OCGT,0.0
2030,sc01,03-04 00:00:00+01:00,Wind,4.987440081250001
2030,sc01,03-04 00:00:00+01:00,Battery,0.0
2030,sc01,03-04 00:00:00+01:00,Solar,0.0
2030,sc01,03-04 00:00:00+01:00,CCGT,18.324045551237855
2030,sc01,03-04 00:00:00+01:00,Gas,0.0
2030,sc01,03-04 00:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-04 23:00:00+01:00,OCGT,0.0
2030,sc01,03-04 23:00:00+01:00,Wind,9.44498419375
2030,sc01,03-04 23:00:00+01:00,Battery,0.0
2030,sc01,03-04 23:00:00+01:00,Solar,0.0
2030,sc01,03-04 23:00:00+01:00,CCGT,8.91018634723
2030,sc01,03-04 23:00:00+01:00,Gas,0.0
2030,sc01,03-04 23:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-18 00:00:00+01:00,OCGT,0.0
2030,sc01,03-18 00:00:00+01:00,Wind,7.137395224999999
2030,sc01,03-18 00:00:00+01:00,Battery,0.0
2030,sc01,03-18 00:00:00+01:00,Solar,0.0
2030,sc01,03-18 00:00:00+01:00,CCGT,14.700092092900002
2030,sc01,03-18 00:00:00+01:00,Gas,0.0
2030,sc01,03-18 00:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,03-24 06:00:00+01:00,OCGT,0.0
2030,sc01,03-24 06:00:00+01:00,Wind,7.7930075875
2030,sc01,03-24 06:00:00+01:00,Battery,0.0
2030,sc01,03-24 06:00:00+01:00,Solar,0.0
2030,sc01,03-24 06:00:00+01:00,CCGT,17.866820435528673
2030,sc01,03-24 06:00:00+01:00,Gas,0.0
2030,sc01,03-24 06:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,04-02 12:00:00+02:00,OCGT,0.0
2030,sc01,04-02 12:00:00+02:00,Wind,5.0558850374999995
2030,sc01,04-02 12:00:00+02:00,Battery,0.0
2030,sc01,04-02 12:00:00+02:00,Solar,9.406735074999999
2030,sc01,04-02 12:00:00+02:00,CCGT,16.78796527436054
2030,sc01,04-02 12:00:00+02:00,Gas,0.0
2030,sc01,04-02 12:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,04-08 10:00:00+02:00,OCGT,0.0
2030,sc01,04-08 10:00:00+02:00,Wind,6.9707671875
2030,sc01,04-08 10:00:00+02:00,Battery,0.0
2030,sc01,04-08 10:00:00+02:00,Solar,3.6929421875000004
2030,sc01,04-08 10:00:00+02:00,CCGT,9.223210041251537
2030,sc01,04-08 10:00:00+02:00,Gas,0.0
2030,sc01,04-08 10:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,04-11 02:00:00+02:00,OCGT,0.0
2030,sc01,04-11 02:00:00+02:00,Wind,0.8722642500000001
2030,sc01,04-11 02:00:00+02:00,Battery,0.0
2030,sc01,04-11 02:00:00+02:00,Solar,0.0
2030,sc01,04-11 02:00:00+02:00,CCGT,17.56274784978936
2030,sc01,04-11 02:00:00+02:00,Gas,0.0
2030,sc01,04-11 02:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,04-24 21:00:00+02:00,OCGT,0.0
2030,sc01,04-24 21:00:00+02:00,Wind,3.0445036875
2030,sc01,04-24 21:00:00+02:00,Battery,0.0
2030,sc01,04-24 21:00:00+02:00,Solar,0.0
2030,sc01,04-24 21:00:00+02:00,CCGT,14.990305903099534
2030,sc01,04-24 21:00:00+02:00,Gas,0.0
2030,sc01,04-24 21:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,05-01 17:00:00+02:00,OCGT,0.0
2030,sc01,05-01 17:00:00+02:00,Wind,6.389870925
2030,sc01,05-01 17:00:00+02:00,Battery,0.0
2030,sc01,05-01 17:00:00+02:00,Solar,2.3888490000000004
2030,sc01,05-01 17:00:00+02:00,CCGT,12.394361331899802
2030,sc01,05-01 17:00:00+02:00,Gas,0.0
2030,sc01,05-01 17:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,05-03 08:00:00+02:00,OCGT,0.0
2030,sc01,05-03 08:00:00+02:00,Wind,6.252307875000001
2030,sc01,05-03 08:00:00+02:00,Battery,0.0
2030,sc01,05-03 08:00:00+02:00,Solar,2.3699272500000004
2030,sc01,05-03 08:00:00+02:00,CCGT,17.712555046200865
2030,sc01,05-03 08:00:00+02:00,Gas,0.0
2030,sc01,05-03 08:00:00+02:00,SynchronousCondenser,0.0
