Period,Scenario,LoadLevel,Unit,GWh
2030,sc01,01-05 21:00:00+01:00,CCGT_1,0.0
2030,sc01,01-05 21:00:00+01:00,OCGT_3,0.0
2030,sc01,01-05 21:00:00+01:00,Nuclear,16.2036
2030,sc01,01-05 21:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-05 21:00:00+01:00,Wind_Bilbo,0.49560000000000004
2030,sc01,01-05 21:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-05 21:00:00+01:00,CCGT_4,5.545247502437985
2030,sc01,01-05 21:00:00+01:00,CCGT_3,0.0
2030,sc01,01-05 21:00:00+01:00,OCGT_1,0.0
2030,sc01,01-05 21:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-05 21:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-05 21:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-05 21:00:00+01:00,Wind_Acoruna,2.5788
2030,sc01,01-05 21:00:00+01:00,BrownLignite,0.0
2030,sc01,01-05 21:00:00+01:00,CCGT_2,0.0
2030,sc01,01-05 21:00:00+01:00,Wind_Gijon,1.6464000000000003
2030,sc01,01-05 21:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-05 21:00:00+01:00,OCGT_2,0.0
2030,sc01,01-05 21:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-06 21:00:00+01:00,CCGT_1,0.0
2030,sc01,01-06 21:00:00+01:00,OCGT_3,0.0
2030,sc01,01-06 21:00:00+01:00,Nuclear,21.6048
2030,sc01,01-06 21:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-06 21:00:00+01:00,Wind_Bilbo,1.0752
2030,sc01,01-06 21:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-06 21:00:00+01:00,CCGT_4,3.2617453131480776
2030,sc01,01-06 21:00:00+01:00,CCGT_3,0.0
2030,sc01,01-06 21:00:00+01:00,OCGT_1,0.0
2030,sc01,01-06 21:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-06 21:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-06 21:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-06 21:00:00+01:00,Wind_Acoruna,5.04
2030,sc01,01-06 21:00:00+01:00,BrownLignite,0.0
2030,sc01,01-06 21:00:00+01:00,CCGT_2,0.0
2030,sc01,01-06 21:00:00+01:00,Wind_Gijon,3.7744
2030,sc01,01-06 21:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-06 21:00:00+01:00,OCGT_2,0.0
2030,sc01,01-06 21:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-07 09:00:00+01:00,CCGT_1,0.0
2030,sc01,01-07 09:00:00+01:00,OCGT_3,0.0
2030,sc01,01-07 09:00:00+01:00,Nuclear,6.18288386277597
2030,sc01,01-07 09:00:00+01:00,PV_Sevilla,3.8736
2030,sc01,01-07 09:00:00+01:00,Wind_Bilbo,1.6344
2030,sc01,01-07 09:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-07 09:00:00+01:00,CCGT_4,0.0
2030,sc01,01-07 09:00:00+01:00,CCGT_3,0.0
2030,sc01,01-07 09:00:00+01:00,OCGT_1,0.0
2030,sc01,01-07 09:00:00+01:00,PV_Cadiz,3.8304000000000005
2030,sc01,01-07 09:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-07 09:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-07 09:00:00+01:00,Wind_Acoruna,3.2832
2030,sc01,01-07 09:00:00+01:00,BrownLignite,0.0
2030,sc01,01-07 09:00:00+01:00,CCGT_2,0.0
2030,sc01,01-07 09:00:00+01:00,Wind_Gijon,2.7287999999999997
2030,sc01,01-07 09:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-07 09:00:00+01:00,OCGT_2,0.0
2030,sc01,01-07 09:00:00+01:00,PV_Malaga,3.9168
2030,sc01,01-09 15:00:00+01:00,CCGT_1,0.0
2030,sc01,01-09 15:00:00+01:00,OCGT_3,0.0
2030,sc01,01-09 15:00:00+01:00,Nuclear,5.792607090080969
2030,sc01,01-09 15:00:00+01:00,PV_Sevilla,3.5784
2030,sc01,01-09 15:00:00+01:00,Wind_Bilbo,3.8136
2030,sc01,01-09 15:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-09 15:00:00+01:00,CCGT_4,0.0
2030,sc01,01-09 15:00:00+01:00,CCGT_3,0.0
2030,sc01,01-09 15:00:00+01:00,OCGT_1,0.0
2030,sc01,01-09 15:00:00+01:00,PV_Cadiz,3.6792
2030,sc01,01-09 15:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-09 15:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-09 15:00:00+01:00,Wind_Acoruna,5.728800000000001
2030,sc01,01-09 15:00:00+01:00,BrownLignite,0.0
2030,sc01,01-09 15:00:00+01:00,CCGT_2,0.0
2030,sc01,01-09 15:00:00+01:00,Wind_Gijon,0.6972
2030,sc01,01-09 15:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-09 15:00:00+01:00,OCGT_2,0.0
2030,sc01,01-09 15:00:00+01:00,PV_Malaga,3.5196
2030,sc01,01-10 10:00:00+01:00,CCGT_1,0.0
2030,sc01,01-10 10:00:00+01:00,OCGT_3,0.0
2030,sc01,01-10 10:00:00+01:00,Nuclear,0.0
2030,sc01,01-10 10:00:00+01:00,PV_Sevilla,14.586
2030,sc01,01-10 10:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-10 10:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-10 10:00:00+01:00,CCGT_4,0.0
2030,sc01,01-10 10:00:00+01:00,CCGT_3,0.0
2030,sc01,01-10 10:00:00+01:00,OCGT_1,0.0
2030,sc01,01-10 10:00:00+01:00,PV_Cadiz,14.255999999999998
2030,sc01,01-10 10:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-10 10:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-10 10:00:00+01:00,Wind_Acoruna,12.354864409195068
2030,sc01,01-10 10:00:00+01:00,BrownLignite,0.0
2030,sc01,01-10 10:00:00+01:00,CCGT_2,0.0
2030,sc01,01-10 10:00:00+01:00,Wind_Gijon,12.98
2030,sc01,01-10 10:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-10 10:00:00+01:00,OCGT_2,0.0
2030,sc01,01-10 10:00:00+01:00,PV_Malaga,14.784000000000002
2030,sc01,01-12 11:00:00+01:00,CCGT_1,0.0
2030,sc01,01-12 11:00:00+01:00,OCGT_3,0.0
2030,sc01,01-12 11:00:00+01:00,Nuclear,3.0779696252500233
2030,sc01,01-12 11:00:00+01:00,PV_Sevilla,3.8428000000000004
2030,sc01,01-12 11:00:00+01:00,Wind_Bilbo,1.2636
2030,sc01,01-12 11:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-12 11:00:00+01:00,CCGT_4,0.0
2030,sc01,01-12 11:00:00+01:00,CCGT_3,0.0
