Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-01 20:00:00+01:00,N_117,N_118,cac1,0.33990698057835916
2030,sc01,01-01 20:00:00+01:00,N_118,N_121,eac1,0.3298245611457583
2030,sc01,01-01 20:00:00+01:00,N_112,N_123,cac1,0.0
2030,sc01,01-01 20:00:00+01:00,N_102,N_104,cac1,0.0
2030,sc01,01-01 20:00:00+01:00,N_115,N_116,eac1,0.5615882830336191
2030,sc01,01-01 20:00:00+01:00,N_110,N_111,eac1,0.3480079425046977
2030,sc01,01-01 20:00:00+01:00,N_103,N_109,eac1,0.47190086777386525
2030,sc01,01-01 20:00:00+01:00,N_102,N_106,cac1,0.0
2030,sc01,01-01 20:00:00+01:00,N_120,N_123,eac1,0.23074028543080538
2030,sc01,01-01 20:00:00+01:00,N_104,N_109,eac1,0.29781491292934514
2030,sc01,01-01 20:00:00+01:00,N_113,N_123,eac1,0.5178751760493592
2030,sc01,01-01 20:00:00+01:00,N_120,N_123,eac2,0.23074028543080538
2030,sc01,01-01 20:00:00+01:00,N_116,N_117,eac1,0.4950491992605202
2030,sc01,01-01 20:00:00+01:00,N_116,N_119,eac1,0.7488224751978024
2030,sc01,01-01 20:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-01 20:00:00+01:00,N_108,N_109,cac1,0.0
2030,sc01,01-01 20:00:00+01:00,N_105,N_110,cac1,0.0
2030,sc01,01-01 20:00:00+01:00,N_109,N_112,cac1,0.0
2030,sc01,01-01 20:00:00+01:00,N_110,N_112,eac1,0.24971969754174023
2030,sc01,01-01 20:00:00+01:00,N_118,N_121,cac1,0.32982456114575787
2030,sc01,01-01 20:00:00+01:00,N_101,N_103,eac1,0.4616089531756802
2030,sc01,01-01 20:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-01 20:00:00+01:00,N_115,N_121,cac1,0.964626948790413
2030,sc01,01-01 20:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-01 20:00:00+01:00,N_115,N_121,cac2,0.964626948790413
2030,sc01,01-01 20:00:00+01:00,N_106,N_110,eac1,0.34729577233041714
2030,sc01,01-01 20:00:00+01:00,N_116,N_117,cac1,0.49504919926051977
2030,sc01,01-01 20:00:00+01:00,N_112,N_113,eac1,0.0600172533719611
2030,sc01,01-01 20:00:00+01:00,N_116,N_119,cac1,0.0
2030,sc01,01-01 20:00:00+01:00,N_107,N_108,cac1,0.0
2030,sc01,01-01 20:00:00+01:00,N_111,N_114,cac1,0.0
2030,sc01,01-01 20:00:00+01:00,N_119,N_120,eac2,0.2902544662624437
2030,sc01,01-01 20:00:00+01:00,N_101,N_105,cac1,0.0
2030,sc01,01-01 20:00:00+01:00,N_101,N_102,eac1,0.17054938851124485
2030,sc01,01-01 20:00:00+01:00,N_117,N_122,eac1,0.3102844373643243
2030,sc01,01-01 20:00:00+01:00,N_108,N_110,eac1,0.3163234282573276
2030,sc01,01-01 20:00:00+01:00,N_110,N_112,cac1,0.0
2030,sc01,01-01 20:00:00+01:00,N_111,N_113,eac1,0.07857750083939607
2030,sc01,01-01 20:00:00+01:00,N_115,N_124,eac1,0.7058734988828392
2030,sc01,01-01 20:00:00+01:00,N_114,N_116,eac1,0.7098732987986648
2030,sc01,01-01 20:00:00+01:00,N_101,N_103,cac1,0.0
2030,sc01,01-01 20:00:00+01:00,N_102,N_104,eac1,0.10120629577858599
2030,sc01,01-01 20:00:00+01:00,N_112,N_123,eac1,0.5309416334713991
2030,sc01,01-01 20:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-01 20:00:00+01:00,N_110,N_111,cac1,0.0
