Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-07 19:00:00+01:00,N_104,N_109,eac1,0.12969046949658075
2030,sc01,01-07 19:00:00+01:00,N_117,N_122,eac1,0.5008029390468086
2030,sc01,01-07 19:00:00+01:00,N_109,N_111,eac1,0.12625180737207703
2030,sc01,01-07 19:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-07 19:00:00+01:00,N_112,N_123,eac1,0.25004807432566856
2030,sc01,01-07 19:00:00+01:00,N_101,N_102,eac1,0.5163095396050372
2030,sc01,01-07 19:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-07 19:00:00+01:00,N_110,N_111,eac1,0.29949208721010445
2030,sc01,01-07 19:00:00+01:00,N_112,N_113,eac1,0.1948948493805662
2030,sc01,01-07 19:00:00+01:00,N_101,N_105,eac1,0.3279885031213556
2030,sc01,01-07 19:00:00+01:00,N_116,N_117,cac1,0.26222198819422876
2030,sc01,01-07 19:00:00+01:00,N_115,N_121,eac1,0.9999942857469386
2030,sc01,01-07 19:00:00+01:00,N_110,N_112,eac1,0.27719272096862846
2030,sc01,01-07 19:00:00+01:00,N_106,N_110,eac1,0.32935629997995514
2030,sc01,01-07 19:00:00+01:00,N_121,N_122,eac1,0.6778455910089526
2030,sc01,01-07 19:00:00+01:00,N_118,N_121,eac1,0.10928209700251752
2030,sc01,01-07 19:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-07 19:00:00+01:00,N_116,N_117,cac2,0.26222225041595476
2030,sc01,01-07 19:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-07 19:00:00+01:00,N_117,N_118,eac1,0.27404250686505344
2030,sc01,01-07 19:00:00+01:00,N_120,N_123,eac1,0.12564080355161097
2030,sc01,01-07 19:00:00+01:00,N_114,N_116,eac1,0.5474614001672239
2030,sc01,01-07 19:00:00+01:00,N_115,N_116,eac1,0.20704033494890745
2030,sc01,01-07 19:00:00+01:00,N_109,N_112,eac1,0.10395244113060106
2030,sc01,01-07 19:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,01-07 19:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-07 19:00:00+01:00,N_119,N_120,eac1,0.3430463571405039
2030,sc01,01-07 19:00:00+01:00,N_102,N_104,eac1,0.1115851414999278
2030,sc01,01-07 19:00:00+01:00,N_116,N_117,cac3,0.0
2030,sc01,01-07 19:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,01-07 19:00:00+01:00,N_117,N_118,cac1,0.27404250686505344
2030,sc01,01-07 19:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-07 19:00:00+01:00,N_107,N_108,eac1,0.7209634827206134
2030,sc01,01-07 19:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-07 19:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-07 19:00:00+01:00,N_108,N_109,eac1,0.19420025355375325
2030,sc01,01-07 19:00:00+01:00,N_108,N_110,eac1,0.007025846776592458
2030,sc01,01-07 19:00:00+01:00,N_101,N_103,eac1,0.2984184661820173
2030,sc01,01-07 19:00:00+01:00,N_118,N_121,cac2,0.10928220628450526
2030,sc01,01-07 19:00:00+01:00,N_103,N_124,eac1,0.13150695001959667
2030,sc01,01-07 19:00:00+01:00,N_117,N_118,cac2,0.0
2030,sc01,01-07 19:00:00+01:00,N_113,N_123,eac1,0.035498479629127416
2030,sc01,01-07 19:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-07 19:00:00+01:00,N_105,N_110,eac1,0.0267071086180059
2030,sc01,01-07 19:00:00+01:00,N_111,N_113,eac1,0.16345085336180362
2030,sc01,01-07 19:00:00+01:00,N_116,N_119,eac1,0.1416048682234817
2030,sc01,01-07 19:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-07 19:00:00+01:00,N_103,N_109,eac1,0.4635322833267779
2030,sc01,01-07 19:00:00+01:00,N_111,N_114,eac1,0.177144432601159
2030,sc01,01-07 19:00:00+01:00,N_102,N_106,eac1,0.27322682068792675
2030,sc01,01-07 19:00:00+01:00,N_116,N_117,eac1,0.26222198819422876
2030,sc01,01-07 19:00:00+01:00,N_118,N_121,cac3,0.0
2030,sc01,01-07 19:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-07 19:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-07 19:00:00+01:00,N_115,N_124,eac1,0.3005863481625172
2030,sc01,02-09 17:00:00+01:00,N_104,N_109,eac1,0.15816848926222457
2030,sc01,02-09 17:00:00+01:00,N_117,N_122,eac1,0.7579840210136707
2030,sc01,02-09 17:00:00+01:00,N_109,N_111,eac1,0.15529146063284344
2030,sc01,02-09 17:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,02-09 17:00:00+01:00,N_112,N_123,eac1,0.30026667410355434
2030,sc01,02-09 17:00:00+01:00,N_101,N_102,eac1,0.6054682468725486
2030,sc01,02-09 17:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,02-09 17:00:00+01:00,N_110,N_111,eac1,0.2334459719218925
2030,sc01,02-09 17:00:00+01:00,N_112,N_113,eac1,0.006251442165095386
2030,sc01,02-09 17:00:00+01:00,N_101,N_105,eac1,0.2551367596031484
2030,sc01,02-09 17:00:00+01:00,N_116,N_117,cac1,0.32477378620181496
2030,sc01,02-09 17:00:00+01:00,N_115,N_121,eac1,0.9999942857469386
2030,sc01,02-09 17:00:00+01:00,N_110,N_112,eac1,0.12555790932219776
2030,sc01,02-09 17:00:00+01:00,N_106,N_110,eac1,0.23577487488459248
2030,sc01,02-09 17:00:00+01:00,N_121,N_122,eac1,0.999998000004
2030,sc01,02-09 17:00:00+01:00,N_118,N_121,eac1,0.3135078347936098
2030,sc01,02-09 17:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,02-09 17:00:00+01:00,N_116,N_117,cac2,0.3247741109752764
2030,sc01,02-09 17:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,02-09 17:00:00+01:00,N_117,N_118,eac1,0.27055556189679486
2030,sc01,02-09 17:00:00+01:00,N_120,N_123,eac1,0.27622170244606303
