Period,Scenario,LoadLevel,Unit,GWh
2030,sc01,01-04 17:00:00+01:00,118_RTPV_1,0.1116
2030,sc01,01-04 17:00:00+01:00,119_PV_1,0.7991999999999999
2030,sc01,01-04 17:00:00+01:00,104_PV_1,0.3216
2030,sc01,01-04 17:00:00+01:00,118_RTPV_9,0.1236
2030,sc01,01-04 17:00:00+01:00,101_CT_2,0.0
2030,sc01,01-04 17:00:00+01:00,113_CT_2,0.0
2030,sc01,01-04 17:00:00+01:00,103_PV_1,0.013974355464000002
2030,sc01,01-04 17:00:00+01:00,102_PV_2,0.0057487998840000006
2030,sc01,01-04 17:00:00+01:00,118_RTPV_2,0.1164
2030,sc01,01-04 17:00:00+01:00,115_STEAM_3,0.0
2030,sc01,01-04 17:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-04 17:00:00+01:00,118_RTPV_3,0.11280000000000001
2030,sc01,01-04 17:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-04 17:00:00+01:00,123_STEAM_2,0.0
2030,sc01,01-04 17:00:00+01:00,118_RTPV_7,0.1416
2030,sc01,01-04 17:00:00+01:00,116_STEAM_1,0.0
2030,sc01,01-04 17:00:00+01:00,101_PV_2,0.05939839947
2030,sc01,01-04 17:00:00+01:00,118_RTPV_4,0.1092
2030,sc01,01-04 17:00:00+01:00,113_CT_3,0.0
2030,sc01,01-04 17:00:00+01:00,123_CT_5,0.0
2030,sc01,01-04 17:00:00+01:00,113_PV_1,1.1232
2030,sc01,01-04 17:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-04 17:00:00+01:00,101_PV_4,0.05739620622
2030,sc01,01-04 17:00:00+01:00,113_CT_1,0.0
2030,sc01,01-04 17:00:00+01:00,123_CT_4,0.0
2030,sc01,01-04 17:00:00+01:00,118_RTPV_8,0.1344
2030,sc01,01-04 17:00:00+01:00,101_STEAM_4,0.02100520140007036
2030,sc01,01-04 17:00:00+01:00,121_NUCLEAR_1,0.0
2030,sc01,01-04 17:00:00+01:00,123_CT_1,0.0
2030,sc01,01-04 17:00:00+01:00,118_RTPV_6,0.1164
2030,sc01,01-04 17:00:00+01:00,102_STEAM_4,0.0
2030,sc01,01-04 17:00:00+01:00,122_WIND_1,2.049102259577844
2030,sc01,01-04 17:00:00+01:00,102_CT_1,0.0
2030,sc01,01-04 17:00:00+01:00,102_STEAM_3,0.0
2030,sc01,01-04 17:00:00+01:00,118_RTPV_5,0.1092
2030,sc01,01-04 17:00:00+01:00,102_PV_1,0.005816967480000001
2030,sc01,01-04 17:00:00+01:00,113_CT_4,0.0
2030,sc01,01-04 17:00:00+01:00,101_PV_1,0.057618672149999994
2030,sc01,01-04 17:00:00+01:00,101_PV_3,0.05828606988
2030,sc01,01-04 17:00:00+01:00,101_CT_1,0.0
2030,sc01,01-04 17:00:00+01:00,118_CC_1,0.0
2030,sc01,01-04 17:00:00+01:00,101_STEAM_3,0.0
2030,sc01,01-04 17:00:00+01:00,107_CC_1,0.8246139247440936
2030,sc01,01-04 17:00:00+01:00,102_CT_2,0.0
2030,sc01,01-04 17:00:00+01:00,118_RTPV_10,0.054000000000000006
2030,sc01,01-06 10:00:00+01:00,118_RTPV_1,0.7068000000000001
2030,sc01,01-06 10:00:00+01:00,119_PV_1,0.52602709388
2030,sc01,01-06 10:00:00+01:00,104_PV_1,1.09771464196
2030,sc01,01-06 10:00:00+01:00,118_RTPV_9,0.019830016444000002
2030,sc01,01-06 10:00:00+01:00,101_CT_2,0.0
2030,sc01,01-06 10:00:00+01:00,113_CT_2,0.0
2030,sc01,01-06 10:00:00+01:00,103_PV_1,0.8836487259200001
2030,sc01,01-06 10:00:00+01:00,102_PV_2,0.36351728055000004
2030,sc01,01-06 10:00:00+01:00,118_RTPV_2,0.018674869796000002
2030,sc01,01-06 10:00:00+01:00,115_STEAM_3,1.6534929196991932
2030,sc01,01-06 10:00:00+01:00,123_STEAM_3,0.0
2030,sc01,01-06 10:00:00+01:00,118_RTPV_3,0.018097296548
2030,sc01,01-06 10:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-06 10:00:00+01:00,123_STEAM_2,0.0
2030,sc01,01-06 10:00:00+01:00,118_RTPV_7,0.022717882911999998
2030,sc01,01-06 10:00:00+01:00,116_STEAM_1,0.0
2030,sc01,01-06 10:00:00+01:00,101_PV_2,0.65254356751
2030,sc01,01-06 10:00:00+01:00,118_RTPV_4,0.017519723224
2030,sc01,01-06 10:00:00+01:00,113_CT_3,0.0
2030,sc01,01-06 10:00:00+01:00,123_CT_5,0.0
2030,sc01,01-06 10:00:00+01:00,113_PV_1,0.180202867588
