,Weight
sti1,36
sti10,31
sti100,36
sti101,55
sti102,30
sti103,52
sti104,47
sti105,68
sti106,49
sti107,25
sti108,4
sti109,70
sti11,2
sti110,30
sti111,36
sti112,43
sti113,38
sti114,56
sti115,17
sti116,38
sti117,1
sti118,10
sti119,38
sti12,33
sti120,29
sti121,38
sti122,61
sti123,56
sti124,17
sti125,50
sti126,22
sti127,26
sti128,38
sti129,68
sti13,60
sti130,48
sti131,6
sti132,6
sti133,16
sti134,54
sti135,55
sti136,15
sti137,62
sti138,51
sti139,41
sti14,32
sti140,2
sti141,25
sti142,25
sti143,36
sti144,29
sti145,56
sti146,23
sti147,55
sti148,78
sti149,23
sti15,65
sti150,94
sti151,28
sti152,16
sti153,35
sti154,13
sti155,28
sti156,20
sti157,86
sti158,20
sti159,35
sti16,48
sti160,32
sti161,20
sti162,29
sti163,45
sti164,20
sti165,34
sti166,63
sti167,20
sti168,15
sti169,21
sti17,64
sti170,47
sti171,23
sti172,30
sti173,20
sti174,13
sti175,31
sti176,3
sti177,16
sti178,20
sti179,15
sti18,16
sti180,28
sti181,25
sti182,24
sti183,13
sti184,53
sti185,31
sti186,58
sti187,19
sti188,50
sti189,28
sti19,17
sti190,2
sti191,15
sti192,46
sti193,49
sti194,57
sti195,47
sti196,55
sti197,24
sti198,35
sti199,12
sti2,54
sti20,1
sti200,39
sti201,7
sti202,41
sti203,89
sti204,35
sti205,12
sti206,18
sti207,48
sti208,26
sti209,34
sti21,63
sti210,37
sti211,26
sti212,67
sti213,15
sti214,32
sti215,66
sti216,30
sti217,3
sti218,51
sti219,16
sti22,44
sti220,47
sti221,27
sti222,16
sti223,28
sti224,50
sti225,39
sti23,142
sti24,18
sti25,79
sti26,19
sti27,28
sti28,14
sti29,24
sti3,32
sti30,92
sti31,37
sti32,50
sti33,1
sti34,42
sti35,16
sti36,1
sti37,39
sti38,37
sti39,32
sti4,1
sti40,30
sti41,41
sti42,60
sti43,3
sti44,1
sti45,27
sti46,29
sti47,37
sti48,30
sti49,27
sti5,20
sti50,39
sti51,61
sti52,56
sti53,36
sti54,18
sti55,22
sti56,14
sti57,38
sti58,74
sti59,43
sti6,79
sti60,54
sti61,2
sti62,79
sti63,1
sti64,10
sti65,28
sti66,73
sti67,59
sti68,39
sti69,58
sti7,29
sti70,28
sti71,117
sti72,28
sti73,80
sti74,39
sti75,22
sti76,44
sti77,31
sti78,1
sti79,21
sti8,28
sti80,69
sti81,98
sti82,32
sti83,51
sti84,28
sti85,15
sti86,53
sti87,9
sti88,42
sti89,1
sti9,10
sti90,1
sti91,16
sti92,25
sti93,1
sti94,48
sti95,31
sti96,40
sti97,36
sti98,13
sti99,1
stn1,27
stp1,12
stp10,1
stp11,12
stp12,5
stp13,20
stp14,9
stp15,2
stp16,3
stp17,2
stp18,27
stp19,4
stp2,128
stp20,9
stp21,218
stp22,4
stp23,6
stp24,22
stp25,23
stp3,277
stp4,3
stp5,3
stp6,10
stp7,20
stp8,11
stp9,16
