Period,Scenario,LoadLevel,mEUR
2030,sc01,01-01 06:00:00+01:00,36.727817735272716
2030,sc01,01-03 06:00:00+01:00,212.01428330328758
2030,sc01,01-05 13:00:00+01:00,3524.3225024202716
2030,sc01,01-07 17:00:00+01:00,271.5742805103634
2030,sc01,01-08 16:00:00+01:00,763.0567007769022
2030,sc01,01-09 02:00:00+01:00,743.7789035614716
2030,sc01,01-09 19:00:00+01:00,551.4516533378945
2030,sc01,01-10 11:00:00+01:00,24188.178914489235
2030,sc01,01-10 12:00:00+01:00,216.59452601496236
2030,sc01,01-10 17:00:00+01:00,138.55786859259663
2030,sc01,01-10 19:00:00+01:00,548.1939320689589
2030,sc01,01-11 04:00:00+01:00,566.9431453311065
2030,sc01,01-11 09:00:00+01:00,58.5152347781143
2030,sc01,01-12 10:00:00+01:00,14031.378594603773
2030,sc01,01-12 11:00:00+01:00,7840.25530112607
2030,sc01,01-13 10:00:00+01:00,2488.6638966879964
2030,sc01,01-15 16:00:00+01:00,415.68169841278535
2030,sc01,01-16 20:00:00+01:00,200.63155735802835
2030,sc01,01-17 07:00:00+01:00,9.608337823194077
2030,sc01,01-17 08:00:00+01:00,2909.4751966660506
2030,sc01,01-18 07:00:00+01:00,12.572996130544317
2030,sc01,01-18 08:00:00+01:00,6883.75072657563
2030,sc01,01-18 16:00:00+01:00,2790.8703991853536
2030,sc01,01-19 13:00:00+01:00,741.8476934170222
2030,sc01,01-20 16:00:00+01:00,17023.081034958755
2030,sc01,01-21 17:00:00+01:00,233.63692533555684
2030,sc01,01-21 22:00:00+01:00,153649.52075819334
2030,sc01,01-22 07:00:00+01:00,390.99517541212407
2030,sc01,01-22 10:00:00+01:00,55.58069076477864
2030,sc01,01-22 14:00:00+01:00,42.11881866520802
2030,sc01,01-22 15:00:00+01:00,51.38866177108127
2030,sc01,01-22 18:00:00+01:00,526.3963100673099
2030,sc01,01-22 20:00:00+01:00,441.2550426585266
2030,sc01,01-23 16:00:00+01:00,68.65457863785895
2030,sc01,01-23 17:00:00+01:00,36148.32650431811
2030,sc01,01-24 14:00:00+01:00,28688.835396241528
2030,sc01,01-24 17:00:00+01:00,349.9343082750318
2030,sc01,01-25 08:00:00+01:00,1352.842724967118
2030,sc01,01-25 09:00:00+01:00,311.2240682085155
2030,sc01,01-25 10:00:00+01:00,66.74151259565001
2030,sc01,01-25 19:00:00+01:00,564.8365284977217
2030,sc01,01-27 18:00:00+01:00,285.3709126426145
2030,sc01,01-28 10:00:00+01:00,44.996204262513444
2030,sc01,01-28 12:00:00+01:00,4367.513590074178
2030,sc01,01-28 16:00:00+01:00,23654.704108359776
2030,sc01,01-28 17:00:00+01:00,244.59245481696647
2030,sc01,01-29 09:00:00+01:00,72.4429417230168
2030,sc01,01-29 16:00:00+01:00,65.69376868144364
2030,sc01,01-30 04:00:00+01:00,1629.2379555920102
2030,sc01,01-31 07:00:00+01:00,6.663762818588103
2030,sc01,02-04 19:00:00+01:00,99.71673533785554
2030,sc01,02-05 18:00:00+01:00,196.13765853483244
2030,sc01,02-05 20:00:00+01:00,2.5290847899684237
2030,sc01,02-06 02:00:00+01:00,2967.669622115338
2030,sc01,02-06 22:00:00+01:00,144.61645776663073
2030,sc01,02-07 17:00:00+01:00,1254.3455153846912
2030,sc01,02-07 20:00:00+01:00,2.556863306523363
2030,sc01,02-08 23:00:00+01:00,493.06758585488654
2030,sc01,02-11 09:00:00+01:00,1871.8737836899613
2030,sc01,02-12 19:00:00+01:00,81.00740823617497
2030,sc01,02-14 01:00:00+01:00,794.3005399023448
2030,sc01,02-14 22:00:00+01:00,816.4514449875702
2030,sc01,02-15 18:00:00+01:00,13.737661485970154
2030,sc01,02-16 02:00:00+01:00,1655.264598487352
2030,sc01,02-17 13:00:00+01:00,0.9330588260117993
2030,sc01,02-17 19:00:00+01:00,147.2354807127602
2030,sc01,02-17 20:00:00+01:00,78.81368840195582
2030,sc01,02-18 05:00:00+01:00,284.06757875004763
2030,sc01,02-18 18:00:00+01:00,44.32808854720591
2030,sc01,02-18 19:00:00+01:00,6.940627758114392
2030,sc01,02-19 05:00:00+01:00,399.14245659436045
2030,sc01,02-21 18:00:00+01:00,50.166321543706665
2030,sc01,02-22 11:00:00+01:00,2554.897560264911
2030,sc01,02-22 13:00:00+01:00,14380.04399386815
2030,sc01,02-22 22:00:00+01:00,1189.3205853646925
2030,sc01,02-23 02:00:00+01:00,3719.5448923481367
2030,sc01,02-25 06:00:00+01:00,579.645195742792
2030,sc01,02-26 18:00:00+01:00,1134.4673004153542
2030,sc01,02-26 19:00:00+01:00,5.990680370911855
2030,sc01,02-27 02:00:00+01:00,1264.1898569660257
2030,sc01,02-27 09:00:00+01:00,6674.28289499867
2030,sc01,02-28 18:00:00+01:00,946536.0261009656
2030,sc01,03-01 08:00:00+01:00,6497.028537593574
2030,sc01,03-01 22:00:00+01:00,1349.8440168870497
2030,sc01,03-02 13:00:00+01:00,440.2345694066976
2030,sc01,03-03 03:00:00+01:00,45.4222927747773
2030,sc01,03-03 12:00:00+01:00,263.71019750494304
2030,sc01,03-03 17:00:00+01:00,10301.697867765402
2030,sc01,03-04 13:00:00+01:00,831.2985223755095
2030,sc01,03-04 14:00:00+01:00,3186.4770048480395
2030,sc01,03-06 09:00:00+01:00,11718.488348865658
2030,sc01,03-06 11:00:00+01:00,7180.05155387004
2030,sc01,03-07 06:00:00+01:00,1470.3027107755092
2030,sc01,03-07 16:00:00+01:00,1190.2583992777365
2030,sc01,03-08 07:00:00+01:00,16028.077144247369
2030,sc01,03-08 22:00:00+01:00,532.1258632236044
2030,sc01,03-08 23:00:00+01:00,1934.6878622649374
2030,sc01,03-12 02:00:00+01:00,533.2581578231647
2030,sc01,03-16 20:00:00+01:00,1798.2685276351917
2030,sc01,03-17 01:00:00+01:00,376.02984207606374
2030,sc01,03-17 03:00:00+01:00,417.23957656683086
2030,sc01,03-17 21:00:00+01:00,445.5114677910501
2030,sc01,03-17 23:00:00+01:00,2814.145468172386
2030,sc01,03-18 02:00:00+01:00,294.51425517375975
2030,sc01,03-18 12:00:00+01:00,1773.1978749013329
2030,sc01,03-19 22:00:00+01:00,621.6373985324192
2030,sc01,03-20 05:00:00+01:00,1048.2276519132213
2030,sc01,03-25 11:00:00+01:00,500.98916674557495
2030,sc01,03-25 14:00:00+01:00,146.5158987266856
2030,sc01,03-27 18:00:00+01:00,3828.766037737337
2030,sc01,03-28 09:00:00+01:00,5592.819452480475
2030,sc01,03-28 21:00:00+01:00,174.91378428045002
2030,sc01,03-29 16:00:00+01:00,1743.4201998047372
2030,sc01,03-30 02:00:00+01:00,555.322886984932
2030,sc01,03-30 14:00:00+01:00,2644.9705591422003
2030,sc01,03-31 11:00:00+02:00,222.32810670472836
2030,sc01,04-02 01:00:00+02:00,1040.649426071303
2030,sc01,04-03 16:00:00+02:00,18402.592329032766
2030,sc01,04-05 22:00:00+02:00,807.6303572717038
2030,sc01,04-08 19:00:00+02:00,6714.461911981108
2030,sc01,04-08 22:00:00+02:00,3662.4481917063404
2030,sc01,04-09 18:00:00+02:00,3259.3701618956065
2030,sc01,04-10 13:00:00+02:00,310.7414961674211
2030,sc01,04-10 20:00:00+02:00,1512.8924767906906
2030,sc01,04-12 08:00:00+02:00,555.5769643989921
2030,sc01,04-14 03:00:00+02:00,294.90905630366524
2030,sc01,04-14 16:00:00+02:00,972.1622697996609
2030,sc01,04-14 21:00:00+02:00,2219.383764640732
2030,sc01,04-14 23:00:00+02:00,197.25134139258444
2030,sc01,04-15 12:00:00+02:00,17.93187470860497
2030,sc01,04-15 14:00:00+02:00,154.1628666688412
2030,sc01,04-17 12:00:00+02:00,21.356876505977493
2030,sc01,04-21 03:00:00+02:00,23.330661839617246
2030,sc01,04-22 07:00:00+02:00,1.1248502159759177
2030,sc01,04-25 06:00:00+02:00,38191.32455291171
2030,sc01,04-25 08:00:00+02:00,1932.6575062928
2030,sc01,04-25 13:00:00+02:00,47.614338065996506
2030,sc01,04-25 16:00:00+02:00,1973.723244752848
2030,sc01,04-26 11:00:00+02:00,9.455555169684127
2030,sc01,04-27 15:00:00+02:00,16.685762752488817
2030,sc01,04-29 12:00:00+02:00,8.781295587003637
2030,sc01,05-01 16:00:00+02:00,26.77175769136109
2030,sc01,05-02 12:00:00+02:00,20.77910316617448
2030,sc01,05-04 18:00:00+02:00,6754.553142550297
2030,sc01,05-07 13:00:00+02:00,245.3512971835086
2030,sc01,05-08 22:00:00+02:00,1533.272355921902
2030,sc01,05-09 02:00:00+02:00,659.1394995673376
2030,sc01,05-09 15:00:00+02:00,715.2940505605405
2030,sc01,05-10 10:00:00+02:00,521.7617851878848
2030,sc01,05-10 20:00:00+02:00,4834.634371860396
2030,sc01,05-11 01:00:00+02:00,242.99952539813967
2030,sc01,05-11 08:00:00+02:00,45.471475527224946
2030,sc01,05-11 14:00:00+02:00,1283.827229595461
2030,sc01,05-11 16:00:00+02:00,35.336696332083726
2030,sc01,05-13 00:00:00+02:00,302.3327195357454
2030,sc01,05-13 09:00:00+02:00,495.82542947265125
2030,sc01,05-13 11:00:00+02:00,177.70423835946124
2030,sc01,05-13 14:00:00+02:00,311.84279772220447
2030,sc01,05-13 18:00:00+02:00,9099.955826464882
2030,sc01,05-15 01:00:00+02:00,669.8388848566998
2030,sc01,05-18 14:00:00+02:00,3595.03635694061
2030,sc01,05-19 17:00:00+02:00,267.38711520620177
2030,sc01,05-20 07:00:00+02:00,10366.444882311684
2030,sc01,05-20 21:00:00+02:00,289.37908934215517
2030,sc01,05-22 15:00:00+02:00,287.87157956506263
2030,sc01,05-23 02:00:00+02:00,796.4253182750986
2030,sc01,05-23 19:00:00+02:00,6808.959993619912
2030,sc01,05-24 14:00:00+02:00,82.31806186614448
2030,sc01,05-26 04:00:00+02:00,104.67317224289192
2030,sc01,05-26 06:00:00+02:00,38.355527984801505
2030,sc01,05-26 17:00:00+02:00,687.719915682243
2030,sc01,05-27 01:00:00+02:00,87.62169966181408
2030,sc01,05-27 21:00:00+02:00,437.4825463640302
2030,sc01,05-31 09:00:00+02:00,1704.743143559014
2030,sc01,06-01 02:00:00+02:00,70.10830205579813
2030,sc01,06-01 08:00:00+02:00,38.10397044007462
2030,sc01,06-01 16:00:00+02:00,90.47345658627266
2030,sc01,06-02 16:00:00+02:00,186.3027809364809
2030,sc01,06-03 09:00:00+02:00,168.26863785904547
2030,sc01,06-03 13:00:00+02:00,315.394827067277
2030,sc01,06-04 11:00:00+02:00,319.8478384703915
2030,sc01,06-04 14:00:00+02:00,77.94680210978424
2030,sc01,06-05 20:00:00+02:00,7524.823869815241
2030,sc01,06-06 06:00:00+02:00,4753.385788393473
2030,sc01,06-07 07:00:00+02:00,4918.95477182417
2030,sc01,06-07 08:00:00+02:00,4586.195269107298
2030,sc01,06-07 11:00:00+02:00,830.9285244278536
2030,sc01,06-07 14:00:00+02:00,75.25141123652492
2030,sc01,06-07 17:00:00+02:00,12951.450493800812
2030,sc01,06-08 03:00:00+02:00,82.66911196454721
2030,sc01,06-08 21:00:00+02:00,1534.8295798355234
2030,sc01,06-10 04:00:00+02:00,2.6417725410760426
2030,sc01,06-10 09:00:00+02:00,0.8417835361882425
2030,sc01,06-11 03:00:00+02:00,135.66616995382506
2030,sc01,06-12 10:00:00+02:00,5286.345764139637
2030,sc01,06-13 08:00:00+02:00,690.7275118310182
2030,sc01,06-14 10:00:00+02:00,31.35405574842952
2030,sc01,06-17 02:00:00+02:00,34.329790322097594
2030,sc01,06-18 04:00:00+02:00,2603.5766719107946
2030,sc01,06-18 06:00:00+02:00,11654.839445235524
2030,sc01,06-19 09:00:00+02:00,3745.4860356645313
2030,sc01,06-19 11:00:00+02:00,1639.6464191808961
2030,sc01,06-20 08:00:00+02:00,2851.954066148555
2030,sc01,06-21 21:00:00+02:00,41.10701992227251
2030,sc01,06-22 04:00:00+02:00,730.6693689090993
2030,sc01,06-22 15:00:00+02:00,19.631529129175988
2030,sc01,06-23 00:00:00+02:00,1445.6396101596742
2030,sc01,06-23 13:00:00+02:00,493.33334261519855
2030,sc01,06-24 03:00:00+02:00,237.06543148435287
2030,sc01,06-24 17:00:00+02:00,7162.1149036723
2030,sc01,06-25 10:00:00+02:00,721.6482300263938
2030,sc01,06-26 00:00:00+02:00,337.7219139088632
2030,sc01,06-26 09:00:00+02:00,262.33265321280544
