Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-05 16:00:00+01:00,N_109,N_111,eac1,-0.059768818653508304
2030,sc01,01-05 16:00:00+01:00,N_101,N_102,eac1,0.09515222445654178
2030,sc01,01-05 16:00:00+01:00,N_110,N_112,eac1,-0.06430197242801516
2030,sc01,01-05 16:00:00+01:00,N_108,N_110,eac1,0.050243654925921394
2030,sc01,01-05 16:00:00+01:00,N_118,N_121,cac2,-0.13338875660429683
2030,sc01,01-05 16:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-05 16:00:00+01:00,N_117,N_122,eac1,-0.046562689001962476
2030,sc01,01-05 16:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-05 16:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-05 16:00:00+01:00,N_101,N_103,eac1,-0.008060270438600442
2030,sc01,01-05 16:00:00+01:00,N_105,N_110,eac1,-0.0038398812779411873
2030,sc01,01-05 16:00:00+01:00,N_115,N_124,eac1,0.15581904544095285
2030,sc01,01-05 16:00:00+01:00,N_116,N_117,cac1,-0.10994698394663893
2030,sc01,01-05 16:00:00+01:00,N_111,N_113,eac1,0.028063561098594092
2030,sc01,01-05 16:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,01-05 16:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-05 16:00:00+01:00,N_108,N_109,eac1,0.040848835074078604
2030,sc01,01-05 16:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-05 16:00:00+01:00,N_116,N_117,cac3,0.0
2030,sc01,01-05 16:00:00+01:00,N_106,N_110,eac1,-0.03600603925666998
2030,sc01,01-05 16:00:00+01:00,N_103,N_124,eac1,-0.15581904544095282
2030,sc01,01-05 16:00:00+01:00,N_118,N_121,cac1,-0.06669437830214842
2030,sc01,01-05 16:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-05 16:00:00+01:00,N_112,N_123,eac1,-0.11358454799262374
2030,sc01,01-05 16:00:00+01:00,N_102,N_104,eac1,0.025490973275211742
2030,sc01,01-05 16:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-05 16:00:00+01:00,N_120,N_123,eac1,0.008861961624269998
2030,sc01,01-05 16:00:00+01:00,N_121,N_122,eac1,-0.018999787158037573
2030,sc01,01-05 16:00:00+01:00,N_118,N_121,cac3,0.0
2030,sc01,01-05 16:00:00+01:00,N_115,N_116,eac1,0.07835844180849105
2030,sc01,01-05 16:00:00+01:00,N_117,N_118,eac1,-0.13107508226153142
2030,sc01,01-05 16:00:00+01:00,N_116,N_117,eac1,-0.10994698394663893
2030,sc01,01-05 16:00:00+01:00,N_109,N_112,eac1,-0.04581466900084896
2030,sc01,01-05 16:00:00+01:00,N_114,N_116,eac1,-0.292137980932777
2030,sc01,01-05 16:00:00+01:00,N_110,N_111,eac1,-0.07825612208067456
2030,sc01,01-05 16:00:00+01:00,N_102,N_106,eac1,0.021985158793330045
2030,sc01,01-05 16:00:00+01:00,N_101,N_105,eac1,0.043839793492058826
2030,sc01,01-05 16:00:00+01:00,N_113,N_123,eac1,-0.12875537212164637
2030,sc01,01-05 16:00:00+01:00,N_119,N_120,eac1,0.08489543759426998
2030,sc01,01-05 16:00:00+01:00,N_116,N_119,eac1,0.21436688116226998
2030,sc01,01-05 16:00:00+01:00,N_118,N_121,eac1,-0.06669437830214842
2030,sc01,01-05 16:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-05 16:00:00+01:00,N_115,N_121,eac1,-0.10422227394944387
2030,sc01,01-05 16:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-05 16:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-05 16:00:00+01:00,N_107,N_108,eac1,0.17500000000000002
2030,sc01,01-05 16:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-05 16:00:00+01:00,N_111,N_114,eac1,-0.166088501832777
2030,sc01,01-05 16:00:00+01:00,N_117,N_118,cac2,-0.26215016452306106
2030,sc01,01-05 16:00:00+01:00,N_116,N_117,cac2,-0.21989396789327786
2030,sc01,01-05 16:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-05 16:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-05 16:00:00+01:00,N_112,N_113,eac1,0.003467906563759615
2030,sc01,01-05 16:00:00+01:00,N_104,N_109,eac1,-0.02640314328078827
2030,sc01,01-05 16:00:00+01:00,N_103,N_109,eac1,0.029551641952352437
2030,sc01,01-22 10:00:00+01:00,N_109,N_111,eac1,-0.054597271674521664
2030,sc01,01-22 10:00:00+01:00,N_101,N_102,eac1,0.011127057733064633
2030,sc01,01-22 10:00:00+01:00,N_110,N_112,eac1,-0.05515563593167533
2030,sc01,01-22 10:00:00+01:00,N_108,N_110,eac1,0.028729408980186416
2030,sc01,01-22 10:00:00+01:00,N_118,N_121,cac2,-0.2413830994215327
2030,sc01,01-22 10:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-22 10:00:00+01:00,N_117,N_122,eac1,-0.24791333435693513
2030,sc01,01-22 10:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-22 10:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-22 10:00:00+01:00,N_101,N_103,eac1,0.0033525644287134837
2030,sc01,01-22 10:00:00+01:00,N_105,N_110,eac1,0.03767881886822186
2030,sc01,01-22 10:00:00+01:00,N_115,N_124,eac1,0.17500000000000002
2030,sc01,01-22 10:00:00+01:00,N_116,N_117,cac1,-0.17908326529322505
2030,sc01,01-22 10:00:00+01:00,N_111,N_113,eac1,0.09431955061611808
2030,sc01,01-22 10:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,01-22 10:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-22 10:00:00+01:00,N_108,N_109,eac1,0.006997628019813601
2030,sc01,01-22 10:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-22 10:00:00+01:00,N_116,N_117,cac3,0.0
2030,sc01,01-22 10:00:00+01:00,N_106,N_110,eac1,-0.04154535138008261
2030,sc01,01-22 10:00:00+01:00,N_103,N_124,eac1,-0.17500000000000002
2030,sc01,01-22 10:00:00+01:00,N_118,N_121,cac1,-0.12069154971076634
2030,sc01,01-22 10:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-22 10:00:00+01:00,N_112,N_123,eac1,-0.0874743819778917
2030,sc01,01-22 10:00:00+01:00,N_102,N_104,eac1,0.04628031837075344
2030,sc01,01-22 10:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-22 10:00:00+01:00,N_120,N_123,eac1,0.11527659412226043
2030,sc01,01-22 10:00:00+01:00,N_121,N_122,eac1,-0.30576619884306494
2030,sc01,01-22 10:00:00+01:00,N_118,N_121,cac3,0.0
2030,sc01,01-22 10:00:00+01:00,N_115,N_116,eac1,0.08309724839999999
2030,sc01,01-22 10:00:00+01:00,N_117,N_118,eac1,-0.15613990893865504
2030,sc01,01-22 10:00:00+01:00,N_116,N_117,eac1,-0.17908326529322505
2030,sc01,01-22 10:00:00+01:00,N_109,N_112,eac1,-0.012391428106197977
2030,sc01,01-22 10:00:00+01:00,N_114,N_116,eac1,-0.3705595517906387
2030,sc01,01-22 10:00:00+01:00,N_110,N_111,eac1,-0.09736147949999902
2030,sc01,01-22 10:00:00+01:00,N_102,N_106,eac1,0.0709234342199174
2030,sc01,01-22 10:00:00+01:00,N_101,N_105,eac1,0.09386310068822187
2030,sc01,01-22 10:00:00+01:00,N_113,N_123,eac1,-0.10865393795386363
2030,sc01,01-22 10:00:00+01:00,N_119,N_120,eac1,0.23870899132226042
2030,sc01,01-22 10:00:00+01:00,N_116,N_119,eac1,0.34014692928226054
2030,sc01,01-22 10:00:00+01:00,N_118,N_121,eac1,-0.12069154971076634
2030,sc01,01-22 10:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-22 10:00:00+01:00,N_115,N_121,eac1,-0.17500000000000002
2030,sc01,01-22 10:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-22 10:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-22 10:00:00+01:00,N_107,N_108,eac1,0.17500000000000002
