Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-07 19:00:00+01:00,Coal,0.2399826429702041
2030,sc01,01-07 19:00:00+01:00,Wind,52.72850522039774
2030,sc01,01-07 19:00:00+01:00,Gas,26.354428667
2030,sc01,01-07 19:00:00+01:00,Nuclear,0.0
2030,sc01,01-07 19:00:00+01:00,Oil,0.0
2030,sc01,01-07 19:00:00+01:00,Solar,154.501130277032
2030,sc01,01-07 19:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-07 19:00:00+01:00,Battery,0.0
2030,sc01,01-07 19:00:00+01:00,Hydro,0.0
2030,sc01,01-10 13:00:00+01:00,Coal,1.7863884311279978
2030,sc01,01-10 13:00:00+01:00,Wind,0.6489094764000001
2030,sc01,01-10 13:00:00+01:00,Gas,1.84473964425
2030,sc01,01-10 13:00:00+01:00,Nuclear,1.056
2030,sc01,01-10 13:00:00+01:00,Oil,0.0
2030,sc01,01-10 13:00:00+01:00,Solar,1.830218000562
2030,sc01,01-10 13:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-10 13:00:00+01:00,Battery,0.0
2030,sc01,01-10 13:00:00+01:00,Hydro,0.0
2030,sc01,01-17 07:00:00+01:00,Coal,0.2123912976844564
2030,sc01,01-17 07:00:00+01:00,Wind,1.1973934393126906
2030,sc01,01-17 07:00:00+01:00,Gas,0.43564974732285083
2030,sc01,01-17 07:00:00+01:00,Nuclear,0.0
2030,sc01,01-17 07:00:00+01:00,Oil,0.0
2030,sc01,01-17 07:00:00+01:00,Solar,2.4332839984399994
2030,sc01,01-17 07:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-17 07:00:00+01:00,Battery,0.0
2030,sc01,01-17 07:00:00+01:00,Hydro,0.0
2030,sc01,01-17 17:00:00+01:00,Coal,10.84156642345552
2030,sc01,01-17 17:00:00+01:00,Wind,8.731263469388457
2030,sc01,01-17 17:00:00+01:00,Gas,2.8415643740000003
2030,sc01,01-17 17:00:00+01:00,Nuclear,1.6282960794759926
2030,sc01,01-17 17:00:00+01:00,Oil,0.0
2030,sc01,01-17 17:00:00+01:00,Solar,0.35391320168
2030,sc01,01-17 17:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-17 17:00:00+01:00,Battery,0.0
2030,sc01,01-17 17:00:00+01:00,Hydro,0.0
2030,sc01,01-28 10:00:00+01:00,Coal,0.8141196133399276
2030,sc01,01-28 10:00:00+01:00,Wind,0.7129592412
