Period,Scenario,LoadLevel,Unit,p.u.
2030,sc01,01-20 19:00:00+01:00,CCGT_2,0.4369186550347187
2030,sc01,01-20 19:00:00+01:00,CCGT_3,0.7378424198252789
2030,sc01,01-20 19:00:00+01:00,OCGT_2,1.0
2030,sc01,01-20 19:00:00+01:00,OCGT_1,1.0
2030,sc01,01-20 19:00:00+01:00,DomesticCoal_Anthracite,1.0
2030,sc01,01-20 19:00:00+01:00,CCGT_1,1.0
2030,sc01,01-20 19:00:00+01:00,ImportedCoal_Bituminous,1.0
2030,sc01,01-20 19:00:00+01:00,Nuclear,0.1290167358372214
2030,sc01,01-20 19:00:00+01:00,FuelOilGas,1.0
2030,sc01,01-20 19:00:00+01:00,CCGT_4,1.0
2030,sc01,01-20 19:00:00+01:00,OCGT_3,1.0
2030,sc01,01-20 19:00:00+01:00,BrownLignite,1.0
2030,sc01,01-20 19:00:00+01:00,ImportedCoal_SubBituminous,1.0
2030,sc01,01-21 17:00:00+01:00,CCGT_2,0.8341223818289256
2030,sc01,01-21 17:00:00+01:00,CCGT_3,0.13275922973107618
2030,sc01,01-21 17:00:00+01:00,OCGT_2,0.0
2030,sc01,01-21 17:00:00+01:00,OCGT_1,0.0
2030,sc01,01-21 17:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-21 17:00:00+01:00,CCGT_1,0.0
2030,sc01,01-21 17:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-21 17:00:00+01:00,Nuclear,0.8709832641627786
2030,sc01,01-21 17:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-21 17:00:00+01:00,CCGT_4,0.9515873179191013
2030,sc01,01-21 17:00:00+01:00,OCGT_3,0.0
2030,sc01,01-21 17:00:00+01:00,BrownLignite,0.0
2030,sc01,01-21 17:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-02 14:00:00+01:00,CCGT_2,0.7289589631363556
2030,sc01,02-02 14:00:00+01:00,CCGT_3,0.12939835044364495
2030,sc01,02-02 14:00:00+01:00,OCGT_2,0.0
2030,sc01,02-02 14:00:00+01:00,OCGT_1,0.0
2030,sc01,02-02 14:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,02-02 14:00:00+01:00,CCGT_1,0.0
2030,sc01,02-02 14:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,02-02 14:00:00+01:00,Nuclear,1.0
2030,sc01,02-02 14:00:00+01:00,FuelOilGas,0.0
2030,sc01,02-02 14:00:00+01:00,CCGT_4,0.048412682080898675
2030,sc01,02-02 14:00:00+01:00,OCGT_3,0.0
2030,sc01,02-02 14:00:00+01:00,BrownLignite,0.0
2030,sc01,02-02 14:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-05 20:00:00+01:00,CCGT_2,0.0
2030,sc01,02-05 20:00:00+01:00,CCGT_3,0.7251699588802807
2030,sc01,02-05 20:00:00+01:00,OCGT_2,0.0
2030,sc01,02-05 20:00:00+01:00,OCGT_1,0.0
2030,sc01,02-05 20:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,02-05 20:00:00+01:00,CCGT_1,0.9405727624397191
2030,sc01,02-05 20:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,02-05 20:00:00+01:00,Nuclear,0.009785954407724229
2030,sc01,02-05 20:00:00+01:00,FuelOilGas,0.0
2030,sc01,02-05 20:00:00+01:00,CCGT_4,0.0
2030,sc01,02-05 20:00:00+01:00,OCGT_3,0.0
2030,sc01,02-05 20:00:00+01:00,BrownLignite,0.0
2030,sc01,02-05 20:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-06 07:00:00+01:00,CCGT_2,0.6788384026799978
2030,sc01,02-06 07:00:00+01:00,CCGT_3,0.27483004111971926
2030,sc01,02-06 07:00:00+01:00,OCGT_2,0.0
