,Weight
st1,2.0
st10,5.0
st11,1.0
st12,7.0
st13,1.0
st14,2.0
st15,1.0
st16,2.0
st17,3.0
st18,4.0
st19,3.0
st2,1.0
st20,5.0
st21,1.0
st22,12.0
st23,4.0
st24,1.0
st25,16.0
st26,1.0
st27,16.0
st28,1.0
st29,5.0
st3,1.0
st30,1.0
st31,1.0
st32,26.0
st33,1.0
st34,5.0
st35,18.0
st36,1.0
st37,47.0
st38,1.0
st39,1.0
st4,3.0
st40,3.0
st41,3.0
st42,1.0
st43,2.0
st44,2.0
st45,1.0
st46,1.0
st47,2.0
st48,3.0
st49,9.0
st5,3.0
st50,1.0
st51,3.0
st52,5.0
st53,5.0
st54,3.0
st55,5.0
st56,63.0
st57,41.0
st58,1.0
st59,1.0
st6,1.0
st60,1.0
st7,1.0
st8,1.0
st9,2.0
