Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,03-24 16:00:00+01:00,N_112,N_113,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_110,N_112,eac1,-0.04948538756056742
2030,sc01,03-24 16:00:00+01:00,N_120,N_123,eac1,0.03625113842216943
2030,sc01,03-24 16:00:00+01:00,N_118,N_121,eac2,-0.059398197668138586
2030,sc01,03-24 16:00:00+01:00,N_115,N_116,eac1,0.11357060954902742
2030,sc01,03-24 16:00:00+01:00,N_103,N_109,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_109,N_112,eac1,-0.02470233087595075
2030,sc01,03-24 16:00:00+01:00,N_101,N_102,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_101,N_103,eac1,0.008993648568957013
2030,sc01,03-24 16:00:00+01:00,N_116,N_119,eac1,0.17119500324433878
2030,sc01,03-24 16:00:00+01:00,N_115,N_121,eac1,-0.0849067750728894
2030,sc01,03-24 16:00:00+01:00,N_119,N_120,eac1,0.06439720473216948
2030,sc01,03-24 16:00:00+01:00,N_114,N_116,eac1,-0.17290229147312486
2030,sc01,03-24 16:00:00+01:00,N_101,N_105,eac1,0.07319216986062868
2030,sc01,03-24 16:00:00+01:00,N_106,N_110,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_108,N_110,eac1,-0.058790690345332186
2030,sc01,03-24 16:00:00+01:00,N_111,N_114,eac1,-0.08758452797312488
2030,sc01,03-24 16:00:00+01:00,N_108,N_109,eac1,-0.07138486633466784
2030,sc01,03-24 16:00:00+01:00,N_113,N_123,eac1,-0.030010805909733013
2030,sc01,03-24 16:00:00+01:00,N_117,N_118,eac1,-0.07166330353219408
2030,sc01,03-24 16:00:00+01:00,N_102,N_104,eac1,0.027023119619060454
2030,sc01,03-24 16:00:00+01:00,N_107,N_108,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_110,N_111,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_120,N_123,eac2,0.03625113842216943
2030,sc01,03-24 16:00:00+01:00,N_121,N_122,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_104,N_109,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_111,N_113,eac1,-0.010572252607820798
2030,sc01,03-24 16:00:00+01:00,N_102,N_106,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_112,N_123,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_112,N_113,eac1,-0.03169624750191219
2030,sc01,03-24 16:00:00+01:00,N_115,N_121,eac2,-0.0849067750728894
2030,sc01,03-24 16:00:00+01:00,N_119,N_120,eac2,0.06439720473216948
2030,sc01,03-24 16:00:00+01:00,N_105,N_110,eac1,0.04196762754062869
2030,sc01,03-24 16:00:00+01:00,N_118,N_121,cac2,-0.059398197668138364
2030,sc01,03-24 16:00:00+01:00,N_116,N_117,cac1,-0.13725245688421994
2030,sc01,03-24 16:00:00+01:00,N_115,N_124,cac1,0.04332275302126817
2030,sc01,03-24 16:00:00+01:00,N_119,N_120,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_117,N_122,eac1,-0.1311783067040344
2030,sc01,03-24 16:00:00+01:00,N_113,N_123,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_117,N_118,cac1,-0.07166330353220696
2030,sc01,03-24 16:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_107,N_108,eac1,-0.054972785760000004
2030,sc01,03-24 16:00:00+01:00,N_102,N_104,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_110,N_112,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_103,N_109,eac1,0.04967834312149336
2030,sc01,03-24 16:00:00+01:00,N_121,N_122,eac1,-0.16582169329596574
2030,sc01,03-24 16:00:00+01:00,N_120,N_123,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_101,N_102,eac1,0.03751769467041477
2030,sc01,03-24 16:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,03-24 16:00:00+01:00,N_104,N_109,eac1,0.03727923044906045
