Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-31 11:00:00+01:00,Coal,285.4975105709119
2030,sc01,01-31 11:00:00+01:00,Gas,149.64549605028
2030,sc01,01-31 11:00:00+01:00,Nuclear,142.09755196706814
2030,sc01,01-31 11:00:00+01:00,Hydro,0.0
2030,sc01,01-31 11:00:00+01:00,Wind,481.1350704715959
2030,sc01,01-31 11:00:00+01:00,Solar,204.12650297362399
2030,sc01,01-31 11:00:00+01:00,Oil,0.0
2030,sc01,01-31 11:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-31 11:00:00+01:00,Battery,0.0
2030,sc01,02-16 05:00:00+01:00,Coal,0.0
2030,sc01,02-16 05:00:00+01:00,Gas,0.0
2030,sc01,02-16 05:00:00+01:00,Nuclear,0.0
2030,sc01,02-16 05:00:00+01:00,Hydro,0.0
2030,sc01,02-16 05:00:00+01:00,Wind,0.0
2030,sc01,02-16 05:00:00+01:00,Solar,557.7652205898004
2030,sc01,02-16 05:00:00+01:00,Oil,0.0
2030,sc01,02-16 05:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-16 05:00:00+01:00,Battery,0.0
2030,sc01,02-22 22:00:00+01:00,Coal,0.0
2030,sc01,02-22 22:00:00+01:00,Gas,0.0
2030,sc01,02-22 22:00:00+01:00,Nuclear,0.0
2030,sc01,02-22 22:00:00+01:00,Hydro,0.0
2030,sc01,02-22 22:00:00+01:00,Wind,67.5477643397625
2030,sc01,02-22 22:00:00+01:00,Solar,701.5556615785576
2030,sc01,02-22 22:00:00+01:00,Oil,0.0
2030,sc01,02-22 22:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-22 22:00:00+01:00,Battery,0.0
2030,sc01,02-28 03:00:00+01:00,Coal,0.0
2030,sc01,02-28 03:00:00+01:00,Gas,0.0
2030,sc01,02-28 03:00:00+01:00,Nuclear,0.0
2030,sc01,02-28 03:00:00+01:00,Hydro,0.0
2030,sc01,02-28 03:00:00+01:00,Wind,0.0
2030,sc01,02-28 03:00:00+01:00,Solar,432.04257480200005
2030,sc01,02-28 03:00:00+01:00,Oil,0.0
2030,sc01,02-28 03:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,02-28 03:00:00+01:00,Battery,0.0
2030,sc01,05-16 17:00:00+02:00,Coal,0.0
2030,sc01,05-16 17:00:00+02:00,Gas,0.0
2030,sc01,05-16 17:00:00+02:00,Nuclear,0.0
2030,sc01,05-16 17:00:00+02:00,Hydro,0.0
2030,sc01,05-16 17:00:00+02:00,Wind,654.0806384725989
2030,sc01,05-16 17:00:00+02:00,Solar,487.67525876465004
2030,sc01,05-16 17:00:00+02:00,Oil,0.0
2030,sc01,05-16 17:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,05-16 17:00:00+02:00,Battery,0.0
2030,sc01,05-27 07:00:00+02:00,Coal,1.064658594843826
2030,sc01,05-27 07:00:00+02:00,Gas,29.494861041032017
2030,sc01,05-27 07:00:00+02:00,Nuclear,0.0
2030,sc01,05-27 07:00:00+02:00,Hydro,0.0
2030,sc01,05-27 07:00:00+02:00,Wind,186.87948195840002
2030,sc01,05-27 07:00:00+02:00,Solar,120.757742490924
2030,sc01,05-27 07:00:00+02:00,Oil,0.0
2030,sc01,05-27 07:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,05-27 07:00:00+02:00,Battery,0.0
2030,sc01,05-27 08:00:00+02:00,Coal,0.0
2030,sc01,05-27 08:00:00+02:00,Gas,0.0
2030,sc01,05-27 08:00:00+02:00,Nuclear,0.0
2030,sc01,05-27 08:00:00+02:00,Hydro,0.0
2030,sc01,05-27 08:00:00+02:00,Wind,407.16641578891927
2030,sc01,05-27 08:00:00+02:00,Solar,550.69911981848
2030,sc01,05-27 08:00:00+02:00,Oil,0.0
2030,sc01,05-27 08:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,05-27 08:00:00+02:00,Battery,0.0
2030,sc01,06-16 11:00:00+02:00,Coal,0.0
2030,sc01,06-16 11:00:00+02:00,Gas,0.0
2030,sc01,06-16 11:00:00+02:00,Nuclear,0.0
2030,sc01,06-16 11:00:00+02:00,Hydro,0.0
2030,sc01,06-16 11:00:00+02:00,Wind,0.0
2030,sc01,06-16 11:00:00+02:00,Solar,406.10432068673987
2030,sc01,06-16 11:00:00+02:00,Oil,0.0
2030,sc01,06-16 11:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,06-16 11:00:00+02:00,Battery,0.0
2030,sc01,06-28 13:00:00+02:00,Coal,0.0
2030,sc01,06-28 13:00:00+02:00,Gas,0.0
2030,sc01,06-28 13:00:00+02:00,Nuclear,0.0
2030,sc01,06-28 13:00:00+02:00,Hydro,0.0
2030,sc01,06-28 13:00:00+02:00,Wind,31.719557488076862
2030,sc01,06-28 13:00:00+02:00,Solar,379.6421425832731
2030,sc01,06-28 13:00:00+02:00,Oil,0.0
2030,sc01,06-28 13:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,06-28 13:00:00+02:00,Battery,0.0
2030,sc01,07-25 01:00:00+02:00,Coal,0.0
2030,sc01,07-25 01:00:00+02:00,Gas,0.0
2030,sc01,07-25 01:00:00+02:00,Nuclear,0.0
2030,sc01,07-25 01:00:00+02:00,Hydro,0.0
2030,sc01,07-25 01:00:00+02:00,Wind,0.0
2030,sc01,07-25 01:00:00+02:00,Solar,306.14915478925
2030,sc01,07-25 01:00:00+02:00,Oil,0.0
2030,sc01,07-25 01:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,07-25 01:00:00+02:00,Battery,0.0
2030,sc01,07-30 10:00:00+02:00,Coal,0.0
2030,sc01,07-30 10:00:00+02:00,Gas,0.0
2030,sc01,07-30 10:00:00+02:00,Nuclear,45.62532490772001
2030,sc01,07-30 10:00:00+02:00,Hydro,0.0
2030,sc01,07-30 10:00:00+02:00,Wind,27.33791973264
2030,sc01,07-30 10:00:00+02:00,Solar,428.56670590320005
2030,sc01,07-30 10:00:00+02:00,Oil,0.0
2030,sc01,07-30 10:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,07-30 10:00:00+02:00,Battery,0.0
2030,sc01,07-31 22:00:00+02:00,Coal,0.0
2030,sc01,07-31 22:00:00+02:00,Gas,0.0
2030,sc01,07-31 22:00:00+02:00,Nuclear,0.0
2030,sc01,07-31 22:00:00+02:00,Hydro,0.0
2030,sc01,07-31 22:00:00+02:00,Wind,39.549096685072186
2030,sc01,07-31 22:00:00+02:00,Solar,471.187236333748
2030,sc01,07-31 22:00:00+02:00,Oil,0.0
2030,sc01,07-31 22:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,07-31 22:00:00+02:00,Battery,0.0
2030,sc01,08-03 13:00:00+02:00,Coal,0.0
2030,sc01,08-03 13:00:00+02:00,Gas,0.0
2030,sc01,08-03 13:00:00+02:00,Nuclear,1.7265071151490001
2030,sc01,08-03 13:00:00+02:00,Hydro,0.0
2030,sc01,08-03 13:00:00+02:00,Wind,2.5683879195
2030,sc01,08-03 13:00:00+02:00,Solar,14.789591941301001
2030,sc01,08-03 13:00:00+02:00,Oil,0.0
2030,sc01,08-03 13:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,08-03 13:00:00+02:00,Battery,0.0
2030,sc01,08-11 04:00:00+02:00,Coal,0.0
2030,sc01,08-11 04:00:00+02:00,Gas,0.0
2030,sc01,08-11 04:00:00+02:00,Nuclear,0.0
2030,sc01,08-11 04:00:00+02:00,Hydro,0.0
2030,sc01,08-11 04:00:00+02:00,Wind,0.0
2030,sc01,08-11 04:00:00+02:00,Solar,282.7372510172521
2030,sc01,08-11 04:00:00+02:00,Oil,0.0
2030,sc01,08-11 04:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,08-11 04:00:00+02:00,Battery,0.0
2030,sc01,08-29 18:00:00+02:00,Coal,54.08942760933952
2030,sc01,08-29 18:00:00+02:00,Gas,191.14677047390427
2030,sc01,08-29 18:00:00+02:00,Nuclear,143.96800000000002
2030,sc01,08-29 18:00:00+02:00,Hydro,0.0
2030,sc01,08-29 18:00:00+02:00,Wind,167.2160681416
2030,sc01,08-29 18:00:00+02:00,Solar,164.178878360226
2030,sc01,08-29 18:00:00+02:00,Oil,0.0
2030,sc01,08-29 18:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,08-29 18:00:00+02:00,Battery,0.0
2030,sc01,09-04 21:00:00+02:00,Coal,0.0
2030,sc01,09-04 21:00:00+02:00,Gas,0.0
2030,sc01,09-04 21:00:00+02:00,Nuclear,0.0
2030,sc01,09-04 21:00:00+02:00,Hydro,0.0
2030,sc01,09-04 21:00:00+02:00,Wind,0.0
2030,sc01,09-04 21:00:00+02:00,Solar,300.85869189528006
2030,sc01,09-04 21:00:00+02:00,Oil,0.0
2030,sc01,09-04 21:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,09-04 21:00:00+02:00,Battery,0.0
2030,sc01,09-19 17:00:00+02:00,Coal,45.716022620497974
2030,sc01,09-19 17:00:00+02:00,Gas,214.90778713899806
2030,sc01,09-19 17:00:00+02:00,Nuclear,212.60800000000003
2030,sc01,09-19 17:00:00+02:00,Hydro,0.0
2030,sc01,09-19 17:00:00+02:00,Wind,258.3098250128
2030,sc01,09-19 17:00:00+02:00,Solar,270.830056118184
2030,sc01,09-19 17:00:00+02:00,Oil,0.0
2030,sc01,09-19 17:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,09-19 17:00:00+02:00,Battery,0.0
2030,sc01,10-01 06:00:00+02:00,Coal,79.46922723988988
2030,sc01,10-01 06:00:00+02:00,Gas,186.9020209317699
2030,sc01,10-01 06:00:00+02:00,Nuclear,139.04000000000002
2030,sc01,10-01 06:00:00+02:00,Hydro,0.0
2030,sc01,10-01 06:00:00+02:00,Wind,146.38397524799998
2030,sc01,10-01 06:00:00+02:00,Solar,18.135033502690003
2030,sc01,10-01 06:00:00+02:00,Oil,0.0
2030,sc01,10-01 06:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,10-01 06:00:00+02:00,Battery,0.0
2030,sc01,10-04 03:00:00+02:00,Coal,0.0
2030,sc01,10-04 03:00:00+02:00,Gas,0.0
2030,sc01,10-04 03:00:00+02:00,Nuclear,0.0
2030,sc01,10-04 03:00:00+02:00,Hydro,0.0
2030,sc01,10-04 03:00:00+02:00,Wind,0.0
2030,sc01,10-04 03:00:00+02:00,Solar,498.90675519326805
2030,sc01,10-04 03:00:00+02:00,Oil,0.0
2030,sc01,10-04 03:00:00+02:00,SynchronousCondenser,0.0
2030,sc01,10-04 03:00:00+02:00,Battery,0.0
2030,sc01,11-27 19:00:00+01:00,Coal,0.0
2030,sc01,11-27 19:00:00+01:00,Gas,0.0
2030,sc01,11-27 19:00:00+01:00,Nuclear,0.0
2030,sc01,11-27 19:00:00+01:00,Hydro,0.0
2030,sc01,11-27 19:00:00+01:00,Wind,190.65825841009863
2030,sc01,11-27 19:00:00+01:00,Solar,443.7165679751813
2030,sc01,11-27 19:00:00+01:00,Oil,0.0
2030,sc01,11-27 19:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,11-27 19:00:00+01:00,Battery,0.0
2030,sc01,11-29 01:00:00+01:00,Coal,0.0
2030,sc01,11-29 01:00:00+01:00,Gas,0.0
2030,sc01,11-29 01:00:00+01:00,Nuclear,0.0
2030,sc01,11-29 01:00:00+01:00,Hydro,0.0
2030,sc01,11-29 01:00:00+01:00,Wind,0.0
2030,sc01,11-29 01:00:00+01:00,Solar,631.1842698957839
2030,sc01,11-29 01:00:00+01:00,Oil,0.0
2030,sc01,11-29 01:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,11-29 01:00:00+01:00,Battery,0.0
