Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-02 18:00:00+01:00,N_118,N_121,cac3,0.08365065720169744
2030,sc01,01-02 18:00:00+01:00,N_113,N_123,eac1,0.06919109254884108
2030,sc01,01-02 18:00:00+01:00,N_110,N_112,eac1,0.32981404837352607
2030,sc01,01-02 18:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,01-02 18:00:00+01:00,N_108,N_110,eac1,0.509288309937144
2030,sc01,01-02 18:00:00+01:00,N_109,N_111,eac1,0.24774794119182145
2030,sc01,01-02 18:00:00+01:00,N_103,N_109,eac1,0.5264925936439852
2030,sc01,01-02 18:00:00+01:00,N_121,N_122,eac1,0.5066798562222136
2030,sc01,01-02 18:00:00+01:00,N_120,N_123,eac1,0.179822188178462
2030,sc01,01-02 18:00:00+01:00,N_101,N_102,eac1,0.06590551331765056
2030,sc01,01-02 18:00:00+01:00,N_116,N_119,eac1,0.15298769484744867
2030,sc01,01-02 18:00:00+01:00,N_102,N_106,eac1,0.115833466454439
2030,sc01,01-02 18:00:00+01:00,N_117,N_122,eac1,0.37538286285234834
2030,sc01,01-02 18:00:00+01:00,N_116,N_117,cac1,0.25053178002474097
2030,sc01,01-02 18:00:00+01:00,N_109,N_112,eac1,0.1666902263541124
2030,sc01,01-02 18:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-02 18:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,01-02 18:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-02 18:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,01-02 18:00:00+01:00,N_114,N_116,eac1,0.39336868519230567
2030,sc01,01-02 18:00:00+01:00,N_118,N_121,eac1,0.08365053172596258
2030,sc01,01-02 18:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-02 18:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-02 18:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-02 18:00:00+01:00,N_107,N_108,eac1,0.5167526292992611
2030,sc01,01-02 18:00:00+01:00,N_112,N_113,eac1,0.24782558842032013
2030,sc01,01-02 18:00:00+01:00,N_101,N_103,eac1,0.4512069998942769
2030,sc01,01-02 18:00:00+01:00,N_115,N_124,eac1,0.45087419768338177
2030,sc01,01-02 18:00:00+01:00,N_116,N_117,cac3,0.0
2030,sc01,01-02 18:00:00+01:00,N_111,N_114,eac1,0.39336868519230567
2030,sc01,01-02 18:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-02 18:00:00+01:00,N_101,N_105,eac1,0.14820776838189803
