Period,Scenario,LoadLevel,Node,SRMC
2030,sc01,01-28 00:00:00+01:00,N_105,0.6755641688257992
2030,sc01,01-28 00:00:00+01:00,N_104,0.6755641688257992
2030,sc01,01-28 00:00:00+01:00,N_115,0.6755641688257992
2030,sc01,01-28 00:00:00+01:00,N_112,0.6755641688257993
2030,sc01,01-28 00:00:00+01:00,N_124,0.6755641688257992
2030,sc01,01-28 00:00:00+01:00,N_111,0.6755641688257994
2030,sc01,01-28 00:00:00+01:00,N_119,0.6755641688257992
2030,sc01,01-28 00:00:00+01:00,N_116,0.6755641688257992
2030,sc01,01-28 00:00:00+01:00,N_110,0.675564168825799
2030,sc01,01-28 00:00:00+01:00,N_103,0.6755641688257992
2030,sc01,01-28 00:00:00+01:00,N_123,0.6755641688257992
2030,sc01,01-28 00:00:00+01:00,N_108,0.6755641688257996
2030,sc01,01-28 00:00:00+01:00,N_114,0.6755641688257992
2030,sc01,01-28 00:00:00+01:00,N_122,0.6755641688257992
2030,sc01,01-28 00:00:00+01:00,N_106,0.6755641688257992
2030,sc01,01-28 00:00:00+01:00,N_118,0.6755641688257992
2030,sc01,01-28 00:00:00+01:00,N_102,0.6755641688257992
2030,sc01,01-28 00:00:00+01:00,N_113,0.6755641688258004
2030,sc01,01-28 00:00:00+01:00,N_121,0.6755641688257992
2030,sc01,01-28 00:00:00+01:00,N_101,0.6755641688257992
2030,sc01,01-28 00:00:00+01:00,N_107,0.6755641688257996
2030,sc01,01-28 00:00:00+01:00,N_109,0.6755641688257996
2030,sc01,01-28 00:00:00+01:00,N_117,0.6755641688257992
2030,sc01,01-28 00:00:00+01:00,N_120,0.6755641688257992
2030,sc01,01-31 11:00:00+01:00,N_105,59.25073934101396
2030,sc01,01-31 11:00:00+01:00,N_104,60.18088086417952
2030,sc01,01-31 11:00:00+01:00,N_115,50.015763144178685
2030,sc01,01-31 11:00:00+01:00,N_112,49.438792483536425
2030,sc01,01-31 11:00:00+01:00,N_124,128.63317848603626
2030,sc01,01-31 11:00:00+01:00,N_111,48.038022365154866
2030,sc01,01-31 11:00:00+01:00,N_119,30.519880835456764
2030,sc01,01-31 11:00:00+01:00,N_116,26.70905675503163
2030,sc01,01-31 11:00:00+01:00,N_110,53.58458105919929
2030,sc01,01-31 11:00:00+01:00,N_103,92.61740959941072
2030,sc01,01-31 11:00:00+01:00,N_123,40.61609008749219
2030,sc01,01-31 11:00:00+01:00,N_108,55.432000334727064
2030,sc01,01-31 11:00:00+01:00,N_114,36.99030535768087
2030,sc01,01-31 11:00:00+01:00,N_122,1.0133462532386985
2030,sc01,01-31 11:00:00+01:00,N_106,56.01447351570451
2030,sc01,01-31 11:00:00+01:00,N_118,11.675456286421046
2030,sc01,01-31 11:00:00+01:00,N_102,63.72586775783678
2030,sc01,01-31 11:00:00+01:00,N_113,46.98581311231371
2030,sc01,01-31 11:00:00+01:00,N_121,3.2846605452479185
2030,sc01,01-31 11:00:00+01:00,N_101,64.67305389156142
2030,sc01,01-31 11:00:00+01:00,N_107,30.904588665595544
2030,sc01,01-31 11:00:00+01:00,N_109,57.27941961025484
2030,sc01,01-31 11:00:00+01:00,N_117,17.5068973420626
2030,sc01,01-31 11:00:00+01:00,N_120,37.05272211618556
2030,sc01,02-18 16:00:00+01:00,N_105,40.78065791529635
2030,sc01,02-18 16:00:00+01:00,N_104,40.87437173229169
2030,sc01,02-18 16:00:00+01:00,N_115,50.015763144178685
2030,sc01,02-18 16:00:00+01:00,N_112,39.79208255416173
2030,sc01,02-18 16:00:00+01:00,N_124,47.7710922124321
2030,sc01,02-18 16:00:00+01:00,N_111,39.65095186462991
2030,sc01,02-18 16:00:00+01:00,N_119,37.88596033535663
2030,sc01,02-18 16:00:00+01:00,N_116,37.50201137535432
2030,sc01,02-18 16:00:00+01:00,N_110,40.20977992838368
2030,sc01,02-18 16:00:00+01:00,N_103,44.14242378904986
2030,sc01,02-18 16:00:00+01:00,N_123,38.90317576185626
2030,sc01,02-18 16:00:00+01:00,N_108,40.39591150899654
