Period,Scenario,LoadLevel,Unit,MW
2030,sc01,01-16 19:00:00+01:00,101_PV_4,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_7,0.0
2030,sc01,01-16 19:00:00+01:00,102_PV_1,0.0
2030,sc01,01-16 19:00:00+01:00,104_PV_1,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_3,0.0
2030,sc01,01-16 19:00:00+01:00,101_PV_2,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_4,0.0
2030,sc01,01-16 19:00:00+01:00,103_PV_1,0.0
2030,sc01,01-16 19:00:00+01:00,101_PV_3,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_9,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_10,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_5,0.0
2030,sc01,01-16 19:00:00+01:00,119_PV_1,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_6,0.0
2030,sc01,01-16 19:00:00+01:00,122_WIND_1,1548.6838347237342
2030,sc01,01-16 19:00:00+01:00,101_PV_1,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_8,0.0
2030,sc01,01-16 19:00:00+01:00,118_RTPV_1,0.0
2030,sc01,01-16 19:00:00+01:00,102_PV_2,39.71706249491568
2030,sc01,01-16 19:00:00+01:00,118_RTPV_2,0.0
2030,sc01,01-16 19:00:00+01:00,113_PV_1,0.0
2030,sc01,01-22 06:00:00+01:00,101_PV_4,0.0
2030,sc01,01-22 06:00:00+01:00,118_RTPV_7,0.0
2030,sc01,01-22 06:00:00+01:00,102_PV_1,0.0
2030,sc01,01-22 06:00:00+01:00,104_PV_1,0.0
2030,sc01,01-22 06:00:00+01:00,118_RTPV_3,0.0
2030,sc01,01-22 06:00:00+01:00,101_PV_2,0.0
2030,sc01,01-22 06:00:00+01:00,118_RTPV_4,0.0
2030,sc01,01-22 06:00:00+01:00,103_PV_1,0.0
2030,sc01,01-22 06:00:00+01:00,101_PV_3,0.0
2030,sc01,01-22 06:00:00+01:00,118_RTPV_9,0.0
2030,sc01,01-22 06:00:00+01:00,118_RTPV_10,0.0
2030,sc01,01-22 06:00:00+01:00,118_RTPV_5,0.0
2030,sc01,01-22 06:00:00+01:00,119_PV_1,0.0
2030,sc01,01-22 06:00:00+01:00,118_RTPV_6,0.0
2030,sc01,01-22 06:00:00+01:00,122_WIND_1,0.0
2030,sc01,01-22 06:00:00+01:00,101_PV_1,0.0
2030,sc01,01-22 06:00:00+01:00,118_RTPV_8,0.0
2030,sc01,01-22 06:00:00+01:00,118_RTPV_1,0.0
2030,sc01,01-22 06:00:00+01:00,102_PV_2,0.0
2030,sc01,01-22 06:00:00+01:00,118_RTPV_2,0.0
2030,sc01,01-22 06:00:00+01:00,113_PV_1,0.0
2030,sc01,01-22 07:00:00+01:00,101_PV_4,0.0
2030,sc01,01-22 07:00:00+01:00,118_RTPV_7,0.0
2030,sc01,01-22 07:00:00+01:00,102_PV_1,0.0
2030,sc01,01-22 07:00:00+01:00,104_PV_1,0.0
2030,sc01,01-22 07:00:00+01:00,118_RTPV_3,0.0
2030,sc01,01-22 07:00:00+01:00,101_PV_2,0.0
2030,sc01,01-22 07:00:00+01:00,118_RTPV_4,0.0
2030,sc01,01-22 07:00:00+01:00,103_PV_1,0.0
2030,sc01,01-22 07:00:00+01:00,101_PV_3,0.0
2030,sc01,01-22 07:00:00+01:00,118_RTPV_9,0.0
2030,sc01,01-22 07:00:00+01:00,118_RTPV_10,0.0
2030,sc01,01-22 07:00:00+01:00,118_RTPV_5,0.0
2030,sc01,01-22 07:00:00+01:00,119_PV_1,0.0
2030,sc01,01-22 07:00:00+01:00,118_RTPV_6,0.0
2030,sc01,01-22 07:00:00+01:00,122_WIND_1,0.0
2030,sc01,01-22 07:00:00+01:00,101_PV_1,0.0
2030,sc01,01-22 07:00:00+01:00,118_RTPV_8,0.0
2030,sc01,01-22 07:00:00+01:00,118_RTPV_1,0.0
2030,sc01,01-22 07:00:00+01:00,102_PV_2,0.0
2030,sc01,01-22 07:00:00+01:00,118_RTPV_2,0.0
2030,sc01,01-22 07:00:00+01:00,113_PV_1,0.0
2030,sc01,01-23 09:00:00+01:00,101_PV_4,0.0
2030,sc01,01-23 09:00:00+01:00,118_RTPV_7,0.0
2030,sc01,01-23 09:00:00+01:00,102_PV_1,0.0
2030,sc01,01-23 09:00:00+01:00,104_PV_1,0.0
2030,sc01,01-23 09:00:00+01:00,118_RTPV_3,0.0
2030,sc01,01-23 09:00:00+01:00,101_PV_2,0.0
2030,sc01,01-23 09:00:00+01:00,118_RTPV_4,0.0
2030,sc01,01-23 09:00:00+01:00,103_PV_1,0.0
2030,sc01,01-23 09:00:00+01:00,101_PV_3,0.0
2030,sc01,01-23 09:00:00+01:00,118_RTPV_9,0.0
2030,sc01,01-23 09:00:00+01:00,118_RTPV_10,0.0
2030,sc01,01-23 09:00:00+01:00,118_RTPV_5,0.0
2030,sc01,01-23 09:00:00+01:00,119_PV_1,0.0
2030,sc01,01-23 09:00:00+01:00,118_RTPV_6,0.0
2030,sc01,01-23 09:00:00+01:00,122_WIND_1,0.0
2030,sc01,01-23 09:00:00+01:00,101_PV_1,0.0
2030,sc01,01-23 09:00:00+01:00,118_RTPV_8,0.0
2030,sc01,01-23 09:00:00+01:00,118_RTPV_1,0.0
2030,sc01,01-23 09:00:00+01:00,102_PV_2,0.0
2030,sc01,01-23 09:00:00+01:00,118_RTPV_2,0.0
2030,sc01,01-23 09:00:00+01:00,113_PV_1,0.0
2030,sc01,01-28 00:00:00+01:00,101_PV_4,0.214107904
2030,sc01,01-28 00:00:00+01:00,118_RTPV_7,0.0
2030,sc01,01-28 00:00:00+01:00,102_PV_1,46.08839783999994
2030,sc01,01-28 00:00:00+01:00,104_PV_1,0.11131884
2030,sc01,01-28 00:00:00+01:00,118_RTPV_3,0.0
2030,sc01,01-28 00:00:00+01:00,101_PV_2,0.221576784
2030,sc01,01-28 00:00:00+01:00,118_RTPV_4,0.0
2030,sc01,01-28 00:00:00+01:00,103_PV_1,0.0
2030,sc01,01-28 00:00:00+01:00,101_PV_3,0.217427408
2030,sc01,01-28 00:00:00+01:00,118_RTPV_9,0.0
2030,sc01,01-28 00:00:00+01:00,118_RTPV_10,0.0
2030,sc01,01-28 00:00:00+01:00,118_RTPV_5,0.0
2030,sc01,01-28 00:00:00+01:00,119_PV_1,0.0
2030,sc01,01-28 00:00:00+01:00,118_RTPV_6,0.0
2030,sc01,01-28 00:00:00+01:00,122_WIND_1,419.1050396
2030,sc01,01-28 00:00:00+01:00,101_PV_1,0.21493778
2030,sc01,01-28 00:00:00+01:00,118_RTPV_8,0.0
2030,sc01,01-28 00:00:00+01:00,118_RTPV_1,0.0
2030,sc01,01-28 00:00:00+01:00,102_PV_2,101.2
2030,sc01,01-28 00:00:00+01:00,118_RTPV_2,0.0
2030,sc01,01-28 00:00:00+01:00,113_PV_1,0.0
2030,sc01,01-29 09:00:00+01:00,101_PV_4,0.0
2030,sc01,01-29 09:00:00+01:00,118_RTPV_7,0.0
2030,sc01,01-29 09:00:00+01:00,102_PV_1,0.0
2030,sc01,01-29 09:00:00+01:00,104_PV_1,0.0
2030,sc01,01-29 09:00:00+01:00,118_RTPV_3,0.0
2030,sc01,01-29 09:00:00+01:00,101_PV_2,0.0
2030,sc01,01-29 09:00:00+01:00,118_RTPV_4,0.0
2030,sc01,01-29 09:00:00+01:00,103_PV_1,0.0
2030,sc01,01-29 09:00:00+01:00,101_PV_3,0.0
2030,sc01,01-29 09:00:00+01:00,118_RTPV_9,0.0
2030,sc01,01-29 09:00:00+01:00,118_RTPV_10,0.0
2030,sc01,01-29 09:00:00+01:00,118_RTPV_5,0.0
2030,sc01,01-29 09:00:00+01:00,119_PV_1,0.0
2030,sc01,01-29 09:00:00+01:00,118_RTPV_6,0.0
2030,sc01,01-29 09:00:00+01:00,122_WIND_1,0.0
2030,sc01,01-29 09:00:00+01:00,101_PV_1,0.0
2030,sc01,01-29 09:00:00+01:00,118_RTPV_8,0.0
2030,sc01,01-29 09:00:00+01:00,118_RTPV_1,0.0
2030,sc01,01-29 09:00:00+01:00,102_PV_2,0.0
2030,sc01,01-29 09:00:00+01:00,118_RTPV_2,0.0
2030,sc01,01-29 09:00:00+01:00,113_PV_1,0.0
2030,sc01,01-30 22:00:00+01:00,101_PV_4,0.214107904
2030,sc01,01-30 22:00:00+01:00,118_RTPV_7,0.0
2030,sc01,01-30 22:00:00+01:00,102_PV_1,102.4
2030,sc01,01-30 22:00:00+01:00,104_PV_1,107.2
2030,sc01,01-30 22:00:00+01:00,118_RTPV_3,0.0
2030,sc01,01-30 22:00:00+01:00,101_PV_2,0.221576784
2030,sc01,01-30 22:00:00+01:00,118_RTPV_4,0.0
2030,sc01,01-30 22:00:00+01:00,103_PV_1,0.0
2030,sc01,01-30 22:00:00+01:00,101_PV_3,0.217427408
2030,sc01,01-30 22:00:00+01:00,118_RTPV_9,0.0
2030,sc01,01-30 22:00:00+01:00,118_RTPV_10,0.0
2030,sc01,01-30 22:00:00+01:00,118_RTPV_5,0.0
2030,sc01,01-30 22:00:00+01:00,119_PV_1,0.0
2030,sc01,01-30 22:00:00+01:00,118_RTPV_6,0.0
2030,sc01,01-30 22:00:00+01:00,122_WIND_1,929.4358909753392
2030,sc01,01-30 22:00:00+01:00,101_PV_1,0.21493778
2030,sc01,01-30 22:00:00+01:00,118_RTPV_8,0.0
2030,sc01,01-30 22:00:00+01:00,118_RTPV_1,0.0
