Period,Scenario,LoadLevel,Unit,GWh
2030,sc01,01-03 16:00:00+01:00,102_STEAM_3,0.0
2030,sc01,01-03 16:00:00+01:00,107_CC_1,8.701756936
2030,sc01,01-03 16:00:00+01:00,118_RTPV_9,0.011022288128
2030,sc01,01-03 16:00:00+01:00,101_PV_4,1.20781315808
2030,sc01,01-03 16:00:00+01:00,118_RTPV_1,0.8977846259200001
2030,sc01,01-03 16:00:00+01:00,101_STEAM_3,0.0
2030,sc01,01-03 16:00:00+01:00,118_RTPV_10,0.004815562752
2030,sc01,01-03 16:00:00+01:00,118_RTPV_7,0.012627475712000001
2030,sc01,01-03 16:00:00+01:00,118_RTPV_2,0.010380212992000001
2030,sc01,01-03 16:00:00+01:00,118_RTPV_5,0.009738137984
2030,sc01,01-03 16:00:00+01:00,113_PV_1,0.100163705216
2030,sc01,01-03 16:00:00+01:00,102_CT_2,0.0
2030,sc01,01-03 16:00:00+01:00,104_PV_1,0.008905503616000001
2030,sc01,01-03 16:00:00+01:00,123_STEAM_2,6.505873420822071
2030,sc01,01-03 16:00:00+01:00,101_STEAM_4,0.0
2030,sc01,01-03 16:00:00+01:00,118_RTPV_4,0.009738137984
2030,sc01,01-03 16:00:00+01:00,119_PV_1,0.016141836672
2030,sc01,01-03 16:00:00+01:00,113_CT_2,0.0
2030,sc01,01-03 16:00:00+01:00,115_STEAM_1,0.0
2030,sc01,01-03 16:00:00+01:00,113_CT_4,0.0
2030,sc01,01-03 16:00:00+01:00,113_CT_1,0.0
2030,sc01,01-03 16:00:00+01:00,118_CC_1,10.985119999999998
2030,sc01,01-03 16:00:00+01:00,115_STEAM_3,6.67172426963338
2030,sc01,01-03 16:00:00+01:00,123_STEAM_3,4.121600000000001
2030,sc01,01-03 16:00:00+01:00,121_NUCLEAR_1,11.264000000000001
2030,sc01,01-03 16:00:00+01:00,103_PV_1,0.79107320512
2030,sc01,01-03 16:00:00+01:00,102_STEAM_4,0.0
2030,sc01,01-03 16:00:00+01:00,113_CT_3,0.0
2030,sc01,01-03 16:00:00+01:00,116_STEAM_1,0.24186274832855403
2030,sc01,01-03 16:00:00+01:00,118_RTPV_6,0.010380212992000001
2030,sc01,01-03 16:00:00+01:00,123_CT_1,0.0
2030,sc01,01-03 16:00:00+01:00,101_PV_3,1.22653894336
2030,sc01,01-03 16:00:00+01:00,101_PV_2,1.24994617504
2030,sc01,01-03 16:00:00+01:00,122_WIND_1,9.888532166400001
2030,sc01,01-03 16:00:00+01:00,123_CT_4,0.0
2030,sc01,01-03 16:00:00+01:00,102_PV_2,0.32543336736
2030,sc01,01-03 16:00:00+01:00,115_STEAM_2,0.0
2030,sc01,01-03 16:00:00+01:00,101_CT_2,0.0
2030,sc01,01-03 16:00:00+01:00,118_RTPV_3,0.010059175552
2030,sc01,01-03 16:00:00+01:00,101_PV_1,1.2124946041600002
2030,sc01,01-03 16:00:00+01:00,123_CT_5,0.0
2030,sc01,01-03 16:00:00+01:00,101_CT_1,0.0
2030,sc01,01-03 16:00:00+01:00,102_CT_1,0.0
2030,sc01,01-03 16:00:00+01:00,102_PV_1,0.32929226112
2030,sc01,01-03 16:00:00+01:00,118_RTPV_8,0.011985400576
2030,sc01,01-18 17:00:00+01:00,102_STEAM_3,5.2136
2030,sc01,01-18 17:00:00+01:00,107_CC_1,19.56123323
2030,sc01,01-18 17:00:00+01:00,118_RTPV_9,0.0
2030,sc01,01-18 17:00:00+01:00,101_PV_4,0.34043153451999997
2030,sc01,01-18 17:00:00+01:00,118_RTPV_1,0.18910376464
2030,sc01,01-18 17:00:00+01:00,101_STEAM_3,5.2136
2030,sc01,01-18 17:00:00+01:00,118_RTPV_10,0.0
2030,sc01,01-18 17:00:00+01:00,118_RTPV_7,0.00265977292
2030,sc01,01-18 17:00:00+01:00,118_RTPV_2,0.0
2030,sc01,01-18 17:00:00+01:00,118_RTPV_5,0.0
2030,sc01,01-18 17:00:00+01:00,113_PV_1,0.021097859440000002
2030,sc01,01-18 17:00:00+01:00,102_CT_2,0.0
