Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-01 00:00:00+01:00,Gas,0.7450400000000001
2030,sc01,01-01 00:00:00+01:00,Oil,0.0
2030,sc01,01-01 00:00:00+01:00,Coal,0.0
2030,sc01,01-01 00:00:00+01:00,Solar,0.0
2030,sc01,01-01 00:00:00+01:00,Wind,0.27
2030,sc01,01-01 00:00:00+01:00,Nuclear,0.0
2030,sc01,01-01 01:00:00+01:00,Gas,0.6904736470059973
2030,sc01,01-01 01:00:00+01:00,Oil,0.0
2030,sc01,01-01 01:00:00+01:00,Coal,0.0
2030,sc01,01-01 01:00:00+01:00,Solar,0.0
2030,sc01,01-01 01:00:00+01:00,Wind,0.28680000000000005
2030,sc01,01-01 01:00:00+01:00,Nuclear,0.0
2030,sc01,01-01 02:00:00+01:00,Gas,0.6335898510570065
2030,sc01,01-01 02:00:00+01:00,Oil,0.0
2030,sc01,01-01 02:00:00+01:00,Coal,0.0
2030,sc01,01-01 02:00:00+01:00,Solar,0.0
2030,sc01,01-01 02:00:00+01:00,Wind,0.2768
2030,sc01,01-01 02:00:00+01:00,Nuclear,0.0
2030,sc01,01-01 03:00:00+01:00,Gas,0.5819360514800009
2030,sc01,01-01 03:00:00+01:00,Oil,0.0
2030,sc01,01-01 03:00:00+01:00,Coal,0.0
2030,sc01,01-01 03:00:00+01:00,Solar,0.0
2030,sc01,01-01 03:00:00+01:00,Wind,0.2688
2030,sc01,01-01 03:00:00+01:00,Nuclear,0.0
2030,sc01,01-01 04:00:00+01:00,Gas,0.5417903692709959
2030,sc01,01-01 04:00:00+01:00,Oil,0.0
2030,sc01,01-01 04:00:00+01:00,Coal,0.0
2030,sc01,01-01 04:00:00+01:00,Solar,0.0
2030,sc01,01-01 04:00:00+01:00,Wind,0.2656
2030,sc01,01-01 04:00:00+01:00,Nuclear,0.0
2030,sc01,01-01 05:00:00+01:00,Gas,0.5257256385020024
2030,sc01,01-01 05:00:00+01:00,Oil,0.0
2030,sc01,01-01 05:00:00+01:00,Coal,0.0
2030,sc01,01-01 05:00:00+01:00,Solar,0.0
2030,sc01,01-01 05:00:00+01:00,Wind,0.266
2030,sc01,01-01 05:00:00+01:00,Nuclear,0.0
2030,sc01,01-01 06:00:00+01:00,Gas,0.5301899957399978
2030,sc01,01-01 06:00:00+01:00,Oil,0.0
