Period,Scenario,LoadLevel,MEUR
2030,sc01,01-02 00:00:00+01:00,0.3365584758045072
2030,sc01,01-02 01:00:00+01:00,0.3324520539097438
2030,sc01,01-02 02:00:00+01:00,0.3303698167841649
2030,sc01,01-02 03:00:00+01:00,0.3371177597339469
2030,sc01,01-02 04:00:00+01:00,0.3498618025212722
2030,sc01,01-02 05:00:00+01:00,0.3682570801804116
2030,sc01,01-02 06:00:00+01:00,0.38724477675890373
2030,sc01,01-02 07:00:00+01:00,0.3909176187471022
2030,sc01,01-02 08:00:00+01:00,0.3962944972606801
2030,sc01,01-02 09:00:00+01:00,0.37765153073180546
2030,sc01,01-02 10:00:00+01:00,0.34861692276062256
2030,sc01,01-02 11:00:00+01:00,0.3336714815002895
2030,sc01,01-02 12:00:00+01:00,0.32728992274336227
2030,sc01,01-02 13:00:00+01:00,0.32685851007330763
2030,sc01,01-02 14:00:00+01:00,0.3290858875562987
2030,sc01,01-02 15:00:00+01:00,0.3386185340136628
2030,sc01,01-02 16:00:00+01:00,0.37762850268990716
2030,sc01,01-02 17:00:00+01:00,0.42190393519669933
2030,sc01,01-02 18:00:00+01:00,0.43784317671429857
2030,sc01,01-02 19:00:00+01:00,0.43459264244448687
2030,sc01,01-02 20:00:00+01:00,0.4273942806703245
2030,sc01,01-02 21:00:00+01:00,0.4095129119882878
2030,sc01,01-02 22:00:00+01:00,0.3850048080539067
2030,sc01,01-02 23:00:00+01:00,0.36796192639289893
2030,sc01,01-05 00:00:00+01:00,0.6258099222154179
2030,sc01,01-05 01:00:00+01:00,0.6189120690066052
2030,sc01,01-05 02:00:00+01:00,0.6137636803703443
2030,sc01,01-05 03:00:00+01:00,0.6153863778017538
2030,sc01,01-05 04:00:00+01:00,0.6267730222161977
2030,sc01,01-05 05:00:00+01:00,0.6508421340397852
2030,sc01,01-05 06:00:00+01:00,0.6867848486129022
2030,sc01,01-05 07:00:00+01:00,0.7158874840660179
2030,sc01,01-05 08:00:00+01:00,0.7243429667390356
2030,sc01,01-05 09:00:00+01:00,0.6913185868448248
2030,sc01,01-05 10:00:00+01:00,0.6315634146539882
2030,sc01,01-05 11:00:00+01:00,0.5913374961668891
2030,sc01,01-05 12:00:00+01:00,0.5715408960715769
2030,sc01,01-05 13:00:00+01:00,0.5622564715567689
2030,sc01,01-05 14:00:00+01:00,0.5598469477269432
2030,sc01,01-05 15:00:00+01:00,0.5704578951497724
2030,sc01,01-05 16:00:00+01:00,0.6400455066609954
2030,sc01,01-05 17:00:00+01:00,0.7249430967448729
2030,sc01,01-05 18:00:00+01:00,0.7443933493436355
2030,sc01,01-05 19:00:00+01:00,0.7323300287577565
2030,sc01,01-05 20:00:00+01:00,0.7148199066754362
2030,sc01,01-05 21:00:00+01:00,0.687727757230699
2030,sc01,01-05 22:00:00+01:00,0.6511185038535298
2030,sc01,01-05 23:00:00+01:00,0.621014105230466
2030,sc01,03-20 00:00:00+01:00,0.9682558232704312
2030,sc01,03-20 01:00:00+01:00,0.9615173232057824
2030,sc01,03-20 02:00:00+01:00,0.9560118591968779
2030,sc01,03-20 03:00:00+01:00,0.9680468928828304
2030,sc01,03-20 04:00:00+01:00,1.0112296160919403
2030,sc01,03-20 05:00:00+01:00,1.0605518947008938
2030,sc01,03-20 06:00:00+01:00,1.078001030937712
2030,sc01,03-20 07:00:00+01:00,1.0658556759053541
2030,sc01,03-20 08:00:00+01:00,1.0511683724013026
2030,sc01,03-20 09:00:00+01:00,1.0534759484142118
2030,sc01,03-20 10:00:00+01:00,1.0536610872503365
2030,sc01,03-20 11:00:00+01:00,0.9863609167679412
