Period,Scenario,LoadLevel,Area,Node,Technology,GWh
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_1,CCGT,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_1,OCGT,0.05626759854862043
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_1,Solar,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_1,Wind,0.247343625
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_1,CCGT,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_1,OCGT,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_1,Solar,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_1,Wind,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_1,ENS,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_1,EnergyDemand,-0.25806451620000004
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_1,ACPowerFlowOut,-0.04554670734862043
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_1,ACPowerFlowIn,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_1,DCPowerFlowOut,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_1,DCPowerFlowIn,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_1,ShuntP,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_2,CCGT,2.149057110239971
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_2,OCGT,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_2,Solar,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_2,Wind,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_2,CCGT,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_2,OCGT,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_2,Solar,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_2,Wind,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_2,ENS,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_2,EnergyDemand,-0.43905711023999994
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_2,ACPowerFlowOut,-1.079999999999971
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_2,ACPowerFlowIn,-0.63
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_2,DCPowerFlowOut,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_2,DCPowerFlowIn,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_2,ShuntP,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_3,CCGT,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_3,OCGT,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_3,Solar,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_3,Wind,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_3,CCGT,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_3,OCGT,0.0
2030,sc01,01-02 00:00:00+01:00,Area_1,Node_3,Solar,0.0
