Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,04-11 00:00:00+02:00,Node_3,Node_4,cac2,0.0
2030,sc01,04-11 00:00:00+02:00,Node_6,Node_7,eac1,0.7090706917310324
2030,sc01,04-11 00:00:00+02:00,Node_6,Node_7,cac1,0.0
2030,sc01,04-11 00:00:00+02:00,Node_3,Node_6,eac1,0.35695327044569386
2030,sc01,04-11 00:00:00+02:00,Node_3,Node_4,eac1,0.5708419117169234
2030,sc01,04-11 00:00:00+02:00,Node_3,Node_6,cac1,0.0
2030,sc01,04-11 00:00:00+02:00,Node_3,Node_4,cac1,0.0
2030,sc01,04-11 00:00:00+02:00,Node_2,Node_6,cac3,0.0
2030,sc01,04-11 00:00:00+02:00,Node_7,Node_8,cac3,0.0
2030,sc01,04-11 00:00:00+02:00,Node_2,Node_3,cac3,0.0
2030,sc01,04-11 00:00:00+02:00,Node_1,Node_6,cac3,0.0
2030,sc01,04-11 00:00:00+02:00,Node_4,Node_9,cac3,0.0
2030,sc01,04-11 00:00:00+02:00,Node_6,Node_8,cac3,0.0
2030,sc01,04-11 00:00:00+02:00,Node_2,Node_6,cac2,0.0
2030,sc01,04-11 00:00:00+02:00,Node_7,Node_8,cac2,0.0
2030,sc01,04-11 00:00:00+02:00,Node_1,Node_6,cac2,0.0
2030,sc01,04-11 00:00:00+02:00,Node_8,Node_9,cac3,0.0
2030,sc01,04-11 00:00:00+02:00,Node_2,Node_3,cac2,0.0
2030,sc01,04-11 00:00:00+02:00,Node_7,Node_8,eac1,0.37927036999876695
2030,sc01,04-11 00:00:00+02:00,Node_4,Node_9,cac2,0.0
2030,sc01,04-11 00:00:00+02:00,Node_4,Node_5,cac3,0.0
2030,sc01,04-11 00:00:00+02:00,Node_2,Node_6,eac1,0.9999966666777779
2030,sc01,04-11 00:00:00+02:00,Node_7,Node_8,cac1,0.0
2030,sc01,04-11 00:00:00+02:00,Node_6,Node_8,cac2,0.0
2030,sc01,04-11 00:00:00+02:00,Node_2,Node_6,cac1,0.0
2030,sc01,04-11 00:00:00+02:00,Node_1,Node_6,eac1,0.32986401550671524
2030,sc01,04-11 00:00:00+02:00,Node_4,Node_9,eac1,0.9999966666777779
2030,sc01,04-11 00:00:00+02:00,Node_2,Node_3,eac1,0.3395222789257368
2030,sc01,04-11 00:00:00+02:00,Node_1,Node_6,cac1,3.5373914418066633e-06
2030,sc01,04-11 00:00:00+02:00,Node_4,Node_5,cac2,0.0
2030,sc01,04-11 00:00:00+02:00,Node_8,Node_9,cac2,0.0
2030,sc01,04-11 00:00:00+02:00,Node_2,Node_3,cac1,0.0
2030,sc01,04-11 00:00:00+02:00,Node_4,Node_9,cac1,0.0
2030,sc01,04-11 00:00:00+02:00,Node_6,Node_8,cac1,0.0
2030,sc01,04-11 00:00:00+02:00,Node_6,Node_8,eac1,0.9999966666777779
2030,sc01,04-11 00:00:00+02:00,Node_4,Node_6,cac3,0.0
