Period,Scenario,LoadLevel,mEUR
2030,sc01,01-01 00:00:00+01:00,18.8785200910304
2030,sc01,01-01 01:00:00+01:00,6.977955336231578
2030,sc01,01-01 02:00:00+01:00,0.0
2030,sc01,01-01 03:00:00+01:00,9.656804087701907e-15
2030,sc01,01-01 04:00:00+01:00,0.0
2030,sc01,01-01 05:00:00+01:00,0.0
2030,sc01,01-01 06:00:00+01:00,0.0
2030,sc01,01-01 07:00:00+01:00,0.0
2030,sc01,01-01 08:00:00+01:00,1.2469523324060636e-14
2030,sc01,01-01 09:00:00+01:00,0.0
2030,sc01,01-01 10:00:00+01:00,0.0
2030,sc01,01-01 11:00:00+01:00,0.0
2030,sc01,01-01 12:00:00+01:00,0.0
2030,sc01,01-01 13:00:00+01:00,0.0
2030,sc01,01-01 14:00:00+01:00,0.0
2030,sc01,01-01 15:00:00+01:00,0.0
2030,sc01,01-01 16:00:00+01:00,7.11612008506706e-15
2030,sc01,01-01 17:00:00+01:00,1.0284004717955287e-14
2030,sc01,01-01 18:00:00+01:00,44.752468771484075
2030,sc01,01-01 19:00:00+01:00,72.70989670382454
2030,sc01,01-01 20:00:00+01:00,75.18533049037853
2030,sc01,01-01 21:00:00+01:00,69.2774268734573
2030,sc01,01-01 22:00:00+01:00,56.44475548583277
2030,sc01,01-01 23:00:00+01:00,34.64826452671604
2030,sc01,01-02 00:00:00+01:00,9.27916381985647
2030,sc01,01-02 01:00:00+01:00,0.0
2030,sc01,01-02 02:00:00+01:00,0.0
2030,sc01,01-02 03:00:00+01:00,0.0
2030,sc01,01-02 04:00:00+01:00,0.0
2030,sc01,01-02 05:00:00+01:00,0.0
2030,sc01,01-02 06:00:00+01:00,4.540917640540319
2030,sc01,01-02 07:00:00+01:00,62.52457584481002
2030,sc01,01-02 08:00:00+01:00,119.7013290484118
2030,sc01,01-02 09:00:00+01:00,49.79251622970582
2030,sc01,01-02 10:00:00+01:00,28.36292049547717
2030,sc01,01-02 11:00:00+01:00,30.34682287864939
2030,sc01,01-02 12:00:00+01:00,31.483905130579153
2030,sc01,01-02 13:00:00+01:00,30.50861315224288
2030,sc01,01-02 14:00:00+01:00,29.28103998510685
2030,sc01,01-02 15:00:00+01:00,31.88190094958808
2030,sc01,01-02 16:00:00+01:00,39.465651622764014
2030,sc01,01-02 17:00:00+01:00,151.7126858667662
2030,sc01,01-02 18:00:00+01:00,435.6143130596712
2030,sc01,01-02 19:00:00+01:00,461.65317335303996
2030,sc01,01-02 20:00:00+01:00,421.22511246031127
2030,sc01,01-02 21:00:00+01:00,357.562343239563
2030,sc01,01-02 22:00:00+01:00,286.53393310676853
2030,sc01,01-02 23:00:00+01:00,196.35336109109556
2030,sc01,01-03 00:00:00+01:00,109.19338893254606
2030,sc01,01-03 01:00:00+01:00,60.59383234342438
2030,sc01,01-03 02:00:00+01:00,37.55329817197412
2030,sc01,01-03 03:00:00+01:00,19.551805444120422
2030,sc01,01-03 04:00:00+01:00,17.38245692035855
2030,sc01,01-03 05:00:00+01:00,32.02899162824047
