Period,Scenario,LoadLevel,mEUR
2030,sc01,01-01 00:00:00+01:00,239.7805243951714
2030,sc01,01-01 01:00:00+01:00,188.034559920392
2030,sc01,01-01 02:00:00+01:00,158.1100408751794
2030,sc01,01-01 03:00:00+01:00,142.42541214025647
2030,sc01,01-01 04:00:00+01:00,144.35875485767232
2030,sc01,01-01 05:00:00+01:00,163.06648004029933
2030,sc01,01-01 06:00:00+01:00,187.23788204330492
2030,sc01,01-01 07:00:00+01:00,38.23739468646957
2030,sc01,01-01 08:00:00+01:00,0.7754368967246932
2030,sc01,01-01 09:00:00+01:00,0.0
2030,sc01,01-01 10:00:00+01:00,0.0
2030,sc01,01-01 11:00:00+01:00,0.0
2030,sc01,01-01 12:00:00+01:00,0.0
2030,sc01,01-01 13:00:00+01:00,0.0
2030,sc01,01-01 14:00:00+01:00,0.0
2030,sc01,01-01 15:00:00+01:00,0.0
2030,sc01,01-01 16:00:00+01:00,0.0
2030,sc01,01-01 17:00:00+01:00,285.96915914430747
2030,sc01,01-01 18:00:00+01:00,238.14668297987816
2030,sc01,01-01 19:00:00+01:00,165.71385898467187
2030,sc01,01-01 20:00:00+01:00,145.89617981173478
2030,sc01,01-01 21:00:00+01:00,104.83024853576929
2030,sc01,01-01 22:00:00+01:00,61.49954019904989
2030,sc01,01-01 23:00:00+01:00,40.91994406104938
2030,sc01,01-02 00:00:00+01:00,0.0
2030,sc01,01-02 01:00:00+01:00,0.0
2030,sc01,01-02 02:00:00+01:00,0.0
2030,sc01,01-02 03:00:00+01:00,0.0
2030,sc01,01-02 04:00:00+01:00,0.0
2030,sc01,01-02 05:00:00+01:00,9.329515349022127
2030,sc01,01-02 06:00:00+01:00,25.795509713566783
2030,sc01,01-02 07:00:00+01:00,0.0
2030,sc01,01-02 08:00:00+01:00,0.0
2030,sc01,01-02 09:00:00+01:00,0.0
2030,sc01,01-02 10:00:00+01:00,0.0
2030,sc01,01-02 11:00:00+01:00,0.0
2030,sc01,01-02 12:00:00+01:00,0.0
2030,sc01,01-02 13:00:00+01:00,0.0
2030,sc01,01-02 14:00:00+01:00,0.0
2030,sc01,01-02 15:00:00+01:00,0.0
2030,sc01,01-02 16:00:00+01:00,169.6551075741161
2030,sc01,01-02 17:00:00+01:00,419.7473175280207
2030,sc01,01-02 18:00:00+01:00,454.85592921129194
2030,sc01,01-02 19:00:00+01:00,443.7365301531248
2030,sc01,01-02 20:00:00+01:00,399.6595032704175
2030,sc01,01-02 21:00:00+01:00,360.1765655433015
2030,sc01,01-02 22:00:00+01:00,288.20059600424605
2030,sc01,01-02 23:00:00+01:00,223.44751236443867
2030,sc01,01-03 00:00:00+01:00,221.7147092459708
2030,sc01,01-03 01:00:00+01:00,184.54495791215777
2030,sc01,01-03 02:00:00+01:00,201.7797493986992
2030,sc01,01-03 03:00:00+01:00,268.42112208516494
2030,sc01,01-03 04:00:00+01:00,402.7837704041287
2030,sc01,01-03 05:00:00+01:00,500.95350791143676
2030,sc01,01-03 06:00:00+01:00,538.2223832244023
2030,sc01,01-03 07:00:00+01:00,350.18388953681625
2030,sc01,01-03 08:00:00+01:00,214.28485045760763
2030,sc01,01-03 09:00:00+01:00,71.18454991502071
2030,sc01,01-03 10:00:00+01:00,112.59104244655542
2030,sc01,01-03 11:00:00+01:00,172.94997715789702
2030,sc01,01-03 12:00:00+01:00,65.01130296816287
2030,sc01,01-03 13:00:00+01:00,68.21221769253638
2030,sc01,01-03 14:00:00+01:00,99.02091648147164
2030,sc01,01-03 15:00:00+01:00,188.40376260418432
2030,sc01,01-03 16:00:00+01:00,369.97413228878236
2030,sc01,01-03 17:00:00+01:00,645.8098278893904
2030,sc01,01-03 18:00:00+01:00,611.0990135485376
2030,sc01,01-03 19:00:00+01:00,546.0274650868139
2030,sc01,01-03 20:00:00+01:00,451.1572334806098
2030,sc01,01-03 21:00:00+01:00,368.1038242740103
2030,sc01,01-03 22:00:00+01:00,303.48579992110416
2030,sc01,01-03 23:00:00+01:00,277.220271957728
2030,sc01,01-04 00:00:00+01:00,328.8786093679923
2030,sc01,01-04 01:00:00+01:00,275.7917239624931
2030,sc01,01-04 02:00:00+01:00,262.03220657836624
2030,sc01,01-04 03:00:00+01:00,262.5204464750742
2030,sc01,01-04 04:00:00+01:00,287.4010155350855
2030,sc01,01-04 05:00:00+01:00,339.2101595096635
2030,sc01,01-04 06:00:00+01:00,424.66819296223554
2030,sc01,01-04 07:00:00+01:00,215.93368661086302
2030,sc01,01-04 08:00:00+01:00,77.6072377558294
2030,sc01,01-04 09:00:00+01:00,30.05486414989118
2030,sc01,01-04 10:00:00+01:00,18.2771519848208
2030,sc01,01-04 11:00:00+01:00,25.23714733592845
2030,sc01,01-04 12:00:00+01:00,23.051067589183525
2030,sc01,01-04 13:00:00+01:00,27.439669773364994
2030,sc01,01-04 14:00:00+01:00,40.05595295326685
2030,sc01,01-04 15:00:00+01:00,61.602416825537404
2030,sc01,01-04 16:00:00+01:00,211.38791435625868
2030,sc01,01-04 17:00:00+01:00,587.7724341810592
2030,sc01,01-04 18:00:00+01:00,565.5146717752059
2030,sc01,01-04 19:00:00+01:00,631.6745596687603
2030,sc01,01-04 20:00:00+01:00,569.6142775712394
2030,sc01,01-04 21:00:00+01:00,481.03838468242225
2030,sc01,01-04 22:00:00+01:00,390.7864488655436
2030,sc01,01-04 23:00:00+01:00,326.3201353518857
2030,sc01,01-05 00:00:00+01:00,308.0621077883485
2030,sc01,01-05 01:00:00+01:00,292.8021616764193
2030,sc01,01-05 02:00:00+01:00,274.02912631097774
2030,sc01,01-05 03:00:00+01:00,278.5755037406208
2030,sc01,01-05 04:00:00+01:00,309.3462388499835
2030,sc01,01-05 05:00:00+01:00,366.9881797368657
2030,sc01,01-05 06:00:00+01:00,445.7733648474241
2030,sc01,01-05 07:00:00+01:00,279.22388864387983
2030,sc01,01-05 08:00:00+01:00,156.02421893952703
2030,sc01,01-05 09:00:00+01:00,49.156302089987996
2030,sc01,01-05 10:00:00+01:00,38.46313805871662
2030,sc01,01-05 11:00:00+01:00,61.578091152080326
2030,sc01,01-05 12:00:00+01:00,93.97545789157614
2030,sc01,01-05 13:00:00+01:00,116.6715204237065
2030,sc01,01-05 14:00:00+01:00,60.1020252990953
2030,sc01,01-05 15:00:00+01:00,162.75005556484393
2030,sc01,01-05 16:00:00+01:00,311.7410304308583
2030,sc01,01-05 17:00:00+01:00,689.8384987461425
2030,sc01,01-05 18:00:00+01:00,657.8519973999283
2030,sc01,01-05 19:00:00+01:00,585.9349732320974
2030,sc01,01-05 20:00:00+01:00,416.2759825598534
2030,sc01,01-05 21:00:00+01:00,345.8956331676842
2030,sc01,01-05 22:00:00+01:00,263.46778939627654
2030,sc01,01-05 23:00:00+01:00,163.0161260906716
2030,sc01,01-06 00:00:00+01:00,90.6864910781036
2030,sc01,01-06 01:00:00+01:00,66.29670465666256
2030,sc01,01-06 02:00:00+01:00,62.56576386907213
2030,sc01,01-06 03:00:00+01:00,75.46995839658159
2030,sc01,01-06 04:00:00+01:00,110.35746724600253
2030,sc01,01-06 05:00:00+01:00,182.8240877969081
2030,sc01,01-06 06:00:00+01:00,380.2384046024422
2030,sc01,01-06 07:00:00+01:00,230.93446738491846
2030,sc01,01-06 08:00:00+01:00,153.82123293607657
2030,sc01,01-06 09:00:00+01:00,100.77067098369163
2030,sc01,01-06 10:00:00+01:00,52.6930749315334
2030,sc01,01-06 11:00:00+01:00,48.892630123498925
2030,sc01,01-06 12:00:00+01:00,42.753415398091484
2030,sc01,01-06 13:00:00+01:00,84.8051312947946
2030,sc01,01-06 14:00:00+01:00,183.15238606065375
2030,sc01,01-06 15:00:00+01:00,222.59651969418798
2030,sc01,01-06 16:00:00+01:00,404.0890243861046
2030,sc01,01-06 17:00:00+01:00,696.347444902867
2030,sc01,01-06 18:00:00+01:00,765.9401885115267
2030,sc01,01-06 19:00:00+01:00,708.4758295301788
2030,sc01,01-06 20:00:00+01:00,632.6654478373378
2030,sc01,01-06 21:00:00+01:00,541.7801177141141
2030,sc01,01-06 22:00:00+01:00,429.9024811105929
2030,sc01,01-06 23:00:00+01:00,338.8968687097713
2030,sc01,01-07 00:00:00+01:00,217.86181485577308
2030,sc01,01-07 01:00:00+01:00,199.3022018290056
2030,sc01,01-07 02:00:00+01:00,177.2090425148784
2030,sc01,01-07 03:00:00+01:00,159.56426472298395
2030,sc01,01-07 04:00:00+01:00,167.93405176091397
2030,sc01,01-07 05:00:00+01:00,211.75452312007204
2030,sc01,01-07 06:00:00+01:00,267.8065519722144
2030,sc01,01-07 07:00:00+01:00,234.27177243081783
2030,sc01,01-07 08:00:00+01:00,161.69878443487679
