Period,Scenario,LoadLevel,mEUR
2030,sc01,01-01 00:00:00+01:00,0.0
2030,sc01,01-01 01:00:00+01:00,0.0
2030,sc01,01-01 02:00:00+01:00,0.0
2030,sc01,01-01 03:00:00+01:00,0.0
2030,sc01,01-01 04:00:00+01:00,0.0
2030,sc01,01-01 05:00:00+01:00,0.0
2030,sc01,01-01 06:00:00+01:00,0.0
2030,sc01,01-01 07:00:00+01:00,0.0
2030,sc01,01-01 08:00:00+01:00,0.0
2030,sc01,01-01 09:00:00+01:00,0.0
2030,sc01,01-01 10:00:00+01:00,0.0
2030,sc01,01-01 11:00:00+01:00,0.0
2030,sc01,01-01 12:00:00+01:00,0.0
2030,sc01,01-01 13:00:00+01:00,0.0
2030,sc01,01-01 14:00:00+01:00,0.0
2030,sc01,01-01 15:00:00+01:00,0.0
2030,sc01,01-01 16:00:00+01:00,0.0
2030,sc01,01-01 17:00:00+01:00,0.0
2030,sc01,01-01 18:00:00+01:00,29.84816251686603
2030,sc01,01-01 19:00:00+01:00,58.83569740064901
2030,sc01,01-01 20:00:00+01:00,61.42716233360872
2030,sc01,01-01 21:00:00+01:00,56.23335372622697
2030,sc01,01-01 22:00:00+01:00,42.70604582304609
2030,sc01,01-01 23:00:00+01:00,18.341536987285156
2030,sc01,01-02 00:00:00+01:00,0.0
2030,sc01,01-02 01:00:00+01:00,0.0
2030,sc01,01-02 02:00:00+01:00,0.0
2030,sc01,01-02 03:00:00+01:00,0.0
2030,sc01,01-02 04:00:00+01:00,0.0
2030,sc01,01-02 05:00:00+01:00,0.0
2030,sc01,01-02 06:00:00+01:00,0.0
2030,sc01,01-02 07:00:00+01:00,36.647580724142195
2030,sc01,01-02 08:00:00+01:00,103.69305651693075
2030,sc01,01-02 09:00:00+01:00,30.50582474493154
2030,sc01,01-02 10:00:00+01:00,23.084997179530035
2030,sc01,01-02 11:00:00+01:00,25.898978925945347
2030,sc01,01-02 12:00:00+01:00,27.23213978377153
2030,sc01,01-02 13:00:00+01:00,26.600067523389786
2030,sc01,01-02 14:00:00+01:00,25.881697956494722
2030,sc01,01-02 15:00:00+01:00,28.620024481125114
2030,sc01,01-02 16:00:00+01:00,36.20518156814204
2030,sc01,01-02 17:00:00+01:00,154.17593930996435
2030,sc01,01-02 18:00:00+01:00,435.504811156653
2030,sc01,01-02 19:00:00+01:00,460.1040648915207
2030,sc01,01-02 20:00:00+01:00,418.74765607583
2030,sc01,01-02 21:00:00+01:00,353.5647695884491
2030,sc01,01-02 22:00:00+01:00,284.63316269412206
2030,sc01,01-02 23:00:00+01:00,193.11027060900471
2030,sc01,01-03 00:00:00+01:00,116.11560778726052
2030,sc01,01-03 01:00:00+01:00,67.19764775709153
2030,sc01,01-03 02:00:00+01:00,41.77117824043438
2030,sc01,01-03 03:00:00+01:00,19.619560860395698
2030,sc01,01-03 04:00:00+01:00,17.79498112678371
2030,sc01,01-03 05:00:00+01:00,34.75103539688627
2030,sc01,01-03 06:00:00+01:00,132.26134060311563
2030,sc01,01-03 07:00:00+01:00,289.10983233016304
2030,sc01,01-03 08:00:00+01:00,414.29599904454903
2030,sc01,01-03 09:00:00+01:00,345.829685844104
2030,sc01,01-03 10:00:00+01:00,110.11979480126757
2030,sc01,01-03 11:00:00+01:00,74.00128479204227
2030,sc01,01-03 12:00:00+01:00,68.51460854154625
2030,sc01,01-03 13:00:00+01:00,16.930054276882764
2030,sc01,01-03 14:00:00+01:00,16.459299664621863
2030,sc01,01-03 15:00:00+01:00,18.654155200990285
2030,sc01,01-03 16:00:00+01:00,46.176653603521935
2030,sc01,01-03 17:00:00+01:00,379.5580732873773
2030,sc01,01-03 18:00:00+01:00,577.0500895400322
2030,sc01,01-03 19:00:00+01:00,570.0584653816245
2030,sc01,01-03 20:00:00+01:00,490.2851081881516
2030,sc01,01-03 21:00:00+01:00,375.87223867115796
2030,sc01,01-03 22:00:00+01:00,284.90528223140615
2030,sc01,01-03 23:00:00+01:00,180.84425225828915
2030,sc01,01-04 00:00:00+01:00,117.65389943747341
2030,sc01,01-04 01:00:00+01:00,69.94105384381925
2030,sc01,01-04 02:00:00+01:00,38.02741019786719
2030,sc01,01-04 03:00:00+01:00,21.408187081898213
2030,sc01,01-04 04:00:00+01:00,15.185053737410438
2030,sc01,01-04 05:00:00+01:00,29.31562483258035
2030,sc01,01-04 06:00:00+01:00,94.71867964366884
