Period,Scenario,LoadLevel,MW
2030,sc01,01-01 00:00:00+01:00,-2.2737367544323206e-13
2030,sc01,01-01 01:00:00+01:00,-2.842170943040401e-14
2030,sc01,01-01 02:00:00+01:00,-2.842170943040401e-14
2030,sc01,01-01 03:00:00+01:00,-1.1368683772161603e-13
2030,sc01,01-01 04:00:00+01:00,-9.379164112033322e-13
2030,sc01,01-01 05:00:00+01:00,0.0
2030,sc01,01-01 06:00:00+01:00,-9.947598300641403e-14
2030,sc01,01-01 07:00:00+01:00,-1.1368683772161603e-13
2030,sc01,01-01 08:00:00+01:00,-2.5579538487363607e-13
2030,sc01,01-01 09:00:00+01:00,33.398912350336936
2030,sc01,01-01 10:00:00+01:00,-4.831690603168681e-13
2030,sc01,01-01 11:00:00+01:00,1.7053025658242404e-13
2030,sc01,01-01 12:00:00+01:00,-1.1368683772161603e-13
2030,sc01,01-01 13:00:00+01:00,-1.1084466677857563e-12
2030,sc01,01-01 14:00:00+01:00,-3.694822225952521e-13
2030,sc01,01-01 15:00:00+01:00,45.66056881372957
2030,sc01,01-01 16:00:00+01:00,267.3262419535505
2030,sc01,01-01 17:00:00+01:00,-4.831690603168681e-13
2030,sc01,01-01 18:00:00+01:00,4.121147867408581e-13
2030,sc01,01-01 19:00:00+01:00,9.947598300641403e-14
2030,sc01,01-01 20:00:00+01:00,-3.410605131648481e-13
2030,sc01,01-01 21:00:00+01:00,-1.7053025658242404e-13
2030,sc01,01-01 22:00:00+01:00,-1.7053025658242404e-13
2030,sc01,01-01 23:00:00+01:00,4.263256414560601e-14
2030,sc01,01-02 00:00:00+01:00,-5.684341886080802e-14
2030,sc01,01-02 01:00:00+01:00,0.0
2030,sc01,01-02 02:00:00+01:00,0.0
2030,sc01,01-02 03:00:00+01:00,-2.842170943040401e-14
2030,sc01,01-02 04:00:00+01:00,1.1368683772161603e-13
2030,sc01,01-02 05:00:00+01:00,-2.842170943040401e-14
2030,sc01,01-02 06:00:00+01:00,5.400124791776761e-13
2030,sc01,01-02 07:00:00+01:00,1.1368683772161603e-13
2030,sc01,01-02 08:00:00+01:00,767.6446478191851
2030,sc01,01-02 09:00:00+01:00,660.7401513452785
2030,sc01,01-02 10:00:00+01:00,538.6025190221536
2030,sc01,01-02 11:00:00+01:00,416.16994799368626
2030,sc01,01-02 12:00:00+01:00,345.84580339630486
2030,sc01,01-02 13:00:00+01:00,338.3983243013491
2030,sc01,01-02 14:00:00+01:00,403.6085468543256
2030,sc01,01-02 15:00:00+01:00,688.086913954
2030,sc01,01-02 16:00:00+01:00,1057.137623058
2030,sc01,01-02 17:00:00+01:00,277.102216702
2030,sc01,01-02 18:00:00+01:00,126.03300682297098
2030,sc01,01-02 19:00:00+01:00,267.140619643372
2030,sc01,01-02 20:00:00+01:00,176.76921266999994
2030,sc01,01-02 21:00:00+01:00,58.65474965000004
2030,sc01,01-02 22:00:00+01:00,19.42957322966822
2030,sc01,01-02 23:00:00+01:00,13.570317718779428
2030,sc01,01-03 00:00:00+01:00,6.394884621840902e-14
2030,sc01,01-03 01:00:00+01:00,5.258016244624741e-13
2030,sc01,01-03 02:00:00+01:00,4.263256414560601e-14
2030,sc01,01-03 03:00:00+01:00,-7.105427357601002e-14
2030,sc01,01-03 04:00:00+01:00,1.2150280781497713e-12
2030,sc01,01-03 05:00:00+01:00,-3.694822225952521e-13
2030,sc01,01-03 06:00:00+01:00,-1.4210854715202004e-13
2030,sc01,01-03 07:00:00+01:00,-5.968558980384842e-13
2030,sc01,01-03 08:00:00+01:00,1438.344874446
2030,sc01,01-03 09:00:00+01:00,1476.424399044
2030,sc01,01-03 10:00:00+01:00,1403.862084202
2030,sc01,01-03 11:00:00+01:00,1300.442091698
2030,sc01,01-03 12:00:00+01:00,1221.09304084
2030,sc01,01-03 13:00:00+01:00,1181.749871794
2030,sc01,01-03 14:00:00+01:00,1228.341645576
2030,sc01,01-03 15:00:00+01:00,1336.5891942839999
2030,sc01,01-03 16:00:00+01:00,1515.373042962
2030,sc01,01-03 17:00:00+01:00,549.436211168
2030,sc01,01-03 18:00:00+01:00,119.25997249255474
2030,sc01,01-03 19:00:00+01:00,58.50689913975542
2030,sc01,01-03 20:00:00+01:00,33.44619039399018
2030,sc01,01-03 21:00:00+01:00,36.47643181187989
2030,sc01,01-03 22:00:00+01:00,33.664909794265334
2030,sc01,01-03 23:00:00+01:00,27.438416440894066
2030,sc01,01-04 00:00:00+01:00,6.913467084228095
2030,sc01,01-04 01:00:00+01:00,1.8474111129762605e-13
