Period,Scenario,LoadLevel,mEUR
2030,sc01,01-01 00:00:00+01:00,239.8049661195717
2030,sc01,01-01 01:00:00+01:00,188.11727431497533
2030,sc01,01-01 02:00:00+01:00,158.15246578368775
2030,sc01,01-01 03:00:00+01:00,142.4657126219629
2030,sc01,01-01 04:00:00+01:00,144.39950296087693
2030,sc01,01-01 05:00:00+01:00,163.1225984001181
2030,sc01,01-01 06:00:00+01:00,187.32252575878505
2030,sc01,01-01 07:00:00+01:00,25.723397939029784
2030,sc01,01-01 08:00:00+01:00,1.8351960186859704
2030,sc01,01-01 09:00:00+01:00,0.0
2030,sc01,01-01 10:00:00+01:00,0.0
2030,sc01,01-01 11:00:00+01:00,0.0
2030,sc01,01-01 12:00:00+01:00,0.0
2030,sc01,01-01 13:00:00+01:00,0.0
2030,sc01,01-01 14:00:00+01:00,0.0
2030,sc01,01-01 15:00:00+01:00,0.0
2030,sc01,01-01 16:00:00+01:00,0.0
2030,sc01,01-01 17:00:00+01:00,286.10865110393127
2030,sc01,01-01 18:00:00+01:00,235.99750394332827
2030,sc01,01-01 19:00:00+01:00,165.1001794668239
2030,sc01,01-01 20:00:00+01:00,145.20783791825383
2030,sc01,01-01 21:00:00+01:00,104.68451091216775
2030,sc01,01-01 22:00:00+01:00,63.43560704101332
2030,sc01,01-01 23:00:00+01:00,41.35087855346762
2030,sc01,01-02 00:00:00+01:00,0.0
2030,sc01,01-02 01:00:00+01:00,0.0
2030,sc01,01-02 02:00:00+01:00,0.0
2030,sc01,01-02 03:00:00+01:00,0.0
2030,sc01,01-02 04:00:00+01:00,1.8531494396531516
2030,sc01,01-02 05:00:00+01:00,13.752015199370243
2030,sc01,01-02 06:00:00+01:00,28.225589574723752
2030,sc01,01-02 07:00:00+01:00,0.0
2030,sc01,01-02 08:00:00+01:00,0.0
2030,sc01,01-02 09:00:00+01:00,0.0
2030,sc01,01-02 10:00:00+01:00,0.0
2030,sc01,01-02 11:00:00+01:00,0.0
2030,sc01,01-02 12:00:00+01:00,0.0
2030,sc01,01-02 13:00:00+01:00,0.0
2030,sc01,01-02 14:00:00+01:00,0.0
2030,sc01,01-02 15:00:00+01:00,0.0
2030,sc01,01-02 16:00:00+01:00,165.7454380827318
2030,sc01,01-02 17:00:00+01:00,419.50121724807997
2030,sc01,01-02 18:00:00+01:00,454.62389494902664
2030,sc01,01-02 19:00:00+01:00,443.4264573147007
2030,sc01,01-02 20:00:00+01:00,399.4903892736123
2030,sc01,01-02 21:00:00+01:00,359.96162504046816
2030,sc01,01-02 22:00:00+01:00,288.0769036554128
2030,sc01,01-02 23:00:00+01:00,223.40261290305116
2030,sc01,01-03 00:00:00+01:00,221.65696962986175
2030,sc01,01-03 01:00:00+01:00,184.5449579121589
2030,sc01,01-03 02:00:00+01:00,201.7797493987002
2030,sc01,01-03 03:00:00+01:00,268.34928071960564
2030,sc01,01-03 04:00:00+01:00,402.6936549697775
2030,sc01,01-03 05:00:00+01:00,500.79927758964703
2030,sc01,01-03 06:00:00+01:00,537.6973704324236
2030,sc01,01-03 07:00:00+01:00,346.63338905585726
2030,sc01,01-03 08:00:00+01:00,168.07491422167075
2030,sc01,01-03 09:00:00+01:00,80.74041114694278
2030,sc01,01-03 10:00:00+01:00,112.26215991535123
2030,sc01,01-03 11:00:00+01:00,138.6946666073673
2030,sc01,01-03 12:00:00+01:00,75.77722073314403
2030,sc01,01-03 13:00:00+01:00,78.52527142620336
2030,sc01,01-03 14:00:00+01:00,98.01542217535986
2030,sc01,01-03 15:00:00+01:00,158.2998632396018
2030,sc01,01-03 16:00:00+01:00,354.9488320228505
2030,sc01,01-03 17:00:00+01:00,647.4471780691321
2030,sc01,01-03 18:00:00+01:00,611.1952571969408
2030,sc01,01-03 19:00:00+01:00,545.4295598776516
2030,sc01,01-03 20:00:00+01:00,451.02415583640334
2030,sc01,01-03 21:00:00+01:00,367.9591547010518
2030,sc01,01-03 22:00:00+01:00,303.39320734956027
2030,sc01,01-03 23:00:00+01:00,277.185490371992
2030,sc01,01-04 00:00:00+01:00,328.761165293651
2030,sc01,01-04 01:00:00+01:00,275.72499590659635
2030,sc01,01-04 02:00:00+01:00,261.95635732222235
2030,sc01,01-04 03:00:00+01:00,262.44454086717445
2030,sc01,01-04 04:00:00+01:00,287.304458870373
2030,sc01,01-04 05:00:00+01:00,339.04914565480317
2030,sc01,01-04 06:00:00+01:00,424.4191124795417
2030,sc01,01-04 07:00:00+01:00,179.31682611911626
2030,sc01,01-04 08:00:00+01:00,59.95659190176005
2030,sc01,01-04 09:00:00+01:00,37.37002117407793
2030,sc01,01-04 10:00:00+01:00,24.48511401885326
2030,sc01,01-04 11:00:00+01:00,32.61324598861112
2030,sc01,01-04 12:00:00+01:00,30.38200870934027
2030,sc01,01-04 13:00:00+01:00,35.479105745830225
2030,sc01,01-04 14:00:00+01:00,50.356165441599195
2030,sc01,01-04 15:00:00+01:00,70.62521180312561
2030,sc01,01-04 16:00:00+01:00,167.81064326617718
2030,sc01,01-04 17:00:00+01:00,585.7897332464457
2030,sc01,01-04 18:00:00+01:00,561.1504960482113
2030,sc01,01-04 19:00:00+01:00,631.7439364619374
2030,sc01,01-04 20:00:00+01:00,568.8029726770322
2030,sc01,01-04 21:00:00+01:00,480.8502856151288
2030,sc01,01-04 22:00:00+01:00,390.67881703114665
2030,sc01,01-04 23:00:00+01:00,326.2146403507944
2030,sc01,01-05 00:00:00+01:00,307.9594420168064
2030,sc01,01-05 01:00:00+01:00,292.70747480630405
2030,sc01,01-05 02:00:00+01:00,273.96542723270704
2030,sc01,01-05 03:00:00+01:00,278.5158476500852
2030,sc01,01-05 04:00:00+01:00,309.23499192759607
2030,sc01,01-05 05:00:00+01:00,366.872672842924
2030,sc01,01-05 06:00:00+01:00,445.7044022133881
2030,sc01,01-05 07:00:00+01:00,267.89208514526996
2030,sc01,01-05 08:00:00+01:00,134.72502746644517
2030,sc01,01-05 09:00:00+01:00,59.38542810855816
2030,sc01,01-05 10:00:00+01:00,50.220411918664794
2030,sc01,01-05 11:00:00+01:00,74.53205548737891
2030,sc01,01-05 12:00:00+01:00,107.61499388240681
2030,sc01,01-05 13:00:00+01:00,129.9801855745238
2030,sc01,01-05 14:00:00+01:00,72.17491345119215
2030,sc01,01-05 15:00:00+01:00,165.81617409470118
2030,sc01,01-05 16:00:00+01:00,309.27789403303973
2030,sc01,01-05 17:00:00+01:00,723.897186769527
2030,sc01,01-05 18:00:00+01:00,683.0058340884118
2030,sc01,01-05 19:00:00+01:00,599.493301537674
2030,sc01,01-05 20:00:00+01:00,437.85119513376543
2030,sc01,01-05 21:00:00+01:00,352.76079139278113
2030,sc01,01-05 22:00:00+01:00,268.0853203190007
2030,sc01,01-05 23:00:00+01:00,166.94626655595255
2030,sc01,01-06 00:00:00+01:00,97.15070735239071
2030,sc01,01-06 01:00:00+01:00,72.63579552774868
2030,sc01,01-06 02:00:00+01:00,69.24372862170996
2030,sc01,01-06 03:00:00+01:00,82.62666464268892
2030,sc01,01-06 04:00:00+01:00,117.68456917928646
2030,sc01,01-06 05:00:00+01:00,186.26541264319798
2030,sc01,01-06 06:00:00+01:00,380.7714720833804
2030,sc01,01-06 07:00:00+01:00,235.61779245635907
2030,sc01,01-06 08:00:00+01:00,167.96793013285892
2030,sc01,01-06 09:00:00+01:00,113.52106522693464
2030,sc01,01-06 10:00:00+01:00,63.04400830694598
2030,sc01,01-06 11:00:00+01:00,58.96986343995357
2030,sc01,01-06 12:00:00+01:00,52.14837029302005
2030,sc01,01-06 13:00:00+01:00,94.94792924544267
2030,sc01,01-06 14:00:00+01:00,153.31331699871336
2030,sc01,01-06 15:00:00+01:00,198.65155740345193
2030,sc01,01-06 16:00:00+01:00,397.5830509524124
2030,sc01,01-06 17:00:00+01:00,720.8277951929321
2030,sc01,01-06 18:00:00+01:00,1356.0237035710672
2030,sc01,01-06 19:00:00+01:00,815.5447743338899
2030,sc01,01-06 20:00:00+01:00,649.1574124360127
2030,sc01,01-06 21:00:00+01:00,546.2096407620902
2030,sc01,01-06 22:00:00+01:00,428.56472513055735
2030,sc01,01-06 23:00:00+01:00,336.22300065320934
2030,sc01,01-07 00:00:00+01:00,208.02896693217727
2030,sc01,01-07 01:00:00+01:00,175.2687102454956
2030,sc01,01-07 02:00:00+01:00,166.72459140912162
2030,sc01,01-07 03:00:00+01:00,163.8927431434985
2030,sc01,01-07 04:00:00+01:00,178.2708914085088
2030,sc01,01-07 05:00:00+01:00,222.34195304539452
2030,sc01,01-07 06:00:00+01:00,302.3166362952867
2030,sc01,01-07 07:00:00+01:00,251.57911767333903
2030,sc01,01-07 08:00:00+01:00,175.46215700084628
2030,sc01,01-07 09:00:00+01:00,133.5554650111887
2030,sc01,01-07 10:00:00+01:00,106.49301143597793
2030,sc01,01-07 11:00:00+01:00,97.2848892428778
2030,sc01,01-07 12:00:00+01:00,116.51380049122861
2030,sc01,01-07 13:00:00+01:00,107.50450109892158
2030,sc01,01-07 14:00:00+01:00,140.885833224302
2030,sc01,01-07 15:00:00+01:00,167.144143274079
2030,sc01,01-07 16:00:00+01:00,221.10934581339046
2030,sc01,01-07 17:00:00+01:00,301.0817592308963
2030,sc01,01-07 18:00:00+01:00,351.5588938477833
2030,sc01,01-07 19:00:00+01:00,332.6580413749804
2030,sc01,01-07 20:00:00+01:00,297.6833612590069
2030,sc01,01-07 21:00:00+01:00,227.2462091550611
2030,sc01,01-07 22:00:00+01:00,155.5612848790576
2030,sc01,01-07 23:00:00+01:00,114.36122812422086
2030,sc01,01-08 00:00:00+01:00,100.32618819488837
2030,sc01,01-08 01:00:00+01:00,88.31622789264232
2030,sc01,01-08 02:00:00+01:00,99.22509271821112
2030,sc01,01-08 03:00:00+01:00,124.04669755161207
2030,sc01,01-08 04:00:00+01:00,172.9854398365521
2030,sc01,01-08 05:00:00+01:00,260.68900612650594
2030,sc01,01-08 06:00:00+01:00,331.5672606635231
2030,sc01,01-08 07:00:00+01:00,209.68626143658986
2030,sc01,01-08 08:00:00+01:00,145.07095024929643
2030,sc01,01-08 09:00:00+01:00,139.42236439036833
2030,sc01,01-08 10:00:00+01:00,130.49288073077867
2030,sc01,01-08 11:00:00+01:00,128.8937073542456
2030,sc01,01-08 12:00:00+01:00,125.69344527909514
2030,sc01,01-08 13:00:00+01:00,106.50066423315354
2030,sc01,01-08 14:00:00+01:00,113.12514425127414
2030,sc01,01-08 15:00:00+01:00,201.00449162569228
2030,sc01,01-08 16:00:00+01:00,232.5755183555479
2030,sc01,01-08 17:00:00+01:00,373.37092251772333
2030,sc01,01-08 18:00:00+01:00,331.64812901832033
2030,sc01,01-08 19:00:00+01:00,269.7171160810908
2030,sc01,01-08 20:00:00+01:00,208.58424490228714
2030,sc01,01-08 21:00:00+01:00,156.314093908923
2030,sc01,01-08 22:00:00+01:00,105.88966980253907
2030,sc01,01-08 23:00:00+01:00,57.68553017529596
2030,sc01,01-09 00:00:00+01:00,16.194954227109157
2030,sc01,01-09 01:00:00+01:00,0.0
2030,sc01,01-09 02:00:00+01:00,0.0
2030,sc01,01-09 03:00:00+01:00,0.0
2030,sc01,01-09 04:00:00+01:00,0.0
2030,sc01,01-09 05:00:00+01:00,0.0
2030,sc01,01-09 06:00:00+01:00,0.0
2030,sc01,01-09 07:00:00+01:00,0.0
2030,sc01,01-09 08:00:00+01:00,0.0
2030,sc01,01-09 09:00:00+01:00,0.0
2030,sc01,01-09 10:00:00+01:00,0.0
2030,sc01,01-09 11:00:00+01:00,0.0
2030,sc01,01-09 12:00:00+01:00,1.239841143099233
2030,sc01,01-09 13:00:00+01:00,1.8749744684375282
2030,sc01,01-09 14:00:00+01:00,7.394531928106507
2030,sc01,01-09 15:00:00+01:00,0.0
2030,sc01,01-09 16:00:00+01:00,42.746915981861584
2030,sc01,01-09 17:00:00+01:00,163.4518136012575
2030,sc01,01-09 18:00:00+01:00,149.62913097870722
2030,sc01,01-09 19:00:00+01:00,124.74706886134068
2030,sc01,01-09 20:00:00+01:00,98.42728089491483
2030,sc01,01-09 21:00:00+01:00,63.41372001330493
2030,sc01,01-09 22:00:00+01:00,23.2915918362634
2030,sc01,01-09 23:00:00+01:00,1.3134590945898885
2030,sc01,01-10 00:00:00+01:00,0.86597718810661
2030,sc01,01-10 01:00:00+01:00,0.0
2030,sc01,01-10 02:00:00+01:00,0.0
2030,sc01,01-10 03:00:00+01:00,0.0
2030,sc01,01-10 04:00:00+01:00,0.0
2030,sc01,01-10 05:00:00+01:00,21.50903590067403
2030,sc01,01-10 06:00:00+01:00,140.15275093868382
2030,sc01,01-10 07:00:00+01:00,14.28842039846365
2030,sc01,01-10 08:00:00+01:00,7.1999118123642685
2030,sc01,01-10 09:00:00+01:00,8.5498692555886
2030,sc01,01-10 10:00:00+01:00,7.418183964625721
2030,sc01,01-10 11:00:00+01:00,4.260589334003185
2030,sc01,01-10 12:00:00+01:00,2.978615918296394
2030,sc01,01-10 13:00:00+01:00,4.828405144268106
2030,sc01,01-10 14:00:00+01:00,20.346010816188492
2030,sc01,01-10 15:00:00+01:00,73.49359052858408
2030,sc01,01-10 16:00:00+01:00,195.00914094233298
2030,sc01,01-10 17:00:00+01:00,780.6875987212632
2030,sc01,01-10 18:00:00+01:00,755.7777087692702
2030,sc01,01-10 19:00:00+01:00,709.2288427655562
2030,sc01,01-10 20:00:00+01:00,635.8994386512906
2030,sc01,01-10 21:00:00+01:00,528.9281771719434
2030,sc01,01-10 22:00:00+01:00,410.6041015489824
2030,sc01,01-10 23:00:00+01:00,313.46117279428034
2030,sc01,01-11 00:00:00+01:00,307.50428976730774
2030,sc01,01-11 01:00:00+01:00,267.64302665976726
2030,sc01,01-11 02:00:00+01:00,244.6996254806285
2030,sc01,01-11 03:00:00+01:00,256.7223087458916
2030,sc01,01-11 04:00:00+01:00,301.06477669976357
2030,sc01,01-11 05:00:00+01:00,401.30225115423303
2030,sc01,01-11 06:00:00+01:00,552.0812353816917
2030,sc01,01-11 07:00:00+01:00,334.9093990267233
2030,sc01,01-11 08:00:00+01:00,294.10083315360333
2030,sc01,01-11 09:00:00+01:00,295.98786833565003
2030,sc01,01-11 10:00:00+01:00,272.98148858697033
2030,sc01,01-11 11:00:00+01:00,262.6062153153188
2030,sc01,01-11 12:00:00+01:00,248.46906712519123
2030,sc01,01-11 13:00:00+01:00,216.35743007410593
2030,sc01,01-11 14:00:00+01:00,225.7465775534358
2030,sc01,01-11 15:00:00+01:00,242.66344685211465
2030,sc01,01-11 16:00:00+01:00,452.75390171350443
2030,sc01,01-11 17:00:00+01:00,2494.4666777538005
2030,sc01,01-11 18:00:00+01:00,2890.431774874139
2030,sc01,01-11 19:00:00+01:00,2587.3213764560196
2030,sc01,01-11 20:00:00+01:00,1853.0494969558504
2030,sc01,01-11 21:00:00+01:00,766.9858905541321
2030,sc01,01-11 22:00:00+01:00,619.9269388044406
2030,sc01,01-11 23:00:00+01:00,497.5244070180422
2030,sc01,01-12 00:00:00+01:00,345.26905208011556
2030,sc01,01-12 01:00:00+01:00,304.2829055861396
2030,sc01,01-12 02:00:00+01:00,328.86510200464323
2030,sc01,01-12 03:00:00+01:00,393.4452631872419
2030,sc01,01-12 04:00:00+01:00,509.38867567130865
2030,sc01,01-12 05:00:00+01:00,558.9353212036585
2030,sc01,01-12 06:00:00+01:00,573.8916153382035
2030,sc01,01-12 07:00:00+01:00,235.58771620183535
2030,sc01,01-12 08:00:00+01:00,97.56891705027832
2030,sc01,01-12 09:00:00+01:00,82.84455350888562
2030,sc01,01-12 10:00:00+01:00,62.4014526493657
2030,sc01,01-12 11:00:00+01:00,48.62767932351528
2030,sc01,01-12 12:00:00+01:00,37.93950227543452
2030,sc01,01-12 13:00:00+01:00,39.98760405285413
2030,sc01,01-12 14:00:00+01:00,77.61337687039295
2030,sc01,01-12 15:00:00+01:00,165.29218914300554
2030,sc01,01-12 16:00:00+01:00,269.263766524962
2030,sc01,01-12 17:00:00+01:00,636.2356701342017
2030,sc01,01-12 18:00:00+01:00,575.8079430498805
2030,sc01,01-12 19:00:00+01:00,482.65954793102236
2030,sc01,01-12 20:00:00+01:00,308.68095919194354
2030,sc01,01-12 21:00:00+01:00,233.44344323304844
2030,sc01,01-12 22:00:00+01:00,185.24105111754847
2030,sc01,01-12 23:00:00+01:00,160.90010141118978
2030,sc01,01-13 00:00:00+01:00,219.64584126290063
2030,sc01,01-13 01:00:00+01:00,210.877798132062
2030,sc01,01-13 02:00:00+01:00,227.3844999006493
2030,sc01,01-13 03:00:00+01:00,292.3985616276823
2030,sc01,01-13 04:00:00+01:00,437.7919439107779
2030,sc01,01-13 05:00:00+01:00,520.0053436299205
2030,sc01,01-13 06:00:00+01:00,498.44533353698364
2030,sc01,01-13 07:00:00+01:00,213.16127764316036
2030,sc01,01-13 08:00:00+01:00,139.6104809014171
2030,sc01,01-13 09:00:00+01:00,106.33390011979179
2030,sc01,01-13 10:00:00+01:00,81.15065525446244
2030,sc01,01-13 11:00:00+01:00,68.98863094927724
2030,sc01,01-13 12:00:00+01:00,61.087378661784
2030,sc01,01-13 13:00:00+01:00,65.33731419986003
2030,sc01,01-13 14:00:00+01:00,99.96593415706472
2030,sc01,01-13 15:00:00+01:00,222.47876526563164
2030,sc01,01-13 16:00:00+01:00,339.74307901496366
2030,sc01,01-13 17:00:00+01:00,625.8801218754812
2030,sc01,01-13 18:00:00+01:00,657.6531358592173
2030,sc01,01-13 19:00:00+01:00,556.3285236183845
2030,sc01,01-13 20:00:00+01:00,443.0489674340627
2030,sc01,01-13 21:00:00+01:00,350.6245128318468
2030,sc01,01-13 22:00:00+01:00,307.5811576715781
2030,sc01,01-13 23:00:00+01:00,295.24982174826505
2030,sc01,01-14 00:00:00+01:00,270.20273267438074
2030,sc01,01-14 01:00:00+01:00,230.35465275908464
2030,sc01,01-14 02:00:00+01:00,123.97043967596458
2030,sc01,01-14 03:00:00+01:00,197.81534697997483
2030,sc01,01-14 04:00:00+01:00,208.291999315899
2030,sc01,01-14 05:00:00+01:00,281.332445332782
