Period,Scenario,LoadLevel,MW
2030,sc01,01-01 00:00:00+01:00,61.80954968750109
2030,sc01,01-01 01:00:00+01:00,28.96293965353982
2030,sc01,01-01 02:00:00+01:00,-5.144329406903125e-12
2030,sc01,01-01 03:00:00+01:00,-6.252776074688882e-12
2030,sc01,01-01 04:00:00+01:00,-4.604316927725449e-12
2030,sc01,01-01 05:00:00+01:00,-9.094947017729282e-13
2030,sc01,01-01 06:00:00+01:00,-5.968558980384842e-13
2030,sc01,01-01 07:00:00+01:00,-2.1600499167107046e-12
2030,sc01,01-01 08:00:00+01:00,-3.240074875066057e-12
2030,sc01,01-01 09:00:00+01:00,8.526512829121202e-14
2030,sc01,01-01 10:00:00+01:00,-1.1368683772161603e-13
2030,sc01,01-01 11:00:00+01:00,6.821210263296962e-13
2030,sc01,01-01 12:00:00+01:00,1.2505552149377763e-12
2030,sc01,01-01 13:00:00+01:00,1.0231815394945443e-12
2030,sc01,01-01 14:00:00+01:00,1.7053025658242404e-13
2030,sc01,01-01 15:00:00+01:00,-2.8421709430404007e-13
2030,sc01,01-01 16:00:00+01:00,1.7053025658242404e-13
2030,sc01,01-01 17:00:00+01:00,5.115907697472721e-13
2030,sc01,01-01 18:00:00+01:00,644.6562864886153
2030,sc01,01-01 19:00:00+01:00,1012.1382567160621
2030,sc01,01-01 20:00:00+01:00,1006.0716454123165
2030,sc01,01-01 21:00:00+01:00,885.0346623890381
2030,sc01,01-01 22:00:00+01:00,710.9352501484047
2030,sc01,01-01 23:00:00+01:00,332.3686987376617
2030,sc01,01-02 00:00:00+01:00,36.65689417963296
2030,sc01,01-02 01:00:00+01:00,-2.8421709430404007e-12
2030,sc01,01-02 02:00:00+01:00,-4.490630090003833e-12
2030,sc01,01-02 03:00:00+01:00,-3.751665644813329e-12
2030,sc01,01-02 04:00:00+01:00,-4.206412995699793e-12
2030,sc01,01-02 05:00:00+01:00,-3.296918293926865e-12
2030,sc01,01-02 06:00:00+01:00,23.772108927780522
2030,sc01,01-02 07:00:00+01:00,828.6242924627688
2030,sc01,01-02 08:00:00+01:00,1628.3904407107518
2030,sc01,01-02 09:00:00+01:00,632.654583074192
2030,sc01,01-02 10:00:00+01:00,303.17592327050454
2030,sc01,01-02 11:00:00+01:00,341.0265874597495
2030,sc01,01-02 12:00:00+01:00,358.92287163873823
2030,sc01,01-02 13:00:00+01:00,349.7331054185847
2030,sc01,01-02 14:00:00+01:00,333.41058350219663
2030,sc01,01-02 15:00:00+01:00,371.70511455865324
2030,sc01,01-02 16:00:00+01:00,488.60385597821573
2030,sc01,01-02 17:00:00+01:00,1965.8777063053387
2030,sc01,01-02 18:00:00+01:00,5253.643211778544
2030,sc01,01-02 19:00:00+01:00,5514.403290469903
2030,sc01,01-02 20:00:00+01:00,5062.475322609355
2030,sc01,01-02 21:00:00+01:00,4327.326360847337
2030,sc01,01-02 22:00:00+01:00,3461.6911534791266
2030,sc01,01-02 23:00:00+01:00,2355.517335751458
2030,sc01,01-03 00:00:00+01:00,1547.902358529246
2030,sc01,01-03 01:00:00+01:00,968.1002064376299
2030,sc01,01-03 02:00:00+01:00,653.1784352220186
2030,sc01,01-03 03:00:00+01:00,351.01608941390094
2030,sc01,01-03 04:00:00+01:00,330.24739536695114
2030,sc01,01-03 05:00:00+01:00,582.177739819561
2030,sc01,01-03 06:00:00+01:00,1678.9058236581927
2030,sc01,01-03 07:00:00+01:00,3583.6299939837636
2030,sc01,01-03 08:00:00+01:00,5012.455736475514
2030,sc01,01-03 09:00:00+01:00,4244.254120080427
2030,sc01,01-03 10:00:00+01:00,1390.9752912768513
2030,sc01,01-03 11:00:00+01:00,954.953467567937
2030,sc01,01-03 12:00:00+01:00,902.292480510987
2030,sc01,01-03 13:00:00+01:00,235.1991668247474
2030,sc01,01-03 14:00:00+01:00,227.87801763651672
2030,sc01,01-03 15:00:00+01:00,257.6653371504891
2030,sc01,01-03 16:00:00+01:00,534.4223177326237
2030,sc01,01-03 17:00:00+01:00,4641.924921541503
2030,sc01,01-03 18:00:00+01:00,6738.316303607305
2030,sc01,01-03 19:00:00+01:00,6667.556623552226
2030,sc01,01-03 20:00:00+01:00,5845.944276804674
2030,sc01,01-03 21:00:00+01:00,4579.132394689344
2030,sc01,01-03 22:00:00+01:00,3489.440190434818
2030,sc01,01-03 23:00:00+01:00,2257.7898558480397
2030,sc01,01-04 00:00:00+01:00,1562.1158504112987
2030,sc01,01-04 01:00:00+01:00,984.1484547641167
2030,sc01,01-04 02:00:00+01:00,579.0072459599603
2030,sc01,01-04 03:00:00+01:00,354.23540621538507
2030,sc01,01-04 04:00:00+01:00,268.2736243041188
2030,sc01,01-04 05:00:00+01:00,466.44953422121387
2030,sc01,01-04 06:00:00+01:00,1312.7566668576223
2030,sc01,01-04 07:00:00+01:00,2997.7018236329823
2030,sc01,01-04 08:00:00+01:00,4376.3134480293065
2030,sc01,01-04 09:00:00+01:00,3775.785532494234
2030,sc01,01-04 10:00:00+01:00,322.5807786445556
2030,sc01,01-04 11:00:00+01:00,301.8201367136843
2030,sc01,01-04 12:00:00+01:00,333.20508820012014
2030,sc01,01-04 13:00:00+01:00,343.71615751846366
2030,sc01,01-04 14:00:00+01:00,281.06189082276535
2030,sc01,01-04 15:00:00+01:00,322.1261515027197
2030,sc01,01-04 16:00:00+01:00,508.659594730301
2030,sc01,01-04 17:00:00+01:00,1825.3869900075579
2030,sc01,01-04 18:00:00+01:00,4649.7876485677325
2030,sc01,01-04 19:00:00+01:00,5977.270134142348
2030,sc01,01-04 20:00:00+01:00,5041.62213142389
2030,sc01,01-04 21:00:00+01:00,3855.906082060323
2030,sc01,01-04 22:00:00+01:00,2783.0314238179435
