Period,Scenario,LoadLevel,mEUR
2030,sc01,01-01 00:00:00+01:00,0.0
2030,sc01,01-01 01:00:00+01:00,0.0
2030,sc01,01-01 02:00:00+01:00,0.0
2030,sc01,01-01 03:00:00+01:00,0.0
2030,sc01,01-01 04:00:00+01:00,0.0
2030,sc01,01-01 05:00:00+01:00,0.0
2030,sc01,01-01 06:00:00+01:00,0.0
2030,sc01,01-01 07:00:00+01:00,0.0
2030,sc01,01-01 08:00:00+01:00,0.0
2030,sc01,01-01 09:00:00+01:00,0.0
2030,sc01,01-01 10:00:00+01:00,0.0
2030,sc01,01-01 11:00:00+01:00,0.0
2030,sc01,01-01 12:00:00+01:00,0.0
2030,sc01,01-01 13:00:00+01:00,0.0
2030,sc01,01-01 14:00:00+01:00,0.0
2030,sc01,01-01 15:00:00+01:00,0.0
2030,sc01,01-01 16:00:00+01:00,0.0
2030,sc01,01-01 17:00:00+01:00,0.0
2030,sc01,01-01 18:00:00+01:00,28.03195049552997
2030,sc01,01-01 19:00:00+01:00,60.13821960461685
2030,sc01,01-01 20:00:00+01:00,62.85800457104121
2030,sc01,01-01 21:00:00+01:00,57.51714232865275
2030,sc01,01-01 22:00:00+01:00,43.8110811467851
2030,sc01,01-01 23:00:00+01:00,18.48623876566959
2030,sc01,01-02 00:00:00+01:00,0.0
2030,sc01,01-02 01:00:00+01:00,0.0
2030,sc01,01-02 02:00:00+01:00,0.0
2030,sc01,01-02 03:00:00+01:00,0.0
2030,sc01,01-02 04:00:00+01:00,0.0
2030,sc01,01-02 05:00:00+01:00,0.0
2030,sc01,01-02 06:00:00+01:00,0.0
2030,sc01,01-02 07:00:00+01:00,40.451466937821046
2030,sc01,01-02 08:00:00+01:00,109.44940623497698
2030,sc01,01-02 09:00:00+01:00,32.64681751197364
2030,sc01,01-02 10:00:00+01:00,22.06984410785702
2030,sc01,01-02 11:00:00+01:00,24.86585858740668
2030,sc01,01-02 12:00:00+01:00,26.201699923815042
2030,sc01,01-02 13:00:00+01:00,25.597229741414928
2030,sc01,01-02 14:00:00+01:00,24.928399999167763
2030,sc01,01-02 15:00:00+01:00,27.760170179889833
2030,sc01,01-02 16:00:00+01:00,35.873670774672064
2030,sc01,01-02 17:00:00+01:00,154.38730341897391
2030,sc01,01-02 18:00:00+01:00,435.63476745112774
2030,sc01,01-02 19:00:00+01:00,460.9207695867197
2030,sc01,01-02 20:00:00+01:00,419.38742230031494
2030,sc01,01-02 21:00:00+01:00,354.70518699516157
2030,sc01,01-02 22:00:00+01:00,284.8183519257098
2030,sc01,01-02 23:00:00+01:00,194.00364721272368
2030,sc01,01-03 00:00:00+01:00,129.09873248878284
2030,sc01,01-03 01:00:00+01:00,79.45444312553242
2030,sc01,01-03 02:00:00+01:00,53.21414521407839
2030,sc01,01-03 03:00:00+01:00,28.144948275308572
2030,sc01,01-03 04:00:00+01:00,26.520155604328675
2030,sc01,01-03 05:00:00+01:00,47.10462660423971
2030,sc01,01-03 06:00:00+01:00,133.21216840288227
2030,sc01,01-03 07:00:00+01:00,288.8565240547745
2030,sc01,01-03 08:00:00+01:00,414.1077151042497
2030,sc01,01-03 09:00:00+01:00,345.6790007181785
2030,sc01,01-03 10:00:00+01:00,110.22277072598577
2030,sc01,01-03 11:00:00+01:00,73.0977707055133
2030,sc01,01-03 12:00:00+01:00,67.57054500748399
2030,sc01,01-03 13:00:00+01:00,17.26179911791404
2030,sc01,01-03 14:00:00+01:00,16.72683889208977
2030,sc01,01-03 15:00:00+01:00,18.966537240282367
2030,sc01,01-03 16:00:00+01:00,44.18039510277655
2030,sc01,01-03 17:00:00+01:00,379.6574684380645
2030,sc01,01-03 18:00:00+01:00,577.0083774523059
2030,sc01,01-03 19:00:00+01:00,570.1279054099373
2030,sc01,01-03 20:00:00+01:00,491.45603158809644
2030,sc01,01-03 21:00:00+01:00,377.8245481223034
2030,sc01,01-03 22:00:00+01:00,286.74903996521374
2030,sc01,01-03 23:00:00+01:00,189.3933637402294
2030,sc01,01-04 00:00:00+01:00,128.40458309672744
2030,sc01,01-04 01:00:00+01:00,79.87220986544499
2030,sc01,01-04 02:00:00+01:00,45.58065708160519
2030,sc01,01-04 03:00:00+01:00,26.59791249615773
2030,sc01,01-04 04:00:00+01:00,19.202342816038765
2030,sc01,01-04 05:00:00+01:00,36.259923674509594
2030,sc01,01-04 06:00:00+01:00,104.30375828533865
