Period,Scenario,LoadLevel,mEUR
2030,sc01,01-01 00:00:00+01:00,0.7869406131868693
2030,sc01,01-01 01:00:00+01:00,0.7200070468563189
2030,sc01,01-01 02:00:00+01:00,0.6504570812196138
2030,sc01,01-01 03:00:00+01:00,0.5965549199932989
2030,sc01,01-01 04:00:00+01:00,0.5610402652044769
2030,sc01,01-01 05:00:00+01:00,0.5550493529663069
2030,sc01,01-01 06:00:00+01:00,0.5738721521136364
2030,sc01,01-01 07:00:00+01:00,0.5881739335531556
2030,sc01,01-01 08:00:00+01:00,0.6665721639012646
2030,sc01,01-01 09:00:00+01:00,2.7646790423750365
2030,sc01,01-01 10:00:00+01:00,1.2098336589921035
2030,sc01,01-01 11:00:00+01:00,1.0675099101674088
2030,sc01,01-01 12:00:00+01:00,1.090143600809792
2030,sc01,01-01 13:00:00+01:00,1.0893506786620362
2030,sc01,01-01 14:00:00+01:00,1.1011496913895633
2030,sc01,01-01 15:00:00+01:00,2.4406057688541702
2030,sc01,01-01 16:00:00+01:00,8.692717974887342
2030,sc01,01-01 17:00:00+01:00,1.0728267343775653
2030,sc01,01-01 18:00:00+01:00,1.0257939693911826
2030,sc01,01-01 19:00:00+01:00,1.0251003796672018
2030,sc01,01-01 20:00:00+01:00,1.0190000668270498
2030,sc01,01-01 21:00:00+01:00,0.9383220067467586
2030,sc01,01-01 22:00:00+01:00,0.8810578509964958
2030,sc01,01-01 23:00:00+01:00,0.8037924019788633
2030,sc01,01-02 00:00:00+01:00,0.7017693446844178
2030,sc01,01-02 01:00:00+01:00,0.6297990135131157
2030,sc01,01-02 02:00:00+01:00,0.5845893690930447
2030,sc01,01-02 03:00:00+01:00,0.5856785986536167
2030,sc01,01-02 04:00:00+01:00,0.6078644317533282
2030,sc01,01-02 05:00:00+01:00,0.6696173326044483
2030,sc01,01-02 06:00:00+01:00,0.8190485309908702
2030,sc01,01-02 07:00:00+01:00,1.0792860638817672
2030,sc01,01-02 08:00:00+01:00,26.600657702861678
2030,sc01,01-02 09:00:00+01:00,21.436980457133057
2030,sc01,01-02 10:00:00+01:00,16.817328651954565
2030,sc01,01-02 11:00:00+01:00,12.791347237727894
2030,sc01,01-02 12:00:00+01:00,10.457937872976904
2030,sc01,01-02 13:00:00+01:00,10.01774532825313
2030,sc01,01-02 14:00:00+01:00,12.118631426301668
2030,sc01,01-02 15:00:00+01:00,17.678404911490826
2030,sc01,01-02 16:00:00+01:00,29.41182233642922
2030,sc01,01-02 17:00:00+01:00,8.903587005875597
2030,sc01,01-02 18:00:00+01:00,1.8368625383488435
2030,sc01,01-02 19:00:00+01:00,2.7816068784087875
2030,sc01,01-02 20:00:00+01:00,2.341052772828955
2030,sc01,01-02 21:00:00+01:00,2.108644462092032
2030,sc01,01-02 22:00:00+01:00,1.759670626860983
2030,sc01,01-02 23:00:00+01:00,1.416610134098095
2030,sc01,01-03 00:00:00+01:00,0.8395973363265231
2030,sc01,01-03 01:00:00+01:00,0.7522687356238831
2030,sc01,01-03 02:00:00+01:00,0.7020464212684508
2030,sc01,01-03 03:00:00+01:00,0.6759120757795679
2030,sc01,01-03 04:00:00+01:00,0.6910093771626515
2030,sc01,01-03 05:00:00+01:00,0.7687540067163807
2030,sc01,01-03 06:00:00+01:00,0.9422857035701676
2030,sc01,01-03 07:00:00+01:00,1.2745084085807319
2030,sc01,01-03 08:00:00+01:00,48.34266519836699
2030,sc01,01-03 09:00:00+01:00,48.31366929419431
2030,sc01,01-03 10:00:00+01:00,42.64058118833746
2030,sc01,01-03 11:00:00+01:00,37.49281066608994
2030,sc01,01-03 12:00:00+01:00,33.5529771785709
2030,sc01,01-03 13:00:00+01:00,31.61449189977059
2030,sc01,01-03 14:00:00+01:00,33.92861224160353
2030,sc01,01-03 15:00:00+01:00,39.288192169375804
2030,sc01,01-03 16:00:00+01:00,48.056266046825534
2030,sc01,01-03 17:00:00+01:00,14.630423191947752
2030,sc01,01-03 18:00:00+01:00,2.6020136470890187
2030,sc01,01-03 19:00:00+01:00,3.2938622702713323
2030,sc01,01-03 20:00:00+01:00,2.6281867329486928
2030,sc01,01-03 21:00:00+01:00,2.5260396317244975
2030,sc01,01-03 22:00:00+01:00,2.293020790513454
2030,sc01,01-03 23:00:00+01:00,1.9367602736430467
2030,sc01,01-04 00:00:00+01:00,1.1449675053248847
2030,sc01,01-04 01:00:00+01:00,0.8195396544948805
2030,sc01,01-04 02:00:00+01:00,0.7623299911624044
2030,sc01,01-04 03:00:00+01:00,0.7400639070533089
2030,sc01,01-04 04:00:00+01:00,0.7585300565790998
2030,sc01,01-04 05:00:00+01:00,0.8264775476552424
2030,sc01,01-04 06:00:00+01:00,1.0002181381329738
2030,sc01,01-04 07:00:00+01:00,1.3508563865235985
2030,sc01,01-04 08:00:00+01:00,41.69487839433155
2030,sc01,01-04 09:00:00+01:00,40.72118813395804
2030,sc01,01-04 10:00:00+01:00,37.42230498076287
2030,sc01,01-04 11:00:00+01:00,28.427273164222346
2030,sc01,01-04 12:00:00+01:00,25.061463039490825
2030,sc01,01-04 13:00:00+01:00,23.521656400436974
2030,sc01,01-04 14:00:00+01:00,24.29020527156678
2030,sc01,01-04 15:00:00+01:00,23.130806251683307
2030,sc01,01-04 16:00:00+01:00,33.992665930087064
2030,sc01,01-04 17:00:00+01:00,12.586434883865909
2030,sc01,01-04 18:00:00+01:00,2.4327280367792685
2030,sc01,01-04 19:00:00+01:00,2.6842154918148933
2030,sc01,01-04 20:00:00+01:00,2.81415443742229
2030,sc01,01-04 21:00:00+01:00,2.4555258788315575
2030,sc01,01-04 22:00:00+01:00,2.2455561741056846
2030,sc01,01-04 23:00:00+01:00,2.0322369855502465
2030,sc01,01-05 00:00:00+01:00,1.3193727532409731
2030,sc01,01-05 01:00:00+01:00,0.8201926949354676
2030,sc01,01-05 02:00:00+01:00,0.7526415650383399
2030,sc01,01-05 03:00:00+01:00,0.7216791635638236
2030,sc01,01-05 04:00:00+01:00,0.7121463910587906
2030,sc01,01-05 05:00:00+01:00,0.7360813088767346
2030,sc01,01-05 06:00:00+01:00,0.8663734004423098
2030,sc01,01-05 07:00:00+01:00,1.0386584748204675
2030,sc01,01-05 08:00:00+01:00,9.31489127987732
2030,sc01,01-05 09:00:00+01:00,29.524651599527523
2030,sc01,01-05 10:00:00+01:00,28.983788349294663
2030,sc01,01-05 11:00:00+01:00,31.049447352753617
2030,sc01,01-05 12:00:00+01:00,28.76313721588845
2030,sc01,01-05 13:00:00+01:00,29.12663225140715
2030,sc01,01-05 14:00:00+01:00,32.26595526480112
2030,sc01,01-05 15:00:00+01:00,39.16576201860558
2030,sc01,01-05 16:00:00+01:00,52.17793276739219
2030,sc01,01-05 17:00:00+01:00,14.670732825904686
2030,sc01,01-05 18:00:00+01:00,6.479407869540901
2030,sc01,01-05 19:00:00+01:00,3.9509360623923606
2030,sc01,01-05 20:00:00+01:00,3.8317126878561996
2030,sc01,01-05 21:00:00+01:00,3.6450187385196315
2030,sc01,01-05 22:00:00+01:00,2.489745176526266
2030,sc01,01-05 23:00:00+01:00,2.1399724166268093
2030,sc01,01-06 00:00:00+01:00,1.1472549717608116
2030,sc01,01-06 01:00:00+01:00,0.8500980292718487
2030,sc01,01-06 02:00:00+01:00,0.7771660809982192
2030,sc01,01-06 03:00:00+01:00,0.7348197439113929
2030,sc01,01-06 04:00:00+01:00,0.7063152951187887
2030,sc01,01-06 05:00:00+01:00,0.7033735547423076
2030,sc01,01-06 06:00:00+01:00,0.7485400501992977
2030,sc01,01-06 07:00:00+01:00,0.8118804780295408
2030,sc01,01-06 08:00:00+01:00,31.552497463789646
2030,sc01,01-06 09:00:00+01:00,29.32916665219218
2030,sc01,01-06 10:00:00+01:00,24.376293799897415
2030,sc01,01-06 11:00:00+01:00,19.55743192157105
2030,sc01,01-06 12:00:00+01:00,16.357013157581502
2030,sc01,01-06 13:00:00+01:00,14.672282503475795
2030,sc01,01-06 14:00:00+01:00,15.988164139868164
2030,sc01,01-06 15:00:00+01:00,17.339286097656288
2030,sc01,01-06 16:00:00+01:00,24.484277393108115
2030,sc01,01-06 17:00:00+01:00,11.203021943988977
2030,sc01,01-06 18:00:00+01:00,1.4861015847600485
2030,sc01,01-06 19:00:00+01:00,1.8989312563891467
2030,sc01,01-06 20:00:00+01:00,2.2338898933214706
2030,sc01,01-06 21:00:00+01:00,2.304563993401604
