Period,Scenario,LoadLevel,mEUR
2030,sc01,01-01 00:00:00+01:00,11.511640507795295
2030,sc01,01-01 01:00:00+01:00,0.47228207470784084
2030,sc01,01-01 02:00:00+01:00,0.0
2030,sc01,01-01 03:00:00+01:00,0.0
2030,sc01,01-01 04:00:00+01:00,0.0
2030,sc01,01-01 05:00:00+01:00,0.0
2030,sc01,01-01 06:00:00+01:00,0.0
2030,sc01,01-01 07:00:00+01:00,0.0
2030,sc01,01-01 08:00:00+01:00,0.0
2030,sc01,01-01 09:00:00+01:00,0.0
2030,sc01,01-01 10:00:00+01:00,0.0
2030,sc01,01-01 11:00:00+01:00,0.0
2030,sc01,01-01 12:00:00+01:00,0.0
2030,sc01,01-01 13:00:00+01:00,0.0
2030,sc01,01-01 14:00:00+01:00,0.0
2030,sc01,01-01 15:00:00+01:00,0.0
2030,sc01,01-01 16:00:00+01:00,0.0
2030,sc01,01-01 17:00:00+01:00,0.0
2030,sc01,01-01 18:00:00+01:00,49.46930840563785
2030,sc01,01-01 19:00:00+01:00,80.39363894048773
2030,sc01,01-01 20:00:00+01:00,80.80713818534699
2030,sc01,01-01 21:00:00+01:00,72.7749923033009
2030,sc01,01-01 22:00:00+01:00,59.10886776687606
2030,sc01,01-01 23:00:00+01:00,30.4521850325186
2030,sc01,01-02 00:00:00+01:00,2.9178561354130315
2030,sc01,01-02 01:00:00+01:00,0.0
2030,sc01,01-02 02:00:00+01:00,0.0
2030,sc01,01-02 03:00:00+01:00,0.0
2030,sc01,01-02 04:00:00+01:00,0.0
2030,sc01,01-02 05:00:00+01:00,0.0
2030,sc01,01-02 06:00:00+01:00,1.6532962781548368
2030,sc01,01-02 07:00:00+01:00,68.22700604544808
2030,sc01,01-02 08:00:00+01:00,129.0066959218074
2030,sc01,01-02 09:00:00+01:00,52.443081996054744
2030,sc01,01-02 10:00:00+01:00,25.808561313363477
2030,sc01,01-02 11:00:00+01:00,28.15924720935965
2030,sc01,01-02 12:00:00+01:00,29.38925061465627
2030,sc01,01-02 13:00:00+01:00,28.533579131700595
2030,sc01,01-02 14:00:00+01:00,27.39350265950476
2030,sc01,01-02 15:00:00+01:00,30.113976833653997
2030,sc01,01-02 16:00:00+01:00,38.46265404430181
2030,sc01,01-02 17:00:00+01:00,154.343660773304
2030,sc01,01-02 18:00:00+01:00,435.2577645505758
2030,sc01,01-02 19:00:00+01:00,461.3175292354598
2030,sc01,01-02 20:00:00+01:00,419.8873973313686
2030,sc01,01-02 21:00:00+01:00,355.55444443507093
2030,sc01,01-02 22:00:00+01:00,285.3646903837766
2030,sc01,01-02 23:00:00+01:00,199.45219915375395
2030,sc01,01-03 00:00:00+01:00,141.06898216095246
2030,sc01,01-03 01:00:00+01:00,88.18762352951521
2030,sc01,01-03 02:00:00+01:00,65.92656504550197
2030,sc01,01-03 03:00:00+01:00,35.048026119175425
2030,sc01,01-03 04:00:00+01:00,34.29686978846389
2030,sc01,01-03 05:00:00+01:00,53.19427523483604
2030,sc01,01-03 06:00:00+01:00,146.55098085380396
2030,sc01,01-03 07:00:00+01:00,288.92911799217626
2030,sc01,01-03 08:00:00+01:00,414.11695013529925
2030,sc01,01-03 09:00:00+01:00,345.68734621617836
2030,sc01,01-03 10:00:00+01:00,108.79408069830954
2030,sc01,01-03 11:00:00+01:00,88.75140968857114
2030,sc01,01-03 12:00:00+01:00,86.18948794255515
2030,sc01,01-03 13:00:00+01:00,34.55858768207396
2030,sc01,01-03 14:00:00+01:00,29.00583331930847
2030,sc01,01-03 15:00:00+01:00,27.68990554142529
2030,sc01,01-03 16:00:00+01:00,51.74995792683156
2030,sc01,01-03 17:00:00+01:00,379.65703775613025
2030,sc01,01-03 18:00:00+01:00,578.9215525845943
2030,sc01,01-03 19:00:00+01:00,572.1227828021686
2030,sc01,01-03 20:00:00+01:00,492.0954207108694
