Period,Scenario,LoadLevel,MW
2030,sc01,01-01 00:00:00+01:00,206.58567940213305
2030,sc01,01-01 01:00:00+01:00,72.30795961098588
2030,sc01,01-01 02:00:00+01:00,27.660812799635252
2030,sc01,01-01 03:00:00+01:00,3.552713678800501e-14
2030,sc01,01-01 04:00:00+01:00,5.506706202140776e-13
2030,sc01,01-01 05:00:00+01:00,1.545430450278218e-12
2030,sc01,01-01 06:00:00+01:00,1.6768808563938364e-12
2030,sc01,01-01 07:00:00+01:00,1.9619861291175766e-12
2030,sc01,01-01 08:00:00+01:00,3.8458125573015423e-13
2030,sc01,01-01 09:00:00+01:00,-2.7000623958883807e-13
2030,sc01,01-01 10:00:00+01:00,-3.383959779057477e-12
2030,sc01,01-01 11:00:00+01:00,-2.6147972675971687e-12
2030,sc01,01-01 12:00:00+01:00,2.4513724383723456e-13
2030,sc01,01-01 13:00:00+01:00,-3.9328540424321545e-12
2030,sc01,01-01 14:00:00+01:00,-1.4885870314174099e-12
2030,sc01,01-01 15:00:00+01:00,2.9807267765136203e-12
2030,sc01,01-01 16:00:00+01:00,6.071587677070056e-12
2030,sc01,01-01 17:00:00+01:00,-9.094947017729282e-13
2030,sc01,01-01 18:00:00+01:00,577.3068946521573
2030,sc01,01-01 19:00:00+01:00,913.9330200918525
2030,sc01,01-01 20:00:00+01:00,917.8356983896955
2030,sc01,01-01 21:00:00+01:00,819.0714662230654
2030,sc01,01-01 22:00:00+01:00,656.5519371684466
2030,sc01,01-01 23:00:00+01:00,382.8293074845241
2030,sc01,01-02 00:00:00+01:00,90.62794209935484
2030,sc01,01-02 01:00:00+01:00,19.475828565500073
2030,sc01,01-02 02:00:00+01:00,2.135180920959101e-12
2030,sc01,01-02 03:00:00+01:00,2.687627898012579e-12
2030,sc01,01-02 04:00:00+01:00,-1.5631940186722204e-13
2030,sc01,01-02 05:00:00+01:00,7.585043704239069e-13
2030,sc01,01-02 06:00:00+01:00,62.96003126898272
2030,sc01,01-02 07:00:00+01:00,782.3111489960368
2030,sc01,01-02 08:00:00+01:00,1540.7556974345553
2030,sc01,01-02 09:00:00+01:00,715.0979138070984
2030,sc01,01-02 10:00:00+01:00,350.12453375070334
2030,sc01,01-02 11:00:00+01:00,382.4170486662342
2030,sc01,01-02 12:00:00+01:00,399.02544213703015
2030,sc01,01-02 13:00:00+01:00,387.1776230510842
2030,sc01,01-02 14:00:00+01:00,371.1564381161256
2030,sc01,01-02 15:00:00+01:00,408.23459403528364
2030,sc01,01-02 16:00:00+01:00,520.6637149190983
2030,sc01,01-02 17:00:00+01:00,1965.8675543793572
2030,sc01,01-02 18:00:00+01:00,5253.605395988219
2030,sc01,01-02 19:00:00+01:00,5514.351282474788
2030,sc01,01-02 20:00:00+01:00,5062.431967899295
2030,sc01,01-02 21:00:00+01:00,4327.358511791451
2030,sc01,01-02 22:00:00+01:00,3472.223557851449
2030,sc01,01-02 23:00:00+01:00,2355.5557523401435
2030,sc01,01-03 00:00:00+01:00,1441.6074544864011
2030,sc01,01-03 01:00:00+01:00,902.46348340064
2030,sc01,01-03 02:00:00+01:00,618.3132656378112
2030,sc01,01-03 03:00:00+01:00,336.8674053653424
2030,sc01,01-03 04:00:00+01:00,322.69198581879124
2030,sc01,01-03 05:00:00+01:00,555.7521150354654
2030,sc01,01-03 06:00:00+01:00,1678.904897679792
2030,sc01,01-03 07:00:00+01:00,3583.519834274271
2030,sc01,01-03 08:00:00+01:00,5012.381894009223
2030,sc01,01-03 09:00:00+01:00,4244.203275542706
2030,sc01,01-03 10:00:00+01:00,1449.1904156147828
2030,sc01,01-03 11:00:00+01:00,1171.6657869623036
2030,sc01,01-03 12:00:00+01:00,1140.231828841907
2030,sc01,01-03 13:00:00+01:00,470.11318310910536
2030,sc01,01-03 14:00:00+01:00,399.9815365171827
2030,sc01,01-03 15:00:00+01:00,384.6480465688955
2030,sc01,01-03 16:00:00+01:00,706.5374511095214
2030,sc01,01-03 17:00:00+01:00,4642.014650598342
2030,sc01,01-03 18:00:00+01:00,6738.503879120501
2030,sc01,01-03 19:00:00+01:00,6667.717199470915
2030,sc01,01-03 20:00:00+01:00,5842.636938823771
2030,sc01,01-03 21:00:00+01:00,4579.1543280839505
2030,sc01,01-03 22:00:00+01:00,3488.015298757886
2030,sc01,01-03 23:00:00+01:00,2198.2288841725604
2030,sc01,01-04 00:00:00+01:00,1437.94320442856
2030,sc01,01-04 01:00:00+01:00,908.6617418846802
2030,sc01,01-04 02:00:00+01:00,531.9044863725954
2030,sc01,01-04 03:00:00+01:00,353.74458149383867
2030,sc01,01-04 04:00:00+01:00,297.09216289205347
2030,sc01,01-04 05:00:00+01:00,431.7928182268405
2030,sc01,01-04 06:00:00+01:00,1242.103000631934
2030,sc01,01-04 07:00:00+01:00,2997.8260664490335
2030,sc01,01-04 08:00:00+01:00,4361.012876047389
2030,sc01,01-04 09:00:00+01:00,3763.5053411131435
2030,sc01,01-04 10:00:00+01:00,641.559088715356
2030,sc01,01-04 11:00:00+01:00,566.7931453788475
2030,sc01,01-04 12:00:00+01:00,534.137493613904
2030,sc01,01-04 13:00:00+01:00,489.20914550662235
2030,sc01,01-04 14:00:00+01:00,374.6851040917818
2030,sc01,01-04 15:00:00+01:00,384.77220442038583
2030,sc01,01-04 16:00:00+01:00,649.2578187850517
2030,sc01,01-04 17:00:00+01:00,1846.982907461465
2030,sc01,01-04 18:00:00+01:00,4614.848803206285
2030,sc01,01-04 19:00:00+01:00,5977.394286898833
2030,sc01,01-04 20:00:00+01:00,5041.638616662312
2030,sc01,01-04 21:00:00+01:00,3855.9313896243484
2030,sc01,01-04 22:00:00+01:00,2717.1888840051342
2030,sc01,01-04 23:00:00+01:00,1913.5301725570964
2030,sc01,01-05 00:00:00+01:00,1281.290379747787
2030,sc01,01-05 01:00:00+01:00,771.6970728729755
2030,sc01,01-05 02:00:00+01:00,447.98639790713344
2030,sc01,01-05 03:00:00+01:00,274.25600883807635
2030,sc01,01-05 04:00:00+01:00,200.75179871456018
2030,sc01,01-05 05:00:00+01:00,221.02730336082033
2030,sc01,01-05 06:00:00+01:00,347.3246521731431
2030,sc01,01-05 07:00:00+01:00,753.8896270387926
2030,sc01,01-05 08:00:00+01:00,1276.5406736980624
2030,sc01,01-05 09:00:00+01:00,526.2491928095324
2030,sc01,01-05 10:00:00+01:00,306.6712902421144
2030,sc01,01-05 11:00:00+01:00,384.706634936622
2030,sc01,01-05 12:00:00+01:00,375.4677863992157
2030,sc01,01-05 13:00:00+01:00,295.0944731567977
2030,sc01,01-05 14:00:00+01:00,228.20276849753031
2030,sc01,01-05 15:00:00+01:00,269.94624818467946
2030,sc01,01-05 16:00:00+01:00,390.57346845906807
2030,sc01,01-05 17:00:00+01:00,2239.55096447835
2030,sc01,01-05 18:00:00+01:00,5470.747595073366
2030,sc01,01-05 19:00:00+01:00,5656.465667033571
2030,sc01,01-05 20:00:00+01:00,3824.9344966195777
2030,sc01,01-05 21:00:00+01:00,2968.262632779524
2030,sc01,01-05 22:00:00+01:00,2291.4382581304326
2030,sc01,01-05 23:00:00+01:00,1814.6318199106236
2030,sc01,01-06 00:00:00+01:00,1297.5204770656787
2030,sc01,01-06 01:00:00+01:00,834.8526820306764
2030,sc01,01-06 02:00:00+01:00,529.5072867750143
2030,sc01,01-06 03:00:00+01:00,268.33326954686106
2030,sc01,01-06 04:00:00+01:00,156.68792953378812
2030,sc01,01-06 05:00:00+01:00,122.57269506655929
2030,sc01,01-06 06:00:00+01:00,235.5010678891598
2030,sc01,01-06 07:00:00+01:00,496.5161219583612
2030,sc01,01-06 08:00:00+01:00,1014.1534951774814
2030,sc01,01-06 09:00:00+01:00,247.17326707137806
2030,sc01,01-06 10:00:00+01:00,91.88063104851722
2030,sc01,01-06 11:00:00+01:00,3.353761712787673e-12
2030,sc01,01-06 12:00:00+01:00,-3.865352482534945e-12
2030,sc01,01-06 13:00:00+01:00,102.00515107278761
2030,sc01,01-06 14:00:00+01:00,62.92270399600329
2030,sc01,01-06 15:00:00+01:00,117.10288819867014
2030,sc01,01-06 16:00:00+01:00,300.09494604775387
2030,sc01,01-06 17:00:00+01:00,1852.8271902989222
2030,sc01,01-06 18:00:00+01:00,5139.7869007122135
2030,sc01,01-06 19:00:00+01:00,5441.138658750931
2030,sc01,01-06 20:00:00+01:00,5062.2674786636235
2030,sc01,01-06 21:00:00+01:00,4228.050269262
2030,sc01,01-06 22:00:00+01:00,3279.3002015660004
2030,sc01,01-06 23:00:00+01:00,1991.6467978804462
2030,sc01,01-07 00:00:00+01:00,1076.4526167236243
2030,sc01,01-07 01:00:00+01:00,612.2754745734219
2030,sc01,01-07 02:00:00+01:00,417.4123665254986
2030,sc01,01-07 03:00:00+01:00,244.46493258424005
2030,sc01,01-07 04:00:00+01:00,294.32726580938566
2030,sc01,01-07 05:00:00+01:00,868.5392955875855
2030,sc01,01-07 06:00:00+01:00,3975.293800013882
2030,sc01,01-07 07:00:00+01:00,6517.028581180344
2030,sc01,01-07 08:00:00+01:00,7991.148615279961
2030,sc01,01-07 09:00:00+01:00,6605.764247754483
2030,sc01,01-07 10:00:00+01:00,3881.411437162041
2030,sc01,01-07 11:00:00+01:00,3131.4368813545702
2030,sc01,01-07 12:00:00+01:00,2273.0221006522333
2030,sc01,01-07 13:00:00+01:00,2211.862616786238
2030,sc01,01-07 14:00:00+01:00,1914.8312286404825
2030,sc01,01-07 15:00:00+01:00,1746.0246938531018
2030,sc01,01-07 16:00:00+01:00,2323.21796936354
2030,sc01,01-07 17:00:00+01:00,2548.415916309086
2030,sc01,01-07 18:00:00+01:00,6415.423286136074
2030,sc01,01-07 19:00:00+01:00,6327.487055587144
2030,sc01,01-07 20:00:00+01:00,5488.098138852166
2030,sc01,01-07 21:00:00+01:00,4462.719629220015
2030,sc01,01-07 22:00:00+01:00,3276.415727716512
2030,sc01,01-07 23:00:00+01:00,1938.0385001537093
2030,sc01,01-08 00:00:00+01:00,1229.3206091798806
2030,sc01,01-08 01:00:00+01:00,718.7707856550859
2030,sc01,01-08 02:00:00+01:00,407.21406463675004
2030,sc01,01-08 03:00:00+01:00,264.1103277290323
2030,sc01,01-08 04:00:00+01:00,242.4745775716807
2030,sc01,01-08 05:00:00+01:00,446.27105255731055
2030,sc01,01-08 06:00:00+01:00,1552.2245307443695
2030,sc01,01-08 07:00:00+01:00,3676.5741096893
2030,sc01,01-08 08:00:00+01:00,5132.83316885888
2030,sc01,01-08 09:00:00+01:00,2583.422652685347
2030,sc01,01-08 10:00:00+01:00,987.7237486811098
2030,sc01,01-08 11:00:00+01:00,929.2130803153101
2030,sc01,01-08 12:00:00+01:00,851.5393126809104
2030,sc01,01-08 13:00:00+01:00,749.9103146369578
2030,sc01,01-08 14:00:00+01:00,1031.479277813356
2030,sc01,01-08 15:00:00+01:00,1025.970476494969
2030,sc01,01-08 16:00:00+01:00,1219.3349625838587
2030,sc01,01-08 17:00:00+01:00,2868.9592021869043
2030,sc01,01-08 18:00:00+01:00,6063.395912134628
2030,sc01,01-08 19:00:00+01:00,4884.225662712884
2030,sc01,01-08 20:00:00+01:00,4227.253998419963
2030,sc01,01-08 21:00:00+01:00,3397.058573770414
2030,sc01,01-08 22:00:00+01:00,2616.153126026526
2030,sc01,01-08 23:00:00+01:00,2012.6786538042832
2030,sc01,01-09 00:00:00+01:00,1295.0332014820617
2030,sc01,01-09 01:00:00+01:00,801.8309089641468
2030,sc01,01-09 02:00:00+01:00,489.67118796568377
2030,sc01,01-09 03:00:00+01:00,380.4584702473551
2030,sc01,01-09 04:00:00+01:00,374.88249939894763
2030,sc01,01-09 05:00:00+01:00,666.2650035465484
2030,sc01,01-09 06:00:00+01:00,2578.5164179913572
2030,sc01,01-09 07:00:00+01:00,5188.277557911045
2030,sc01,01-09 08:00:00+01:00,6531.667874893284
2030,sc01,01-09 09:00:00+01:00,5103.315393586287
2030,sc01,01-09 10:00:00+01:00,1844.6999826071994
2030,sc01,01-09 11:00:00+01:00,1614.2696170791878
2030,sc01,01-09 12:00:00+01:00,1482.5050929423708
2030,sc01,01-09 13:00:00+01:00,1361.425311785001
2030,sc01,01-09 14:00:00+01:00,1268.4199952053007
2030,sc01,01-09 15:00:00+01:00,1602.1535022381258
