Period,Scenario,LoadLevel,Node,GWh
2030,sc01,01-06 00:00:00+01:00,Node_1,0.0
2030,sc01,01-06 00:00:00+01:00,Node_2,0.0
2030,sc01,01-06 00:00:00+01:00,Node_8,0.0
2030,sc01,01-06 00:00:00+01:00,Node_4,0.0
2030,sc01,01-06 00:00:00+01:00,Node_7,0.0
2030,sc01,01-06 00:00:00+01:00,Node_9,0.0
2030,sc01,01-06 00:00:00+01:00,Node_3,0.0
2030,sc01,01-06 00:00:00+01:00,Node_6,0.0
2030,sc01,01-06 00:00:00+01:00,Node_5,0.0
2030,sc01,01-11 00:00:00+01:00,Node_1,0.0
2030,sc01,01-11 00:00:00+01:00,Node_2,0.0
2030,sc01,01-11 00:00:00+01:00,Node_8,0.0
2030,sc01,01-11 00:00:00+01:00,Node_4,0.0
2030,sc01,01-11 00:00:00+01:00,Node_7,0.0
2030,sc01,01-11 00:00:00+01:00,Node_9,0.0
2030,sc01,01-11 00:00:00+01:00,Node_3,0.0
2030,sc01,01-11 00:00:00+01:00,Node_6,0.0
2030,sc01,01-11 00:00:00+01:00,Node_5,0.0
2030,sc01,01-14 18:00:00+01:00,Node_1,0.0
2030,sc01,01-14 18:00:00+01:00,Node_2,0.0
2030,sc01,01-14 18:00:00+01:00,Node_8,0.0
2030,sc01,01-14 18:00:00+01:00,Node_4,0.0
2030,sc01,01-14 18:00:00+01:00,Node_7,0.0
2030,sc01,01-14 18:00:00+01:00,Node_9,0.0
2030,sc01,01-14 18:00:00+01:00,Node_3,0.0
2030,sc01,01-14 18:00:00+01:00,Node_6,0.0
2030,sc01,01-14 18:00:00+01:00,Node_5,0.0
2030,sc01,01-15 15:00:00+01:00,Node_1,0.0
2030,sc01,01-15 15:00:00+01:00,Node_2,0.0
2030,sc01,01-15 15:00:00+01:00,Node_8,0.0
2030,sc01,01-15 15:00:00+01:00,Node_4,0.0
2030,sc01,01-15 15:00:00+01:00,Node_7,0.0
2030,sc01,01-15 15:00:00+01:00,Node_9,0.0
2030,sc01,01-15 15:00:00+01:00,Node_3,0.0
2030,sc01,01-15 15:00:00+01:00,Node_6,0.0
2030,sc01,01-15 15:00:00+01:00,Node_5,0.0
2030,sc01,01-16 10:00:00+01:00,Node_1,0.0
2030,sc01,01-16 10:00:00+01:00,Node_2,0.0
2030,sc01,01-16 10:00:00+01:00,Node_8,0.0
2030,sc01,01-16 10:00:00+01:00,Node_4,0.0
2030,sc01,01-16 10:00:00+01:00,Node_7,0.0
2030,sc01,01-16 10:00:00+01:00,Node_9,0.0
2030,sc01,01-16 10:00:00+01:00,Node_3,0.0
2030,sc01,01-16 10:00:00+01:00,Node_6,0.0
2030,sc01,01-16 10:00:00+01:00,Node_5,0.0
2030,sc01,01-24 01:00:00+01:00,Node_1,0.0
2030,sc01,01-24 01:00:00+01:00,Node_2,0.0
2030,sc01,01-24 01:00:00+01:00,Node_8,0.0
2030,sc01,01-24 01:00:00+01:00,Node_4,0.0
2030,sc01,01-24 01:00:00+01:00,Node_7,0.0
2030,sc01,01-24 01:00:00+01:00,Node_9,0.0
2030,sc01,01-24 01:00:00+01:00,Node_3,0.0
2030,sc01,01-24 01:00:00+01:00,Node_6,0.0
2030,sc01,01-24 01:00:00+01:00,Node_5,0.0
2030,sc01,01-27 02:00:00+01:00,Node_1,0.0
2030,sc01,01-27 02:00:00+01:00,Node_2,0.0
2030,sc01,01-27 02:00:00+01:00,Node_8,0.0
2030,sc01,01-27 02:00:00+01:00,Node_4,0.0
2030,sc01,01-27 02:00:00+01:00,Node_7,0.0
2030,sc01,01-27 02:00:00+01:00,Node_9,0.0
2030,sc01,01-27 02:00:00+01:00,Node_3,0.0
2030,sc01,01-27 02:00:00+01:00,Node_6,0.0
2030,sc01,01-27 02:00:00+01:00,Node_5,0.0
2030,sc01,01-27 23:00:00+01:00,Node_1,0.0
2030,sc01,01-27 23:00:00+01:00,Node_2,0.0
2030,sc01,01-27 23:00:00+01:00,Node_8,0.0
2030,sc01,01-27 23:00:00+01:00,Node_4,0.0
2030,sc01,01-27 23:00:00+01:00,Node_7,0.0
2030,sc01,01-27 23:00:00+01:00,Node_9,0.0
2030,sc01,01-27 23:00:00+01:00,Node_3,0.0
2030,sc01,01-27 23:00:00+01:00,Node_6,0.0
2030,sc01,01-27 23:00:00+01:00,Node_5,0.0
2030,sc01,01-29 10:00:00+01:00,Node_1,0.0
2030,sc01,01-29 10:00:00+01:00,Node_2,0.0
2030,sc01,01-29 10:00:00+01:00,Node_8,0.0
2030,sc01,01-29 10:00:00+01:00,Node_4,0.0
2030,sc01,01-29 10:00:00+01:00,Node_7,0.0
2030,sc01,01-29 10:00:00+01:00,Node_9,0.0
2030,sc01,01-29 10:00:00+01:00,Node_3,0.0
2030,sc01,01-29 10:00:00+01:00,Node_6,0.0
2030,sc01,01-29 10:00:00+01:00,Node_5,0.0
2030,sc01,01-29 18:00:00+01:00,Node_1,0.0
2030,sc01,01-29 18:00:00+01:00,Node_2,0.0
2030,sc01,01-29 18:00:00+01:00,Node_8,0.0
2030,sc01,01-29 18:00:00+01:00,Node_4,0.0
2030,sc01,01-29 18:00:00+01:00,Node_7,0.0
2030,sc01,01-29 18:00:00+01:00,Node_9,0.0
2030,sc01,01-29 18:00:00+01:00,Node_3,0.0
2030,sc01,01-29 18:00:00+01:00,Node_6,0.0
2030,sc01,01-29 18:00:00+01:00,Node_5,0.0
2030,sc01,02-02 20:00:00+01:00,Node_1,0.0
2030,sc01,02-02 20:00:00+01:00,Node_2,0.0
2030,sc01,02-02 20:00:00+01:00,Node_8,0.0
2030,sc01,02-02 20:00:00+01:00,Node_4,0.0
2030,sc01,02-02 20:00:00+01:00,Node_7,0.0
2030,sc01,02-02 20:00:00+01:00,Node_9,0.0
2030,sc01,02-02 20:00:00+01:00,Node_3,0.0
2030,sc01,02-02 20:00:00+01:00,Node_6,0.0
2030,sc01,02-02 20:00:00+01:00,Node_5,0.0
2030,sc01,02-02 22:00:00+01:00,Node_1,0.0
2030,sc01,02-02 22:00:00+01:00,Node_2,0.0
2030,sc01,02-02 22:00:00+01:00,Node_8,0.0
2030,sc01,02-02 22:00:00+01:00,Node_4,0.0
2030,sc01,02-02 22:00:00+01:00,Node_7,0.0
2030,sc01,02-02 22:00:00+01:00,Node_9,0.0
2030,sc01,02-02 22:00:00+01:00,Node_3,0.0
2030,sc01,02-02 22:00:00+01:00,Node_6,0.0
2030,sc01,02-02 22:00:00+01:00,Node_5,0.0
2030,sc01,02-05 12:00:00+01:00,Node_1,0.0
2030,sc01,02-05 12:00:00+01:00,Node_2,0.0
2030,sc01,02-05 12:00:00+01:00,Node_8,0.0
2030,sc01,02-05 12:00:00+01:00,Node_4,0.0
2030,sc01,02-05 12:00:00+01:00,Node_7,0.0
2030,sc01,02-05 12:00:00+01:00,Node_9,0.0
2030,sc01,02-05 12:00:00+01:00,Node_3,0.0
2030,sc01,02-05 12:00:00+01:00,Node_6,0.0
2030,sc01,02-05 12:00:00+01:00,Node_5,0.0
2030,sc01,02-05 19:00:00+01:00,Node_1,0.0
2030,sc01,02-05 19:00:00+01:00,Node_2,0.0
2030,sc01,02-05 19:00:00+01:00,Node_8,0.0
2030,sc01,02-05 19:00:00+01:00,Node_4,0.0
2030,sc01,02-05 19:00:00+01:00,Node_7,0.0
2030,sc01,02-05 19:00:00+01:00,Node_9,0.0
2030,sc01,02-05 19:00:00+01:00,Node_3,0.0
2030,sc01,02-05 19:00:00+01:00,Node_6,0.0
2030,sc01,02-05 19:00:00+01:00,Node_5,0.0
2030,sc01,02-10 07:00:00+01:00,Node_1,0.0
2030,sc01,02-10 07:00:00+01:00,Node_2,0.0
2030,sc01,02-10 07:00:00+01:00,Node_8,0.0
2030,sc01,02-10 07:00:00+01:00,Node_4,0.0
2030,sc01,02-10 07:00:00+01:00,Node_7,0.0
2030,sc01,02-10 07:00:00+01:00,Node_9,0.0
2030,sc01,02-10 07:00:00+01:00,Node_3,0.0
2030,sc01,02-10 07:00:00+01:00,Node_6,0.0
2030,sc01,02-10 07:00:00+01:00,Node_5,0.0
2030,sc01,02-13 13:00:00+01:00,Node_1,0.0
2030,sc01,02-13 13:00:00+01:00,Node_2,0.0
2030,sc01,02-13 13:00:00+01:00,Node_8,0.0
2030,sc01,02-13 13:00:00+01:00,Node_4,0.0
2030,sc01,02-13 13:00:00+01:00,Node_7,0.0
2030,sc01,02-13 13:00:00+01:00,Node_9,0.0
2030,sc01,02-13 13:00:00+01:00,Node_3,0.0
2030,sc01,02-13 13:00:00+01:00,Node_6,0.0
2030,sc01,02-13 13:00:00+01:00,Node_5,0.0
2030,sc01,02-16 11:00:00+01:00,Node_1,0.0
2030,sc01,02-16 11:00:00+01:00,Node_2,0.0
2030,sc01,02-16 11:00:00+01:00,Node_8,0.0
2030,sc01,02-16 11:00:00+01:00,Node_4,0.0
2030,sc01,02-16 11:00:00+01:00,Node_7,0.0
2030,sc01,02-16 11:00:00+01:00,Node_9,0.0
2030,sc01,02-16 11:00:00+01:00,Node_3,0.0
2030,sc01,02-16 11:00:00+01:00,Node_6,0.0
2030,sc01,02-16 11:00:00+01:00,Node_5,0.0
2030,sc01,02-16 21:00:00+01:00,Node_1,0.0
2030,sc01,02-16 21:00:00+01:00,Node_2,0.0
2030,sc01,02-16 21:00:00+01:00,Node_8,0.0
2030,sc01,02-16 21:00:00+01:00,Node_4,0.0
2030,sc01,02-16 21:00:00+01:00,Node_7,0.0
2030,sc01,02-16 21:00:00+01:00,Node_9,0.0
2030,sc01,02-16 21:00:00+01:00,Node_3,0.0
2030,sc01,02-16 21:00:00+01:00,Node_6,0.0
2030,sc01,02-16 21:00:00+01:00,Node_5,0.0
2030,sc01,02-18 00:00:00+01:00,Node_1,0.0
2030,sc01,02-18 00:00:00+01:00,Node_2,0.0
2030,sc01,02-18 00:00:00+01:00,Node_8,0.0
2030,sc01,02-18 00:00:00+01:00,Node_4,0.0
2030,sc01,02-18 00:00:00+01:00,Node_7,0.0
2030,sc01,02-18 00:00:00+01:00,Node_9,0.0
2030,sc01,02-18 00:00:00+01:00,Node_3,0.0
2030,sc01,02-18 00:00:00+01:00,Node_6,0.0
2030,sc01,02-18 00:00:00+01:00,Node_5,0.0
2030,sc01,02-18 19:00:00+01:00,Node_1,0.0
2030,sc01,02-18 19:00:00+01:00,Node_2,0.0
2030,sc01,02-18 19:00:00+01:00,Node_8,0.0
2030,sc01,02-18 19:00:00+01:00,Node_4,0.0
