Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-02 00:00:00+01:00,Node_7,Node_8,cac2,0.0
2030,sc01,01-02 00:00:00+01:00,Node_6,Node_7,cac1,0.0
2030,sc01,01-02 00:00:00+01:00,Node_3,Node_4,cac1,0.0
2030,sc01,01-02 00:00:00+01:00,Node_4,Node_6,cac1,0.0
2030,sc01,01-02 00:00:00+01:00,Node_4,Node_5,cac1,0.0
2030,sc01,01-02 00:00:00+01:00,Node_8,Node_9,cac1,0.0
2030,sc01,01-02 00:00:00+01:00,Node_7,Node_8,cac3,0.0
2030,sc01,01-02 00:00:00+01:00,Node_3,Node_6,cac2,0.0
2030,sc01,01-02 00:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-02 00:00:00+01:00,Node_7,Node_8,eac1,0.3697910489727555
2030,sc01,01-02 00:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-02 00:00:00+01:00,Node_1,Node_6,cac2,0.0
2030,sc01,01-02 00:00:00+01:00,Node_3,Node_6,cac3,0.0
2030,sc01,01-02 00:00:00+01:00,Node_4,Node_9,cac2,0.0
2030,sc01,01-02 00:00:00+01:00,Node_6,Node_8,cac2,0.0
2030,sc01,01-02 00:00:00+01:00,Node_3,Node_6,eac1,0.19795787354871372
2030,sc01,01-02 00:00:00+01:00,Node_2,Node_3,eac1,0.001452767417000957
2030,sc01,01-02 00:00:00+01:00,Node_2,Node_6,cac2,0.0
2030,sc01,01-02 00:00:00+01:00,Node_7,Node_8,cac1,0.0
2030,sc01,01-02 00:00:00+01:00,Node_1,Node_6,cac3,0.0
2030,sc01,01-02 00:00:00+01:00,Node_6,Node_7,cac2,0.0
2030,sc01,01-02 00:00:00+01:00,Node_3,Node_4,cac2,0.0
2030,sc01,01-02 00:00:00+01:00,Node_4,Node_6,cac2,0.0
2030,sc01,01-02 00:00:00+01:00,Node_4,Node_9,cac3,0.0
2030,sc01,01-02 00:00:00+01:00,Node_6,Node_8,cac3,0.0
2030,sc01,01-02 00:00:00+01:00,Node_1,Node_6,eac1,0.0020355858713805137
2030,sc01,01-02 00:00:00+01:00,Node_4,Node_9,eac1,0.45724723149465146
2030,sc01,01-02 00:00:00+01:00,Node_2,Node_6,cac3,0.0
2030,sc01,01-02 00:00:00+01:00,Node_6,Node_8,eac1,0.31118373990169607
2030,sc01,01-02 00:00:00+01:00,Node_8,Node_9,cac2,0.0
2030,sc01,01-02 00:00:00+01:00,Node_4,Node_5,cac2,0.0
2030,sc01,01-02 00:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-02 00:00:00+01:00,Node_6,Node_7,cac3,0.0
2030,sc01,01-02 00:00:00+01:00,Node_3,Node_4,cac3,0.0
2030,sc01,01-02 00:00:00+01:00,Node_4,Node_6,cac3,0.0
2030,sc01,01-02 00:00:00+01:00,Node_3,Node_6,cac1,0.0
2030,sc01,01-02 00:00:00+01:00,Node_2,Node_6,eac1,0.2980263858858213
2030,sc01,01-02 00:00:00+01:00,Node_6,Node_7,eac1,0.5058471492332506
2030,sc01,01-02 00:00:00+01:00,Node_3,Node_4,eac1,0.11534685312588945
2030,sc01,01-02 00:00:00+01:00,Node_4,Node_6,eac1,0.22056018836521615
2030,sc01,01-02 00:00:00+01:00,Node_4,Node_5,cac3,0.0
2030,sc01,01-02 00:00:00+01:00,Node_8,Node_9,cac3,0.0
2030,sc01,01-02 00:00:00+01:00,Node_1,Node_6,cac1,0.0
2030,sc01,01-02 00:00:00+01:00,Node_8,Node_9,eac1,0.039889861989216416
2030,sc01,01-02 00:00:00+01:00,Node_4,Node_5,eac1,0.4718214152619492
2030,sc01,01-02 00:00:00+01:00,Node_4,Node_9,cac1,0.0
2030,sc01,01-02 00:00:00+01:00,Node_6,Node_8,cac1,0.0
2030,sc01,01-02 00:00:00+01:00,Node_2,Node_6,cac1,0.0
2030,sc01,01-03 07:00:00+01:00,Node_7,Node_8,cac2,0.0
2030,sc01,01-03 07:00:00+01:00,Node_6,Node_7,cac1,0.0
2030,sc01,01-03 07:00:00+01:00,Node_3,Node_4,cac1,0.0
2030,sc01,01-03 07:00:00+01:00,Node_4,Node_6,cac1,0.0
2030,sc01,01-03 07:00:00+01:00,Node_4,Node_5,cac1,0.0
2030,sc01,01-03 07:00:00+01:00,Node_8,Node_9,cac1,0.0
2030,sc01,01-03 07:00:00+01:00,Node_7,Node_8,cac3,0.0
2030,sc01,01-03 07:00:00+01:00,Node_3,Node_6,cac2,0.0
2030,sc01,01-03 07:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 07:00:00+01:00,Node_7,Node_8,eac1,0.10914444978177
2030,sc01,01-03 07:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 07:00:00+01:00,Node_1,Node_6,cac2,0.0
2030,sc01,01-03 07:00:00+01:00,Node_3,Node_6,cac3,0.0
2030,sc01,01-03 07:00:00+01:00,Node_4,Node_9,cac2,0.0
2030,sc01,01-03 07:00:00+01:00,Node_6,Node_8,cac2,0.0
2030,sc01,01-03 07:00:00+01:00,Node_3,Node_6,eac1,0.401249261783703
2030,sc01,01-03 07:00:00+01:00,Node_2,Node_3,eac1,0.4538489204589491
2030,sc01,01-03 07:00:00+01:00,Node_2,Node_6,cac2,0.0
2030,sc01,01-03 07:00:00+01:00,Node_7,Node_8,cac1,0.0
2030,sc01,01-03 07:00:00+01:00,Node_1,Node_6,cac3,0.0
2030,sc01,01-03 07:00:00+01:00,Node_6,Node_7,cac2,0.0
2030,sc01,01-03 07:00:00+01:00,Node_3,Node_4,cac2,0.0
2030,sc01,01-03 07:00:00+01:00,Node_4,Node_6,cac2,0.0
2030,sc01,01-03 07:00:00+01:00,Node_4,Node_9,cac3,0.0
2030,sc01,01-03 07:00:00+01:00,Node_6,Node_8,cac3,0.0
2030,sc01,01-03 07:00:00+01:00,Node_1,Node_6,eac1,0.9999966666777779
2030,sc01,01-03 07:00:00+01:00,Node_4,Node_9,eac1,0.054598641633670154
2030,sc01,01-03 07:00:00+01:00,Node_2,Node_6,cac3,0.0
2030,sc01,01-03 07:00:00+01:00,Node_6,Node_8,eac1,0.44553451103575703
2030,sc01,01-03 07:00:00+01:00,Node_8,Node_9,cac2,0.0
2030,sc01,01-03 07:00:00+01:00,Node_4,Node_5,cac2,0.0
2030,sc01,01-03 07:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-03 07:00:00+01:00,Node_6,Node_7,cac3,0.0
2030,sc01,01-03 07:00:00+01:00,Node_3,Node_4,cac3,0.0
2030,sc01,01-03 07:00:00+01:00,Node_4,Node_6,cac3,0.0
2030,sc01,01-03 07:00:00+01:00,Node_3,Node_6,cac1,0.0
2030,sc01,01-03 07:00:00+01:00,Node_2,Node_6,eac1,0.2614872023313427
2030,sc01,01-03 07:00:00+01:00,Node_6,Node_7,eac1,0.44404172571764494
2030,sc01,01-03 07:00:00+01:00,Node_3,Node_4,eac1,0.9999966666777779
2030,sc01,01-03 07:00:00+01:00,Node_4,Node_6,eac1,0.32406097033583386
2030,sc01,01-03 07:00:00+01:00,Node_4,Node_5,cac3,0.0
2030,sc01,01-03 07:00:00+01:00,Node_8,Node_9,cac3,0.0
2030,sc01,01-03 07:00:00+01:00,Node_1,Node_6,cac1,0.0
2030,sc01,01-03 07:00:00+01:00,Node_8,Node_9,eac1,0.24900189964785885
2030,sc01,01-03 07:00:00+01:00,Node_4,Node_5,eac1,0.9999966666777779
2030,sc01,01-03 07:00:00+01:00,Node_4,Node_9,cac1,0.0
2030,sc01,01-03 07:00:00+01:00,Node_6,Node_8,cac1,0.0
2030,sc01,01-03 07:00:00+01:00,Node_2,Node_6,cac1,0.0
2030,sc01,01-04 07:00:00+01:00,Node_7,Node_8,cac2,0.0
2030,sc01,01-04 07:00:00+01:00,Node_6,Node_7,cac1,0.0
2030,sc01,01-04 07:00:00+01:00,Node_3,Node_4,cac1,0.0
2030,sc01,01-04 07:00:00+01:00,Node_4,Node_6,cac1,0.0
2030,sc01,01-04 07:00:00+01:00,Node_4,Node_5,cac1,0.0
2030,sc01,01-04 07:00:00+01:00,Node_8,Node_9,cac1,0.0
2030,sc01,01-04 07:00:00+01:00,Node_7,Node_8,cac3,0.0
2030,sc01,01-04 07:00:00+01:00,Node_3,Node_6,cac2,0.0
2030,sc01,01-04 07:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-04 07:00:00+01:00,Node_7,Node_8,eac1,0.09737364331523762
2030,sc01,01-04 07:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-04 07:00:00+01:00,Node_1,Node_6,cac2,0.0
2030,sc01,01-04 07:00:00+01:00,Node_3,Node_6,cac3,0.0
2030,sc01,01-04 07:00:00+01:00,Node_4,Node_9,cac2,0.0
2030,sc01,01-04 07:00:00+01:00,Node_6,Node_8,cac2,0.0
2030,sc01,01-04 07:00:00+01:00,Node_3,Node_6,eac1,0.4240223620346733
2030,sc01,01-04 07:00:00+01:00,Node_2,Node_3,eac1,0.535648418429392
2030,sc01,01-04 07:00:00+01:00,Node_2,Node_6,cac2,0.0
2030,sc01,01-04 07:00:00+01:00,Node_7,Node_8,cac1,0.0
2030,sc01,01-04 07:00:00+01:00,Node_1,Node_6,cac3,0.0
2030,sc01,01-04 07:00:00+01:00,Node_6,Node_7,cac2,0.0
2030,sc01,01-04 07:00:00+01:00,Node_3,Node_4,cac2,0.0
2030,sc01,01-04 07:00:00+01:00,Node_4,Node_6,cac2,0.0
2030,sc01,01-04 07:00:00+01:00,Node_4,Node_9,cac3,0.0
2030,sc01,01-04 07:00:00+01:00,Node_6,Node_8,cac3,0.0
2030,sc01,01-04 07:00:00+01:00,Node_1,Node_6,eac1,0.9999966666777779
2030,sc01,01-04 07:00:00+01:00,Node_4,Node_9,eac1,0.07186627671722362
2030,sc01,01-04 07:00:00+01:00,Node_2,Node_6,cac3,0.0
2030,sc01,01-04 07:00:00+01:00,Node_6,Node_8,eac1,0.4415106090138725
2030,sc01,01-04 07:00:00+01:00,Node_8,Node_9,cac2,0.0
2030,sc01,01-04 07:00:00+01:00,Node_4,Node_5,cac2,0.0
2030,sc01,01-04 07:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-04 07:00:00+01:00,Node_6,Node_7,cac3,0.0
2030,sc01,01-04 07:00:00+01:00,Node_3,Node_4,cac3,0.0
2030,sc01,01-04 07:00:00+01:00,Node_4,Node_6,cac3,0.0
2030,sc01,01-04 07:00:00+01:00,Node_3,Node_6,cac1,0.0
2030,sc01,01-04 07:00:00+01:00,Node_2,Node_6,eac1,0.23429722922996613
2030,sc01,01-04 07:00:00+01:00,Node_6,Node_7,eac1,0.432841269721719
2030,sc01,01-04 07:00:00+01:00,Node_3,Node_4,eac1,0.9999966666777779
2030,sc01,01-04 07:00:00+01:00,Node_4,Node_6,eac1,0.30698114514760605
2030,sc01,01-04 07:00:00+01:00,Node_4,Node_5,cac3,0.0
2030,sc01,01-04 07:00:00+01:00,Node_8,Node_9,cac3,0.0
2030,sc01,01-04 07:00:00+01:00,Node_1,Node_6,cac1,0.0
2030,sc01,01-04 07:00:00+01:00,Node_8,Node_9,eac1,0.25045335104401717
2030,sc01,01-04 07:00:00+01:00,Node_4,Node_5,eac1,0.9999966666777779
2030,sc01,01-04 07:00:00+01:00,Node_4,Node_9,cac1,0.0
2030,sc01,01-04 07:00:00+01:00,Node_6,Node_8,cac1,0.0
2030,sc01,01-04 07:00:00+01:00,Node_2,Node_6,cac1,0.0
2030,sc01,01-04 15:00:00+01:00,Node_7,Node_8,cac2,0.0
2030,sc01,01-04 15:00:00+01:00,Node_6,Node_7,cac1,0.0
2030,sc01,01-04 15:00:00+01:00,Node_3,Node_4,cac1,0.0
2030,sc01,01-04 15:00:00+01:00,Node_4,Node_6,cac1,0.0
2030,sc01,01-04 15:00:00+01:00,Node_4,Node_5,cac1,0.0
2030,sc01,01-04 15:00:00+01:00,Node_8,Node_9,cac1,0.0
2030,sc01,01-04 15:00:00+01:00,Node_7,Node_8,cac3,0.0
2030,sc01,01-04 15:00:00+01:00,Node_3,Node_6,cac2,0.0
2030,sc01,01-04 15:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-04 15:00:00+01:00,Node_7,Node_8,eac1,0.06218334965336631
2030,sc01,01-04 15:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-04 15:00:00+01:00,Node_1,Node_6,cac2,0.0
2030,sc01,01-04 15:00:00+01:00,Node_3,Node_6,cac3,0.0
2030,sc01,01-04 15:00:00+01:00,Node_4,Node_9,cac2,0.0
2030,sc01,01-04 15:00:00+01:00,Node_6,Node_8,cac2,0.0
2030,sc01,01-04 15:00:00+01:00,Node_3,Node_6,eac1,0.17789858295715785
2030,sc01,01-04 15:00:00+01:00,Node_2,Node_3,eac1,0.42038068244529075
2030,sc01,01-04 15:00:00+01:00,Node_2,Node_6,cac2,0.0
2030,sc01,01-04 15:00:00+01:00,Node_7,Node_8,cac1,0.0
2030,sc01,01-04 15:00:00+01:00,Node_1,Node_6,cac3,0.0
2030,sc01,01-04 15:00:00+01:00,Node_6,Node_7,cac2,0.0
2030,sc01,01-04 15:00:00+01:00,Node_3,Node_4,cac2,0.0
2030,sc01,01-04 15:00:00+01:00,Node_4,Node_6,cac2,0.0
2030,sc01,01-04 15:00:00+01:00,Node_4,Node_9,cac3,0.0
2030,sc01,01-04 15:00:00+01:00,Node_6,Node_8,cac3,0.0
2030,sc01,01-04 15:00:00+01:00,Node_1,Node_6,eac1,0.9999966666777779
2030,sc01,01-04 15:00:00+01:00,Node_4,Node_9,eac1,0.1020002052590536
2030,sc01,01-04 15:00:00+01:00,Node_2,Node_6,cac3,0.0
2030,sc01,01-04 15:00:00+01:00,Node_6,Node_8,eac1,0.4621335296125044
2030,sc01,01-04 15:00:00+01:00,Node_8,Node_9,cac2,0.0
2030,sc01,01-04 15:00:00+01:00,Node_4,Node_5,cac2,0.0
2030,sc01,01-04 15:00:00+01:00,Node_2,Node_3,cac1,0.0
2030,sc01,01-04 15:00:00+01:00,Node_6,Node_7,cac3,0.0
2030,sc01,01-04 15:00:00+01:00,Node_3,Node_4,cac3,0.0
2030,sc01,01-04 15:00:00+01:00,Node_4,Node_6,cac3,0.0
2030,sc01,01-04 15:00:00+01:00,Node_3,Node_6,cac1,0.0
2030,sc01,01-04 15:00:00+01:00,Node_2,Node_6,eac1,0.04843763739823113
2030,sc01,01-04 15:00:00+01:00,Node_6,Node_7,eac1,0.4265668411126645
