Period,Scenario,LoadLevel,Unit,p.u.
2030,sc01,01-15 11:00:00+01:00,CCGT_1,1.0
2030,sc01,01-15 11:00:00+01:00,DomesticCoal_Anthracite,1.0
2030,sc01,01-15 11:00:00+01:00,ImportedCoal_SubBituminous,1.0
2030,sc01,01-15 11:00:00+01:00,CCGT_4,0.0
2030,sc01,01-15 11:00:00+01:00,OCGT_3,1.0
2030,sc01,01-15 11:00:00+01:00,OCGT_2,1.0
2030,sc01,01-15 11:00:00+01:00,FuelOilGas,1.0
2030,sc01,01-15 11:00:00+01:00,OCGT_1,1.0
2030,sc01,01-15 11:00:00+01:00,CCGT_2,1.0
2030,sc01,01-15 11:00:00+01:00,BrownLignite,1.0
2030,sc01,01-15 11:00:00+01:00,Nuclear,0.0
2030,sc01,01-15 11:00:00+01:00,CCGT_3,1.0
2030,sc01,01-15 11:00:00+01:00,ImportedCoal_Bituminous,1.0
2030,sc01,01-17 08:00:00+01:00,CCGT_1,1.0
2030,sc01,01-17 08:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-17 08:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-17 08:00:00+01:00,CCGT_4,0.0
2030,sc01,01-17 08:00:00+01:00,OCGT_3,0.0
2030,sc01,01-17 08:00:00+01:00,OCGT_2,0.0
2030,sc01,01-17 08:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-17 08:00:00+01:00,OCGT_1,0.0
2030,sc01,01-17 08:00:00+01:00,CCGT_2,0.0
2030,sc01,01-17 08:00:00+01:00,BrownLignite,0.0
2030,sc01,01-17 08:00:00+01:00,Nuclear,1.0
2030,sc01,01-17 08:00:00+01:00,CCGT_3,1.0
2030,sc01,01-17 08:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-17 16:00:00+01:00,CCGT_1,1.0
2030,sc01,01-17 16:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-17 16:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-17 16:00:00+01:00,CCGT_4,0.0
2030,sc01,01-17 16:00:00+01:00,OCGT_3,0.0
2030,sc01,01-17 16:00:00+01:00,OCGT_2,0.0
2030,sc01,01-17 16:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-17 16:00:00+01:00,OCGT_1,0.0
2030,sc01,01-17 16:00:00+01:00,CCGT_2,0.0
2030,sc01,01-17 16:00:00+01:00,BrownLignite,0.0
2030,sc01,01-17 16:00:00+01:00,Nuclear,0.0
2030,sc01,01-17 16:00:00+01:00,CCGT_3,0.0
2030,sc01,01-17 16:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-17 21:00:00+01:00,CCGT_1,0.0
2030,sc01,01-17 21:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-17 21:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-17 21:00:00+01:00,CCGT_4,0.0
2030,sc01,01-17 21:00:00+01:00,OCGT_3,0.0
2030,sc01,01-17 21:00:00+01:00,OCGT_2,0.0
2030,sc01,01-17 21:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-17 21:00:00+01:00,OCGT_1,0.0
2030,sc01,01-17 21:00:00+01:00,CCGT_2,0.0
2030,sc01,01-17 21:00:00+01:00,BrownLignite,0.0
2030,sc01,01-17 21:00:00+01:00,Nuclear,1.0
2030,sc01,01-17 21:00:00+01:00,CCGT_3,0.0
2030,sc01,01-17 21:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-21 16:00:00+01:00,CCGT_1,1.0
2030,sc01,01-21 16:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-21 16:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-21 16:00:00+01:00,CCGT_4,0.0
2030,sc01,01-21 16:00:00+01:00,OCGT_3,0.0
2030,sc01,01-21 16:00:00+01:00,OCGT_2,0.0
2030,sc01,01-21 16:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-21 16:00:00+01:00,OCGT_1,0.0
2030,sc01,01-21 16:00:00+01:00,CCGT_2,1.0
2030,sc01,01-21 16:00:00+01:00,BrownLignite,0.0
2030,sc01,01-21 16:00:00+01:00,Nuclear,1.0
2030,sc01,01-21 16:00:00+01:00,CCGT_3,1.0
2030,sc01,01-21 16:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-23 07:00:00+01:00,CCGT_1,0.0
2030,sc01,01-23 07:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-23 07:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-23 07:00:00+01:00,CCGT_4,0.0
2030,sc01,01-23 07:00:00+01:00,OCGT_3,0.0
2030,sc01,01-23 07:00:00+01:00,OCGT_2,0.0
2030,sc01,01-23 07:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-23 07:00:00+01:00,OCGT_1,0.0
2030,sc01,01-23 07:00:00+01:00,CCGT_2,0.0
2030,sc01,01-23 07:00:00+01:00,BrownLignite,0.0
2030,sc01,01-23 07:00:00+01:00,Nuclear,0.0
2030,sc01,01-23 07:00:00+01:00,CCGT_3,1.0
2030,sc01,01-23 07:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-28 07:00:00+01:00,CCGT_1,0.0
2030,sc01,01-28 07:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-28 07:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-28 07:00:00+01:00,CCGT_4,0.0
2030,sc01,01-28 07:00:00+01:00,OCGT_3,0.0
2030,sc01,01-28 07:00:00+01:00,OCGT_2,0.0
2030,sc01,01-28 07:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-28 07:00:00+01:00,OCGT_1,0.0
2030,sc01,01-28 07:00:00+01:00,CCGT_2,0.0
2030,sc01,01-28 07:00:00+01:00,BrownLignite,0.0
2030,sc01,01-28 07:00:00+01:00,Nuclear,1.0
2030,sc01,01-28 07:00:00+01:00,CCGT_3,0.0
2030,sc01,01-28 07:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-29 07:00:00+01:00,CCGT_1,1.0
2030,sc01,01-29 07:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-29 07:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-29 07:00:00+01:00,CCGT_4,0.0
2030,sc01,01-29 07:00:00+01:00,OCGT_3,0.0
2030,sc01,01-29 07:00:00+01:00,OCGT_2,0.0
2030,sc01,01-29 07:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-29 07:00:00+01:00,OCGT_1,0.0
2030,sc01,01-29 07:00:00+01:00,CCGT_2,1.0
2030,sc01,01-29 07:00:00+01:00,BrownLignite,0.0
2030,sc01,01-29 07:00:00+01:00,Nuclear,1.0
2030,sc01,01-29 07:00:00+01:00,CCGT_3,1.0
2030,sc01,01-29 07:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-30 07:00:00+01:00,CCGT_1,1.0
2030,sc01,01-30 07:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-30 07:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-30 07:00:00+01:00,CCGT_4,0.0
2030,sc01,01-30 07:00:00+01:00,OCGT_3,0.0
2030,sc01,01-30 07:00:00+01:00,OCGT_2,0.0
2030,sc01,01-30 07:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-30 07:00:00+01:00,OCGT_1,0.0
2030,sc01,01-30 07:00:00+01:00,CCGT_2,0.0
2030,sc01,01-30 07:00:00+01:00,BrownLignite,0.0
2030,sc01,01-30 07:00:00+01:00,Nuclear,0.9364852729367548
2030,sc01,01-30 07:00:00+01:00,CCGT_3,0.0
2030,sc01,01-30 07:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-30 21:00:00+01:00,CCGT_1,0.23402716129007617
2030,sc01,01-30 21:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-30 21:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-30 21:00:00+01:00,CCGT_4,0.0
2030,sc01,01-30 21:00:00+01:00,OCGT_3,0.0
2030,sc01,01-30 21:00:00+01:00,OCGT_2,0.0
2030,sc01,01-30 21:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-30 21:00:00+01:00,OCGT_1,0.0
2030,sc01,01-30 21:00:00+01:00,CCGT_2,0.023322133870841085
2030,sc01,01-30 21:00:00+01:00,BrownLignite,0.0
2030,sc01,01-30 21:00:00+01:00,Nuclear,0.0
2030,sc01,01-30 21:00:00+01:00,CCGT_3,0.7323651756090831
2030,sc01,01-30 21:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-31 00:00:00+01:00,CCGT_1,0.0
2030,sc01,01-31 00:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-31 00:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-31 00:00:00+01:00,CCGT_4,0.0
2030,sc01,01-31 00:00:00+01:00,OCGT_3,0.0
2030,sc01,01-31 00:00:00+01:00,OCGT_2,0.0
2030,sc01,01-31 00:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-31 00:00:00+01:00,OCGT_1,0.0
2030,sc01,01-31 00:00:00+01:00,CCGT_2,0.0
2030,sc01,01-31 00:00:00+01:00,BrownLignite,0.0
2030,sc01,01-31 00:00:00+01:00,Nuclear,0.0
2030,sc01,01-31 00:00:00+01:00,CCGT_3,0.0
2030,sc01,01-31 00:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,02-01 11:00:00+01:00,CCGT_1,0.0
2030,sc01,02-01 11:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,02-01 11:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-01 11:00:00+01:00,CCGT_4,0.0
2030,sc01,02-01 11:00:00+01:00,OCGT_3,0.0
2030,sc01,02-01 11:00:00+01:00,OCGT_2,0.0
2030,sc01,02-01 11:00:00+01:00,FuelOilGas,0.0
2030,sc01,02-01 11:00:00+01:00,OCGT_1,0.0
2030,sc01,02-01 11:00:00+01:00,CCGT_2,1.0
2030,sc01,02-01 11:00:00+01:00,BrownLignite,0.0
2030,sc01,02-01 11:00:00+01:00,Nuclear,1.0
2030,sc01,02-01 11:00:00+01:00,CCGT_3,1.0
2030,sc01,02-01 11:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,02-07 11:00:00+01:00,CCGT_1,0.0
2030,sc01,02-07 11:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,02-07 11:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-07 11:00:00+01:00,CCGT_4,0.0
2030,sc01,02-07 11:00:00+01:00,OCGT_3,0.0
2030,sc01,02-07 11:00:00+01:00,OCGT_2,0.0
2030,sc01,02-07 11:00:00+01:00,FuelOilGas,0.0
2030,sc01,02-07 11:00:00+01:00,OCGT_1,0.0
2030,sc01,02-07 11:00:00+01:00,CCGT_2,1.0
2030,sc01,02-07 11:00:00+01:00,BrownLignite,0.0
2030,sc01,02-07 11:00:00+01:00,Nuclear,0.0
2030,sc01,02-07 11:00:00+01:00,CCGT_3,0.0
2030,sc01,02-07 11:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,02-08 17:00:00+01:00,CCGT_1,1.0
2030,sc01,02-08 17:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,02-08 17:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-08 17:00:00+01:00,CCGT_4,0.0
2030,sc01,02-08 17:00:00+01:00,OCGT_3,0.0
2030,sc01,02-08 17:00:00+01:00,OCGT_2,0.0
2030,sc01,02-08 17:00:00+01:00,FuelOilGas,0.0
2030,sc01,02-08 17:00:00+01:00,OCGT_1,0.0
2030,sc01,02-08 17:00:00+01:00,CCGT_2,1.0
2030,sc01,02-08 17:00:00+01:00,BrownLignite,0.0
2030,sc01,02-08 17:00:00+01:00,Nuclear,0.9418177071423017
2030,sc01,02-08 17:00:00+01:00,CCGT_3,0.17046253871363207
2030,sc01,02-08 17:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,02-18 07:00:00+01:00,CCGT_1,1.0
2030,sc01,02-18 07:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,02-18 07:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-18 07:00:00+01:00,CCGT_4,0.0
2030,sc01,02-18 07:00:00+01:00,OCGT_3,0.0
2030,sc01,02-18 07:00:00+01:00,OCGT_2,0.0
2030,sc01,02-18 07:00:00+01:00,FuelOilGas,0.0
2030,sc01,02-18 07:00:00+01:00,OCGT_1,0.0
2030,sc01,02-18 07:00:00+01:00,CCGT_2,0.0
2030,sc01,02-18 07:00:00+01:00,BrownLignite,0.0
2030,sc01,02-18 07:00:00+01:00,Nuclear,1.0
2030,sc01,02-18 07:00:00+01:00,CCGT_3,1.0
2030,sc01,02-18 07:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,02-18 10:00:00+01:00,CCGT_1,0.0
2030,sc01,02-18 10:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,02-18 10:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-18 10:00:00+01:00,CCGT_4,0.0
2030,sc01,02-18 10:00:00+01:00,OCGT_3,0.0
2030,sc01,02-18 10:00:00+01:00,OCGT_2,0.0
2030,sc01,02-18 10:00:00+01:00,FuelOilGas,0.0
2030,sc01,02-18 10:00:00+01:00,OCGT_1,0.0
2030,sc01,02-18 10:00:00+01:00,CCGT_2,0.0
2030,sc01,02-18 10:00:00+01:00,BrownLignite,0.0
2030,sc01,02-18 10:00:00+01:00,Nuclear,1.0
2030,sc01,02-18 10:00:00+01:00,CCGT_3,0.0
2030,sc01,02-18 10:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,02-19 11:00:00+01:00,CCGT_1,0.7802468466400002
2030,sc01,02-19 11:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,02-19 11:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-19 11:00:00+01:00,CCGT_4,0.0
2030,sc01,02-19 11:00:00+01:00,OCGT_3,0.0
2030,sc01,02-19 11:00:00+01:00,OCGT_2,0.0
2030,sc01,02-19 11:00:00+01:00,FuelOilGas,0.0
2030,sc01,02-19 11:00:00+01:00,OCGT_1,0.0
2030,sc01,02-19 11:00:00+01:00,CCGT_2,0.0
2030,sc01,02-19 11:00:00+01:00,BrownLignite,0.0
2030,sc01,02-19 11:00:00+01:00,Nuclear,0.0
2030,sc01,02-19 11:00:00+01:00,CCGT_3,0.0
2030,sc01,02-19 11:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,02-20 12:00:00+01:00,CCGT_1,0.0
2030,sc01,02-20 12:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,02-20 12:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-20 12:00:00+01:00,CCGT_4,0.0
2030,sc01,02-20 12:00:00+01:00,OCGT_3,0.0
2030,sc01,02-20 12:00:00+01:00,OCGT_2,0.0
2030,sc01,02-20 12:00:00+01:00,FuelOilGas,0.0
2030,sc01,02-20 12:00:00+01:00,OCGT_1,0.0
2030,sc01,02-20 12:00:00+01:00,CCGT_2,0.8271700870199999
2030,sc01,02-20 12:00:00+01:00,BrownLignite,0.0
2030,sc01,02-20 12:00:00+01:00,Nuclear,0.27455385043934677
2030,sc01,02-20 12:00:00+01:00,CCGT_3,0.0
2030,sc01,02-20 12:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,02-23 09:00:00+01:00,CCGT_1,0.0
2030,sc01,02-23 09:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,02-23 09:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-23 09:00:00+01:00,CCGT_4,0.0
2030,sc01,02-23 09:00:00+01:00,OCGT_3,0.0
2030,sc01,02-23 09:00:00+01:00,OCGT_2,0.0
2030,sc01,02-23 09:00:00+01:00,FuelOilGas,0.0
2030,sc01,02-23 09:00:00+01:00,OCGT_1,0.0
2030,sc01,02-23 09:00:00+01:00,CCGT_2,0.6423751607600002
2030,sc01,02-23 09:00:00+01:00,BrownLignite,0.0
2030,sc01,02-23 09:00:00+01:00,Nuclear,1.0
2030,sc01,02-23 09:00:00+01:00,CCGT_3,0.0
2030,sc01,02-23 09:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,02-23 11:00:00+01:00,CCGT_1,0.0
2030,sc01,02-23 11:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,02-23 11:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-23 11:00:00+01:00,CCGT_4,0.0
2030,sc01,02-23 11:00:00+01:00,OCGT_3,0.0
2030,sc01,02-23 11:00:00+01:00,OCGT_2,0.0
2030,sc01,02-23 11:00:00+01:00,FuelOilGas,0.0
2030,sc01,02-23 11:00:00+01:00,OCGT_1,0.0
2030,sc01,02-23 11:00:00+01:00,CCGT_2,0.0
2030,sc01,02-23 11:00:00+01:00,BrownLignite,0.0
2030,sc01,02-23 11:00:00+01:00,Nuclear,0.0
2030,sc01,02-23 11:00:00+01:00,CCGT_3,0.0
2030,sc01,02-23 11:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,02-24 18:00:00+01:00,CCGT_1,0.0
2030,sc01,02-24 18:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,02-24 18:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,02-24 18:00:00+01:00,CCGT_4,0.0
2030,sc01,02-24 18:00:00+01:00,OCGT_3,0.0
2030,sc01,02-24 18:00:00+01:00,OCGT_2,0.0
2030,sc01,02-24 18:00:00+01:00,FuelOilGas,0.0
2030,sc01,02-24 18:00:00+01:00,OCGT_1,0.0
2030,sc01,02-24 18:00:00+01:00,CCGT_2,1.0
2030,sc01,02-24 18:00:00+01:00,BrownLignite,0.0
2030,sc01,02-24 18:00:00+01:00,Nuclear,0.08629318096034205
2030,sc01,02-24 18:00:00+01:00,CCGT_3,0.0
