Period,Scenario,LoadLevel,mEUR
2030,sc01,01-07 21:00:00+01:00,2181027.757556207
2030,sc01,01-12 00:00:00+01:00,731297.4680002007
2030,sc01,01-19 17:00:00+01:00,194116.89193489184
2030,sc01,01-24 19:00:00+01:00,83378.4319431768
2030,sc01,01-27 17:00:00+01:00,29346.23119478988
2030,sc01,02-10 14:00:00+01:00,1084398.7495853906
2030,sc01,02-28 22:00:00+01:00,3916439.9026071243
2030,sc01,03-01 01:00:00+01:00,1010783.8275453621
2030,sc01,03-05 01:00:00+01:00,2110394.4496831438
2030,sc01,03-08 20:00:00+01:00,8865283.869244372
2030,sc01,03-17 02:00:00+01:00,157037.34415570225
2030,sc01,03-28 10:00:00+01:00,6391665.47169492
2030,sc01,03-31 20:00:00+02:00,4606893.890114603
2030,sc01,04-08 05:00:00+02:00,52547.00502571435
2030,sc01,04-08 07:00:00+02:00,3205214.297310006
2030,sc01,04-08 19:00:00+02:00,11236394.75439591
2030,sc01,04-16 14:00:00+02:00,71272.88386635367
2030,sc01,04-30 13:00:00+02:00,0.0
2030,sc01,05-09 04:00:00+02:00,2656573.379763423
2030,sc01,05-14 21:00:00+02:00,525319.1622125868
2030,sc01,05-17 21:00:00+02:00,569939.307698107
2030,sc01,05-26 06:00:00+02:00,1703495.4524918462
2030,sc01,05-27 12:00:00+02:00,2273562.548046375
2030,sc01,05-28 19:00:00+02:00,60558.230049293554
2030,sc01,05-31 03:00:00+02:00,1994652.0899635954
2030,sc01,06-01 08:00:00+02:00,4497281.877383625
2030,sc01,06-02 07:00:00+02:00,7345287.326297715
2030,sc01,06-02 20:00:00+02:00,519286.8103236035
2030,sc01,06-05 02:00:00+02:00,3278053.1722518625
2030,sc01,06-06 01:00:00+02:00,0.0
2030,sc01,06-08 23:00:00+02:00,348541.7174535709
2030,sc01,06-12 00:00:00+02:00,174269.22703432906
2030,sc01,06-19 20:00:00+02:00,4032297.0713486355
2030,sc01,06-22 04:00:00+02:00,168820.73068059623
2030,sc01,06-22 19:00:00+02:00,446899.77941315953
2030,sc01,06-23 05:00:00+02:00,8708013.06432963
2030,sc01,06-24 04:00:00+02:00,974881.7965779576
2030,sc01,06-24 15:00:00+02:00,3611557.820661757
2030,sc01,06-28 10:00:00+02:00,2259183.37309313
2030,sc01,07-05 18:00:00+02:00,967012.2757080505
2030,sc01,07-19 10:00:00+02:00,1177452.248690372
2030,sc01,07-20 01:00:00+02:00,6584740.079793328
2030,sc01,07-21 07:00:00+02:00,5718472.552241977
2030,sc01,07-30 18:00:00+02:00,4204345.168829765
2030,sc01,08-01 18:00:00+02:00,2275242.963055287
2030,sc01,08-06 03:00:00+02:00,326746.61738858203
2030,sc01,08-16 15:00:00+02:00,407291.5880122929
2030,sc01,08-23 15:00:00+02:00,3331811.1630921043
2030,sc01,09-02 00:00:00+02:00,2348499.5206325473
2030,sc01,09-06 10:00:00+02:00,3878745.1824491853
2030,sc01,09-14 22:00:00+02:00,1091034.6003148523
2030,sc01,09-22 19:00:00+02:00,2414175.750925757
2030,sc01,09-22 21:00:00+02:00,592736.6424518927
2030,sc01,09-26 06:00:00+02:00,1816862.4779831637
2030,sc01,09-28 13:00:00+02:00,1042534.7716774602
2030,sc01,09-28 22:00:00+02:00,1754649.8089357952
2030,sc01,10-08 19:00:00+02:00,14614.827930011235
2030,sc01,10-21 20:00:00+02:00,4765208.312675554
2030,sc01,10-22 02:00:00+02:00,6474149.236441085
2030,sc01,10-22 12:00:00+02:00,2978037.459306458
2030,sc01,10-29 20:00:00+01:00,3504.4465837593025
2030,sc01,10-30 22:00:00+01:00,112704.12903627908
2030,sc01,11-13 14:00:00+01:00,4282427.000057234
2030,sc01,11-16 21:00:00+01:00,3185120.291781644
2030,sc01,11-21 18:00:00+01:00,5087885.792443542
2030,sc01,11-25 14:00:00+01:00,802062.0200685844
2030,sc01,11-29 06:00:00+01:00,917977.3926406009
2030,sc01,12-13 06:00:00+01:00,632089.2247489411
2030,sc01,12-20 19:00:00+01:00,305618.7431727304
2030,sc01,12-29 06:00:00+01:00,247389.73902410603
