Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-10 20:00:00+01:00,bus074,bus075,eac1,0.6568906194139332
2030,sc01,01-10 20:00:00+01:00,bus040,bus042,eac1,0.2436841319593311
2030,sc01,01-10 20:00:00+01:00,bus061,bus062,eac1,0.14901416526660086
2030,sc01,01-10 20:00:00+01:00,bus047,bus069,eac1,0.17160458684470284
2030,sc01,01-10 20:00:00+01:00,bus083,bus084,eac1,0.5721799744906515
2030,sc01,01-10 20:00:00+01:00,bus094,bus095,eac1,0.7518559005085401
2030,sc01,01-10 20:00:00+01:00,bus007,bus012,cac1,0.0
2030,sc01,01-10 20:00:00+01:00,bus063,bus059,eac1,0.2450111417370052
2030,sc01,01-10 20:00:00+01:00,bus004,bus011,cac1,0.0
2030,sc01,01-10 20:00:00+01:00,bus021,bus022,eac1,0.4023274609536209
2030,sc01,01-10 20:00:00+01:00,bus091,bus092,eac1,0.00967855826289739
2030,sc01,01-10 20:00:00+01:00,bus006,bus007,cac1,0.0
2030,sc01,01-10 20:00:00+01:00,bus008,bus005,cac1,0.68598209211608
2030,sc01,01-10 20:00:00+01:00,bus040,bus041,eac1,0.004822634256566469
2030,sc01,01-10 20:00:00+01:00,bus077,bus080,eac1,0.4224568066262445
2030,sc01,01-10 20:00:00+01:00,bus037,bus040,eac1,0.13882551381723898
2030,sc01,01-10 20:00:00+01:00,bus081,bus080,eac1,0.5533592257051293
2030,sc01,01-10 20:00:00+01:00,bus071,bus072,eac1,0.1055499565955293
2030,sc01,01-10 20:00:00+01:00,bus070,bus074,eac1,0.050564126469783484
2030,sc01,01-10 20:00:00+01:00,bus068,bus069,eac1,0.2751751485611457
2030,sc01,01-10 20:00:00+01:00,bus027,bus115,eac1,0.1796408404858753
2030,sc01,01-10 20:00:00+01:00,bus065,bus068,cac1,0.29454646480115243
2030,sc01,01-10 20:00:00+01:00,bus049,bus066,eac1,0.009542197766457799
2030,sc01,01-10 20:00:00+01:00,bus025,bus027,cac1,0.0
2030,sc01,01-10 20:00:00+01:00,bus011,bus013,eac1,0.36843486345692644
2030,sc01,01-10 20:00:00+01:00,bus045,bus049,eac1,0.5604618440255497
2030,sc01,01-10 20:00:00+01:00,bus045,bus046,eac1,0.305493173525858
2030,sc01,01-10 20:00:00+01:00,bus064,bus061,eac1,0.30963496817164915
2030,sc01,01-10 20:00:00+01:00,bus100,bus104,eac1,0.42984180583114323
2030,sc01,01-10 20:00:00+01:00,bus103,bus105,eac1,0.12823677683645918
2030,sc01,01-10 20:00:00+01:00,bus092,bus102,eac1,0.9999975124439989
2030,sc01,01-10 20:00:00+01:00,bus050,bus057,eac1,0.2604667170958562
2030,sc01,01-10 20:00:00+01:00,bus077,bus082,eac1,0.4073771258917407
2030,sc01,01-10 20:00:00+01:00,bus085,bus086,eac1,0.18624268807026748
2030,sc01,01-10 20:00:00+01:00,bus051,bus052,eac1,0.24062211677447642
2030,sc01,01-10 20:00:00+01:00,bus013,bus015,eac1,0.0328397246836397
2030,sc01,01-10 20:00:00+01:00,bus085,bus089,eac1,0.31659933405934193
2030,sc01,01-10 20:00:00+01:00,bus047,bus049,cac1,0.0
2030,sc01,01-10 20:00:00+01:00,bus030,bus038,eac1,0.21617825975481944
2030,sc01,01-10 20:00:00+01:00,bus079,bus080,eac1,0.724930658033347
2030,sc01,01-10 20:00:00+01:00,bus043,bus044,eac1,0.27717101987478493
2030,sc01,01-10 20:00:00+01:00,bus094,bus096,eac1,0.4427221908137773
2030,sc01,01-10 20:00:00+01:00,bus034,bus037,eac1,0.28664526843634436
2030,sc01,01-10 20:00:00+01:00,bus071,bus073,eac1,0.07061699115176331
2030,sc01,01-10 20:00:00+01:00,bus088,bus089,eac1,0.06740845960472697
2030,sc01,01-10 20:00:00+01:00,bus052,bus053,eac1,0.0815211771250725
2030,sc01,01-10 20:00:00+01:00,bus019,bus034,eac1,0.15537116968937473
2030,sc01,01-10 20:00:00+01:00,bus108,bus109,eac1,0.7596685671064554
2030,sc01,01-10 20:00:00+01:00,bus008,bus030,cac1,0.15208897895899098
2030,sc01,01-10 20:00:00+01:00,bus042,bus049,eac1,0.6196905433388941
2030,sc01,01-10 20:00:00+01:00,bus037,bus039,eac1,0.22313882944171481
2030,sc01,01-10 20:00:00+01:00,bus054,bus056,cac1,0.0
2030,sc01,01-10 20:00:00+01:00,bus099,bus100,cac1,0.2429406897938161
2030,sc01,01-10 20:00:00+01:00,bus016,bus017,eac1,0.08377732228594581
2030,sc01,01-10 20:00:00+01:00,bus030,bus017,eac1,0.5079786338172483
2030,sc01,01-10 20:00:00+01:00,bus080,bus098,eac1,0.11781998769516955
2030,sc01,01-10 20:00:00+01:00,bus015,bus033,cac1,0.0
2030,sc01,01-10 20:00:00+01:00,bus063,bus064,eac1,0.2450111417370052
2030,sc01,01-10 20:00:00+01:00,bus014,bus015,eac1,0.14790682880150144
2030,sc01,01-10 20:00:00+01:00,bus093,bus094,cac1,0.9999975124439989
2030,sc01,01-10 20:00:00+01:00,bus007,bus012,eac1,0.5094478049718385
2030,sc01,01-10 20:00:00+01:00,bus004,bus011,eac1,0.20553618608925694
2030,sc01,01-10 20:00:00+01:00,bus006,bus007,eac1,0.2571091961126566
2030,sc01,01-10 20:00:00+01:00,bus114,bus115,eac1,0.06798176692057392
2030,sc01,01-10 20:00:00+01:00,bus012,bus016,eac1,0.273652967190946
2030,sc01,01-10 20:00:00+01:00,bus034,bus036,eac1,0.25336167280342453
2030,sc01,01-10 20:00:00+01:00,bus066,bus067,eac1,0.4384538583833367
2030,sc01,01-10 20:00:00+01:00,bus049,bus054,eac1,0.2872784492957428
2030,sc01,01-10 20:00:00+01:00,bus104,bus105,eac1,0.09612170491084354
2030,sc01,01-10 20:00:00+01:00,bus011,bus012,cac1,0.0
2030,sc01,01-10 20:00:00+01:00,bus065,bus068,eac1,0.29454646480115243
2030,sc01,01-10 20:00:00+01:00,bus012,bus117,cac1,0.23538997049758575
2030,sc01,01-10 20:00:00+01:00,bus054,bus059,eac1,0.006161815413203703
2030,sc01,01-10 20:00:00+01:00,bus100,bus103,eac1,0.4738337213308943
2030,sc01,01-10 20:00:00+01:00,bus060,bus061,eac1,0.22442828321177974
2030,sc01,01-10 20:00:00+01:00,bus105,bus106,eac1,0.29378756277812523
2030,sc01,01-10 20:00:00+01:00,bus025,bus027,eac1,0.5222781337816261
2030,sc01,01-10 20:00:00+01:00,bus018,bus019,eac1,0.14242553422941276
2030,sc01,01-10 20:00:00+01:00,bus100,bus101,eac1,0.6980237728264358
2030,sc01,01-10 20:00:00+01:00,bus062,bus066,eac1,0.3228729806873364
2030,sc01,01-10 20:00:00+01:00,bus026,bus025,eac1,0.575445148862907
2030,sc01,01-10 20:00:00+01:00,bus083,bus085,eac1,0.8176694226921875
2030,sc01,01-10 20:00:00+01:00,bus077,bus080,eac2,0.19513481067974153
2030,sc01,01-10 20:00:00+01:00,bus064,bus065,cac1,0.0
2030,sc01,01-10 20:00:00+01:00,bus089,bus090,eac2,0.29575002881013696
2030,sc01,01-10 20:00:00+01:00,bus038,bus037,cac1,0.6571755491366891
2030,sc01,01-10 20:00:00+01:00,bus023,bus032,cac1,0.9999975124439989
2030,sc01,01-10 20:00:00+01:00,bus012,bus014,cac1,0.0
2030,sc01,01-10 20:00:00+01:00,bus017,bus031,eac1,0.40276280779670687
2030,sc01,01-10 20:00:00+01:00,bus049,bus066,eac2,0.009542197766457799
2030,sc01,01-10 20:00:00+01:00,bus069,bus077,cac1,0.028461770748588695
2030,sc01,01-10 20:00:00+01:00,bus109,bus110,eac1,0.6637389160856867
2030,sc01,01-10 20:00:00+01:00,bus046,bus047,eac1,0.31629463299408234
2030,sc01,01-10 20:00:00+01:00,bus092,bus093,cac1,0.0
