Period,Scenario,LoadLevel,mEUR
2030,sc01,01-05 00:00:00+01:00,58209.67709194018
2030,sc01,01-14 00:00:00+01:00,241271.67387369965
2030,sc01,01-24 00:00:00+01:00,112245.71399047939
2030,sc01,02-03 00:00:00+01:00,57538.36012072752
2030,sc01,02-13 00:00:00+01:00,1225220.9106249218
2030,sc01,02-25 00:00:00+01:00,100442.49174119055
2030,sc01,03-08 00:00:00+01:00,1318174.1015866369
2030,sc01,03-18 06:00:00+01:00,112237.52693421807
2030,sc01,03-29 19:00:00+01:00,533932.7343820882
2030,sc01,04-11 00:00:00+02:00,1637585.2091245637
2030,sc01,04-25 00:00:00+02:00,177098.24745713247
2030,sc01,05-09 13:00:00+02:00,201543.1379425578
2030,sc01,05-24 00:00:00+02:00,1904656.4927575765
2030,sc01,06-07 00:00:00+02:00,1313359.8923928114
2030,sc01,06-19 00:00:00+02:00,654267.8751813162
2030,sc01,07-02 01:00:00+02:00,1816033.9764323286
2030,sc01,07-15 00:00:00+02:00,1913807.0747977768
2030,sc01,07-28 00:00:00+02:00,5981588.208359076
2030,sc01,08-10 00:00:00+02:00,6490916.886917017
2030,sc01,08-26 00:00:00+02:00,6596495.539793423
2030,sc01,09-10 00:00:00+02:00,6499610.47493851
2030,sc01,09-23 00:00:00+02:00,605158.240077362
2030,sc01,10-04 00:00:00+02:00,1080355.7609551523
2030,sc01,10-17 19:00:00+02:00,4874032.858937527
2030,sc01,10-28 04:00:00+01:00,245171.07879098205
2030,sc01,11-07 20:00:00+01:00,259429.18775371494
2030,sc01,11-17 00:00:00+01:00,85208.32883612571
2030,sc01,11-29 00:00:00+01:00,120546.17560225248
2030,sc01,12-12 20:00:00+01:00,546184.5555354805
2030,sc01,12-24 00:00:00+01:00,4038753.4999307897
