Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-06 17:00:00+01:00,Wind,1.9658564076
2030,sc01,01-06 17:00:00+01:00,Battery,0.0
2030,sc01,01-06 17:00:00+01:00,Solar,2.86470567954
2030,sc01,01-06 17:00:00+01:00,Gas,0.7656674501255432
2030,sc01,01-06 17:00:00+01:00,Oil,0.0
2030,sc01,01-06 17:00:00+01:00,Hydro,0.0
2030,sc01,01-06 17:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-06 17:00:00+01:00,Nuclear,0.023086623615936053
2030,sc01,01-06 17:00:00+01:00,Coal,0.04461337775852278
2030,sc01,01-08 17:00:00+01:00,Wind,6.86978083819878
2030,sc01,01-08 17:00:00+01:00,Battery,0.0
2030,sc01,01-08 17:00:00+01:00,Solar,6.777428283759999
2030,sc01,01-08 17:00:00+01:00,Gas,2.2713570192
2030,sc01,01-08 17:00:00+01:00,Oil,0.0
2030,sc01,01-08 17:00:00+01:00,Hydro,0.0
2030,sc01,01-08 17:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-08 17:00:00+01:00,Nuclear,0.27982134360836675
2030,sc01,01-08 17:00:00+01:00,Coal,3.504776178992846
2030,sc01,01-09 16:00:00+01:00,Wind,4.3790495820713895
2030,sc01,01-09 16:00:00+01:00,Battery,0.0
2030,sc01,01-09 16:00:00+01:00,Solar,1.3376336405400002
2030,sc01,01-09 16:00:00+01:00,Gas,1.5245499708244479
2030,sc01,01-09 16:00:00+01:00,Oil,0.0
2030,sc01,01-09 16:00:00+01:00,Hydro,0.0
2030,sc01,01-09 16:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-09 16:00:00+01:00,Nuclear,1.7600000000000002
2030,sc01,01-09 16:00:00+01:00,Coal,2.9344820734641432
2030,sc01,01-12 10:00:00+01:00,Wind,5.209389449494885
2030,sc01,01-12 10:00:00+01:00,Battery,0.0
2030,sc01,01-12 10:00:00+01:00,Solar,1.880726548656
2030,sc01,01-12 10:00:00+01:00,Gas,1.5802866543050103
2030,sc01,01-12 10:00:00+01:00,Oil,0.0
2030,sc01,01-12 10:00:00+01:00,Hydro,0.0
2030,sc01,01-12 10:00:00+01:00,SynchronousCondenser,0.0
2030,sc01,01-12 10:00:00+01:00,Nuclear,1.4979382943605821
