Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,02-01 15:00:00+01:00,N_115,N_124,eac1,0.17500000000000002
2030,sc01,02-01 15:00:00+01:00,N_103,N_124,eac1,-0.17500000000000002
2030,sc01,02-01 15:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,02-01 15:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,02-01 15:00:00+01:00,N_108,N_109,eac1,0.005289621507288428
2030,sc01,02-01 15:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,02-01 15:00:00+01:00,N_103,N_109,eac1,0.04343532102688019
2030,sc01,02-01 15:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,02-01 15:00:00+01:00,N_111,N_114,eac1,-0.2815029488167089
2030,sc01,02-01 15:00:00+01:00,N_101,N_105,eac1,0.04980383521795259
2030,sc01,02-01 15:00:00+01:00,N_106,N_110,eac1,-0.06624121268848057
2030,sc01,02-01 15:00:00+01:00,N_115,N_121,eac1,-0.17500000000000002
2030,sc01,02-01 15:00:00+01:00,N_114,N_116,eac1,-0.2815029488167089
2030,sc01,02-01 15:00:00+01:00,N_105,N_110,eac1,0.00197023088795259
2030,sc01,02-01 15:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,02-01 15:00:00+01:00,N_115,N_116,cac1,0.0
2030,sc01,02-01 15:00:00+01:00,N_117,N_118,eac1,-0.12013088306762709
2030,sc01,02-01 15:00:00+01:00,N_112,N_113,eac1,-0.0031774270904221247
2030,sc01,02-01 15:00:00+01:00,N_111,N_113,eac1,0.09829558336376709
2030,sc01,02-01 15:00:00+01:00,N_118,N_121,cac3,-0.468341636815105
2030,sc01,02-01 15:00:00+01:00,N_113,N_123,eac1,-0.0707183844266551
2030,sc01,02-01 15:00:00+01:00,N_116,N_117,cac3,0.0
2030,sc01,02-01 15:00:00+01:00,N_101,N_103,eac1,-0.024786972053119832
2030,sc01,02-01 15:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,02-01 15:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,02-01 15:00:00+01:00,N_116,N_117,cac1,-0.1763656299907137
2030,sc01,02-01 15:00:00+01:00,N_107,N_108,eac1,0.17500000000000002
2030,sc01,02-01 15:00:00+01:00,N_116,N_117,cac2,-0.3527312599814274
2030,sc01,02-01 15:00:00+01:00,N_117,N_118,cac1,0.0
2030,sc01,02-01 15:00:00+01:00,N_120,N_123,eac1,0.13560850639777067
2030,sc01,02-01 15:00:00+01:00,N_112,N_123,eac1,-0.06489012197111552
2030,sc01,02-01 15:00:00+01:00,N_115,N_116,eac1,0.0436570307116253
2030,sc01,02-01 15:00:00+01:00,N_104,N_109,eac1,-0.010398712240832053
2030,sc01,02-01 15:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,02-01 15:00:00+01:00,N_101,N_102,eac1,0.06064384345068735
2030,sc01,02-01 15:00:00+01:00,N_119,N_120,eac1,0.24135371749777068
2030,sc01,02-01 15:00:00+01:00,N_118,N_121,eac1,-0.11708540920377586
2030,sc01,02-01 15:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,02-01 15:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,02-01 15:00:00+01:00,N_116,N_117,eac1,-0.1763656299907137
2030,sc01,02-01 15:00:00+01:00,N_117,N_122,eac1,-0.34506987075997464
2030,sc01,02-01 15:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,02-01 15:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,02-01 15:00:00+01:00,N_110,N_111,eac1,-0.11811501025175913
2030,sc01,02-01 15:00:00+01:00,N_102,N_106,eac1,0.03930749691151941
2030,sc01,02-01 15:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,02-01 15:00:00+01:00,N_110,N_112,eac1,-0.060545102056057065
2030,sc01,02-01 15:00:00+01:00,N_109,N_112,eac1,-0.007522447005480659
2030,sc01,02-01 15:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,02-01 15:00:00+01:00,N_109,N_111,eac1,-0.06509235520118273
2030,sc01,02-01 15:00:00+01:00,N_102,N_104,eac1,0.0013353728491679318
2030,sc01,02-01 15:00:00+01:00,N_108,N_110,eac1,0.032234507992711575
2030,sc01,02-01 15:00:00+01:00,N_117,N_118,cac2,-0.24026176613525374
2030,sc01,02-01 15:00:00+01:00,N_116,N_119,eac1,0.3806175988577707
2030,sc01,02-01 15:00:00+01:00,N_121,N_122,eac1,-0.46568525924002535
