Period,Scenario,LoadLevel,Unit,p.u.
2030,sc01,02-06 10:00:00+01:00,123_STEAM_2,0.0
2030,sc01,02-06 10:00:00+01:00,107_CC_1,1.0
2030,sc01,02-06 10:00:00+01:00,102_STEAM_3,0.0
2030,sc01,02-06 10:00:00+01:00,101_CT_1,0.0
2030,sc01,02-06 10:00:00+01:00,113_CT_3,0.0
2030,sc01,02-06 10:00:00+01:00,102_CT_2,0.0
2030,sc01,02-06 10:00:00+01:00,123_CT_5,0.0
2030,sc01,02-06 10:00:00+01:00,101_STEAM_4,0.0
2030,sc01,02-06 10:00:00+01:00,101_CT_2,0.0
2030,sc01,02-06 10:00:00+01:00,121_NUCLEAR_1,0.9385205698723799
2030,sc01,02-06 10:00:00+01:00,115_STEAM_1,0.0
2030,sc01,02-06 10:00:00+01:00,123_CT_4,0.0
2030,sc01,02-06 10:00:00+01:00,113_CT_4,0.0
2030,sc01,02-06 10:00:00+01:00,115_STEAM_2,0.0
2030,sc01,02-06 10:00:00+01:00,116_STEAM_1,0.0
2030,sc01,02-06 10:00:00+01:00,102_CT_1,0.0
2030,sc01,02-06 10:00:00+01:00,101_STEAM_3,0.27440707158744815
2030,sc01,02-06 10:00:00+01:00,115_STEAM_3,1.0
2030,sc01,02-06 10:00:00+01:00,113_CT_2,0.0
2030,sc01,02-06 10:00:00+01:00,113_CT_1,0.0
2030,sc01,02-06 10:00:00+01:00,123_STEAM_3,0.0
2030,sc01,02-06 10:00:00+01:00,118_CC_1,0.0
2030,sc01,02-06 10:00:00+01:00,102_STEAM_4,0.0
2030,sc01,02-06 10:00:00+01:00,123_CT_1,0.0
2030,sc01,02-20 07:00:00+01:00,123_STEAM_2,0.0
2030,sc01,02-20 07:00:00+01:00,107_CC_1,1.0
2030,sc01,02-20 07:00:00+01:00,102_STEAM_3,1.0
2030,sc01,02-20 07:00:00+01:00,101_CT_1,0.0
2030,sc01,02-20 07:00:00+01:00,113_CT_3,0.0
2030,sc01,02-20 07:00:00+01:00,102_CT_2,0.0
2030,sc01,02-20 07:00:00+01:00,123_CT_5,0.0
2030,sc01,02-20 07:00:00+01:00,101_STEAM_4,1.0
2030,sc01,02-20 07:00:00+01:00,101_CT_2,0.0
2030,sc01,02-20 07:00:00+01:00,121_NUCLEAR_1,1.0
2030,sc01,02-20 07:00:00+01:00,115_STEAM_1,0.0
2030,sc01,02-20 07:00:00+01:00,123_CT_4,0.0
2030,sc01,02-20 07:00:00+01:00,113_CT_4,0.0
2030,sc01,02-20 07:00:00+01:00,115_STEAM_2,0.0
2030,sc01,02-20 07:00:00+01:00,116_STEAM_1,0.0
2030,sc01,02-20 07:00:00+01:00,102_CT_1,0.0
2030,sc01,02-20 07:00:00+01:00,101_STEAM_3,1.0
2030,sc01,02-20 07:00:00+01:00,115_STEAM_3,1.0
2030,sc01,02-20 07:00:00+01:00,113_CT_2,0.0
2030,sc01,02-20 07:00:00+01:00,113_CT_1,0.0
2030,sc01,02-20 07:00:00+01:00,123_STEAM_3,0.0
2030,sc01,02-20 07:00:00+01:00,118_CC_1,0.2033015587682931
2030,sc01,02-20 07:00:00+01:00,102_STEAM_4,1.0
2030,sc01,02-20 07:00:00+01:00,123_CT_1,0.0
2030,sc01,03-13 07:00:00+01:00,123_STEAM_2,0.0
2030,sc01,03-13 07:00:00+01:00,107_CC_1,1.0
2030,sc01,03-13 07:00:00+01:00,102_STEAM_3,0.0
2030,sc01,03-13 07:00:00+01:00,101_CT_1,0.0
2030,sc01,03-13 07:00:00+01:00,113_CT_3,0.0
2030,sc01,03-13 07:00:00+01:00,102_CT_2,0.0
2030,sc01,03-13 07:00:00+01:00,123_CT_5,0.0
2030,sc01,03-13 07:00:00+01:00,101_STEAM_4,1.0
2030,sc01,03-13 07:00:00+01:00,101_CT_2,0.0
2030,sc01,03-13 07:00:00+01:00,121_NUCLEAR_1,0.7186569054454046
2030,sc01,03-13 07:00:00+01:00,115_STEAM_1,0.0
2030,sc01,03-13 07:00:00+01:00,123_CT_4,0.0
2030,sc01,03-13 07:00:00+01:00,113_CT_4,0.0
2030,sc01,03-13 07:00:00+01:00,115_STEAM_2,0.0
2030,sc01,03-13 07:00:00+01:00,116_STEAM_1,0.0
2030,sc01,03-13 07:00:00+01:00,102_CT_1,0.0
2030,sc01,03-13 07:00:00+01:00,101_STEAM_3,1.0
2030,sc01,03-13 07:00:00+01:00,115_STEAM_3,0.5471445545838672
2030,sc01,03-13 07:00:00+01:00,113_CT_2,0.0
2030,sc01,03-13 07:00:00+01:00,113_CT_1,0.0
2030,sc01,03-13 07:00:00+01:00,123_STEAM_3,0.0
2030,sc01,03-13 07:00:00+01:00,118_CC_1,0.0
2030,sc01,03-13 07:00:00+01:00,102_STEAM_4,0.0
2030,sc01,03-13 07:00:00+01:00,123_CT_1,0.0
2030,sc01,04-02 09:00:00+02:00,123_STEAM_2,0.0
2030,sc01,04-02 09:00:00+02:00,107_CC_1,0.6939869635834945
2030,sc01,04-02 09:00:00+02:00,102_STEAM_3,0.0
2030,sc01,04-02 09:00:00+02:00,101_CT_1,0.0
2030,sc01,04-02 09:00:00+02:00,113_CT_3,0.0
2030,sc01,04-02 09:00:00+02:00,102_CT_2,0.0
2030,sc01,04-02 09:00:00+02:00,123_CT_5,0.0
2030,sc01,04-02 09:00:00+02:00,101_STEAM_4,0.0
2030,sc01,04-02 09:00:00+02:00,101_CT_2,0.0
2030,sc01,04-02 09:00:00+02:00,121_NUCLEAR_1,0.38973847616722557
2030,sc01,04-02 09:00:00+02:00,115_STEAM_1,0.0
2030,sc01,04-02 09:00:00+02:00,123_CT_4,0.0
2030,sc01,04-02 09:00:00+02:00,113_CT_4,0.0
2030,sc01,04-02 09:00:00+02:00,115_STEAM_2,0.0
2030,sc01,04-02 09:00:00+02:00,116_STEAM_1,0.0
2030,sc01,04-02 09:00:00+02:00,102_CT_1,0.0
2030,sc01,04-02 09:00:00+02:00,101_STEAM_3,0.0
2030,sc01,04-02 09:00:00+02:00,115_STEAM_3,0.0
2030,sc01,04-02 09:00:00+02:00,113_CT_2,0.0
2030,sc01,04-02 09:00:00+02:00,113_CT_1,0.0
2030,sc01,04-02 09:00:00+02:00,123_STEAM_3,0.0
2030,sc01,04-02 09:00:00+02:00,118_CC_1,0.0
2030,sc01,04-02 09:00:00+02:00,102_STEAM_4,0.0
2030,sc01,04-02 09:00:00+02:00,123_CT_1,0.0
2030,sc01,05-08 17:00:00+02:00,123_STEAM_2,0.0
2030,sc01,05-08 17:00:00+02:00,107_CC_1,0.8653672105300103
2030,sc01,05-08 17:00:00+02:00,102_STEAM_3,0.0
2030,sc01,05-08 17:00:00+02:00,101_CT_1,0.0
2030,sc01,05-08 17:00:00+02:00,113_CT_3,0.0
2030,sc01,05-08 17:00:00+02:00,102_CT_2,0.0
2030,sc01,05-08 17:00:00+02:00,123_CT_5,0.0
2030,sc01,05-08 17:00:00+02:00,101_STEAM_4,0.0
2030,sc01,05-08 17:00:00+02:00,101_CT_2,0.0
2030,sc01,05-08 17:00:00+02:00,121_NUCLEAR_1,0.4203358255332304
2030,sc01,05-08 17:00:00+02:00,115_STEAM_1,0.0
2030,sc01,05-08 17:00:00+02:00,123_CT_4,0.0
2030,sc01,05-08 17:00:00+02:00,113_CT_4,0.0
2030,sc01,05-08 17:00:00+02:00,115_STEAM_2,0.0
2030,sc01,05-08 17:00:00+02:00,116_STEAM_1,0.0
