Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-22 13:00:00+01:00,N_101,N_103,eac1,0.09191469766876215
2030,sc01,01-22 13:00:00+01:00,N_106,N_110,eac1,0.23068387679397995
2030,sc01,01-22 13:00:00+01:00,N_115,N_116,eac1,0.08033083044268793
2030,sc01,01-22 13:00:00+01:00,N_117,N_118,cac1,0.22425653672955936
2030,sc01,01-22 13:00:00+01:00,N_103,N_109,eac1,0.4077464145534537
2030,sc01,01-22 13:00:00+01:00,N_112,N_123,eac1,0.34087767127181146
2030,sc01,01-22 13:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,01-22 13:00:00+01:00,N_116,N_117,eac1,0.32464677461574365
2030,sc01,01-22 13:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,01-22 13:00:00+01:00,N_102,N_106,eac1,0.3284504299242675
2030,sc01,01-22 13:00:00+01:00,N_120,N_123,eac1,0.3435468912882313
2030,sc01,01-22 13:00:00+01:00,N_119,N_120,eac1,0.5897744070331997
2030,sc01,01-22 13:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,01-22 13:00:00+01:00,N_104,N_109,eac1,0.10387849941816879
2030,sc01,01-22 13:00:00+01:00,N_114,N_116,eac1,0.8313032936465625
2030,sc01,01-22 13:00:00+01:00,N_108,N_109,eac1,0.010706067908974553
2030,sc01,01-22 13:00:00+01:00,N_116,N_119,eac1,0.7780462284095568
2030,sc01,01-22 13:00:00+01:00,N_115,N_116,cac1,0.08033083044268793
2030,sc01,01-22 13:00:00+01:00,N_105,N_110,eac1,0.15997815489793488
2030,sc01,01-22 13:00:00+01:00,N_113,N_123,eac1,0.4399087305673024
2030,sc01,01-22 13:00:00+01:00,N_109,N_111,cac3,0.0
2030,sc01,01-22 13:00:00+01:00,N_101,N_105,eac1,0.4761916015068114
2030,sc01,01-22 13:00:00+01:00,N_109,N_111,cac2,0.0
2030,sc01,01-22 13:00:00+01:00,N_116,N_117,cac1,0.0
2030,sc01,01-22 13:00:00+01:00,N_112,N_113,eac1,0.047358560583273014
2030,sc01,01-22 13:00:00+01:00,N_107,N_108,eac1,0.9999942857469386
2030,sc01,01-22 13:00:00+01:00,N_109,N_111,eac1,0.12595188407832972
2030,sc01,01-22 13:00:00+01:00,N_117,N_118,cac2,0.22425676098587097
2030,sc01,01-22 13:00:00+01:00,N_117,N_118,cac3,0.0
2030,sc01,01-22 13:00:00+01:00,N_110,N_111,eac1,0.2576446163311918
2030,sc01,01-22 13:00:00+01:00,N_118,N_121,cac3,0.26648856480052957
2030,sc01,01-22 13:00:00+01:00,N_111,N_113,eac1,0.22736403400446364
2030,sc01,01-22 13:00:00+01:00,N_118,N_121,cac2,0.0
2030,sc01,01-22 13:00:00+01:00,N_115,N_121,eac1,0.9999942857469386
2030,sc01,01-22 13:00:00+01:00,N_106,N_108,cac3,0.0
2030,sc01,01-22 13:00:00+01:00,N_106,N_108,cac2,0.0
2030,sc01,01-22 13:00:00+01:00,N_103,N_124,cac3,0.0
2030,sc01,01-22 13:00:00+01:00,N_108,N_110,eac1,0.16367288935412708
2030,sc01,01-22 13:00:00+01:00,N_109,N_112,eac1,0.0017039003485046363
2030,sc01,01-22 13:00:00+01:00,N_111,N_114,eac1,0.5342413877703742
2030,sc01,01-22 13:00:00+01:00,N_121,N_122,eac1,0.978441533340997
2030,sc01,01-22 13:00:00+01:00,N_103,N_124,cac2,0.0
2030,sc01,01-22 13:00:00+01:00,N_101,N_102,eac1,0.3782844176539317
2030,sc01,01-22 13:00:00+01:00,N_102,N_104,eac1,0.10322877181661227
2030,sc01,01-22 13:00:00+01:00,N_118,N_121,eac1,0.26648816506848566
2030,sc01,01-22 13:00:00+01:00,N_117,N_118,eac1,0.22425653672955936
2030,sc01,01-22 13:00:00+01:00,N_115,N_116,cac3,0.0
2030,sc01,01-22 13:00:00+01:00,N_115,N_116,cac2,0.0
2030,sc01,01-22 13:00:00+01:00,N_115,N_124,eac1,0.9999942857469386
2030,sc01,01-22 13:00:00+01:00,N_109,N_111,cac1,0.0
2030,sc01,01-22 13:00:00+01:00,N_116,N_117,cac3,0.3246472615856621
2030,sc01,01-22 13:00:00+01:00,N_117,N_122,eac1,0.7262077261604838
2030,sc01,01-22 13:00:00+01:00,N_110,N_112,eac1,0.12998883190435745
2030,sc01,01-22 13:00:00+01:00,N_116,N_117,cac2,0.0
2030,sc01,01-22 13:00:00+01:00,N_103,N_124,eac1,0.4374989062527344
2030,sc01,02-01 15:00:00+01:00,N_101,N_103,eac1,0.1499092697215552
2030,sc01,02-01 15:00:00+01:00,N_106,N_110,eac1,0.38758864758044753
2030,sc01,02-01 15:00:00+01:00,N_115,N_116,eac1,0.005522921568867236
2030,sc01,02-01 15:00:00+01:00,N_117,N_118,cac1,0.20309915316881152
2030,sc01,02-01 15:00:00+01:00,N_103,N_109,eac1,0.2399301773673185
2030,sc01,02-01 15:00:00+01:00,N_112,N_123,eac1,0.3029187469611484
2030,sc01,02-01 15:00:00+01:00,N_118,N_121,cac1,0.0
2030,sc01,02-01 15:00:00+01:00,N_116,N_117,eac1,0.3004369998305394
2030,sc01,02-01 15:00:00+01:00,N_106,N_108,cac1,0.0
2030,sc01,02-01 15:00:00+01:00,N_102,N_106,eac1,0.21554338937934112
2030,sc01,02-01 15:00:00+01:00,N_120,N_123,eac1,0.2772375687936548
2030,sc01,02-01 15:00:00+01:00,N_119,N_120,eac1,0.48872756801365635
2030,sc01,02-01 15:00:00+01:00,N_103,N_124,cac1,0.0
2030,sc01,02-01 15:00:00+01:00,N_104,N_109,eac1,0.07008303237844499
