Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,GWh
2030,sc01,01-03 15:00:00+01:00,Node_4,Node_6,eac1,-0.1487782468468896
2030,sc01,01-03 15:00:00+01:00,Node_6,Node_8,cac3,0.0
2030,sc01,01-03 15:00:00+01:00,Node_6,Node_7,cac2,0.0
2030,sc01,01-03 15:00:00+01:00,Node_4,Node_5,eac1,0.3
2030,sc01,01-03 15:00:00+01:00,Node_6,Node_7,eac1,0.1290479451951279
2030,sc01,01-03 15:00:00+01:00,Node_6,Node_8,cac1,0.0
2030,sc01,01-03 15:00:00+01:00,Node_1,Node_6,cac3,0.0
2030,sc01,01-03 15:00:00+01:00,Node_7,Node_8,cac2,0.0
2030,sc01,01-03 15:00:00+01:00,Node_1,Node_6,cac1,0.0
2030,sc01,01-03 15:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 15:00:00+01:00,Node_8,Node_9,cac3,0.0
2030,sc01,01-03 15:00:00+01:00,Node_4,Node_5,cac3,0.0
2030,sc01,01-03 15:00:00+01:00,Node_4,Node_6,cac3,0.0
2030,sc01,01-03 15:00:00+01:00,Node_8,Node_9,cac1,0.0
2030,sc01,01-03 15:00:00+01:00,Node_7,Node_8,eac1,-0.021599771424872072
2030,sc01,01-03 15:00:00+01:00,Node_4,Node_6,cac1,0.0
2030,sc01,01-03 15:00:00+01:00,Node_2,Node_3,eac1,-0.09037355423212612
2030,sc01,01-03 15:00:00+01:00,Node_4,Node_5,cac1,0.0
2030,sc01,01-03 15:00:00+01:00,Node_3,Node_4,cac2,0.0
2030,sc01,01-03 15:00:00+01:00,Node_6,Node_7,cac3,0.0
2030,sc01,01-03 15:00:00+01:00,Node_6,Node_7,cac1,0.0
2030,sc01,01-03 15:00:00+01:00,Node_3,Node_4,eac1,0.3
2030,sc01,01-03 15:00:00+01:00,Node_7,Node_8,cac3,0.0
2030,sc01,01-03 15:00:00+01:00,Node_7,Node_8,cac1,0.0
2030,sc01,01-03 15:00:00+01:00,Node_4,Node_9,cac2,0.0
2030,sc01,01-03 15:00:00+01:00,Node_2,Node_3,cac3,0.0
