Period,Scenario,LoadLevel,Technology,GWh
2030,sc01,01-10 08:00:00+01:00,Oil,0.0
2030,sc01,01-10 08:00:00+01:00,Wind,15.237264479250001
2030,sc01,01-10 08:00:00+01:00,Nuclear,19.290000000000003
2030,sc01,01-10 08:00:00+01:00,Coal,0.0
2030,sc01,01-10 08:00:00+01:00,Solar,0.9628128852750001
2030,sc01,01-10 08:00:00+01:00,Gas,13.762548099149997
2030,sc01,01-10 09:00:00+01:00,Oil,0.0
2030,sc01,01-10 09:00:00+01:00,Wind,0.6339874002900001
2030,sc01,01-10 09:00:00+01:00,Nuclear,0.7716000000000001
2030,sc01,01-10 09:00:00+01:00,Coal,0.0
2030,sc01,01-10 09:00:00+01:00,Solar,0.14595947389
2030,sc01,01-10 09:00:00+01:00,Gas,0.4515412921979998
2030,sc01,01-15 09:00:00+01:00,Oil,0.0
2030,sc01,01-15 09:00:00+01:00,Wind,28.38747673125
2030,sc01,01-15 09:00:00+01:00,Nuclear,46.031865489219975
2030,sc01,01-15 09:00:00+01:00,Coal,0.0
2030,sc01,01-15 09:00:00+01:00,Solar,16.45392254285
2030,sc01,01-15 09:00:00+01:00,Gas,37.470024114249995
2030,sc01,01-15 19:00:00+01:00,Oil,0.0
2030,sc01,01-15 19:00:00+01:00,Wind,0.8349119628480001
2030,sc01,01-15 19:00:00+01:00,Nuclear,1.2038203867869526
2030,sc01,01-15 19:00:00+01:00,Coal,0.0
2030,sc01,01-15 19:00:00+01:00,Solar,1.5622542694740003
2030,sc01,01-15 19:00:00+01:00,Gas,0.1423564478910478
2030,sc01,01-18 18:00:00+01:00,Oil,0.0
2030,sc01,01-18 18:00:00+01:00,Wind,0.7142692488
2030,sc01,01-18 18:00:00+01:00,Nuclear,2.3148
2030,sc01,01-18 18:00:00+01:00,Coal,0.0
2030,sc01,01-18 18:00:00+01:00,Solar,1.215160010631
2030,sc01,01-18 18:00:00+01:00,Gas,1.3420258690109996
2030,sc01,01-21 21:00:00+01:00,Oil,0.0
2030,sc01,01-21 21:00:00+01:00,Wind,0.68802447945
2030,sc01,01-21 21:00:00+01:00,Nuclear,2.3148
2030,sc01,01-21 21:00:00+01:00,Coal,0.0
2030,sc01,01-21 21:00:00+01:00,Solar,1.2048091561350003
2030,sc01,01-21 21:00:00+01:00,Gas,0.6077175018149994
2030,sc01,01-23 13:00:00+01:00,Oil,0.0
2030,sc01,01-23 13:00:00+01:00,Wind,9.998153802880001
2030,sc01,01-23 13:00:00+01:00,Nuclear,12.345600000000001
2030,sc01,01-23 13:00:00+01:00,Coal,0.0
2030,sc01,01-23 13:00:00+01:00,Solar,5.08199440224
2030,sc01,01-23 13:00:00+01:00,Gas,4.2500218292000005
2030,sc01,01-29 10:00:00+01:00,Oil,0.0
2030,sc01,01-29 10:00:00+01:00,Wind,0.45534842169
2030,sc01,01-29 10:00:00+01:00,Nuclear,0.7716000000000001
2030,sc01,01-29 10:00:00+01:00,Coal,0.0
2030,sc01,01-29 10:00:00+01:00,Solar,0.41344244743
2030,sc01,01-29 10:00:00+01:00,Gas,0.33901803311899986
2030,sc01,01-29 11:00:00+01:00,Oil,0.0
2030,sc01,01-29 11:00:00+01:00,Wind,0.46663365846000004
2030,sc01,01-29 11:00:00+01:00,Nuclear,0.7716000000000001
