Period,Scenario,LoadLevel,mEUR
2030,sc01,01-02 18:00:00+01:00,255999.59119434006
2030,sc01,01-04 07:00:00+01:00,228599.36320024825
2030,sc01,01-04 10:00:00+01:00,219576.27627238023
2030,sc01,01-08 08:00:00+01:00,19536.22663953482
2030,sc01,01-08 12:00:00+01:00,385890.8215971737
2030,sc01,01-08 15:00:00+01:00,52046.515709811145
2030,sc01,01-08 18:00:00+01:00,114921.61464788942
2030,sc01,01-08 20:00:00+01:00,6563.573976479905
2030,sc01,01-09 08:00:00+01:00,19858.260785899587
2030,sc01,01-10 08:00:00+01:00,17105.60109449713
2030,sc01,01-10 09:00:00+01:00,1871.8745125580285
2030,sc01,01-10 10:00:00+01:00,49918.1012498816
2030,sc01,01-11 04:00:00+01:00,43049.5589243112
2030,sc01,01-11 07:00:00+01:00,1914.9190652455047
2030,sc01,01-11 13:00:00+01:00,110988.13547304619
2030,sc01,01-11 16:00:00+01:00,30743.001374828425
2030,sc01,01-14 08:00:00+01:00,54445.84732502556
2030,sc01,01-14 16:00:00+01:00,136082.20445039697
2030,sc01,01-14 20:00:00+01:00,1622.7534771742917
2030,sc01,01-15 07:00:00+01:00,117072.81994164614
2030,sc01,01-15 16:00:00+01:00,33964.26044640305
2030,sc01,01-15 17:00:00+01:00,21458.172994145047
2030,sc01,01-15 19:00:00+01:00,2028.851508748244
2030,sc01,01-15 20:00:00+01:00,1569.887116409816
2030,sc01,01-15 21:00:00+01:00,4489.413014292256
2030,sc01,01-16 07:00:00+01:00,7584.166008009987
2030,sc01,01-16 11:00:00+01:00,111711.68295930917
2030,sc01,01-16 14:00:00+01:00,18555.94491063677
2030,sc01,01-16 19:00:00+01:00,2069.555208115723
2030,sc01,01-16 20:00:00+01:00,1468.7168294177177
2030,sc01,01-17 15:00:00+01:00,73668.7511783025
2030,sc01,01-17 16:00:00+01:00,2018.9623405476018
2030,sc01,01-17 17:00:00+01:00,2392.2213705846884
2030,sc01,01-17 19:00:00+01:00,8480.026303164022
2030,sc01,01-17 20:00:00+01:00,1656.0263105781842
2030,sc01,01-18 07:00:00+01:00,1749.030690189203
2030,sc01,01-18 10:00:00+01:00,129775.20797856798
2030,sc01,01-18 13:00:00+01:00,170371.80648956393
2030,sc01,01-18 18:00:00+01:00,1862.3335213147707
2030,sc01,01-18 19:00:00+01:00,1606.1577725814566
2030,sc01,01-21 07:00:00+01:00,16306.583798906082
2030,sc01,01-21 09:00:00+01:00,18905.332982913256
2030,sc01,01-21 11:00:00+01:00,2191.7317483267407
2030,sc01,01-21 13:00:00+01:00,18105.05571913663
2030,sc01,01-21 17:00:00+01:00,8667.79512851019
2030,sc01,01-21 19:00:00+01:00,2061.1936898984445
2030,sc01,01-21 21:00:00+01:00,1245.0168693596909
2030,sc01,01-22 08:00:00+01:00,9109.26512279346
2030,sc01,01-22 11:00:00+01:00,2440.358558516405
2030,sc01,01-22 12:00:00+01:00,2413.363962268595
2030,sc01,01-22 15:00:00+01:00,2213.482297864502
2030,sc01,01-22 16:00:00+01:00,2132.7324653729993
2030,sc01,01-22 17:00:00+01:00,2507.6137531902614
2030,sc01,01-22 21:00:00+01:00,21653.73267934742
2030,sc01,01-22 23:00:00+01:00,543.7642468128231
2030,sc01,01-23 07:00:00+01:00,8495.550136711156
2030,sc01,01-23 11:00:00+01:00,22801.211433895758
2030,sc01,01-23 14:00:00+01:00,56441.488670838095
2030,sc01,01-23 16:00:00+01:00,8470.43269683032
2030,sc01,01-23 17:00:00+01:00,2484.937823011668
2030,sc01,01-24 08:00:00+01:00,19941.13784523735
2030,sc01,01-24 09:00:00+01:00,9142.66909197855
2030,sc01,01-24 11:00:00+01:00,2390.660078074513
2030,sc01,01-25 08:00:00+01:00,8606.349189072138
2030,sc01,01-25 22:00:00+01:00,948663.1133206673
2030,sc01,01-26 07:00:00+01:00,10655.985701898304
2030,sc01,01-26 21:00:00+01:00,51753.07630833181
2030,sc01,01-27 11:00:00+01:00,92.45749064682055
2030,sc01,01-27 17:00:00+01:00,132182.34627683292
2030,sc01,01-28 09:00:00+01:00,19052.815635818843
2030,sc01,01-28 11:00:00+01:00,182074.80247628913
2030,sc01,01-28 13:00:00+01:00,20541.536047180965
2030,sc01,01-29 07:00:00+01:00,7462.2476954585745
2030,sc01,01-29 08:00:00+01:00,2103.8626857360678
2030,sc01,01-29 09:00:00+01:00,2201.296207160527
2030,sc01,01-29 10:00:00+01:00,2169.4069204059238
2030,sc01,01-29 11:00:00+01:00,2218.151225138781
2030,sc01,01-29 12:00:00+01:00,2086.4174577872955
2030,sc01,01-29 13:00:00+01:00,200963.19707422008
