,Weight
sti1,926
sti10,1
sti11,7
sti12,1
sti13,7
sti14,2
sti15,4
sti16,290
sti17,22
sti18,1
sti19,35
sti2,180
sti20,10
sti21,166
sti22,2
sti23,14
sti24,137
sti25,41
sti26,13
sti27,170
sti28,36
sti29,338
sti3,1072
sti30,13
sti31,2
sti32,24
sti33,2
sti34,1
sti35,183
sti36,961
sti37,21
sti38,973
sti39,66
sti4,18
sti40,237
sti41,34
sti42,1
sti43,5
sti44,42
sti45,17
sti46,1
sti47,1
sti48,40
sti49,202
sti5,1
sti50,27
sti51,9
sti52,1
sti53,219
sti54,5
sti55,1
sti56,21
sti57,4
sti58,1
sti59,45
sti6,1
sti60,217
sti61,689
sti62,14
sti63,8
sti64,302
sti65,8
sti66,1
sti67,25
sti68,10
sti69,27
sti7,3
sti70,47
sti71,4
sti72,4
sti73,225
sti74,6
sti75,270
sti76,19
sti77,11
sti78,26
sti79,18
sti8,1
sti80,145
sti9,2
