Period,Scenario,LoadLevel,Unit,MW
2030,sc01,01-03 11:00:00+01:00,Wind 01,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 75,0.0
2030,sc01,01-03 11:00:00+01:00,Wind 17,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 52,8.028419472
2030,sc01,01-03 11:00:00+01:00,Solar 43,3.665513128
2030,sc01,01-03 11:00:00+01:00,Solar 51,111.8610642
2030,sc01,01-03 11:00:00+01:00,Wind 15,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 38,139.8548543
2030,sc01,01-03 11:00:00+01:00,Solar 62,23.8118313
2030,sc01,01-03 11:00:00+01:00,Solar 48,3.665513128
2030,sc01,01-03 11:00:00+01:00,Hydro 27,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 73,0.0
2030,sc01,01-03 11:00:00+01:00,Wind 16,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 72,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 69,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 32,1122.319125
2030,sc01,01-03 11:00:00+01:00,Solar 29,0.0
2030,sc01,01-03 11:00:00+01:00,Wind N02,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 20,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 24,0.0
2030,sc01,01-03 11:00:00+01:00,Hydro 29,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 12,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 33,995.0649696
2030,sc01,01-03 11:00:00+01:00,Solar 55,106.588483
2030,sc01,01-03 11:00:00+01:00,Wind 11,0.0
2030,sc01,01-03 11:00:00+01:00,Wind 02,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 26,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 02,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 68,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 71,0.0
2030,sc01,01-03 11:00:00+01:00,Hydro 22,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 39,1.3425478960000001
2030,sc01,01-03 11:00:00+01:00,Solar 56,106.87637
2030,sc01,01-03 11:00:00+01:00,Solar 03,0.0
2030,sc01,01-03 11:00:00+01:00,Hydro 24,0.0
2030,sc01,01-03 11:00:00+01:00,Hydro 26,0.0
2030,sc01,01-03 11:00:00+01:00,Hydro 19,0.0
2030,sc01,01-03 11:00:00+01:00,Wind 03,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 31,709.1045262
2030,sc01,01-03 11:00:00+01:00,Solar 11,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 17,0.0
2030,sc01,01-03 11:00:00+01:00,Hydro 42,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 01,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 40,1.3425478960000001
2030,sc01,01-03 11:00:00+01:00,Solar 44,3.665513128
2030,sc01,01-03 11:00:00+01:00,Hydro 25,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 30,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 67,0.0
2030,sc01,01-03 11:00:00+01:00,Hydro 41,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 06,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 28,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 16,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 61,0.0
2030,sc01,01-03 11:00:00+01:00,Solar 58,6.0459442
