Period,Scenario,LoadLevel,mEUR
2030,sc01,02-02 17:00:00+01:00,1163547.0740213497
2030,sc01,02-25 02:00:00+01:00,1258323.1754676767
2030,sc01,02-27 21:00:00+01:00,11380560.187925242
2030,sc01,03-03 15:00:00+01:00,3259617.8207165375
2030,sc01,03-14 16:00:00+01:00,1377116.6275126287
2030,sc01,03-20 19:00:00+01:00,676524.6126854533
2030,sc01,03-29 02:00:00+01:00,8733923.79113045
2030,sc01,04-03 19:00:00+02:00,815722.1829551058
2030,sc01,05-11 16:00:00+02:00,0.0
2030,sc01,05-14 04:00:00+02:00,0.0
2030,sc01,05-20 05:00:00+02:00,0.0
2030,sc01,05-23 22:00:00+02:00,258627.71565303803
2030,sc01,05-26 10:00:00+02:00,2548233.356304183
2030,sc01,06-06 04:00:00+02:00,0.0
2030,sc01,06-07 03:00:00+02:00,202733.34839470338
2030,sc01,06-09 05:00:00+02:00,5161406.742698805
2030,sc01,06-10 02:00:00+02:00,0.0
2030,sc01,06-17 15:00:00+02:00,900525.8432067524
2030,sc01,06-17 21:00:00+02:00,848507.6191905102
2030,sc01,06-24 11:00:00+02:00,0.0
2030,sc01,07-11 21:00:00+02:00,137976.293051743
2030,sc01,07-27 04:00:00+02:00,23280662.28119259
2030,sc01,07-27 06:00:00+02:00,5967466.166377567
2030,sc01,08-05 12:00:00+02:00,2548214.9316704874
2030,sc01,08-17 19:00:00+02:00,4077880.8188227597
2030,sc01,09-05 10:00:00+02:00,2290210.287288214
2030,sc01,09-19 02:00:00+02:00,1823933.5871199756
2030,sc01,09-27 10:00:00+02:00,2559788.2568739927
2030,sc01,10-01 16:00:00+02:00,6798691.666925389
2030,sc01,10-03 23:00:00+02:00,3693518.7492167507
2030,sc01,10-15 18:00:00+02:00,9215776.051023424
2030,sc01,10-17 20:00:00+02:00,11931054.540709045
2030,sc01,10-21 18:00:00+02:00,1520439.330553013
2030,sc01,10-22 02:00:00+02:00,3320080.9387553646
2030,sc01,10-22 14:00:00+02:00,6022891.5761203915
2030,sc01,10-30 12:00:00+01:00,1670132.9113385826
2030,sc01,10-30 19:00:00+01:00,8321811.441467365
2030,sc01,11-13 18:00:00+01:00,3788372.871549351
2030,sc01,11-13 21:00:00+01:00,7931917.063311311
2030,sc01,12-08 12:00:00+01:00,200026.08218595362
